Date,MX
2012-06-01,8.89
2012-06-04,8.83
2012-06-05,8.91
2012-06-06,9.38
2012-06-07,9.03
2012-06-08,9.34
2012-06-11,8.87
2012-06-12,9.34
2012-06-13,9.16
2012-06-14,9.18
2012-06-15,9.34
2012-06-18,9.5
2012-06-19,9.97
2012-06-20,10.06
2012-06-21,9.67
2012-06-22,9.68
2012-06-25,9.51
2012-06-26,9.43
2012-06-27,9.5
2012-06-28,9.25
2012-06-29,9.53
2012-07-02,9.72
2012-07-03,9.83
2012-07-05,9.85
2012-07-06,9.55
2012-07-09,9.27
2012-07-10,9.25
2012-07-11,9.27
2012-07-12,9.04
2012-07-13,8.91
2012-07-16,8.85
2012-07-17,8.75
2012-07-18,9.01
2012-07-19,9.06
2012-07-20,8.91
2012-07-23,8.63
2012-07-24,8.47
2012-07-25,8.39
2012-07-26,8.62
2012-07-27,9.0
2012-07-30,9.0
2012-07-31,10.18
2012-08-01,10.48
2012-08-02,10.31
2012-08-03,12.31
2012-08-06,12.37
2012-08-07,12.52
2012-08-08,12.42
2012-08-09,12.74
2012-08-10,13.13
2012-08-13,13.37
2012-08-14,13.47
2012-08-15,13.44
2012-08-16,14.21
2012-08-17,14.17
2012-08-20,14.09
2012-08-21,14.01
2012-08-22,13.99
2012-08-23,13.3
2012-08-24,13.93
2012-08-27,13.95
2012-08-28,13.77
2012-08-29,13.91
2012-08-30,13.23
2012-08-31,13.51
2012-09-04,13.96
2012-09-05,13.52
2012-09-06,13.77
2012-09-07,13.58
2012-09-10,13.12
2012-09-11,13.27
2012-09-12,13.21
2012-09-13,13.19
2012-09-14,13.93
2012-09-17,13.66
2012-09-18,13.58
2012-09-19,13.79
2012-09-20,13.49
2012-09-21,13.58
2012-09-24,12.48
2012-09-25,11.74
2012-09-26,11.74
2012-09-27,12.05
2012-09-28,11.8
2012-10-01,11.54
2012-10-02,12.17
2012-10-03,12.07
2012-10-04,12.09
2012-10-05,12.22
2012-10-08,11.95
2012-10-09,11.52
2012-10-10,11.53
2012-10-11,11.54
2012-10-12,11.54
2012-10-15,11.66
2012-10-16,12.25
2012-10-17,12.31
2012-10-18,11.57
2012-10-19,11.61
2012-10-22,11.7
2012-10-23,11.56
2012-10-24,11.4
2012-10-25,11.5
2012-10-26,11.28
2012-10-31,11.25
2012-11-01,12.13
2012-11-02,12.82
2012-11-05,12.85
2012-11-06,12.83
2012-11-07,12.74
2012-11-08,12.48
2012-11-09,12.45
2012-11-12,12.34
2012-11-13,12.12
2012-11-14,11.82
2012-11-15,11.87
2012-11-16,11.84
2012-11-19,12.01
2012-11-20,12.45
2012-11-21,12.57
2012-11-23,12.82
2012-11-26,12.7
2012-11-27,12.65
2012-11-28,12.75
2012-11-29,12.75
2012-11-30,12.6
2012-12-03,12.63
2012-12-04,12.18
2012-12-05,12.45
2012-12-06,12.68
2012-12-07,12.75
2012-12-10,13.12
2012-12-11,13.47
2012-12-12,13.41
2012-12-13,13.44
2012-12-14,13.19
2012-12-17,13.14
2012-12-18,13.17
2012-12-19,13.3
2012-12-20,13.29
2012-12-21,14.5
2012-12-24,14.7
2012-12-26,14.76
2012-12-27,14.19
2012-12-28,14.51
2012-12-31,15.92
2013-01-02,15.8
2013-01-03,16.190001000000002
2013-01-04,16.440001000000002
2013-01-07,16.370001000000002
2013-01-08,16.190001000000002
2013-01-09,16.17
2013-01-10,16.059998999999998
2013-01-11,16.76
2013-01-14,16.25
2013-01-15,15.94
2013-01-16,15.97
2013-01-17,16.18
2013-01-18,16.0
2013-01-22,15.98
2013-01-23,16.01
2013-01-24,15.93
2013-01-25,15.74
2013-01-28,15.81
2013-01-29,15.97
2013-01-30,16.01
2013-01-31,16.02
2013-02-01,15.92
2013-02-04,15.81
2013-02-05,14.82
2013-02-06,15.44
2013-02-07,15.32
2013-02-08,15.65
2013-02-11,16.209999
2013-02-12,15.59
2013-02-13,15.97
2013-02-14,16.09
2013-02-15,16.040001
2013-02-19,17.5
2013-02-20,17.43
2013-02-21,16.049999
2013-02-22,16.17
2013-02-25,15.12
2013-02-26,15.15
2013-02-27,15.17
2013-02-28,15.75
2013-03-01,15.49
2013-03-04,14.92
2013-03-05,14.8
2013-03-06,15.43
2013-03-07,15.2
2013-03-08,15.77
2013-03-11,16.65
2013-03-12,16.540001
2013-03-13,16.719998999999998
2013-03-14,17.01
2013-03-15,16.85
2013-03-18,16.040001
2013-03-19,16.530001000000002
2013-03-20,17.32
2013-03-21,16.85
2013-03-22,16.959999
2013-03-25,16.85
2013-03-26,17.43
2013-03-27,17.15
2013-03-28,17.309998999999998
2013-04-01,16.82
2013-04-02,16.299999
2013-04-03,15.46
2013-04-04,15.85
2013-04-05,15.39
2013-04-08,15.53
2013-04-09,15.68
2013-04-10,16.1
2013-04-11,16.459999
2013-04-12,15.99
2013-04-15,15.43
2013-04-16,15.5
2013-04-17,14.76
2013-04-18,14.63
2013-04-19,14.75
2013-04-22,14.95
2013-04-23,15.31
2013-04-24,15.52
2013-04-25,15.55
2013-04-26,15.29
2013-04-29,15.84
2013-04-30,16.040001
2013-05-01,15.97
2013-05-02,15.87
2013-05-03,15.96
2013-05-06,16.73
2013-05-07,16.42
2013-05-08,16.040001
2013-05-09,16.18
2013-05-10,15.84
2013-05-13,15.88
2013-05-14,15.91
2013-05-15,16.059998999999998
2013-05-16,16.09
2013-05-17,16.040001
2013-05-20,16.459999
2013-05-21,17.389999
2013-05-22,17.73
2013-05-23,17.879998999999998
2013-05-24,17.559998999999998
2013-05-28,17.950001
2013-05-29,18.469998999999998
2013-05-30,18.790001
2013-05-31,18.5
2013-06-03,18.91
2013-06-04,18.83
2013-06-05,18.34
2013-06-06,18.860001
2013-06-07,18.879998999999998
2013-06-10,18.860001
2013-06-11,18.610001
2013-06-12,18.200001
2013-06-13,18.280001000000002
2013-06-14,18.379998999999998
2013-06-17,18.219998999999998
2013-06-18,18.290001
2013-06-19,17.92
2013-06-20,17.23
2013-06-21,17.219998999999998
2013-06-24,16.709999
2013-06-25,16.91
2013-06-26,17.57
2013-06-27,18.110001
2013-06-28,18.27
2013-07-01,18.0
2013-07-02,17.870001000000002
2013-07-03,17.629998999999998
2013-07-05,18.049999
2013-07-08,19.02
2013-07-09,18.73
2013-07-10,18.610001
2013-07-11,18.91
2013-07-12,19.08
2013-07-15,19.120001000000002
2013-07-16,19.16
2013-07-17,19.280001000000002
2013-07-18,18.9
2013-07-19,19.049999
2013-07-22,19.120001000000002
2013-07-23,19.15
2013-07-24,18.700001
2013-07-25,17.450001
2013-07-26,17.42
2013-07-29,17.83
2013-07-30,17.360001
2013-07-31,20.559998999999998
2013-08-01,20.02
2013-08-02,20.08
2013-08-05,19.950001
2013-08-06,19.34
2013-08-07,19.049999
2013-08-08,19.370001000000002
2013-08-09,19.030001000000002
2013-08-12,19.08
2013-08-13,20.040001
2013-08-14,19.77
2013-08-15,19.67
2013-08-16,19.690001000000002
2013-08-19,20.0
2013-08-20,20.530001000000002
2013-08-21,20.450001
2013-08-22,20.74
2013-08-23,20.59
2013-08-26,20.4
2013-08-27,19.799999
2013-08-28,20.280001000000002
2013-08-29,20.799999
2013-08-30,20.450001
2013-09-03,20.57
2013-09-04,20.82
2013-09-05,21.4
2013-09-06,21.540001
2013-09-09,21.68
2013-09-10,22.34
2013-09-11,22.9
2013-09-12,23.030001000000002
2013-09-13,22.860001
2013-09-16,22.639999
2013-09-17,22.24
2013-09-18,22.17
2013-09-19,22.16
2013-09-20,22.0
2013-09-23,21.969998999999998
2013-09-24,21.9
2013-09-25,22.4
2013-09-26,22.34
2013-09-27,21.809998999999998
2013-09-30,21.530001000000002
2013-10-01,22.120001000000002
2013-10-02,22.110001
2013-10-03,21.66
2013-10-04,21.879998999999998
2013-10-07,22.049999
2013-10-08,21.700001
2013-10-09,21.639999
2013-10-10,22.360001
2013-10-11,22.559998999999998
2013-10-14,22.57
2013-10-15,21.719998999999998
2013-10-16,21.940001000000002
2013-10-17,22.219998999999998
2013-10-18,22.0
2013-10-21,23.57
2013-10-22,23.209999
2013-10-23,22.540001
2013-10-24,22.139999
2013-10-25,21.790001
2013-10-28,21.76
2013-10-29,20.959999
2013-10-30,19.129998999999998
2013-10-31,18.690001000000002
2013-11-01,19.559998999999998
2013-11-04,19.639999
2013-11-05,19.610001
2013-11-06,19.58
2013-11-07,19.360001
2013-11-08,19.299999
2013-11-11,19.41
2013-11-12,19.299999
2013-11-13,19.85
2013-11-14,19.77
2013-11-15,19.5
2013-11-18,19.35
2013-11-19,19.16
2013-11-20,18.98
2013-11-21,19.26
2013-11-22,19.299999
2013-11-25,19.049999
2013-11-26,19.09
2013-11-27,20.01
2013-11-29,20.299999
2013-12-02,19.969998999999998
2013-12-03,19.91
2013-12-04,20.110001
2013-12-05,19.74
2013-12-06,19.559998999999998
2013-12-09,19.24
2013-12-10,18.65
2013-12-11,18.77
2013-12-12,18.459999
2013-12-13,18.290001
2013-12-16,18.030001000000002
2013-12-17,18.469998999999998
2013-12-18,18.360001
2013-12-19,17.700001
2013-12-20,18.370001000000002
2013-12-23,18.73
2013-12-24,18.99
2013-12-26,19.209999
2013-12-27,19.27
2013-12-30,19.379998999999998
2013-12-31,19.5
2014-01-02,19.450001
2014-01-03,19.27
2014-01-06,18.120001000000002
2014-01-07,18.0
2014-01-08,17.9
2014-01-09,17.35
2014-01-10,17.280001000000002
2014-01-13,17.530001000000002
2014-01-14,18.27
2014-01-15,18.24
2014-01-16,18.15
2014-01-17,18.27
2014-01-21,18.24
2014-01-22,18.389999
2014-01-23,18.110001
2014-01-24,17.719998999999998
2014-01-27,17.57
2014-01-28,16.16
2014-01-29,15.88
2014-01-30,15.92
2014-01-31,15.81
2014-02-03,15.59
2014-02-04,15.56
2014-02-05,15.46
2014-02-06,15.94
2014-02-07,16.360001
2014-02-10,16.35
2014-02-11,16.190001000000002
2014-02-12,16.27
2014-02-13,16.360001
2014-02-14,16.299999
2014-02-18,16.23
2014-02-19,15.77
2014-02-20,15.89
2014-02-21,15.51
2014-02-24,14.81
2014-02-25,14.39
2014-02-26,14.81
2014-02-27,15.08
2014-02-28,14.74
2014-03-03,14.93
2014-03-04,15.05
2014-03-05,15.18
2014-03-06,15.24
2014-03-07,15.16
2014-03-10,14.79
2014-03-11,14.33
2014-03-12,13.93
2014-03-13,13.81
2014-03-14,14.15
2014-03-17,14.08
2014-03-18,14.45
2014-03-19,14.47
2014-03-20,14.84
2014-03-21,14.61
2014-03-24,14.53
2014-03-25,14.62
2014-03-26,14.25
2014-03-27,14.23
2014-03-28,14.52
2014-03-31,13.94
2014-04-01,13.84
2014-04-02,13.8
2014-04-03,13.77
2014-04-04,13.68
2014-04-07,13.89
2014-04-08,13.91
2014-04-09,14.01
2014-04-10,13.81
2014-04-11,13.53
2014-04-14,13.7
2014-04-15,13.72
2014-04-16,13.57
2014-04-17,13.72
2014-04-21,13.83
2014-04-22,14.32
2014-04-23,14.54
2014-04-24,14.69
2014-04-25,14.62
2014-04-28,14.17
2014-04-29,14.16
2014-04-30,14.0
2014-05-01,14.16
2014-05-02,14.37
2014-05-05,14.39
2014-05-06,14.28
2014-05-07,14.1
2014-05-08,13.78
2014-05-09,13.94
2014-05-12,13.52
2014-05-13,13.5
2014-05-14,13.26
2014-05-15,13.11
2014-05-16,13.09
2014-05-19,13.1
2014-05-20,12.99
2014-05-21,12.55
2014-05-22,12.58
2014-05-23,12.69
2014-05-27,12.8
2014-05-28,12.59
2014-05-29,12.54
2014-05-30,12.42
2014-06-02,12.14
2014-06-03,12.16
2014-06-04,12.41
2014-06-05,12.58
2014-06-06,12.69
2014-06-09,12.77
2014-06-10,12.52
2014-06-11,12.63
2014-06-12,12.44
2014-06-13,12.74
2014-06-16,13.12
2014-06-17,13.27
2014-06-18,13.5
2014-06-19,13.62
2014-06-20,13.95
2014-06-23,13.66
2014-06-24,13.65
2014-06-25,13.84
2014-06-26,13.93
2014-06-27,13.87
2014-06-30,14.1
2014-07-01,14.47
2014-07-02,14.38
2014-07-03,14.44
2014-07-07,14.37
2014-07-08,14.08
2014-07-09,14.13
2014-07-10,14.02
2014-07-11,13.94
2014-07-14,14.1
2014-07-15,13.98
2014-07-16,14.24
2014-07-17,14.17
2014-07-18,14.18
2014-07-21,14.3
2014-07-22,14.47
2014-07-23,14.21
2014-07-24,14.21
2014-07-25,13.97
2014-07-28,13.97
2014-07-29,13.92
2014-07-30,14.09
2014-07-31,14.01
2014-08-01,13.76
2014-08-04,13.98
2014-08-05,13.94
2014-08-06,13.84
2014-08-07,13.7
2014-08-08,13.5
2014-08-11,13.67
2014-08-12,13.71
2014-08-13,13.19
2014-08-14,13.04
2014-08-15,13.0
2014-08-18,12.8
2014-08-19,12.82
2014-08-20,12.74
2014-08-21,12.6
2014-08-22,12.49
2014-08-25,11.57
2014-08-26,11.67
2014-08-27,12.07
2014-08-28,11.77
2014-08-29,12.33
2014-09-02,11.93
2014-09-03,11.9
2014-09-04,11.91
2014-09-05,12.06
2014-09-08,12.21
2014-09-09,12.34
2014-09-10,12.19
2014-09-11,12.22
2014-09-12,12.18
2014-09-15,12.07
2014-09-16,12.07
2014-09-17,12.07
2014-09-18,12.33
2014-09-19,12.39
2014-09-22,12.29
2014-09-23,12.2
2014-09-24,12.27
2014-09-25,12.08
2014-09-26,11.9
2014-09-29,11.76
2014-09-30,11.7
2014-10-01,11.33
2014-10-02,11.32
2014-10-03,11.31
2014-10-06,11.33
2014-10-07,11.02
2014-10-08,11.36
2014-10-09,10.94
2014-10-10,10.32
2014-10-13,10.06
2014-10-14,10.18
2014-10-15,10.36
2014-10-16,10.17
2014-10-17,10.34
2014-10-20,10.38
2014-10-21,10.65
2014-10-22,10.33
2014-10-23,10.55
2014-10-24,10.53
2014-10-27,10.54
2014-10-28,11.02
2014-10-29,11.01
2014-10-30,10.71
2014-10-31,11.13
2014-11-03,11.33
2014-11-04,11.25
2014-11-05,11.04
2014-11-06,11.39
2014-11-07,11.44
2014-11-10,11.43
2014-11-11,11.42
2014-11-12,11.47
2014-11-13,11.17
2014-11-14,11.12
2014-11-17,11.11
2014-11-18,11.44
2014-11-19,11.11
2014-11-20,11.22
2014-11-21,11.37
2014-11-24,11.37
2014-11-25,11.61
2014-11-26,12.33
2014-11-28,12.18
2014-12-01,11.82
2014-12-02,11.79
2014-12-03,12.75
2014-12-04,12.51
2014-12-05,13.31
2014-12-08,13.05
2014-12-09,13.4
2014-12-10,12.58
2014-12-11,12.92
2014-12-12,12.96
2014-12-15,12.65
2014-12-16,12.65
2014-12-17,12.82
2014-12-18,13.25
2014-12-19,13.22
2014-12-22,13.37
2014-12-23,13.28
2014-12-24,13.62
2014-12-26,13.61
2014-12-29,13.55
2014-12-30,13.32
2014-12-31,12.99
2015-01-02,12.89
2015-01-05,12.6
2015-01-06,12.17
2015-01-07,12.23
2015-01-08,12.57
2015-01-09,12.99
2015-01-12,12.93
2015-01-13,13.0
2015-01-14,12.95
2015-01-15,12.72
2015-01-16,12.84
2015-01-20,12.71
2015-01-21,12.84
2015-01-22,12.99
2015-01-23,12.78
2015-01-26,12.55
2015-01-27,12.26
2015-01-28,12.02
2015-01-29,14.15
2015-01-30,14.38
2015-02-02,14.98
2015-02-03,15.16
2015-02-04,15.09
2015-02-05,15.23
2015-02-06,15.1
2015-02-09,14.87
2015-02-10,14.93
2015-02-11,14.98
2015-02-12,15.02
2015-02-13,7.52
2015-02-17,6.88
2015-02-18,6.62
2015-02-19,6.25
2015-02-20,5.86
2015-02-23,5.66
2015-02-24,5.49
2015-02-25,6.08
2015-02-26,5.77
2015-02-27,5.71
2015-03-02,5.81
2015-03-03,5.69
2015-03-04,5.55
2015-03-05,5.43
2015-03-06,5.23
2015-03-09,5.21
2015-03-10,5.24
2015-03-11,5.5
2015-03-12,5.3
2015-03-13,5.24
2015-03-16,5.18
2015-03-17,4.99
2015-03-18,5.28
2015-03-19,5.5
2015-03-20,5.51
2015-03-23,5.78
2015-03-24,5.63
2015-03-25,5.49
2015-03-26,5.38
2015-03-27,5.31
2015-03-30,5.57
2015-03-31,5.47
2015-04-01,5.61
2015-04-02,5.7
2015-04-06,5.67
2015-04-07,5.67
2015-04-08,5.59
2015-04-09,5.58
2015-04-10,5.58
2015-04-13,5.49
2015-04-14,5.39
2015-04-15,5.6
2015-04-16,5.64
2015-04-17,5.6
2015-04-20,5.75
2015-04-21,5.64
2015-04-22,5.61
2015-04-23,5.6
2015-04-24,5.51
2015-04-27,5.52
2015-04-28,5.53
2015-04-29,5.58
2015-04-30,5.48
2015-05-01,5.31
2015-05-04,5.37
2015-05-05,5.08
2015-05-06,5.23
2015-05-07,5.2
2015-05-08,5.37
2015-05-11,5.46
2015-05-12,5.77
2015-05-13,6.14
2015-05-14,6.62
2015-05-15,6.4
2015-05-18,6.26
2015-05-19,6.34
2015-05-20,6.35
2015-05-21,6.25
2015-05-22,6.28
2015-05-26,6.4
2015-05-27,6.39
2015-05-28,6.39
2015-05-29,7.17
2015-06-01,7.24
2015-06-02,7.18
2015-06-03,7.35
2015-06-04,7.9
2015-06-05,7.77
2015-06-08,7.66
2015-06-09,7.64
2015-06-10,7.64
2015-06-11,7.73
2015-06-12,7.5
2015-06-15,7.48
2015-06-16,7.47
2015-06-17,7.65
2015-06-18,7.55
2015-06-19,7.55
2015-06-22,7.85
2015-06-23,7.9
2015-06-24,7.79
2015-06-25,7.82
2015-06-26,7.67
2015-06-29,7.75
2015-06-30,7.72
2015-07-01,7.4
2015-07-02,7.32
2015-07-06,7.26
2015-07-07,7.3
2015-07-08,7.18
2015-07-09,7.68
2015-07-10,7.73
2015-07-13,7.99
2015-07-14,8.57
2015-07-15,8.6
2015-07-16,8.4
2015-07-17,8.46
2015-07-20,8.37
2015-07-21,8.38
2015-07-22,8.51
2015-07-23,8.61
2015-07-24,8.93
2015-07-27,8.59
2015-07-28,8.62
2015-07-29,8.4
2015-07-30,8.5
2015-07-31,8.56
2015-08-03,8.44
2015-08-04,8.49
2015-08-05,8.69
2015-08-06,8.62
2015-08-07,8.52
2015-08-10,8.5
2015-08-11,8.45
2015-08-12,8.62
2015-08-13,9.17
2015-08-14,9.21
2015-08-17,9.57
2015-08-18,9.14
2015-08-19,8.94
2015-08-20,8.0
2015-08-21,8.01
2015-08-24,7.5
2015-08-25,7.04
2015-08-26,7.21
2015-08-27,7.72
2015-08-28,7.74
2015-08-31,8.55
2015-09-01,8.16
2015-09-02,8.58
2015-09-03,8.68
2015-09-04,8.5
2015-09-08,9.08
2015-09-09,8.61
2015-09-10,8.66
2015-09-11,8.6
2015-09-14,8.69
2015-09-15,8.73
2015-09-16,8.78
2015-09-17,8.7
2015-09-18,8.71
2015-09-21,8.54
2015-09-22,8.54
2015-09-23,8.26
2015-09-24,8.02
2015-09-25,7.92
2015-09-28,7.17
2015-09-29,6.62
2015-09-30,6.59
2015-10-01,6.44
2015-10-02,6.4
2015-10-05,6.26
2015-10-06,6.61
2015-10-07,6.48
2015-10-08,6.59
2015-10-09,6.36
2015-10-12,6.26
2015-10-13,6.49
2015-10-14,6.89
2015-10-15,6.88
2015-10-16,7.17
2015-10-19,7.31
2015-10-20,7.14
2015-10-21,6.86
2015-10-22,7.03
2015-10-23,7.01
2015-10-26,6.83
2015-10-27,6.75
2015-10-28,6.79
2015-10-29,6.27
2015-10-30,5.29
2015-11-02,5.35
2015-11-03,5.27
2015-11-04,5.34
2015-11-05,5.42
2015-11-06,5.67
2015-11-09,5.28
2015-11-10,5.12
2015-11-11,5.25
2015-11-12,5.69
2015-11-13,5.65
2015-11-16,5.51
2015-11-17,5.33
2015-11-18,5.4
2015-11-19,5.17
2015-11-20,5.1
2015-11-23,5.27
2015-11-24,5.27
2015-11-25,5.64
2015-11-27,5.52
2015-11-30,5.59
2015-12-01,5.56
2015-12-02,5.43
2015-12-03,5.33
2015-12-04,5.27
2015-12-07,4.89
2015-12-08,4.9
2015-12-09,4.88
2015-12-10,5.02
2015-12-11,4.87
2015-12-14,4.22
2015-12-15,4.46
2015-12-16,4.41
2015-12-17,4.37
2015-12-18,4.52
2015-12-21,4.52
2015-12-22,5.08
2015-12-23,5.16
2015-12-24,5.2
2015-12-28,5.08
2015-12-29,5.06
2015-12-30,5.04
2015-12-31,5.29
2016-01-04,5.0
2016-01-05,4.83
2016-01-06,4.63
2016-01-07,4.24
2016-01-08,4.05
2016-01-11,3.84
2016-01-12,3.86
2016-01-13,3.72
2016-01-14,3.85
2016-01-15,3.79
2016-01-19,3.96
2016-01-20,3.96
2016-01-21,4.49
2016-01-22,4.77
2016-01-25,4.82
2016-01-26,4.79
2016-01-27,4.38
2016-01-28,4.37
2016-01-29,4.58
2016-02-01,4.49
2016-02-02,4.09
2016-02-03,4.08
2016-02-04,4.53
2016-02-05,4.87
2016-02-08,4.45
2016-02-09,4.1
2016-02-10,3.89
2016-02-11,3.5
2016-02-12,3.4
2016-02-16,3.42
2016-02-17,3.28
2016-02-18,3.85
2016-02-19,4.08
2016-02-22,4.32
2016-02-23,4.87
