Date,BMC
2015-06-08,841.0
2015-06-09,841.0
2015-06-10,841.0
2015-06-11,841.0
2015-06-12,841.0
2015-06-15,841.0
2015-06-16,841.0
2015-06-17,841.0
2015-06-18,841.0
2015-06-19,841.0
2015-06-22,841.0
2015-06-23,841.0
2015-06-24,841.0
2015-06-25,841.0
2015-06-26,841.0
2015-06-29,841.0
2015-06-30,841.0
2015-07-01,841.0
2015-07-02,841.0
2015-07-06,841.0
2015-07-07,841.0
2015-07-08,841.0
2015-07-09,841.0
2015-07-10,841.0
2015-07-13,841.0
2015-07-14,841.0
2015-07-15,841.0
2015-07-16,841.0
2015-07-17,841.0
2015-07-20,841.0
2015-07-21,841.0
2015-07-22,841.0
2015-07-23,841.0
2015-07-24,841.0
2015-07-27,841.0
2015-07-28,841.0
2015-07-29,841.0
2015-07-30,841.0
2015-07-31,841.0
2015-08-03,841.0
2015-08-04,841.0
2015-08-05,841.0
2015-08-06,841.0
2015-08-07,841.0
2015-08-10,841.0
2015-08-11,841.0
2015-08-12,841.0
2015-08-13,841.0
2015-08-14,841.0
2015-08-17,841.0
2015-08-18,841.0
2015-08-19,841.0
2015-08-20,841.0
2015-08-21,841.0
2015-08-24,841.0
2015-08-25,841.0
2015-08-26,841.0
2015-08-27,841.0
2015-08-28,841.0
2015-08-31,841.0
2015-09-01,841.0
2015-09-02,841.0
2015-09-03,841.0
2015-09-04,841.0
2015-09-08,841.0
2015-09-09,841.0
2015-09-10,841.0
2015-09-11,841.0
2015-09-14,841.0
2015-09-15,841.0
2015-09-16,841.0
2015-09-17,841.0
2015-09-18,841.0
2015-09-21,841.0
2015-09-22,841.0
2015-09-23,841.0
2015-09-24,841.0
2015-09-25,841.0
2015-09-28,841.0
2015-09-29,841.0
2015-09-30,841.0
2015-10-01,841.0
2015-10-02,841.0
2015-10-05,841.0
2015-10-06,841.0
2015-10-07,841.0
2015-10-08,841.0
2015-10-09,841.0
2015-10-12,841.0
2015-10-13,841.0
2015-10-14,841.0
2015-10-15,841.0
2015-10-16,841.0
2015-10-19,841.0
2015-10-20,841.0
2015-10-21,841.0
2015-10-22,841.0
2015-10-23,841.0
2015-10-26,841.0
2015-10-27,841.0
