Date,ADBE
1988-01-20,0.7773439999999999
1988-01-21,0.78125
1988-01-22,0.796875
1988-01-25,0.828125
1988-01-26,0.804688
1988-01-27,0.804688
1988-01-28,0.820313
1988-01-29,0.828125
1988-02-01,0.820313
1988-02-02,0.8125
1988-02-03,0.765625
1988-02-04,0.75
1988-02-05,0.7617189999999999
1988-02-08,0.75
1988-02-09,0.804688
1988-02-10,0.828125
1988-02-11,0.796875
1988-02-12,0.8125
1988-02-16,0.8125
1988-02-17,0.804688
1988-02-18,0.84375
1988-02-19,0.890625
1988-02-22,0.914063
1988-02-23,0.929688
1988-02-24,0.9375
1988-02-25,0.945313
1988-02-26,0.898438
1988-02-29,0.90625
1988-03-01,0.9375
1988-03-02,0.96875
1988-03-03,1.0078129999999998
1988-03-04,1.0
1988-03-07,1.0
1988-03-08,1.0234379999999998
1988-03-09,1.03125
1988-03-10,0.96875
1988-03-11,0.960938
1988-03-14,1.0
1988-03-15,1.0
1988-03-16,0.972656
1988-03-17,0.929688
1988-03-18,0.9375
1988-03-21,1.015625
1988-03-22,1.0390629999999998
1988-03-23,1.015625
1988-03-24,1.0234379999999998
1988-03-25,0.984375
1988-03-28,0.984375
1988-03-29,1.0
1988-03-30,0.976563
1988-03-31,0.96875
1988-04-04,0.929688
1988-04-05,0.9375
1988-04-06,0.992188
1988-04-07,0.992188
1988-04-08,1.046875
1988-04-11,1.0703129999999998
1988-04-12,1.0703129999999998
1988-04-13,1.0390629999999998
1988-04-14,0.992188
1988-04-15,1.03125
1988-04-18,1.0546879999999998
1988-04-19,1.058594
1988-04-20,1.046875
1988-04-21,1.046875
1988-04-22,1.0625
1988-04-25,1.0703129999999998
1988-04-26,1.09375
1988-04-27,1.109375
1988-04-28,1.1171879999999998
1988-04-29,1.09375
1988-05-02,1.1328129999999998
1988-05-03,1.140625
1988-05-04,1.1484379999999998
1988-05-05,1.1328129999999998
1988-05-06,1.1328129999999998
1988-05-09,1.09375
1988-05-10,1.1015629999999998
1988-05-11,1.09375
1988-05-12,1.078125
1988-05-13,1.0546879999999998
1988-05-16,1.0859379999999998
1988-05-17,1.0703129999999998
1988-05-18,1.046875
1988-05-19,1.015625
1988-05-20,1.0078129999999998
1988-05-23,1.003906
1988-05-24,1.0390629999999998
1988-05-25,1.0234379999999998
1988-05-26,1.0625
1988-05-27,1.0546879999999998
1988-05-31,1.1015629999999998
1988-06-01,1.140625
1988-06-02,1.144531
1988-06-03,1.1875
1988-06-06,1.191406
1988-06-07,1.1953129999999998
1988-06-08,1.2421879999999998
1988-06-09,1.21875
1988-06-10,1.2265629999999998
1988-06-13,1.2265629999999998
1988-06-14,1.21875
1988-06-15,1.1796879999999998
1988-06-16,1.1875
1988-06-17,1.1796879999999998
1988-06-20,1.21875
1988-06-21,1.2265629999999998
1988-06-22,1.234375
1988-06-23,1.2421879999999998
1988-06-24,1.2421879999999998
1988-06-27,1.21875
1988-06-28,1.234375
1988-06-29,1.2421879999999998
1988-06-30,1.2578129999999998
1988-07-01,1.2734379999999998
1988-07-05,1.2578129999999998
1988-07-06,1.2734379999999998
1988-07-07,1.359375
1988-07-08,1.3515629999999998
1988-07-11,1.355469
1988-07-12,1.3046879999999998
1988-07-13,1.328125
1988-07-14,1.3671879999999998
1988-07-15,1.3671879999999998
1988-07-18,1.359375
1988-07-19,1.34375
1988-07-20,1.2890629999999998
1988-07-21,1.2734379999999998
1988-07-22,1.2890629999999998
1988-07-25,1.34375
1988-07-26,1.34375
1988-07-27,1.296875
1988-07-28,1.296875
1988-07-29,1.296875
1988-08-01,1.3046879999999998
1988-08-02,1.296875
1988-08-03,1.308594
1988-08-04,1.2890629999999998
1988-08-05,1.265625
1988-08-08,1.2734379999999998
1988-08-09,1.234375
1988-08-10,1.1875
1988-08-11,1.1953129999999998
1988-08-12,1.1875
1988-08-15,1.1640629999999998
1988-08-16,1.1875
1988-08-17,1.171875
1988-08-18,1.125
1988-08-19,1.09375
1988-08-22,1.097656
1988-08-23,1.109375
1988-08-24,1.1328129999999998
1988-08-25,1.15625
1988-08-26,1.171875
1988-08-29,1.21875
1988-08-30,1.230469
1988-08-31,1.21875
1988-09-01,1.175781
1988-09-02,1.1953129999999998
1988-09-06,1.2109379999999998
1988-09-07,1.1640629999999998
1988-09-08,1.1796879999999998
1988-09-09,1.238281
1988-09-12,1.2421879999999998
1988-09-13,1.2265629999999998
1988-09-14,1.265625
1988-09-15,1.2578129999999998
1988-09-16,1.265625
1988-09-19,1.2578129999999998
1988-09-20,1.328125
1988-09-21,1.3671879999999998
1988-09-22,1.359375
1988-09-23,1.3359379999999998
1988-09-26,1.3125
1988-09-27,1.3125
1988-09-28,1.296875
1988-09-29,1.3515629999999998
1988-09-30,1.359375
1988-10-03,1.3671879999999998
1988-10-04,1.40625
1988-10-05,1.3984379999999998
1988-10-06,1.421875
1988-10-07,1.3828129999999998
1988-10-10,1.375
1988-10-11,1.390625
1988-10-12,1.375
1988-10-13,1.378906
1988-10-14,1.4296879999999998
1988-10-17,1.4296879999999998
1988-10-18,1.4375
1988-10-19,1.4765629999999998
1988-10-20,1.5390629999999998
1988-10-21,1.53125
1988-10-24,1.5234379999999998
1988-10-25,1.4609379999999998
1988-10-26,1.4296879999999998
1988-10-27,1.375
1988-10-28,1.359375
1988-10-31,1.339844
1988-11-01,1.3984379999999998
1988-11-02,1.3515629999999998
1988-11-03,1.359375
1988-11-04,1.3671879999999998
1988-11-07,1.34375
1988-11-08,1.3828129999999998
1988-11-09,1.3828129999999998
1988-11-10,1.4140629999999998
1988-11-11,1.375
1988-11-14,1.34375
1988-11-15,1.359375
1988-11-16,1.3203129999999998
1988-11-17,1.328125
1988-11-18,1.3515629999999998
1988-11-21,1.34375
1988-11-22,1.359375
1988-11-23,1.390625
1988-11-25,1.390625
1988-11-28,1.34375
1988-11-29,1.34375
1988-11-30,1.390625
1988-12-01,1.421875
1988-12-02,1.484375
1988-12-05,1.515625
1988-12-06,1.5
1988-12-07,1.5
1988-12-08,1.40625
1988-12-09,1.359375
1988-12-12,1.328125
1988-12-13,1.328125
1988-12-14,1.359375
1988-12-15,1.375
1988-12-16,1.375
1988-12-19,1.484375
1988-12-20,1.515625
1988-12-21,1.4765629999999998
1988-12-22,1.453125
1988-12-23,1.484375
1988-12-27,1.5390629999999998
1988-12-28,1.59375
1988-12-29,1.546875
1988-12-30,1.53125
1989-01-03,1.53125
1989-01-04,1.59375
1989-01-05,1.5625
1989-01-06,1.53125
1989-01-09,1.53125
1989-01-10,1.5078129999999998
1989-01-11,1.515625
1989-01-12,1.484375
1989-01-13,1.4609379999999998
1989-01-16,1.4765629999999998
1989-01-17,1.390625
1989-01-18,1.40625
1989-01-19,1.40625
1989-01-20,1.375
1989-01-23,1.375
1989-01-24,1.421875
1989-01-25,1.5625
1989-01-26,1.578125
1989-01-27,1.484375
1989-01-30,1.4453129999999998
1989-01-31,1.4453129999999998
1989-02-01,1.4375
1989-02-02,1.5
1989-02-03,1.53125
1989-02-06,1.53125
1989-02-07,1.484375
1989-02-08,1.375
1989-02-09,1.421875
1989-02-10,1.390625
1989-02-13,1.421875
1989-02-14,1.34375
1989-02-15,1.3828129999999998
1989-02-16,1.4296879999999998
1989-02-17,1.359375
1989-02-21,1.296875
1989-02-22,1.25
1989-02-23,1.296875
1989-02-24,1.2578129999999998
1989-02-27,1.25
1989-02-28,1.265625
1989-03-01,1.28125
1989-03-02,1.28125
1989-03-03,1.265625
1989-03-06,1.34375
1989-03-07,1.28125
1989-03-08,1.2265629999999998
1989-03-09,1.1875
1989-03-10,1.234375
1989-03-13,1.21875
1989-03-14,1.3125
1989-03-15,1.34375
1989-03-16,1.359375
1989-03-17,1.328125
1989-03-20,1.3125
1989-03-21,1.34375
1989-03-22,1.296875
1989-03-23,1.3125
1989-03-27,1.3125
1989-03-28,1.3359379999999998
1989-03-29,1.34375
1989-03-30,1.359375
1989-03-31,1.34375
1989-04-03,1.390625
1989-04-04,1.375
1989-04-05,1.3671879999999998
1989-04-06,1.34375
1989-04-07,1.40625
1989-04-10,1.390625
1989-04-11,1.46875
1989-04-12,1.484375
1989-04-13,1.4453129999999998
1989-04-14,1.4921879999999998
1989-04-17,1.46875
1989-04-18,1.484375
1989-04-19,1.46875
1989-04-20,1.46875
1989-04-21,1.46875
1989-04-24,1.453125
1989-04-25,1.46875
1989-04-26,1.484375
1989-04-27,1.5390629999999998
1989-04-28,1.671875
1989-05-01,1.625
1989-05-02,1.5625
1989-05-03,1.59375
1989-05-04,1.609375
1989-05-05,1.5625
1989-05-08,1.5703129999999998
1989-05-09,1.625
1989-05-10,1.609375
1989-05-11,1.6171879999999998
1989-05-12,1.671875
1989-05-15,1.703125
1989-05-16,1.6875
1989-05-17,1.71875
1989-05-18,1.734375
1989-05-19,1.796875
1989-05-22,1.8125
1989-05-23,1.789063
1989-05-24,1.78125
1989-05-25,1.8125
1989-05-26,1.796875
1989-05-30,1.765625
1989-05-31,1.765625
1989-06-01,1.78125
1989-06-02,1.828125
1989-06-05,1.734375
1989-06-06,1.703125
1989-06-07,1.71875
1989-06-08,1.75
1989-06-09,1.75
1989-06-12,1.84375
1989-06-13,1.828125
1989-06-14,1.828125
1989-06-15,1.757813
1989-06-16,1.703125
1989-06-19,1.671875
1989-06-20,1.671875
1989-06-21,1.65625
1989-06-22,1.671875
1989-06-23,1.75
1989-06-26,1.734375
1989-06-27,1.734375
1989-06-28,1.71875
1989-06-29,1.65625
1989-06-30,1.65625
1989-07-03,1.65625
1989-07-05,1.664063
1989-07-06,1.53125
1989-07-07,1.53125
1989-07-10,1.5625
1989-07-11,1.546875
1989-07-12,1.5
1989-07-13,1.515625
1989-07-14,1.546875
1989-07-17,1.546875
1989-07-18,1.484375
1989-07-19,1.515625
1989-07-20,1.53125
1989-07-21,1.515625
1989-07-24,1.53125
1989-07-25,1.4921879999999998
1989-07-26,1.46875
1989-07-27,1.484375
1989-07-28,1.46875
1989-07-31,1.421875
1989-08-01,1.4375
1989-08-02,1.421875
1989-08-03,1.40625
1989-08-04,1.53125
1989-08-07,1.625
1989-08-08,1.609375
1989-08-09,1.578125
1989-08-10,1.5625
1989-08-11,1.484375
1989-08-14,1.4765629999999998
1989-08-15,1.4609379999999998
1989-08-16,1.453125
1989-08-17,1.421875
1989-08-18,1.4375
1989-08-21,1.40625
1989-08-22,1.46875
1989-08-23,1.53125
1989-08-24,1.59375
1989-08-25,1.625
1989-08-28,1.609375
1989-08-29,1.578125
1989-08-30,1.59375
1989-08-31,1.578125
1989-09-01,1.5625
1989-09-05,1.546875
1989-09-06,1.53125
1989-09-07,1.484375
1989-09-08,1.4453129999999998
1989-09-11,1.4375
1989-09-12,1.390625
1989-09-13,1.375
1989-09-14,1.296875
1989-09-15,1.28125
1989-09-18,1.28125
1989-09-19,1.2578129999999998
1989-09-20,1.234375
1989-09-21,0.976563
1989-09-22,1.03125
1989-09-25,1.0546879999999998
1989-09-26,1.078125
1989-09-27,1.078125
1989-09-28,1.15625
1989-09-29,1.109375
1989-10-02,1.109375
1989-10-03,1.0
1989-10-04,1.0078129999999998
1989-10-05,0.984375
1989-10-06,0.96875
1989-10-09,1.078125
1989-10-10,1.0625
1989-10-11,1.046875
1989-10-12,1.09375
1989-10-13,1.0
1989-10-16,1.0
1989-10-17,0.984375
1989-10-18,1.0
1989-10-19,1.046875
1989-10-20,1.046875
1989-10-23,1.0625
1989-10-24,1.0625
1989-10-25,1.046875
1989-10-26,1.046875
1989-10-27,1.015625
1989-10-30,1.015625
1989-10-31,1.046875
1989-11-01,1.03125
1989-11-02,1.015625
1989-11-03,1.0
1989-11-06,1.0
1989-11-07,1.0
1989-11-08,1.03125
1989-11-09,1.0625
1989-11-10,1.1015629999999998
1989-11-13,1.140625
1989-11-14,1.109375
1989-11-15,1.171875
1989-11-16,1.1875
1989-11-17,1.1796879999999998
1989-11-20,1.1875
