Date,INTU
1994-06-17,2.791667
1994-06-20,2.729167
1994-06-21,2.648438
1994-06-22,2.666667
1994-06-23,2.53125
1994-06-24,2.614583
1994-06-27,2.604167
1994-06-28,2.697917
1994-06-29,2.822917
1994-06-30,2.770833
1994-07-01,2.8125
1994-07-05,2.791667
1994-07-06,2.854167
1994-07-07,2.822917
1994-07-08,2.875
1994-07-11,2.916667
1994-07-12,2.916667
1994-07-13,3.145833
1994-07-14,3.229167
1994-07-15,3.166667
1994-07-18,3.135417
1994-07-19,3.072917
1994-07-20,2.911458
1994-07-21,2.864583
1994-07-22,2.90625
1994-07-25,2.916667
1994-07-26,2.9375
1994-07-27,2.96875
1994-07-28,2.958333
1994-07-29,3.0
1994-08-01,3.052083
1994-08-02,3.125
1994-08-03,3.145833
1994-08-04,2.958333
1994-08-05,2.916667
1994-08-08,2.958333
1994-08-09,3.041667
1994-08-10,3.104167
1994-08-11,3.25
1994-08-12,3.3125
1994-08-15,3.291667
1994-08-16,3.4375
1994-08-17,3.458333
1994-08-18,3.333333
1994-08-19,3.333333
1994-08-22,3.479167
1994-08-23,3.59375
1994-08-24,3.6875
1994-08-25,3.666667
1994-08-26,3.666667
1994-08-29,3.677083
1994-08-30,3.583333
1994-08-31,3.5625
1994-09-01,3.541667
1994-09-02,3.5625
1994-09-06,3.625
1994-09-07,3.625
1994-09-08,3.6875
1994-09-09,3.583333
1994-09-12,3.5625
1994-09-13,3.520833
1994-09-14,3.510417
1994-09-15,3.479167
1994-09-16,3.338542
1994-09-19,3.40625
1994-09-20,3.375
1994-09-21,3.3125
1994-09-22,3.34375
1994-09-23,3.239583
1994-09-26,3.3125
1994-09-27,3.458333
1994-09-28,3.6875
1994-09-29,3.645833
1994-09-30,3.645833
1994-10-03,3.604167
1994-10-04,3.463542
1994-10-05,3.4375
1994-10-06,3.395833
1994-10-07,3.5
1994-10-10,3.5625
1994-10-11,3.71875
1994-10-12,3.916667
1994-10-13,4.1875
1994-10-14,5.6145830000000005
1994-10-17,5.5
1994-10-18,5.5208330000000005
1994-10-19,5.6041669999999995
1994-10-20,5.6875
1994-10-21,5.6666669999999995
1994-10-24,5.5416669999999995
1994-10-25,5.4895830000000005
1994-10-26,5.65625
1994-10-27,5.6666669999999995
1994-10-28,5.71875
1994-10-31,5.8802080000000005
1994-11-01,5.7916669999999995
1994-11-02,5.7916669999999995
1994-11-03,5.75
1994-11-04,5.6510419999999995
1994-11-07,5.5833330000000005
1994-11-08,5.6666669999999995
1994-11-09,5.6666669999999995
1994-11-10,5.625
1994-11-11,5.5208330000000005
1994-11-14,5.625
1994-11-15,5.6875
1994-11-16,5.6666669999999995
1994-11-17,5.75
1994-11-18,5.6770830000000005
1994-11-21,5.7083330000000005
1994-11-22,5.5208330000000005
1994-11-23,5.4791669999999995
1994-11-25,5.5729169999999995
1994-11-28,5.7083330000000005
1994-11-29,5.7604169999999995
1994-11-30,5.8125
1994-12-01,5.7916669999999995
1994-12-02,5.6041669999999995
1994-12-05,5.5625
1994-12-06,5.5625
1994-12-07,5.5625
1994-12-08,5.4479169999999995
1994-12-09,5.3958330000000005
1994-12-12,5.4583330000000005
1994-12-13,5.6041669999999995
1994-12-14,5.625
1994-12-15,5.6875
1994-12-16,5.6875
1994-12-19,5.7291669999999995
1994-12-20,5.5
1994-12-21,5.625
1994-12-22,5.5625
1994-12-23,5.6041669999999995
1994-12-27,5.5833330000000005
1994-12-28,5.5416669999999995
1994-12-29,5.5625
1994-12-30,5.5625
1995-01-03,5.5833330000000005
1995-01-04,5.5833330000000005
1995-01-05,5.6666669999999995
1995-01-06,5.7083330000000005
1995-01-09,5.7083330000000005
1995-01-10,5.7291669999999995
1995-01-11,5.7291669999999995
1995-01-12,5.6822919999999995
1995-01-13,5.7916669999999995
1995-01-16,5.7708330000000005
1995-01-17,5.8125
1995-01-18,5.7708330000000005
1995-01-19,5.7135419999999995
1995-01-20,5.5625
1995-01-23,5.5625
1995-01-24,5.5416669999999995
1995-01-25,5.5416669999999995
1995-01-26,5.5208330000000005
1995-01-27,5.5208330000000005
1995-01-30,5.4791669999999995
1995-01-31,5.5
1995-02-01,5.5
1995-02-02,5.4583330000000005
1995-02-03,5.4895830000000005
1995-02-06,5.5208330000000005
1995-02-07,5.5
1995-02-08,5.5208330000000005
1995-02-09,5.5625
1995-02-10,5.7291669999999995
1995-02-13,5.6666669999999995
1995-02-14,5.7083330000000005
1995-02-15,5.4583330000000005
1995-02-16,5.3958330000000005
1995-02-17,5.3541669999999995
1995-02-21,5.2291669999999995
1995-02-22,5.3541669999999995
1995-02-23,5.375
1995-02-24,5.4791669999999995
1995-02-27,5.5
1995-02-28,5.5208330000000005
1995-03-01,5.5208330000000005
1995-03-02,5.5104169999999995
1995-03-03,5.5833330000000005
1995-03-06,5.6041669999999995
1995-03-07,5.75
1995-03-08,5.7916669999999995
1995-03-09,5.8541669999999995
1995-03-10,5.9166669999999995
1995-03-13,5.9791669999999995
1995-03-14,6.2916669999999995
1995-03-15,6.125
1995-03-16,6.1666669999999995
1995-03-17,6.1666669999999995
1995-03-20,6.25
1995-03-21,6.2916669999999995
1995-03-22,6.2916669999999995
1995-03-23,6.4583330000000005
1995-03-24,6.5
1995-03-27,6.5
1995-03-28,6.5
1995-03-29,6.5
1995-03-30,6.4583330000000005
1995-03-31,6.5
1995-04-03,6.3958330000000005
1995-04-04,6.25
1995-04-05,6.1666669999999995
1995-04-06,6.125
1995-04-07,6.1041669999999995
1995-04-10,6.1875
1995-04-11,6.2083330000000005
1995-04-12,6.125
1995-04-13,6.1458330000000005
1995-04-17,6.4791669999999995
1995-04-18,6.4166669999999995
1995-04-19,6.4583330000000005
1995-04-20,6.3541669999999995
1995-04-21,6.3125
1995-04-24,6.9583330000000005
1995-04-25,6.9791669999999995
1995-04-26,6.9166669999999995
1995-04-27,6.0625
1995-04-28,5.6458330000000005
1995-05-01,5.84375
1995-05-02,5.7291669999999995
1995-05-03,5.8541669999999995
1995-05-04,5.8958330000000005
1995-05-05,5.96875
1995-05-08,5.9375
1995-05-09,5.96875
1995-05-10,6.1666669999999995
1995-05-11,6.1666669999999995
1995-05-12,6.1770830000000005
1995-05-15,6.2916669999999995
1995-05-16,6.3333330000000005
1995-05-17,6.4166669999999995
1995-05-18,6.2083330000000005
1995-05-19,6.2083330000000005
1995-05-22,5.1666669999999995
1995-05-23,5.3541669999999995
1995-05-24,5.3645830000000005
1995-05-25,5.3541669999999995
1995-05-26,5.25
1995-05-30,5.2395830000000005
1995-05-31,5.2708330000000005
1995-06-01,5.3125
1995-06-02,5.3333330000000005
1995-06-05,5.4791669999999995
1995-06-06,5.4166669999999995
1995-06-07,5.4270830000000005
1995-06-08,5.53125
1995-06-09,5.6458330000000005
1995-06-12,5.6458330000000005
1995-06-13,5.65625
1995-06-14,5.8645830000000005
1995-06-15,5.9791669999999995
1995-06-16,6.2708330000000005
1995-06-19,6.5208330000000005
1995-06-20,6.4583330000000005
1995-06-21,6.375
1995-06-22,6.5208330000000005
1995-06-23,6.3229169999999995
1995-06-26,6.1875
1995-06-27,6.1354169999999995
1995-06-28,6.0833330000000005
1995-06-29,6.2291669999999995
