Date,NOW
2014-07-29,59.700001
2014-07-30,62.639998999999996
2014-07-31,58.799999
2014-08-01,56.669998
2014-08-04,57.709998999999996
2014-08-05,56.630001
2014-08-06,55.369999
2014-08-07,55.360001000000004
2014-08-08,55.0
2014-08-11,55.990002000000004
2014-08-12,54.610001000000004
2014-08-13,55.310001
2014-08-14,54.889998999999996
2014-08-15,54.700001
2014-08-18,56.0
2014-08-19,57.709998999999996
2014-08-20,57.529999
2014-08-21,56.900002
2014-08-22,59.619999
2014-08-25,58.82
2014-08-26,59.73
2014-08-27,60.080002
2014-08-28,59.529999
2014-08-29,61.130001
2014-09-02,62.849998
2014-09-03,62.740002000000004
2014-09-04,61.259997999999996
2014-09-05,62.470001
2014-09-08,64.309998
2014-09-09,62.23
2014-09-10,62.48
2014-09-11,63.360001000000004
2014-09-12,61.610001000000004
2014-09-15,58.98
2014-09-16,59.91
2014-09-17,61.009997999999996
2014-09-18,61.310001
2014-09-19,62.34
2014-09-22,60.599998
2014-09-23,59.169998
2014-09-24,60.07
2014-09-25,58.400002
2014-09-26,59.560001
2014-09-29,59.790001000000004
2014-09-30,58.779999
2014-10-01,57.299999
2014-10-02,57.919998
2014-10-03,60.290001000000004
2014-10-06,60.529999
2014-10-07,57.82
2014-10-08,59.360001000000004
2014-10-09,58.360001000000004
2014-10-10,56.470001
2014-10-13,54.200001
2014-10-14,56.029999
2014-10-15,57.400002
2014-10-16,57.25
2014-10-17,60.380001
2014-10-20,59.279999
2014-10-21,60.48
2014-10-22,58.07
2014-10-23,64.540001
2014-10-24,65.449997
2014-10-27,64.089996
2014-10-28,66.970001
2014-10-29,65.029999
2014-10-30,66.41999799999999
2014-10-31,67.93
2014-11-03,66.209999
2014-11-04,66.879997
2014-11-05,65.550003
2014-11-06,66.849998
2014-11-07,67.790001
2014-11-10,68.910004
2014-11-11,68.150002
2014-11-12,67.68
2014-11-13,66.970001
2014-11-14,67.510002
2014-11-17,65.32
2014-11-18,64.980003
2014-11-19,63.720001
2014-11-20,64.129997
2014-11-21,63.98
2014-11-24,63.970001
2014-11-25,62.98
2014-11-26,63.970001
2014-11-28,63.959998999999996
2014-12-01,61.849998
2014-12-02,61.73
2014-12-03,61.830002
2014-12-04,62.5
2014-12-05,62.630001
2014-12-08,61.689999
2014-12-09,62.029999
2014-12-10,61.259997999999996
2014-12-11,61.349998
2014-12-12,61.25
2014-12-15,63.439999
2014-12-16,63.580002
2014-12-17,65.690002
2014-12-18,68.08000200000001
2014-12-19,69.099998
2014-12-22,69.709999
2014-12-23,69.57
2014-12-24,69.690002
2014-12-26,70.120003
2014-12-29,68.860001
2014-12-30,67.879997
2014-12-31,67.849998
2015-01-02,67.379997
2015-01-05,67.150002
2015-01-06,66.33000200000001
2015-01-07,67.089996
2015-01-08,68.889999
2015-01-09,67.110001
2015-01-12,68.190002
2015-01-13,67.269997
2015-01-14,66.339996
2015-01-15,63.630001
2015-01-16,63.959998999999996
2015-01-20,64.83000200000001
2015-01-21,65.519997
2015-01-22,66.139999
2015-01-23,68.739998
2015-01-26,68.010002
2015-01-27,67.910004
2015-01-28,68.910004
2015-01-29,73.879997
2015-01-30,72.900002
2015-02-02,72.989998
2015-02-03,72.650002
2015-02-04,74.610001
2015-02-05,74.220001
2015-02-06,74.940002
2015-02-09,72.879997
2015-02-10,73.32
2015-02-11,73.879997
2015-02-12,75.949997
2015-02-13,77.550003
2015-02-17,76.879997
2015-02-18,77.480003
2015-02-19,78.160004
2015-02-20,79.059998
2015-02-23,78.66999799999999
2015-02-24,78.75
2015-02-25,79.029999
2015-02-26,79.529999
2015-02-27,76.260002
2015-03-02,76.440002
2015-03-03,75.449997
2015-03-04,73.599998
2015-03-05,74.699997
2015-03-06,74.059998
2015-03-09,74.239998
2015-03-10,73.589996
2015-03-11,74.239998
2015-03-12,76.660004
2015-03-13,76.91999799999999
2015-03-16,78.650002
2015-03-17,79.900002
2015-03-18,80.050003
2015-03-19,80.459999
2015-03-20,79.379997
2015-03-23,79.279999
2015-03-24,79.25
2015-03-25,76.199997
2015-03-26,77.029999
2015-03-27,78.470001
2015-03-30,79.440002
2015-03-31,78.779999
2015-04-01,75.650002
2015-04-02,76.120003
2015-04-06,78.239998
2015-04-07,78.470001
2015-04-08,80.839996
2015-04-09,81.739998
2015-04-10,82.339996
2015-04-13,80.730003
2015-04-14,80.199997
2015-04-15,80.75
2015-04-16,82.839996
2015-04-17,73.290001
2015-04-20,74.639999
2015-04-21,77.5
2015-04-22,77.720001
2015-04-23,76.879997
2015-04-24,76.089996
2015-04-27,74.760002
2015-04-28,74.989998
2015-04-29,77.470001
2015-04-30,74.860001
2015-05-01,73.75
2015-05-04,73.610001
2015-05-05,73.279999
2015-05-06,73.300003
2015-05-07,74.010002
2015-05-08,73.910004
2015-05-11,73.989998
2015-05-12,74.260002
2015-05-13,75.110001
2015-05-14,76.050003
