Date,WU
2008-10-29,14.94
2008-10-30,15.32
2008-10-31,15.26
2008-11-03,14.75
2008-11-04,15.61
2008-11-05,15.49
2008-11-06,14.74
2008-11-07,15.49
2008-11-10,15.35
2008-11-11,14.59
2008-11-12,12.93
2008-11-13,13.62
2008-11-14,13.49
2008-11-17,12.87
2008-11-18,12.05
2008-11-19,11.42
2008-11-20,10.87
2008-11-21,11.92
2008-11-24,13.04
2008-11-25,13.14
2008-11-26,13.1
2008-11-28,13.27
2008-12-01,12.27
2008-12-02,12.47
2008-12-03,12.67
2008-12-04,12.3
2008-12-05,12.65
2008-12-08,13.38
2008-12-09,13.01
2008-12-10,13.51
2008-12-11,13.54
2008-12-12,13.71
2008-12-15,13.7
2008-12-16,14.19
2008-12-17,14.06
2008-12-18,13.95
2008-12-19,13.83
2008-12-22,13.65
2008-12-23,13.76
2008-12-24,13.76
2008-12-26,14.01
2008-12-29,14.0
2008-12-30,14.1
2008-12-31,14.34
2009-01-02,15.2
2009-01-05,14.52
2009-01-06,15.76
2009-01-07,14.77
2009-01-08,15.33
2009-01-09,15.03
2009-01-12,14.67
2009-01-13,15.1
2009-01-14,14.39
2009-01-15,14.6
2009-01-16,14.74
2009-01-20,13.43
2009-01-21,14.22
2009-01-22,13.88
2009-01-23,13.77
2009-01-26,14.43
2009-01-27,14.89
2009-01-28,15.04
2009-01-29,14.74
2009-01-30,13.66
2009-02-02,13.8
2009-02-03,13.85
2009-02-04,13.76
2009-02-05,12.53
2009-02-06,12.84
2009-02-09,12.67
2009-02-10,12.43
2009-02-11,12.53
2009-02-12,12.87
2009-02-13,12.58
2009-02-17,11.86
2009-02-18,12.01
2009-02-19,11.48
2009-02-20,11.42
2009-02-23,11.0
2009-02-24,11.68
2009-02-25,11.36
2009-02-26,11.18
2009-02-27,11.16
2009-03-02,10.76
2009-03-03,10.71
2009-03-04,11.22
2009-03-05,10.63
2009-03-06,10.43
2009-03-09,10.54
2009-03-10,11.24
2009-03-11,11.44
2009-03-12,12.09
2009-03-13,12.0
2009-03-16,11.98
2009-03-17,12.4
2009-03-18,12.43
2009-03-19,11.95
2009-03-20,12.02
2009-03-23,12.52
2009-03-24,12.51
2009-03-25,12.37
2009-03-26,12.67
2009-03-27,12.65
2009-03-30,12.0
2009-03-31,12.57
2009-04-01,12.68
2009-04-02,13.45
2009-04-03,13.82
2009-04-06,13.39
2009-04-07,13.35
2009-04-08,13.71
2009-04-09,14.41
2009-04-13,14.46
2009-04-14,14.28
2009-04-15,14.8
2009-04-16,15.08
2009-04-17,14.92
2009-04-20,14.27
2009-04-21,16.18
2009-04-22,16.58
2009-04-23,16.879998999999998
2009-04-24,17.469998999999998
2009-04-27,16.9
2009-04-28,16.43
2009-04-29,17.030001000000002
2009-04-30,16.75
2009-05-01,17.01
2009-05-04,17.639999
2009-05-05,17.530001000000002
2009-05-06,17.629998999999998
2009-05-07,17.73
2009-05-08,17.9
2009-05-11,17.4
2009-05-12,17.059998999999998
2009-05-13,16.6
2009-05-14,16.58
2009-05-15,16.360001
2009-05-18,17.389999
2009-05-19,16.639999
2009-05-20,17.309998999999998
2009-05-21,17.190001000000002
2009-05-22,16.51
2009-05-26,17.440001000000002
2009-05-27,16.65
2009-05-28,16.940001000000002
2009-05-29,17.629998999999998
2009-06-01,18.129998999999998
