Date,MAR
1994-12-28,5.74897
1994-12-29,5.77484
1994-12-30,5.82664
1995-01-03,5.90433
1995-01-04,5.85254
1995-01-05,5.956119999999999
1995-01-06,6.0079
1995-01-09,5.93024
1995-01-10,5.87845
1995-01-11,5.90433
1995-01-12,5.93024
1995-01-13,6.0856
1995-01-16,6.05973
1995-01-17,6.16328
1995-01-18,6.0856
1995-01-19,6.0079
1995-01-20,5.98203
1995-01-23,5.93024
1995-01-24,5.90433
1995-01-25,5.956119999999999
1995-01-26,6.03381
1995-01-27,6.13737
1995-01-30,6.11151
1995-01-31,6.266859999999999
1995-02-01,6.31864
1995-02-02,6.37047
1995-02-03,6.629410000000001
1995-02-06,6.551740000000001
1995-02-07,6.39634
1995-02-08,6.266859999999999
1995-02-09,6.266859999999999
1995-02-10,6.3445599999999995
1995-02-13,6.31864
1995-02-14,6.37047
1995-02-15,6.37047
1995-02-16,6.49996
1995-02-17,6.44813
1995-02-21,6.44813
1995-02-22,6.37047
1995-02-23,6.3445599999999995
1995-02-24,6.39634
1995-02-27,6.44813
1995-02-28,6.42226
1995-03-01,6.44813
1995-03-02,6.44813
1995-03-03,6.47405
1995-03-06,6.758889999999999
1995-03-07,6.68123
1995-03-08,6.73303
1995-03-09,6.73303
1995-03-10,6.7848
1995-03-13,6.86252
1995-03-14,6.888380000000001
1995-03-15,7.017860000000001
1995-03-16,7.04378
1995-03-17,7.04378
1995-03-20,6.9919899999999995
1995-03-21,7.12148
1995-03-22,7.06965
1995-03-23,6.966080000000001
1995-03-24,7.16224
1995-03-27,7.188219999999999
1995-03-28,7.188219999999999
1995-03-29,7.1363
1995-03-30,7.2400899999999995
1995-03-31,7.2141399999999996
1995-04-03,7.188219999999999
1995-04-04,7.1363
1995-04-05,7.032489999999999
1995-04-06,6.9546600000000005
1995-04-07,7.1363
1995-04-10,7.31795
1995-04-11,7.26606
1995-04-12,7.26606
1995-04-13,7.31795
1995-04-17,7.16224
1995-04-18,7.058439999999999
1995-04-19,7.058439999999999
1995-04-20,7.2400899999999995
1995-04-21,7.188219999999999
1995-04-24,7.2400899999999995
1995-04-25,7.34388
1995-04-26,7.473660000000001
1995-04-27,7.52555
1995-04-28,7.473660000000001
1995-05-01,7.499630000000001
1995-05-02,7.52555
1995-05-03,7.60341
1995-05-04,7.60341
1995-05-05,7.55151
1995-05-08,7.55151
1995-05-09,7.34388
1995-05-10,7.2400899999999995
1995-05-11,7.369860000000001
1995-05-12,7.4477
1995-05-15,7.681260000000001
1995-05-16,7.57747
1995-05-17,7.629339999999999
1995-05-18,7.42174
1995-05-19,7.31795
1995-05-22,7.499630000000001
1995-05-23,7.39583
1995-05-24,7.369860000000001
1995-05-25,7.369860000000001
1995-05-26,7.31795
1995-05-30,7.058439999999999
1995-05-31,7.032489999999999
1995-06-01,7.42174
1995-06-02,7.2920300000000005
1995-06-05,7.34388
1995-06-06,7.39583
1995-06-07,7.2400899999999995
1995-06-08,7.1363
1995-06-09,7.11038
1995-06-12,6.98061
1995-06-13,7.1363
1995-06-14,7.1363
1995-06-15,7.2141399999999996
1995-06-16,7.2141399999999996
1995-06-19,7.31795
1995-06-20,7.39583
1995-06-21,7.42174
1995-06-22,7.39583
1995-06-23,7.39583
1995-06-26,7.34388
1995-06-27,7.369860000000001
1995-06-28,7.33242
1995-06-29,7.410410000000001
1995-06-30,7.46243
1995-07-03,7.51445
1995-07-05,7.5404100000000005
1995-07-06,7.3584
1995-07-07,7.61844
1995-07-10,7.774430000000001
1995-07-11,7.80045
1995-07-12,8.06044
1995-07-13,8.03445
1995-07-14,8.08646
1995-07-17,8.11248
1995-07-18,7.956460000000001
1995-07-19,7.8524199999999995
1995-07-20,7.8524199999999995
1995-07-21,7.93045
1995-07-24,7.9824600000000006
1995-07-25,7.9824600000000006
1995-07-26,7.8524199999999995
1995-07-27,7.80045
1995-07-28,7.69642
1995-07-31,7.5404100000000005
1995-08-01,7.69642
1995-08-02,7.59242
1995-08-03,7.410410000000001
1995-08-04,7.33242
1995-08-07,7.56642
1995-08-08,7.410410000000001
1995-08-09,7.56642
1995-08-10,7.59242
1995-08-11,7.59242
1995-08-14,7.69642
1995-08-15,7.64445
1995-08-16,7.69642
1995-08-17,7.7484399999999996
1995-08-18,7.59242
1995-08-21,7.56642
1995-08-22,7.56642
1995-08-23,7.46243
1995-08-24,7.48844
1995-08-25,7.5404100000000005
