Date,WDAY
2015-04-28,86.639999
2015-04-29,90.220001
2015-04-30,91.209999
2015-05-01,89.5
2015-05-04,90.739998
2015-05-05,90.07
2015-05-06,90.480003
2015-05-07,89.68
2015-05-08,89.510002
2015-05-11,90.260002
2015-05-12,88.410004
2015-05-13,89.190002
2015-05-14,90.849998
2015-05-15,90.08000200000001
2015-05-18,91.900002
2015-05-19,90.650002
2015-05-20,90.43
2015-05-21,91.82
2015-05-22,92.18
2015-05-26,92.489998
2015-05-27,82.0
2015-05-28,80.139999
2015-05-29,78.91999799999999
2015-06-01,79.089996
2015-06-02,79.800003
2015-06-03,80.650002
2015-06-04,78.209999
2015-06-05,79.379997
2015-06-08,78.040001
2015-06-09,78.129997
2015-06-10,79.599998
2015-06-11,80.059998
2015-06-12,79.629997
2015-06-15,79.57
2015-06-16,78.989998
2015-06-17,79.099998
2015-06-18,80.470001
2015-06-19,79.970001
2015-06-22,80.349998
2015-06-23,81.459999
2015-06-24,79.199997
2015-06-25,79.540001
2015-06-26,78.599998
2015-06-29,76.309998
2015-06-30,76.389999
2015-07-01,75.900002
2015-07-02,75.790001
2015-07-06,76.68
2015-07-07,77.650002
2015-07-08,76.83000200000001
2015-07-09,77.959999
2015-07-10,79.519997
2015-07-13,79.269997
2015-07-14,82.18
2015-07-15,83.209999
2015-07-16,84.449997
2015-07-17,84.699997
2015-07-20,84.599998
2015-07-21,84.769997
2015-07-22,83.989998
2015-07-23,83.019997
2015-07-24,82.589996
2015-07-27,81.08000200000001
2015-07-28,83.150002
2015-07-29,83.389999
2015-07-30,83.75
2015-07-31,84.33000200000001
2015-08-03,84.0
2015-08-04,82.800003
2015-08-05,83.400002
2015-08-06,81.91999799999999
2015-08-07,82.510002
2015-08-10,83.25
2015-08-11,83.059998
2015-08-12,82.959999
2015-08-13,82.260002
2015-08-14,84.18
2015-08-17,84.800003
2015-08-18,82.58000200000001
2015-08-19,82.379997
2015-08-20,77.019997
2015-08-21,71.839996
2015-08-24,69.339996
2015-08-25,70.019997
2015-08-26,72.400002
2015-08-27,75.370003
2015-08-28,72.760002
2015-08-31,70.260002
2015-09-01,69.589996
2015-09-02,71.110001
2015-09-03,71.690002
2015-09-04,70.089996
2015-09-08,71.769997
2015-09-09,70.269997
2015-09-10,70.160004
2015-09-11,71.360001
2015-09-14,69.870003
2015-09-15,70.66999799999999
2015-09-16,71.959999
2015-09-17,72.019997
2015-09-18,73.489998
2015-09-21,73.18
2015-09-22,72.889999
2015-09-23,72.629997
2015-09-24,72.489998
2015-09-25,72.57
2015-09-28,70.550003
2015-09-29,70.699997
2015-09-30,68.860001
2015-10-01,72.199997
2015-10-02,74.089996
2015-10-05,75.5
2015-10-06,74.849998
2015-10-07,76.360001
2015-10-08,75.860001
2015-10-09,77.57
2015-10-12,77.510002
2015-10-13,76.5
2015-10-14,74.93
2015-10-15,77.290001
2015-10-16,78.690002
2015-10-19,78.529999
2015-10-20,79.879997
2015-10-21,78.230003
2015-10-22,79.889999
2015-10-23,79.849998
2015-10-26,78.949997
2015-10-27,77.199997
2015-10-28,78.800003
2015-10-29,78.449997
2015-10-30,78.970001
2015-11-02,81.349998
2015-11-03,80.209999
2015-11-04,80.25
2015-11-05,78.57
2015-11-06,82.18
2015-11-09,81.540001
2015-11-10,81.519997
2015-11-11,82.0
2015-11-12,81.91999799999999
2015-11-13,78.910004
2015-11-16,80.589996
2015-11-17,80.93
2015-11-18,83.68
2015-11-19,84.300003
2015-11-20,83.110001
2015-11-23,80.480003
2015-11-24,82.699997
2015-11-25,83.349998
2015-11-27,83.220001
2015-11-30,83.709999
