,AABA,ABBV,ACCL,ACF,ACN,ADBE,AET,ALA,ALR,APD,ATVI,AVGO,AVY,AXTA,BAX,BCR,BF,BHP,BIIB,CHTR,CMCSA,CME,CNC,CNI,COL,COLD,COP,COTY,COWN,CRESY,CSWC,CXO,D,DB,DG,DISCA,DISCK,DISH,DRI,DVMT,DXC,EMC,EMN,ENWV,EQNR,FANG,FB,FCX,FDX,FEIC,FNB,FOX,FOXA,FRGI,FTI,FWONA,FWONK,GD,GEOI,GLIBA,GLPW,GOLD,HES,HPE,HPQ,HRG,HRS,HUN,IAAC,IAC,INTL,ITC,JEF,JNS,KEQU,LBRDA,LCAHW,LGF,LONE,LSXMA,LSXMK,LTRPA,LVLT,LVNTA,MAM,MBLY,MEG,MHK,MLI,MNRL,MOMO,MON,MSG,NDAQ,NSAM,NWSA,NXPI,NYRT,PAHC,PE,PG,PGR,PVTB,QCP,RAD,RAI,REGI,REGN,RTLR,SABR,SBLK,SE,SIG,SINA,SMCG,SMMX,SNI,SODA,SPB,SPNC,STBZ,STJ,STZ,SXT,SYT,T,TA,TEX,TGT,TPIC,TRCO,TTD,TWX,UA,UNH,URBN,UWBK,VAR,VECO,VLO,VZ,WINN,WNG,WPX,WR,WTRH,XL,YHOO,ZBH,ZEUS
2017 Q3,4.41,,,,,,,,,,,,,,,,,1.14,,,,,,,3.04,,,,,,,,,,,0.41,,,,1.78,,,,,,,,,,,,,,3.93,,,0.65,,,,,,,,,60.82,,2.48,,0.94,,,,,,0.9,0.43,,1.17,1.64,0.48,,,1.25,,,,,,,,,,,,,2.35,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,5.7,,,,,,,,,,,,,,,,,
2017 Q2,3.34,,,,,,,,,,,,,,,1.14,,0.8,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,2.43,,,,,,,,,,0.54,,71.66,,1.48,,,,,,,,0.83,0.44,,1.49,1.15,0.5,,,0.86,,,,,,,,,,,,,1.94,,,,,,,,,2.02,,,,,,,,,,,,,,0.43,,,,,,,,,,,0.93,,2.94,,,,,,,,,,,,,,,,,
2017 Q1,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,2.0,,,,,,,,,,0.75,,73.73,,,,,,,,0.88,,,,,1.65,1.05,0.51,,,2.34,,0.76,,,,,,,,,,,1.66,0.44,,,,,0.56,,,1.67,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,1.35,,,2.2,,
2016 Q4,,,,,,,,,0.17,,,,,,,,,,,0.03,,,,,,,,,,,,,,1.15,,,,,,1.11,,,,,,,,,,,,0.14,,,,,,,,,,,,,0.02,81.1,,,,,,,,0.67,,,0.55,,3.8,,,,1.04,3.04,,,,,,,,1.59,,,,0.03,1.93,0.08,,,,,,,,,,,,0.02,,,,0.39,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,2.33,,,,,
2016 Q3,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,2.59,,,,,,,,,,,,0.59,,,,,,,,,,,0.58,,,,0.73,,,,,,,,,,,65.75,,,,,,,,,,,,,0.46,0.87,0.38,,,2.54,,,,,,,,1.4,,,,,,,,,13.94,,0.52,,0.84,,,,,,,0.4,,,,,,,,,,0.38,,,0.75,,,,,,,,,0.58,,,,,,,,,,,2.8,,,0.69,,
2016 Q2,,,,,,,,,0.42,,,,,,4.05,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,0.38,,,,,,,,,,81.77,,,,,,0.83,,,,,,,,0.81,,0.23,,1.78,,,0.31,,,,0.26,,,,0.46,,,,,,,,,,0.82,,,,,,,,,0.3,,,,,,,,0.2,,,1.06,,,0.26,,,,,,0.53,,,,,,,,,,,1.35,,,,,
2016 Q1,,,,,0.08,0.12,,,,,,0.1,0.05,,,,0.07,,,,,0.09,,,,,,,,,,,,,0.12,,,,0.12,,,,,,,,,,0.15,,,,,,,,,0.06,,,,,,,,97.39,0.05,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.1,,,,,,,,0.08,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,0.05,,,,,,,0.08,,0.05,,,,,,,,,,,0.05,
2015 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.73,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,97.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,95.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,61.06,,,,,,,,,,,,,,,,35.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,68.16,,,,,,,,,,,,,,,,29.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,,64.39,,,,,,,,,,,,,,,,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,2.95,,61.48,,,,,,,,,,,,,,,,35.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,2.74,,91.0,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,2.63,,91.95,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
2010 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,2.42,,,,97.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
2010 Q3,,,,42.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,1.28,,,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.01,,,,,,,,
2010 Q2,,,,37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,61.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
2010 Q1,,,,40.69,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
2009 Q4,,,,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,
2009 Q3,,,,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,70.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
2009 Q2,,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,68.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
2009 Q1,,,,21.67,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,75.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q4,,,,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,1.21,,,,69.84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q3,,,,22.17,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,2.23,,,,72.82,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
2008 Q2,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,3.53,,,,69.35,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,
2008 Q1,,,,64.29,,,,,,,,,,,,,,,,,,,,,,,,,,11.17,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,7.52,,,,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,
2007 Q4,,,,61.37,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,,,,,,,,,32.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,
2007 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,,,,25.73
2007 Q2,,,0.44,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,64.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,1.05,,,1.21,,,,,,,,29.73
2007 Q1,,,0.07,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.32,,,,,,,0.31,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,0.16,,,0.24,0.07,,,,,,,5.17
2006 Q4,,,0.07,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.91,,,,,,,0.24,,,,,,,,,,,,,,,,,,,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,0.17,,,2.38,,,,,,,,
