num,name,all_name,sector,industry_group,industry,sub_industry
69,BBY,Best Buy Co. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
209,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
346,JWN,Nordstrom,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
296,LKQ,LKQ Corporation,Consumer Discretionary,Retailing,Distributors,Distributors
151,DG,Dollar General,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
152,DLTR,Dollar Tree,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
280,KSS,Kohl's Corp.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
438,TGT,Target Corp.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
289,LEG,Leggett & Platt,Consumer Discretionary,Retailing,Specialty Retail,Home Furnishings
323,MHK,Mohawk Industries,Consumer Discretionary,Retailing,Specialty Retail,Home Furnishings
236,HD,Home Depot,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
299,LOW,Lowe's Cos.,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
136,DHI,D. R. Horton,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
291,LEN,Lennar Corp.,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
355,NVR,NVR Inc,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
389,PHM,PulteGroup,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
88,CCL,Carnival Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
233,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
305,MAR,Marriott Int'l.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
351,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
409,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
493,WHR,Whirlpool Corp.,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
337,NWL,Newell Brands,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
27,AMZN,Amazon.com Inc.,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
73,BKNG,Booking Holdings Inc,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
165,EBAY,eBay Inc.,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
182,EXPE,Expedia Group,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
226,HAS,Hasbro Inc.,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
224,HOG,Harley-Davidson,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
103,CMG,Chipotle Mexican Grill,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
138,DRI,Darden Restaurants,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
154,DPZ,Domino's Pizza,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
312,MCD,McDonald's Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
426,SBUX,Starbucks Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
501,YUM,Yum! Brands Inc,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
221,HRB,H&R Block,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
59,AZO,AutoZone Inc,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
87,KMX,Carmax Inc,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
215,GPC,Genuine Parts,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
356,ORLY,O'Reilly Automotive,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
447,TSCO,Tractor Supply Company,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
455,ULTA,Ulta Beauty,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
51,ADM,Archer-Daniels-Midland Co,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
324,TAP,Molson Coors Brewing Company,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
80,BF.B,Brown-Forman Corp.,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
125,STZ,Constellation Brands,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
481,WBA,Walgreens Boots Alliance,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
433,SYY,Sysco Corp.,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
282,KR,Kroger Co.,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
105,CHD,Church & Dwight,Consumer Staples,Household & Personal Products,Household Products,Household Products
113,CLX,The Clorox Company,Consumer Staples,Household & Personal Products,Household Products,Household Products
118,CL,Colgate-Palmolive,Consumer Staples,Household & Personal Products,Household Products,Household Products
276,KMB,Kimberly-Clark,Consumer Staples,Household & Personal Products,Household Products,Household Products
130,COST,Costco Wholesale Corp.,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
480,WMT,Walmart,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
84,CPB,Campbell Soup,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
121,CAG,Conagra Brands,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
213,GIS,General Mills,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
230,HSY,The Hershey Company,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
238,HRL,Hormel Foods Corp.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
267,SJM,JM Smucker,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
273,K,Kellogg Co.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
281,KHC,Kraft Heinz Co,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
287,LW,Lamb Weston Holdings Inc,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
310,MKC,McCormick & Co.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
325,MDLZ,Mondelez International,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
453,TSN,Tyson Foods,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
131,COTY,"Coty, Inc",Consumer Staples,Household & Personal Products,Personal Products,Personal Products
177,EL,Est?e Lauder Companies,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
383,PG,Procter & Gamble,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
116,KO,Coca-Cola Company,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks
326,MNST,Monster Beverage,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks
371,PEP,PepsiCo Inc.,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks
26,MO,Altria Group Inc,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
375,PM,Philip Morris International,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
102,CVX,Chevron Corp.,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
185,XOM,Exxon Mobil Corp.,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
231,HES,Hess Corporation,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
62,BKR,Baker Hughes Co,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
222,HAL,Halliburton Co.,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
334,NOV,National Oilwell Varco Inc.,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
413,SLB,Schlumberger Ltd.,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
440,FTI,TechnipFMC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
46,APA,Apache Corporation,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
82,COG,Cabot Oil & Gas,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
122,CXO,Concho Resources,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
123,COP,ConocoPhillips,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
143,DVN,Devon Energy,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
145,FANG,Diamondback Energy,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
172,EOG,EOG Resources,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
302,MRO,Marathon Oil Corp.,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
345,NBL,Noble Energy Inc,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
357,OXY,Occidental Petroleum,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
378,PXD,Pioneer Natural Resources,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
234,HFC,HollyFrontier Corp,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
303,MPC,Marathon Petroleum,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
376,PSX,Phillips 66,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
467,VLO,Valero Energy,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
278,KMI,Kinder Morgan,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
360,OKE,ONEOK,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
494,WMB,Williams Cos.,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
36,AMP,Ameriprise Financial,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
65,BK,The Bank of New York Mellon,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
71,BLK,BlackRock,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
206,BEN,Franklin Resources,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
260,IVZ,Invesco Ltd.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
348,NTRS,Northern Trust Corp.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
427,STT,State Street Corp.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
435,TROW,T. Rowe Price Group,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
32,AXP,American Express Co,Financials,Diversified Financials,Consumer Finance,Consumer Finance
85,COF,Capital One Financial,Financials,Diversified Financials,Consumer Finance,Consumer Finance
147,DFS,Discover Financial Services,Financials,Diversified Financials,Consumer Finance,Consumer Finance
431,SYF,Synchrony Financial,Financials,Diversified Financials,Consumer Finance,Consumer Finance
64,BAC,Bank of America Corp,Financials,Banks,Banks,Diversified Banks
110,C,Citigroup Inc.,Financials,Banks,Banks,Diversified Banks
120,CMA,Comerica Inc.,Financials,Banks,Banks,Diversified Banks
270,JPM,JPMorgan Chase & Co.,Financials,Banks,Banks,Diversified Banks
456,USB,U.S. Bancorp,Financials,Banks,Banks,Diversified Banks
486,WFC,Wells Fargo,Financials,Banks,Banks,Diversified Banks
91,CBOE,Cboe Global Markets,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
114,CME,CME Group Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
253,ICE,Intercontinental Exchange,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
304,MKTX,MarketAxess,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
327,MCO,Moody's Corp,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
331,MSCI,MSCI Inc,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
333,NDAQ,"Nasdaq, Inc.",Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
410,SPGI,"S&P Global, Inc.",Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
44,AON,Aon plc,Financials,Insurance,Insurance,Insurance Brokers
53,AJG,Arthur J. Gallagher & Co.,Financials,Insurance,Insurance,Insurance Brokers
306,MMC,Marsh & McLennan,Financials,Insurance,Insurance,Insurance Brokers
495,WLTW,Willis Towers Watson,Financials,Insurance,Insurance,Insurance Brokers
100,SCHW,Charles Schwab Corporation,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
162,ETFC,E*Trade,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
219,GS,Goldman Sachs Group,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
328,MS,Morgan Stanley,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
396,RJF,Raymond James Financial Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
11,AFL,AFLAC Inc,Financials,Insurance,Insurance,Life & Health Insurance
217,GL,Globe Life Inc.,Financials,Insurance,Insurance,Life & Health Insurance
316,MET,MetLife Inc.,Financials,Insurance,Insurance,Life & Health Insurance
382,PFG,Principal Financial Group,Financials,Insurance,Insurance,Life & Health Insurance
386,PRU,Prudential Financial,Financials,Insurance,Insurance,Life & Health Insurance
465,UNM,Unum Group,Financials,Insurance,Insurance,Life & Health Insurance
54,AIZ,Assurant,Financials,Insurance,Insurance,Multi-line Insurance
293,LNC,Lincoln National,Financials,Insurance,Insurance,Multi-line Insurance
298,L,Loews Corp.,Financials,Insurance,Insurance,Multi-line Insurance
68,BRK.B,Berkshire Hathaway,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
23,ALL,Allstate Corp,Financials,Insurance,Insurance,Property & Casualty Insurance
33,AIG,American International Group,Financials,Insurance,Insurance,Property & Casualty Insurance
104,CB,Chubb Limited,Financials,Insurance,Insurance,Property & Casualty Insurance
107,CINF,Cincinnati Financial,Financials,Insurance,Insurance,Property & Casualty Insurance
225,HIG,Hartford Financial Svc.Gp.,Financials,Insurance,Insurance,Property & Casualty Insurance
384,PGR,Progressive Corp.,Financials,Insurance,Insurance,Property & Casualty Insurance
450,TRV,The Travelers Companies Inc.,Financials,Insurance,Insurance,Property & Casualty Insurance
478,WRB,W. R. Berkley Corporation,Financials,Insurance,Insurance,Property & Casualty Insurance
111,CFG,Citizens Financial Group,Financials,Banks,Banks,Regional Banks
192,FITB,Fifth Third Bancorp,Financials,Banks,Banks,Regional Banks
194,FRC,First Republic Bank,Financials,Banks,Banks,Regional Banks
243,HBAN,Huntington Bancshares,Financials,Banks,Banks,Regional Banks
274,KEY,KeyCorp,Financials,Banks,Banks,Regional Banks
301,MTB,M&T Bank Corp.,Financials,Banks,Banks,Regional Banks
379,PNC,PNC Financial Services,Financials,Banks,Banks,Regional Banks
401,RF,Regions Financial Corp.,Financials,Banks,Banks,Regional Banks
430,SIVB,SVB Financial,Financials,Banks,Banks,Regional Banks
451,TFC,Truist Financial,Financials,Banks,Banks,Regional Banks
504,ZION,Zions Bancorp,Financials,Banks,Banks,Regional Banks
180,RE,Everest Re Group Ltd.,Financials,Insurance,Insurance,Reinsurance
370,PBCT,People's United Financial,Financials,Insurance,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
18,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Biotechnology,Biotechnology
39,AMGN,Amgen Inc.,Health Care,Biotechnology,Biotechnology,Biotechnology
70,BIIB,Biogen Inc.,Health Care,Biotechnology,Biotechnology,Biotechnology
216,GILD,Gilead Sciences,Health Care,Biotechnology,Biotechnology,Biotechnology
250,INCY,Incyte,Health Care,Biotechnology,Biotechnology,Biotechnology
400,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,Biotechnology,Biotechnology
473,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,Biotechnology,Biotechnology
37,ABC,AmerisourceBergen Corp,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
77,BMY,Bristol-Myers Squibb,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
86,CAH,Cardinal Health Inc.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
229,HSIC,Henry Schein,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
313,MCK,McKesson Corp.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
484,WAT,Waters Corporation,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
2,ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
4,ABMD,ABIOMED Inc,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
12,A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
66,BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
67,BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
76,BSX,Boston Scientific,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
137,DHR,Danaher Corp.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
144,DXCM,DexCom,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
168,EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
235,HOLX,Hologic,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
246,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
259,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
314,MDT,Medtronic plc,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
372,PKI,PerkinElmer,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
403,RMD,ResMed,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
428,STE,STERIS plc,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
429,SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
441,TFX,Teleflex,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
468,VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
503,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
139,DVA,DaVita Inc.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
227,HCA,HCA Healthcare,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
464,UHS,"Universal Health Services, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
135,CVS,CVS Health,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
285,LH,Laboratory Corp. of America Holding,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
394,DGX,Quest Diagnostics,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
19,ALGN,Align Technology,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
126,COO,The Cooper Companies,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
142,XRAY,Dentsply Sirona,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
488,WST,West Pharmaceutical Services,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
98,CERN,Cerner,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
249,ILMN,Illumina Inc,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
262,IQV,IQVIA Holdings Inc.,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
317,MTD,Mettler Toledo,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
444,TMO,Thermo Fisher Scientific,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
43,ANTM,Anthem,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
95,CNC,Centene Corporation,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
106,CI,CIGNA Corp.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
242,HUM,Humana Inc.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
461,UNH,United Health Group Inc.,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
3,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
268,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
292,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
315,MRK,Merck & Co.,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
332,MYL,Mylan N.V.,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
373,PRGO,Perrigo,Health Care,Pharmaceuticals & Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
