,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
196812,-3.94,3.6,0.02,-1.78,1.65,0.43,3.1692,2.5891,-0.7669,-0.8123,-0.041616701,-5.37,
196901,-1.25,-0.46,1.69,-1.54,1.41,0.53,-0.3062,1.1287,-0.0599,0.4839,-0.008184084,-4.68,
196902,-5.84,-4.12,0.9,2.17,0.8,0.46,-3.8896,0.8468,1.0708,2.3862,-0.047374089,-3.58,
196903,2.64,-0.41,-0.46,-1.34,-0.42,0.46,-0.329,0.4342,1.9151,2.5092,0.034444157,5.46,
196904,1.46,-0.83,0.03,0.38,0.06,0.53,-0.1529,0.5729,2.0249,-0.2396,0.021475716,3.91,
196905,-0.1,-0.18,0.73,-0.97,1.49,0.48,0.3868,1.4177,-0.0632,0.0143,-0.002218179,-1.7,
196906,-7.18,-5.49,-1.09,4.26,-1.55,0.51,-4.711,-0.6272,3.4035,2.6999,-0.055577035,-0.13,
196907,-7,-3.37,1.42,1.4,1.97,0.53,-2.9302,1.9971,2.0585,3.4093,-0.060178048,-5.42,
196908,4.68,0.71,-3.87,1.16,-4.08,0.5,1.0624,-2.5157,0.4656,-2.1044,0.040074049,7.03,
196909,-2.98,1.29,-3.19,3.42,-0.83,0.62,0.7009,0.0668,2.0461,2.7936,-0.025023547,0.21,
196910,5.06,3.89,-3.19,0.01,-2.03,0.6,2.7812,-1.5403,-1.0961,-1.245,0.042955325,5.8,
196911,-3.79,-2.41,-1.12,1.44,0.32,0.52,-2.0346,0.1868,2.7251,2.3591,-0.034081599,-1.79,
196912,-2.63,-3.7,-3.02,2.47,-2.04,0.64,-3.7731,-0.6988,3.5171,1.6236,-0.018654728,-0.75,
197001,-8.1,3.09,3.04,-1.77,3.92,0.6,3.5944,3.543,-1.1151,3.2645,-0.076471879,-9.07,
197002,5.13,-2.58,4.04,-2.28,3.06,0.62,-2.4785,1.7291,-2.148,0.1417,0.052693521,2.95,
197003,-1.06,-2.4,4.25,-0.87,4.43,0.57,-1.2521,3.3862,-0.9004,3.0289,0.00145248,-2.58,
197004,-11,-6.3,6.39,-0.64,5.88,0.5,-4.6176,5.1869,0.3842,5.5544,-0.0904831,-14.34,
197005,-6.92,-4.42,3.6,-1.3,3.62,0.53,-3.2345,3.1902,0.2447,3.5983,-0.060966563,-9.54,
197006,-5.79,-2.17,0.87,0.19,2.9,0.58,-1.8501,3.7465,2.6608,3.4015,-0.050032683,-11.76,
197007,6.93,-0.69,0.96,-0.07,1.9,0.52,-0.4726,2.5463,-0.8376,-1.2997,0.073294856,2.41,
197008,4.49,1.54,1.03,0.57,-0.15,0.53,0.6459,-0.8656,-3.3301,-2.1074,0.044458602,7.99,
197009,4.18,8.49,-5.58,0.24,-5.93,0.54,7.1669,-4.5667,-1.3578,-5.4366,0.034102136,10.17,
197010,-2.28,-4.5,0.27,1.83,2.38,0.46,-3.2219,2.9508,5.4955,3.8581,-0.012455551,-3.54,
197011,4.59,-4,1.63,1.75,1.59,0.46,-3.7022,0.7996,0.6343,2.1569,0.047447411,4.08,
197012,5.72,3.02,1.01,0.14,0.28,0.42,2.7348,0.2506,-1.0453,-0.2209,0.056766114,4.43,
197101,4.84,7.54,1.38,-2.19,-0.14,0.38,6.7855,-0.2393,-4.3397,-3.1099,0.040477427,5.44,
