,0,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31
11,Other fixed assets  ,95.7,98.4,102.0,91.2,70.9,71.7,66.4,71.3,69.8,72.1,74.0,84.5,47.9,54.9,36.1,114.5,96.2,86.0,81.2,80.6,73.2,71.5,70.5,68.0,70.3,70.0,73.5,76.4,66.0,63.3,62.5,54.4,42.5,42.1,44.8,41.3,46.4,51.2,44.0,50.1,72.6,85.2,83.5,75.4,95.4,84.5,107.9,113.1
12,Total assets  ,"13,644.1","13,560.6","14,173.0","14,103.5","6,566.0","6,527.1","6,862.7","6,698.3","6,363.5","6,639.6","5,929.1","5,686.6","5,847.7","5,712.8","5,890.2","5,903.5","4,025.8","3,850.4","3,750.9","3,677.9","3,545.4","3,489.8","3,439.6","3,472.0","3,455.3","3,489.4","3,545.6","3,760.6","3,199.0","3,190.9","3,157.4","3,077.2","3,070.3","3,124.9","3,198.3","3,237.5","3,170.7","3,181.8","3,166.7","3,282.6","3,240.8","3,143.6","3,012.3","2,663.5","2,636.0","2,591.4","2,497.9","2,528.3"
13,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Accounts payable  , , , ,598.6, , , ,755.9, , , ,215.2, , , ,263.1,1.6,726.4,626.4,53.2,3.2,2.9,2.9,6.2,6.6,5.6,5.5,107.1,10.3,10.4,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4,79.4,76.1,56.1,68.1
15,Accrued expenses  , , , ,260.1, , , ,121.4, , , ,88.7, , , ,82.1,21.1,22.5,22.0,16.1,16.3,14.6,17.6,21.8,6.6,5.6,5.5, ,10.3,10.4,29.9, ,5.7,4.0,4.0,5.1,7.0,4.4,7.6,11.3, , , ,83.4,79.4,76.1,56.1,68.1
16,Short-term and curr portion of long-term debt   [+],627.1,177.2,356.6,176.2,196.8,193.4,189.0,184.5,1.3,250.0,0.0,0.0,35.0,85.0,85.0,307.6,417.2,441.7,494.2,412.7,378.6,407.3,415.3,416.9,16.9,17.5,17.0,19.2,8.6,8.2,4.1,5.7,240.8,236.1,236.5,250.6,242.2,256.9,250.0,327.4,11.0, , ,8.2, , , , 
17,        Short-term debt  , , ,178.3, ,196.8,193.4,189.0, ,1.3,250.0, , ,35.0,85.0, ,307.6,439.9,"1,190.6","1,142.6",482.0,398.1,424.9,435.7,444.9,371.4,436.8,429.1,563.6,330.8,362.5,272.6,239.9,246.5,240.1,240.4,255.6,249.2,261.3,257.6,338.7,341.0,330.7,285.6,283.9,283.2,261.3,216.5,177.0
18,        Current portion of long-term debt  ,0.0,177.2,178.3,176.2, , , ,184.5,16.9,15.0,18.0,18.9,20.9,20.0,24.9,16.3,997.4,150.0,250.0,824.7,824.6,824.5,824.5,899.4,394.9,459.8,451.6,689.9,349.8,381.1,306.6,245.7,587.9,587.8,587.7,587.7,587.6,587.5,621.0,722.5,351.9,330.7,285.6,375.5,362.6,337.4,272.6,245.1
19,Deferred revenues  ,30.8,32.2,36.3,32.3,9.7,12.5,12.1,12.8,999.2,"1,101.5",838.3,485.2,697.8,649.2,770.6,378.8,277.9,277.7,194.7,262.6,272.4,269.9,276.1,278.2,974.3,974.3,"1,074.2","1,124.1",574.1,574.0,573.9,587.9,148.8,146.7,148.9,157.3,151.6,166.8,168.3,164.0,722.4,722.3,722.4,331.9,355.7,374.8,395.9,415.7
20,Other current liabilities  ,"2,149.3","2,179.6","2,542.0","1,643.4","1,349.1","1,324.8","1,377.5",764.9,"1,017.4","1,366.5",856.3,808.0,753.7,754.2,880.5,"1,047.9","1,715.2","1,618.3","1,587.3","1,569.3","1,495.1","1,519.4","1,536.3","1,622.6",279.0,290.4,305.9,266.1,104.8,104.5,137.0,143.1,983.2,974.7,977.0,"1,000.5",988.4,"1,015.6","1,046.9","1,225.3",170.6,160.3,150.1,157.8,157.4,152.6,152.7,195.5
21,Total current liabilities  ,"2,807.2","2,389.0","2,934.9","2,710.6","1,555.6","1,530.7","1,578.6","1,839.5","1,152.3","1,024.5","1,020.3","1,016.1","1,162.1","1,158.5","1,155.5","1,150.2",,,,,,,,,"1,648.3","1,724.5","1,831.7","2,080.2","1,028.6","1,059.6","1,017.6",976.7,,,,,,,,,"1,245.0","1,213.3","1,158.2",865.2,875.7,864.9,821.2,856.3
22,Long-term debt  ,"5,683.3","6,173.9","6,243.2","6,257.1","1,023.8","1,098.7","1,163.8",848.5,706.0,775.2,682.1,579.9,712.3,664.9,760.8,682.3,"2,310.6","2,232.1","2,163.6","2,108.6","2,050.3","1,970.4","1,903.4","1,849.5",,,,,,,,,"2,087.2","2,150.2","2,221.3","2,236.9","2,182.2","2,166.2","2,119.8","2,057.3",,,,,,,,
23,Other liabilities  ,"1,405.6","1,456.7","1,372.6","1,279.4",296.7,337.5,460.5,447.8,"2,875.7","3,166.2","2,558.7","2,404.0","2,628.1","2,577.6","2,796.8","2,880.4","1,033.1","1,016.0","1,004.1",995.9,991.4,980.3,973.1,968.7,"1,807.0","1,764.9","1,713.9","1,680.4","2,170.4","2,131.3","2,139.8","2,100.5",919.9,893.4,890.7,880.2,873.3,869.5,857.5,841.0,"1,995.8","1,930.2","1,854.1","1,798.3","1,760.4","1,726.5","1,676.7","1,672.1"
24,Total liabilities  ,"9,896.1","10,019.6","10,550.7","10,247.1","2,876.1","2,966.9","3,202.9","3,135.8",,,,,,,,,"1,583.2","1,520.2","1,467.2","1,418.1","1,361.7","1,290.7","1,230.4","1,179.7",963.8,956.2,941.9,937.3,932.9,929.0,921.1,923.6,"1,472.4","1,432.8","1,392.0","1,346.9","1,297.9","1,283.3","1,248.4","1,201.7",828.0,814.3,799.1,797.1,796.8,793.8,791.3,790.7
25,   ,,,,,,,,,"3,487.8","3,473.4","3,370.4","3,282.6","3,219.6","3,135.2","3,093.4","3,023.1",-305.9,-304.8,-304.8,-302.6,-302.6,-301.9,-301.9,-301.8,"1,141.3","1,106.7","1,070.3","1,041.6","1,529.1","1,494.7","1,510.3","1,486.6",-300.0,-182.6,-69.1, , , , , ,"1,148.9","1,097.4","1,046.7",998.9,955.8,915.1,855.1,823.1
26,Shareholders' equity   [+],"3,748.0","3,541.0","3,622.3","3,856.4","3,689.9","3,560.2","3,659.8","3,562.5","1,864.6","1,840.5","1,807.3","1,771.8","1,739.4","1,725.0","1,707.2","1,686.9",932.3,832.3,749.5,680.5,638.3,530.1,443.1,369.3,-301.7,-300.0,-300.0,-300.0,-300.0,-300.0,-300.0,-300.0,841.1,863.2,893.5,868.6,818.1,739.6,680.6,600.5,535.5,452.9,359.0,463.0,414.3,414.9,350.9,403.1
27,        Paid-in capital  ,"2,626.5","2,470.1","1,980.9","1,956.7","1,939.8","1,920.9","1,896.9","1,881.0","1,990.6","1,922.5","1,869.8","1,824.5","1,806.2","1,780.6","1,709.9","1,640.1",,,,,,,,,284.0,197.9,102.9,10.6,"1,129.1","1,050.7",949.1,893.1,,,,,,,,,,,,,,,,
28,        Retained earnings  ,"1,580.7","1,515.1","2,079.9","2,182.7","2,154.7","2,078.0","2,140.2","2,085.4",-326.1,-323.6,-322.9,-312.5,-311.9,-310.8,-310.6,-306.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,        Treasury stock  ,-508.2,-365.3,-364.7,-342.8,-342.1,-340.4,-338.1,-326.7,-89.0,-221.2,229.8,122.5,1.2,11.2,-262.0,-191.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tangible shareholders' equity  ,"-4,230.2","-4,508.1","-5,013.5","-4,735.7",373.1,180.0,24.3,240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
