,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-07-31,2018-04-30,2017-10-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-07-31,2007-04-30,2006-10-31,2006-10-31,2006-07-31,2006-04-30
21,Other current liabilities  ,"3,261.4","1,956.3",211.5,221.0,208.8,759.6,215.4,222.0,210.0,215.2,211.5,217.9,211.6,246.0,238.6,240.4,"4,420.1","3,648.1","4,049.2","3,521.2","3,557.5","3,038.7","2,883.9","2,733.5","2,047.9","1,299.4",549.7,549.6,549.6,549.6,549.6,549.6,549.5,549.5,549.4,549.4,549.4,549.4,549.4,549.3,527.1,470.2,449.4,385.8,382.5,364.7,137.3,91.3,265.7,304.1,160.1,145.9,242.0,148.9,122.3,149.5
22,Total current liabilities  ,"8,675.5","6,168.7","5,895.8","5,273.4","5,427.5","5,684.2","5,551.6","5,187.0","6,841.1","4,220.7","4,026.5","4,000.1","4,397.3","4,546.8","4,245.2","4,351.2","1,947.9","2,347.5","2,347.4","2,048.5","2,048.4","2,048.3","2,048.1","2,048.0",364.8,357.7,340.7,356.0,374.6,345.3,353.1,348.8,352.0,347.8,347.5,356.8,365.0,375.1,396.3,394.1,"1,779.2","1,581.0","1,557.9","1,685.9","1,953.0","2,189.7","2,061.9","2,079.4","2,253.2","2,155.6","2,223.4","2,119.8","1,804.2","1,935.6","1,322.8","1,187.1"
23,Long-term debt  ,"10,653.2","11,167.0","11,159.1","9,141.5","9,130.7","9,090.2","6,149.1","6,185.1","4,566.5","3,932.6","3,935.5","3,942.5","3,185.7","3,185.3","3,202.4","2,447.6",592.1,600.9,613.9,610.3,587.4,392.2,382.5,368.4,"5,365.7","7,034.4","3,314.8","3,175.3","3,315.1","3,104.7","2,920.9","2,869.8","3,060.3","2,973.1","2,756.3","2,700.4","2,870.8","2,703.6","2,672.3","2,590.0",549.3,549.3,549.4,549.4,549.5,549.6,549.8,549.9,550.0,550.1,1.4,1.6,1.7,2.0,2.3,2.5
24,Other liabilities  ,"15,161.7","8,114.9","8,158.5","8,262.2","8,301.9","8,206.2","1,484.7","1,463.7","1,352.0",755.3,711.2,673.9,631.2,689.7,661.6,624.2,"6,960.1","6,596.5","7,010.5","6,180.0","6,193.3","5,479.2","5,314.5","5,149.9",,,,,,,,,,,,,,,,,409.0,389.6,407.8,415.6,443.3,442.4,463.3,464.0,450.0,354.1,323.4,303.2,282.8,262.9,222.3,210.2
25,Total liabilities  ,"34,490.4","25,450.6","25,213.4","22,677.1","22,860.1","22,980.6","13,185.4","12,835.8","12,759.6","8,908.6","8,673.2","8,616.5","8,214.2","8,421.8","8,109.2","7,423.0",,,,,,,,,"4,889.5","4,482.3","5,747.6","5,327.5","5,175.0","5,114.5","5,388.0","5,136.7","4,775.3","4,387.3","4,341.5","4,327.2","4,060.3","3,682.3","3,534.6","3,554.7","2,737.5","2,519.9","2,515.1","2,650.9","2,945.8","3,181.7","3,075.0","3,093.3","3,253.2","3,059.8","2,548.1","2,424.6","2,088.8","2,200.4","1,547.3","1,399.8"
26,   ,,,,,,,,,,,,,,,,,"5,983.4","5,819.8","5,858.3","6,010.7","6,157.8","5,273.7","5,070.8","4,947.1",343.7,282.1,167.7,39.4,39.4,39.4,450.9,359.3,178.7,40.5,135.6,309.3,228.9,106.2,162.1,275.9,,,,,,,,,,,,,,,,
27,Shareholders' equity   [+],"-6,759.1","-6,231.0","-4,319.0","-5,035.2","-2,878.8","1,175.8","3,996.7","4,717.7","5,758.9","5,457.0","5,849.5","5,611.4","5,803.1","5,890.7","5,724.0","5,096.4",41.1,41.1,41.1,41.1,39.4,39.4,39.4,174.6,"4,474.2","4,130.3","5,558.5","5,298.6","5,117.3","5,046.2","4,935.8","4,732.1","4,551.2","4,297.4","4,065.7","3,883.7","3,720.1","3,471.2","3,288.3","3,177.1","3,364.1","3,056.9","2,818.0","2,630.4","2,584.6","2,490.9","2,477.3","2,440.8","2,253.2","2,284.1","2,355.8","2,212.3","2,438.9","2,228.5","2,505.1","2,417.9"
28,        Paid-in capital  ,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,146.9,41.1,"6,164.0","5,974.8","5,945.0","6,083.0","5,832.2","5,206.6","4,957.7","4,705.4","3,750.8","3,344.6","4,617.9","4,196.5","4,628.2","4,571.7","4,933.5","4,683.5","4,327.4","3,953.8","4,001.3","3,989.3","3,724.6","3,349.1","3,204.0","3,222.8",218.4,147.0,86.9,61.2,32.9, , , , ,39.4, , , ,39.4,42.1,111.1
29,        Retained earnings  ,"-6,414.8","-5,771.2","-4,013.9","-4,807.7","-2,584.0","1,457.4","4,150.9","4,635.8","5,834.9","5,563.2","5,986.0","5,768.9","5,996.3","5,949.8","5,702.0","5,241.2","3,902.0","3,724.0","3,771.9","3,871.5","4,017.4","4,144.0","3,930.4","3,809.1",,,,,,,,,,,,,,,,,"3,034.6","2,793.2","2,643.2","2,491.7","2,466.7","2,402.4","2,357.6","2,315.6","2,148.6","2,189.4","2,265.0","2,121.8","2,349.9","2,151.1","2,386.0","2,240.5"
30,Tangible shareholders' equity  ,"-11,014.1","-10,503.6","-8,736.9","-9,557.0","-7,420.7","-3,408.0",-773.8,-304.2,837.9,"3,476.4","3,845.6","3,507.9","3,733.5","3,654.8","3,492.2","2,956.2",,,,,,,,,,,,,,,,,,,,,,,,,"3,033.0","2,729.6","2,493.1","2,302.0","2,255.9","2,157.8","2,176.7","2,159.3","1,994.7","2,026.4","2,100.2","1,963.9","2,191.5","2,029.1","2,302.2","2,208.9"
