,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
11,Total assets  ,"64,549","63,895","63,573","64,162","62,729","63,918","62,974","64,503","62,957","63,291","62,757","62,076","61,538","63,265","63,271","63,975","62,843","66,390","65,118","64,206","66,771","69,967","72,680","72,960","72,515","74,859","71,823","73,298","75,477","97,779","97,114","96,647","93,837","95,832","99,027","98,269","95,289","93,620","91,590","95,709","66,714","66,669","64,654","62,353","63,173","66,945","70,845","70,026","67,993","57,359","56,495","55,814","55,574","58,840","58,222","57,814"
12,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Accounts payable  ,"5,853","5,322","5,312","5,566","5,794","5,374","5,248","5,727","5,705","5,139","5,012","4,897","5,318","4,884","4,562","4,779","4,890","4,875","4,499","5,199","5,299","5,184","5,303","5,372","5,345","4,533","4,316","4,378","4,642","5,499","5,161","5,545","5,525","5,293","5,308","5,535","5,409","5,130","4,913","5,422","3,766","3,264","3,225","3,207","3,373","3,439","3,541","4,157","4,065","2,908","2,599","2,574","2,602","2,376","2,084","2,020"
14,Accrued expenses  ,769,646,611,568,701,671,614,617,721,699,603,616,736,779,698,702,844,932,819,803,946,990,948,917,"1,043","1,079",981,965,"1,038","1,212","1,085","1,025","1,365","1,363","1,215","1,194","1,292","1,197","1,056","1,223","1,175","1,020", ,809,951,902,835,741,913, , , , , , , 
15,Short-term and curr portion of long-term debt   [+],"1,581","6,927","7,455","6,983","2,648","5,212","4,854","5,608","1,163","5,715","5,555","5,468","3,982","4,001","3,702","3,599",841,"3,330","6,247","5,883","2,835","3,891","4,286","4,177","2,597","4,830","3,075","3,531","3,851","2,183","2,168","5,143","3,836","5,739","6,160","5,757","1,865",464,927,"1,524",966,"2,617","1,615","1,781","1,662","1,719","2,942","5,244","8,107","2,856","5,432","3,461","3,133","3,712","3,373","2,371"
16,        Short-term debt  , ,"3,253","3,780","4,065","3,192","4,811","4,074","4,779","3,517","4,551","4,813","4,250","2,531","2,490","2,691","2,564",236,"1,571","4,483","3,688","1,305","1,807","2,044","2,503","1,594","2,527",756,203,274,263,245,"3,320",182,896,"1,242","1,812",750,331,291,891,453,"1,359",856,"1,022",897,"1,000","2,217","4,528","7,385","2,836","5,016","2,046","1,715", , , 
17,        Current portion of long-term debt  ,"1,581","3,674","3,675","2,918","2,648",401,780,829,"1,163","1,164",742,"1,218","1,451","1,511","1,011","1,035",605,"1,759","1,764","2,195","1,530","2,084","2,242","1,674","1,003","2,303","2,319","3,328","3,577","1,920","1,923","1,823","3,654","4,843","4,918","3,945","1,115",133,636,633,513,"1,258",759,759,765,719,725,716,722,20,416,"1,415","1,418", , , 
18,Other current liabilities  ,"7,119","4,225","4,420","4,604","7,594","4,251","4,116","4,846","8,204","4,482","4,393","4,076","4,381","4,293","4,034","4,098","4,347","4,500","5,223","4,581","4,927","4,550","4,378","4,859","5,369","4,827","4,761","4,973","5,339","6,951","7,640","7,585","7,719","7,965","7,597","7,293","7,327","6,835","6,873","7,412","5,584","5,155","5,463","4,518","5,058","4,235","4,512","4,112","4,001","4,430","4,235","4,392","4,738","4,783","4,241","4,310"
19,Total current liabilities  ,"15,322","17,120","17,798","17,721","16,737","15,508","14,832","16,798","15,793","16,035","15,563","15,057","14,417","13,957","12,996","13,178","10,922","13,637","16,788","16,466","14,007","14,615","14,915","15,325","14,354","15,269","13,133","13,847","14,870","15,845","16,054","19,298","18,445","20,360","20,280","19,779","15,893","13,626","13,769","15,581","11,491","12,056","10,303","10,315","11,044","10,295","11,830","14,254","17,086","10,194","12,266","10,427","10,473","10,871","9,698","8,701"
20,Long-term debt  ,"14,207","12,593","11,764","12,437","12,532","14,852","14,857","13,180","12,972","12,918","13,226","12,906","13,217","13,105","13,578","13,800","14,557","13,029","13,090","12,822","13,821","13,988","14,255","14,772","14,482","15,089","14,986","14,970","15,574","27,323","28,081","23,198","23,095","23,139","23,420","24,288","26,859","29,571","29,103","29,496","18,024","18,108","18,610","18,385","18,589","18,874","19,348","17,428","12,902","10,600","7,085","7,081","7,081","7,081","7,478","8,476"
21,Other liabilities  ,"7,669","7,308","7,837","8,095","7,747","8,026","7,998","7,975","8,118","8,239","8,176","8,394","8,689","8,626","9,021","9,135","9,264","9,772","10,506","10,306","11,090","10,408","11,103","11,087","11,147","12,009","12,155","12,463","12,617","17,933","16,731","17,060","16,969","15,633","16,216","16,703","16,595","15,441","15,359","16,138","11,227","11,294","11,361","11,198","11,184","11,375","11,717","11,078","10,710","9,683","9,668","9,577","9,465","10,490","10,678","10,660"
22,Total liabilities  ,"37,198","37,021","37,399","38,253","37,016","38,386","37,687","37,953","36,883","37,192","36,965","36,357","36,323","35,688","35,595","36,113","34,743","36,438","40,384","39,594","38,918","39,011","40,273","41,184","39,983","42,367","40,274","41,280","43,061","61,101","60,866","59,556","58,509","59,132","59,916","60,770","59,347","58,638","58,231","61,215","40,742","41,458","40,274","39,898","40,817","40,544","42,895","42,760","40,698","30,477","29,019","27,085","27,019","28,442","27,854","27,837"
23,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Shareholders' equity   [+],"27,351","26,874","26,174","25,909","25,713","25,532","25,287","26,550","26,074","26,099","25,792","25,719","25,215","27,577","27,676","27,862","28,100","29,952","24,734","24,612","27,853","30,956","32,407","31,776","32,532","32,492","31,549","32,018","32,416","36,678","36,248","37,091","35,328","36,700","39,111","37,499","35,942","34,982","33,359","34,494","25,972","25,211","24,380","22,455","22,356","26,401","27,950","27,266","27,295","26,882","27,476","28,729","28,555","30,398","30,368","29,977"
25,        Paid-in capital  ,"32,019","31,998","31,970","31,933","31,961","31,932","31,913","31,876","31,915","31,886","31,860","31,826","31,847","31,805","31,771","31,714","31,760","31,727","31,690","31,645","31,651","31,612","31,583","31,342","31,396","31,505","31,472","31,426","31,548","31,381","31,300","31,246","31,318","31,279","31,240","31,182","31,231","31,181","31,131","30,915","23,611","23,570","23,517","23,466","23,563","23,505","23,441","23,373","23,445","23,388","23,295","23,292","23,626","23,580","23,525","23,493"
26,        Retained earnings  ,"26,653","26,345","25,348","24,954","24,491","24,075","23,305","23,315","22,631","22,296","21,648","21,468","21,149","21,366","21,127","20,970","20,700","21,707","14,725","14,582","14,529","14,298","13,666","13,315","13,419","11,878","11,117","10,756","10,551","18,921","18,800","18,298","18,012","17,695","17,300","16,876","16,619","16,621","16,393","15,971","14,636","14,394","14,016","13,661","13,440","13,623","12,670","12,389","12,209","12,058","11,945","11,633","11,128","10,914","10,578","10,277"
27,        Treasury stock  ,"21,139","-20,820","-20,684","-20,561","20,185","-19,908","-19,489","-18,881","18,555","-18,234","-17,571","-17,072","-16,713","-15,963","-15,538","-15,533","-14,462","-13,957","-13,078","-12,473","-11,112","-10,482","-10,221","-9,892","-9,553","-7,722","-7,000","-6,954","-7,157","-7,192","-7,283","-7,337","-7,476","-7,518","-7,545","-7,933","-8,126","-8,202","-8,266","-8,286","-8,416","-8,484","-8,514","-8,588","-8,714","-8,722","-6,987","-7,054","-6,524","-6,068", , ,"-3,130", , , 
28,Tangible shareholders' equity  ,"-11,454","-11,233","-12,470","-12,735","-13,014","-13,504","-14,077","-13,561","-13,650","-13,610","-13,637","-13,093","-13,162","-11,895","-11,846","-12,209","-11,332","-10,126","-15,998","-17,178","-15,871","-14,553","-15,186","-15,624","-15,059","-15,298","-15,501","-15,764","-15,876","-26,049","-25,880","-26,451","-27,155","-26,308","-26,461","-27,444","-27,877","-27,258","-28,310","-28,273","-16,221","-16,725","-17,102","-17,801","-18,151","-15,668","-16,387","-16,400","-16,098","-8,878","-8,100","-6,730","-7,175","-5,417","-5,045","-5,122"
