,0,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-01-31,2003-10-31,2003-07-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-01-31,2003-10-31,2003-07-31,2002-10-31
11,Other fixed assets  ,39.4,48.0,44.2,60.9,55.0,83.7,87.9,92.3,82.6,192.2,253.6,316.0,125.8,260.5,245.9,235.8,216.3,302.0,273.5,282.3,231.6, ,292.4,217.6,"13,956.9","15,054.6","15,008.2","14,716.6","14,668.3","14,555.5","14,488.4","13,623.1",,,,,,,,,,,,,,,,
12,Total assets  ,"8,584.7","8,510.0","8,563.7","8,261.2","8,676.1","8,404.7","8,200.4","7,639.3","7,491.8","11,575.2","12,898.6","12,523.0","12,674.0","12,486.9","12,064.0","12,230.9","12,370.6","12,331.7","12,395.9","11,951.3","12,091.9", ,"13,858.0","14,164.5",,,,,,,,, ,743.9,279.0,273.1, ,343.9, ,278.5,743.9,279.0,273.1, ,343.9, ,278.5, 
13,   ,,,,,,,,,,,,,,,,,,,,,,,,, ,449.3,460.7,458.3, ,422.9,413.1,422.9,670.4,396.7,285.0,277.8,279.2,359.4,271.7,396.6,396.7,285.0,277.8,279.2,359.4,271.7,396.6,312.4
14,Accounts payable  ,199.8,162.0,164.8,161.9,213.6,132.9,110.5,133.5,170.1,399.5,426.2,486.8,149.7,491.4,466.1,465.6,440.6,417.9,396.4,349.9,350.6,414.6,429.7,445.5, ,593.4,511.4,505.1,582.3,699.9,620.2,676.2,934.1,610.0,519.9,798.4,670.2,848.9,728.1,407.4,610.0,519.9,798.4,670.2,848.9,728.1,407.4,294.2
15,Accrued expenses  ,64.7, , , ,69.6, , , ,75.9, , , ,59.7, , , ,178.6, , , , ,450.0,444.9,392.1,431.0,919.6,980.2,825.7,789.3,"1,068.0","1,104.9",999.3,"1,213.4",499.9,751.3,635.4,"1,086.6",661.5,"1,133.7",694.8,499.9,751.3,635.4,"1,086.6",661.5,"1,133.7",694.8,908.1
16,Short-term and curr portion of long-term debt   [+],12.8,371.0,872.2,192.0,949.4,289.2,299.8,332.4,28.4,822.0,553.4,280.0,"1,202.0",590.6,594.3,750.0,0.0,11.7,9.9,38.9,5.0,"1,315.0","1,121.4","1,114.7",231.0, , , , , , , ,"2,817.9","2,250.5","1,835.2","1,984.7","2,036.0","2,213.7","2,133.5","1,777.3","2,250.5","1,835.2","1,984.7","2,036.0","2,213.7","2,133.5","1,777.3","1,514.7"
17,        Short-term debt  ,12.8,190.5,443.7,192.0,480.1,289.2,299.8,332.4,28.4,419.5,150.0,280.0,611.4, , , , ,11.7,9.9, ,5.0, , , ,200.0, , , , , , , ,"4,889.9","5,389.3","1,238.4","1,237.4","1,239.5","1,245.0","1,242.6",841.5,"5,389.3","1,238.4","1,237.4","1,239.5","1,245.0","1,242.6",841.5,841.7
18,        Current portion of long-term debt  , ,180.5,428.5, ,469.3, , , , ,402.5,403.4, ,590.6,590.6,594.3,750.0,844.4,958.6,950.2,692.9,834.5,394.4,334.8,544.5,"1,662.9",731.5,544.0,458.6,"1,143.8",723.0,668.6,638.2,"1,473.3","1,592.5","1,096.8","1,120.9","1,119.4",978.2,"1,071.7",744.5,"1,592.5","1,096.8","1,120.9","1,119.4",978.2,"1,071.7",744.5,753.7
19,Deferred revenues  ,78.7, , , ,60.1, , , ,484.3,424.5,"1,025.2",909.1,695.5,938.7,877.0,838.6,"1,463.6","1,388.2","1,356.5","1,081.7","1,190.1","2,574.0","2,330.8","2,496.8","2,093.9","2,693.8","2,496.3","2,247.7","2,515.4","2,913.8","2,806.8","2,736.6","9,181.1","9,232.3","4,170.4","4,343.0","4,394.9","4,436.9","4,447.8","3,363.3","9,232.3","4,170.4","4,343.0","4,394.9","4,436.9","4,447.8","3,363.3","3,110.1"
20,Other current liabilities  ,350.6,291.0,8.7,424.3,-42.0,486.4,508.7,500.8,758.7,"1,646.0","2,004.8","1,675.9","2,106.9","2,020.7","1,937.4","2,054.2","4,413.3","4,428.4","4,724.9","4,923.2","4,688.6","3,484.6","3,563.1","3,569.6","3,942.7","4,659.9","4,861.5","5,244.2","5,034.9","5,037.8","5,487.2","5,110.8",,,,,,,,,,,,,,,,
21,Total current liabilities  ,706.6,824.0,"1,045.7",778.2,"1,250.7",908.5,919.0,966.7,"1,902.1","2,320.6","3,290.1","3,671.3","3,620.6","3,662.9","3,580.6","3,630.8","1,388.0","1,430.0","1,410.8","1,410.9","1,513.6","1,612.3","1,623.9","1,655.6","1,676.3","1,828.5","1,971.3","1,841.8","1,830.3","1,617.3","1,494.2","1,629.5","4,020.4","3,916.3","3,786.0","3,633.5","3,488.7","3,162.8","2,997.1","2,881.1","3,916.3","3,786.0","3,633.5","3,488.7","3,162.8","2,997.1","2,881.1","2,712.1"
22,Long-term debt  ,"2,024.5","2,034.6","2,032.6","2,022.8","2,024.9","2,225.2","2,213.4","1,612.2",731.3,"1,290.1","1,325.5","1,273.2","1,258.5","1,241.8","1,255.0","1,306.6","7,264.9","7,246.6","7,492.2","7,415.8","7,392.3","7,670.9","7,517.8","7,722.0","7,712.9","9,182.2","9,329.1","9,333.7","9,380.6","9,568.9","9,788.2","9,476.9",182.8,181.5,177.0,166.3,155.8,136.1,126.7,117.4,181.5,177.0,166.3,155.8,136.1,126.7,117.4,116.0
23,Other liabilities  ,779.5,776.0,770.4,782.0,791.3,795.6,739.7,745.8,"3,392.1","5,256.7","6,620.4","6,620.4","6,986.0","6,925.4","6,773.0","6,991.6",,,,,,,,,,,,,,,,,"5,890.2","5,714.2","5,704.0","5,551.9","5,447.2","5,037.8","4,846.9","4,785.5","5,714.2","5,704.0","5,551.9","5,447.2","5,037.8","4,846.9","4,785.5","4,529.9"
24,Total liabilities  ,"3,510.6","3,634.6","3,848.7","3,583.0","4,066.9","3,929.3","3,872.1","3,324.7",,,,,,,,,"5,105.7","5,085.1","4,903.7","4,535.5","4,699.6", ,"6,340.2","6,442.5","6,244.0","5,872.4","5,679.1","5,382.9","5,287.7","4,986.6","4,700.2","4,146.2","-3,129.2","-3,137.1","-3,149.3","-3,174.7","-3,203.2","-3,009.0","-2,968.1","-2,981.7","-3,137.1","-3,149.3","-3,174.7","-3,203.2","-3,009.0","-2,968.1","-2,981.7","-2,880.4"
25,   ,,,,,,,,,"4,099.7","6,318.5","6,278.2","5,902.6","5,688.0","5,561.5","5,291.0","5,239.3",755.6,750.7,736.0,728.8,716.4,719.4,709.9,695.4,684.3,679.1,657.1,639.9,615.7,590.6,570.7,196.2,"4,020.4","3,916.3","3,786.0","3,633.5","3,488.7","3,162.8","2,997.1","2,881.1","3,916.3","3,786.0","3,633.5","3,488.7","3,162.8","2,997.1","2,881.1","2,712.1"
26,Shareholders' equity   [+],"5,074.1","4,875.4","4,715.0","4,678.2","4,609.2","4,475.4","4,328.3","4,314.6",882.4,872.7,843.3,829.9,820.2,804.2,789.5,777.5,"7,135.4","7,153.2","7,057.6","6,987.0","7,046.2","7,327.9","7,125.8","7,054.6","6,999.3","6,797.7","6,719.7","6,548.8","6,496.3","6,238.9","6,205.6","6,010.7",,,,,,,,,,,,,,,,
27,        Paid-in capital  ,946.2,932.8,912.1,885.5,873.7,884.3,885.0,871.8,"5,892.6","8,202.2","7,849.3","7,550.4","7,499.3","7,416.1","7,373.6","7,175.6","-3,326.0","-3,329.4","-3,332.0","-3,335.6","-3,337.7","-3,346.3","-3,214.1","-3,081.8","-3,086.9","-3,097.5","-3,120.6","-3,136.0","-3,162.2","-3,189.4","-3,201.9","-3,118.3",,,,,,,,,,,,,,,,
28,        Retained earnings  ,"6,352.6","6,249.1","6,237.7","6,217.8","6,136.8","6,046.2","6,002.9","5,935.6","-3,109.9","-3,144.9","-3,172.1","-3,188.4","-3,215.3","-3,242.7","-3,248.9","-3,252.0","-1,659.2","-1,782.2","-1,986.7","4,535.5","-2,083.6", ,"6,340.2","6,442.5","2,377.3","5,872.4","5,679.1","5,382.9","1,515.4","4,986.6","4,700.2","4,146.2",,,,,,,,,,,,,,,,
29,        Treasury stock  ,"-2,811.9","-2,834.2","-2,879.4","-2,920.0","-2,949.3","-2,995.8","-3,016.9","-3,047.0",-103.2,-202.6,-508.8,-890.4,"1,323.7","-1,091.5","-1,256.9","-1,522.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tangible shareholders' equity  ,291.9,61.7,-47.6,-129.2,-269.9,-399.4,-495.6,-29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
