,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30
16,Short-term debt  ,675,616,504,0,0,0,0,315,345,210,280,241,190,0,235,235,80,0,0,0,0,0,35,0,335,401,345,384,318,387,331,396,317,424,348,419,314,395,315,346,271,336,277,466,429,409,464,553,477,569,524,562,482,545,581,680
17,        Short-term debt  ,675,616,504, , , , ,315,345,210,280,241,190, ,235,235,80, , , , , ,35, ,0,0,0,250,250,250,500,251,252,253,0,0,1,"1,501","1,501","1,501","1,501",1,0,0,50,0,"1,711","1,752","1,500",0,0,0,0,0,0,0
18,Deferred revenues  ,379,336,344,347,346,324,328,333,321,291,301,301,299,269,279,279,277,258,265,271,278,260,447,470, , , ,250,250,250,500,251,252,253, , ,1,"1,501","1,501","1,501","1,501",1, , ,50, ,"1,711","1,752","1,500", , , , , , , 
19,Other current liabilities  ,256,440,188,165,197, ,162,175,182,181,141,139,143,184,167,188,169,218,154,190,210,902,330,362,459,439,463,459,465,420,435,423,413,389,424,429,413,358,331,311,300,285,286,292,299,280,310,321,277,249,251,248,235,225,292,293
20,Total current liabilities  ,"1,892","2,080","1,622","1,118","1,095","1,171","1,014","1,365","1,361","1,263","1,241","1,187","1,089",945,"1,151","1,133",947,976,853,930,928,"1,692","1,579","1,719",325,330,335,367,359,375,332,308,297,299,263,258,234,330,311,189,162,194,178,89,95,333,116,106,117,522,389,412,343,390,381,389
21,Long-term debt  ,"1,787","1,791","1,294","1,798","1,798","1,799","1,799","1,800","1,800","1,801","1,801","1,802","1,802","1,904","1,652","1,654","1,653","1,655","1,655","1,656","1,658","1,663","2,181","2,693","1,549","1,602","1,550","1,908","1,846","1,893","2,090","1,835","1,705","1,837","1,505","1,592","1,406","3,083","2,917","2,709","2,549","1,123",991,"1,099","1,130","1,330","2,894","3,044","2,674","1,663","1,510","1,554","1,372","1,538","1,679","1,784"
22,Other liabilities  ,974,833,962,981,"1,023","1,000",968,"1,002","1,011",527,608,652,681,699,585,688,654,678,637,665,693,"2,156",980,985,"2,695","2,699","2,701","2,106","2,111","2,112","1,714","1,926","1,929","1,932","2,168","2,144","2,138","2,190","2,177","1,393","1,410","2,904","2,153","2,154","2,154","2,125",604,622,626,"2,087","1,500","1,500","1,500","1,500","1,500","1,500"
23,Total liabilities  ,"4,653","4,704","3,878","3,897","3,916","3,970","3,781","4,167","4,172","3,591","3,650","3,641","3,572","3,548","3,388","3,475","3,254","3,309","3,145","3,251","3,279","5,511","4,740","5,397",947,"1,096","1,237","1,265","1,345","1,346","1,080",927,966,972,880,952,"1,161","1,187","1,196","1,033","1,017","1,071",940,904,"1,307",993,858,852,986,570,726,674,664,683,758,699
24,   ,,,,,,,,,,,,,,,,,,,,,,,,,"5,191","5,397","5,488","5,279","5,302","5,351","4,884","4,688","4,600","4,741","4,553","4,688","4,705","6,460","6,290","5,135","4,976","5,098","4,084","4,157","4,591","4,448","4,356","4,518","4,286","4,320","3,736","3,728","3,536","3,721","3,937","3,983"
25,Shareholders' equity   [+],"4,848","4,748","4,747","5,125","5,036","4,571","4,568","4,617","4,526","4,835","4,611","4,375","4,300","4,246","4,346","4,165","4,048","4,170","4,106","4,161","4,240","5,304","5,640","5,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,        Paid-in capital  ,"5,293","5,277","5,270","5,343","5,324","5,308","5,312","5,332","5,320","5,300","5,282","5,239","5,236","9,159","9,144","9,103","9,085","9,045","9,029","9,000","8,957","8,967","8,898","8,861","5,447","5,289","4,790","5,308","5,351","5,185","4,873","4,725","4,499","4,316","4,200","3,961","3,339","3,236","2,810","2,632","2,598","2,514","2,489","2,419","2,571","2,559","3,185","3,156","3,173","3,234","3,288","3,555","3,657","3,648","3,792","4,074"
27,        Retained earnings  ,73,-18,-122,178,90,-336,-416,-412,-529,-126,-260,-393,-453,"6,089","6,000","5,720","5,666","5,581","5,474","5,397","5,348","6,469","6,487","6,384","8,820","8,723","8,660","8,596","8,562","8,489","8,397","8,354","8,320","8,265","8,248","8,140","8,060","7,904","7,855","7,802","7,673","7,552","7,516","7,474","7,459","7,410","7,383","7,251","7,216","7,117","7,052","6,830","6,726","6,605","6,543","6,391"
28,        Treasury stock  , , , ,-1, , , , ,-3, , , , ,"-10,508","-10,462","-10,368","-10,274","-10,074","-10,074","-9,975","-9,813","-9,807","-9,807","-9,757","6,289","6,073","5,901","5,774","5,607","5,505","5,114","4,906","4,651","4,456","4,167","3,837","3,637","3,444","3,152","2,947","2,839","2,760","2,735","2,754","2,855","2,791","2,560","2,391","2,218","2,172","1,992","1,807","1,684","1,534","1,695","1,468"
29,Tangible shareholders' equity  ,200,48,"1,129","1,475","1,337","1,107","1,120","1,685","1,552","1,867","1,624","1,434","1,326","1,313","1,379","1,119","1,057","1,359","1,256","1,304","1,329","2,148","1,870","1,737","-9,707","-9,607","-9,607","-8,926","-8,786","-8,707","-8,612","-8,612","-8,568","-8,535","-8,500","-8,308","-8,308","-8,038","-7,986","-7,892","-7,727","-7,627","-7,627", , ,"-7,470", , ,"2,332","2,498","3,288","3,555","3,657","3,648","3,792","4,074"
30,,,,,,,,,,,,,,,,,,,,,,,,,,"1,571","1,326",850,"1,307","1,211","1,074",838,"2,734","2,487","2,320","2,158","1,913","1,424","1,286",898,"1,862","1,793","1,692","1,669","1,582","1,699","1,685","2,302","2,289",,,,,,,,
