"Date","AAPL","ABBV","ADBE","AER","AET","AGN","ALNY","ALSN","ANDV","ANTM","ARMK","ARRS","ASH","AVGO","AXP","BABA","BHC","BIDU","BKNG","BTI","BUD","CBS","CCI","CCK","CHTR","CI","CIT","CMCSA","CNC","COF","COMM","CPN","CSC","CTSH","CTVA","CTXS","CYH","DD","DG","DIS","DLTR","DOW","EVHC","EXP","FB","FIS","FISV","FLT","FOXA","FTNT","GOOG","GPK","HCA","HD","HUM","INTC","IPXL","KAR","KHC","KSU","LBTYK","LOW","LRCX","MA","MCK","MGM","MHK","MLM","MNST","MON","MSFT","MTG","MU","NFLX","NKE","NOC","NWL","OC","ORLY","PANW","PF","PFE","PM","PRSP","QCOM","RDN","RL","SABR","SC","SCHW","SHPG","SNAP","SSNC","ST","STNE","STZ","SWI","TAP","TDG","TMUS","UHS","UNH","USB","USFD","V","VMC","WCN","WLK","WYNN"
2014-11-01,0,0,3.22,3.15,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,3.82,0,0,0,0,0,0,0,0,2.53,3.01,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,2.13,0,0,5.44,0,3.78,0,0,0,0,0,0,0,4.98,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,2.11,4.44,0,0,0,0,0,0,0,2.9,0,4.41,0,0,0,0,0,0,2.91,2.02,0,0
2014-12-01,0,0,3.22,3.15,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,3.82,0,0,0,0,0,0,0,0,2.53,3.01,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,2.13,0,0,5.44,0,3.78,0,0,0,0,0,0,0,4.98,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,2.11,4.44,0,0,0,0,0,0,0,2.9,0,4.41,0,0,0,0,0,0,2.91,2.02,0,0
2015-01-01,0,0,4.11,2.59,0,0,0,0,0,0,5.66,0,0,4.94,0,0,4.08,3.67,6.67,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,6.22,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,2.1,2.63,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,2.74,5.05,0,0,0,0,0,0,0,2.11,0,4.75,0,0,0,0,0,0,3.08,0,0,0
2015-02-01,0,0,4.11,2.59,0,0,0,0,0,0,5.66,0,0,4.94,0,0,4.08,3.67,6.67,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,6.22,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,2.1,2.63,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,2.74,5.05,0,0,0,0,0,0,0,2.11,0,4.75,0,0,0,0,0,0,3.08,0,0,0
2015-03-01,0,0,4.11,2.59,0,0,0,0,0,0,5.66,0,0,4.94,0,0,4.08,3.67,6.67,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,6.22,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,2.1,2.63,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,2.74,5.05,0,0,0,0,0,0,0,2.11,0,4.75,0,0,0,0,0,0,3.08,0,0,0
2015-04-01,0,0,2.88,3.14,0,6.76,0,0,0,0,5.89,0,0,4.33,0,0,2.57,2.42,6.38,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,6.76,3.34,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,3.52,4.13,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,2.46,0,0,0
2015-05-01,0,0,2.88,3.14,0,6.76,0,0,0,0,5.89,0,0,4.33,0,0,2.57,2.42,6.38,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,6.76,3.34,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,3.52,4.13,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,2.46,0,0,0
2015-06-01,0,0,2.88,3.14,0,6.76,0,0,0,0,5.89,0,0,4.33,0,0,2.57,2.42,6.38,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,6.76,3.34,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,3.52,4.13,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,2.46,0,0,0
2015-07-01,0,0,2.43,3.2,0,2.7,0,0,0,0,7.93,3.52,0,0,0,0,2.48,0,0,0,3.83,0,0,0,0,0,3.1,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,7.74,0,0,0,0,0,0,0,0,3.7,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.73,0,0,0,3.23,0,5.14,4.03,0,0,0,0,4.19,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,2.43,3.2,0,2.7,0,0,0,0,7.93,3.52,0,0,0,0,2.48,0,0,0,3.83,0,0,0,0,0,3.1,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,7.74,0,0,0,0,0,0,0,0,3.7,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.73,0,0,0,3.23,0,5.14,4.03,0,0,0,0,4.19,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,2.43,3.2,0,2.7,0,0,0,0,7.93,3.52,0,0,0,0,2.48,0,0,0,3.83,0,0,0,0,0,3.1,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,7.74,0,0,0,0,0,0,0,0,3.7,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.73,0,0,0,3.23,0,5.14,4.03,0,0,0,0,4.19,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,4.03,0,0,3.06,0,0,0,0,5.72,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,2.51,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,4.5,0,0,0,0,0,0,0,0,4.1,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,2.97,5.25,0,0,0,2.86,0,5.26,3.22,0,0,0,0,3.4,0,0,0,0,4.34,0,0,2.34,0,0,0,0,0,0,0
2015-11-01,0,0,4.03,0,0,3.06,0,0,0,0,5.72,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,2.51,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,4.5,0,0,0,0,0,0,0,0,4.1,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,2.97,5.25,0,0,0,2.86,0,5.26,3.22,0,0,0,0,3.4,0,0,0,0,4.34,0,0,2.34,0,0,0,0,0,0,0
2015-12-01,0,0,4.03,0,0,3.06,0,0,0,0,5.72,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,2.51,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,4.5,0,0,0,0,0,0,0,0,4.1,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,2.97,5.25,0,0,0,2.86,0,5.26,3.22,0,0,0,0,3.4,0,0,0,0,4.34,0,0,2.34,0,0,0,0,0,0,0
2016-01-01,0,0,6.55,0,0,5.98,0,0,0,0,5.7,0,0,2.11,0,0,0,0,5.36,0,2.44,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,3.11,4.26,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,2.06,3.78,0,0,0,0,3.86,0,0,0,3.27,0,6.91,0,0,0,0,0,2.16,0,0,0,0,3.46,0,0,2.27,0,0,0,0,0,0,0
2016-02-01,0,0,6.55,0,0,5.98,0,0,0,0,5.7,0,0,2.11,0,0,0,0,5.36,0,2.44,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,3.11,4.26,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,2.06,3.78,0,0,0,0,3.86,0,0,0,3.27,0,6.91,0,0,0,0,0,2.16,0,0,0,0,3.46,0,0,2.27,0,0,0,0,0,0,0
2016-03-01,0,0,6.55,0,0,5.98,0,0,0,0,5.7,0,0,2.11,0,0,0,0,5.36,0,2.44,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,3.11,4.26,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,2.06,3.78,0,0,0,0,3.86,0,0,0,3.27,0,6.91,0,0,0,0,0,2.16,0,0,0,0,3.46,0,0,2.27,0,0,0,0,0,0,0
2016-04-01,0,0,3.34,0,0,2.75,0,0,0,0,3.08,0,0,0,3.83,0,0,0,6.38,0,0,0,0,0,0,0,0,2.97,0,0,6.42,0,2.06,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,8.81,8.08,0,0,1.97,0,7.21,0,0,0,0,0,0,0,0,0,0,2.86,0,5.04,0,1.98,0,0,0,5.43,0,0
2016-05-01,0,0,3.34,0,0,2.75,0,0,0,0,3.08,0,0,0,3.83,0,0,0,6.38,0,0,0,0,0,0,0,0,2.97,0,0,6.42,0,2.06,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,8.81,8.08,0,0,1.97,0,7.21,0,0,0,0,0,0,0,0,0,0,2.86,0,5.04,0,1.98,0,0,0,5.43,0,0
2016-06-01,0,0,3.34,0,0,2.75,0,0,0,0,3.08,0,0,0,3.83,0,0,0,6.38,0,0,0,0,0,0,0,0,2.97,0,0,6.42,0,2.06,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,8.81,8.08,0,0,1.97,0,7.21,0,0,0,0,0,0,0,0,0,0,2.86,0,5.04,0,1.98,0,0,0,5.43,0,0
2016-07-01,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,7.17,0,2.59,0,0,0,0,0,0,2.2,0,0,5.92,0,2.16,0,0,0,0,0,2.22,0,0,0,0,0,2.62,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.26,0,0,8.63,8.37,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,2.49,0,6.73,0,0,0,0,0,5.24,0,0
2016-08-01,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,7.17,0,2.59,0,0,0,0,0,0,2.2,0,0,5.92,0,2.16,0,0,0,0,0,2.22,0,0,0,0,0,2.62,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.26,0,0,8.63,8.37,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,2.49,0,6.73,0,0,0,0,0,5.24,0,0
2016-09-01,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,7.17,0,2.59,0,0,0,0,0,0,2.2,0,0,5.92,0,2.16,0,0,0,0,0,2.22,0,0,0,0,0,2.62,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.26,0,0,8.63,8.37,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,2.49,0,6.73,0,0,0,0,0,5.24,0,0
2016-10-01,0,0,5.08,0,3.6,0,0,0,0,0,0,0,0,0,2.26,0,0,0,6.06,0,0,0,0,0,0,3.49,0,0,0,0,4.85,0,2.38,0,0,0,0,0,0,0,3.51,0,0,0,5.65,0,0,3.2,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,9.66,0,0,0,0,0,6.74,0,0,3.16,0,0,0,0,0,0,0,2.52,0,8.48,0,0,0,0,3.33,4.79,0,0
2016-11-01,0,0,5.08,0,3.6,0,0,0,0,0,0,0,0,0,2.26,0,0,0,6.06,0,0,0,0,0,0,3.49,0,0,0,0,4.85,0,2.38,0,0,0,0,0,0,0,3.51,0,0,0,5.65,0,0,3.2,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,9.66,0,0,0,0,0,6.74,0,0,3.16,0,0,0,0,0,0,0,2.52,0,8.48,0,0,0,0,3.33,4.79,0,0
2016-12-01,0,0,5.08,0,3.6,0,0,0,0,0,0,0,0,0,2.26,0,0,0,6.06,0,0,0,0,0,0,3.49,0,0,0,0,4.85,0,2.38,0,0,0,0,0,0,0,3.51,0,0,0,5.65,0,0,3.2,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,9.66,0,0,0,0,0,6.74,0,0,3.16,0,0,0,0,0,0,0,2.52,0,8.48,0,0,0,0,3.33,4.79,0,0
2017-01-01,0,0,7.08,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,4.59,0,0,0,0,4.76,0,2.31,0,0,0,0,0,0,0,4.36,0,2.4,0,6.29,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,1.96,0,1.74,0,0,8.66,0,0,0,0,0,4.92,0,0,3.6,0,0,0,0,0,0,0,0,0,7.86,0,2.4,0,0,4.03,5.75,0,0
2017-02-01,0,0,7.08,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,4.59,0,0,0,0,4.76,0,2.31,0,0,0,0,0,0,0,4.36,0,2.4,0,6.29,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,1.96,0,1.74,0,0,8.66,0,0,0,0,0,4.92,0,0,3.6,0,0,0,0,0,0,0,0,0,7.86,0,2.4,0,0,4.03,5.75,0,0
2017-03-01,0,0,7.08,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,4.59,0,0,0,0,4.76,0,2.31,0,0,0,0,0,0,0,4.36,0,2.4,0,6.29,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,1.96,0,1.74,0,0,8.66,0,0,0,0,0,4.92,0,0,3.6,0,0,0,0,0,0,0,0,0,7.86,0,2.4,0,0,4.03,5.75,0,0
2017-04-01,0,0,2.31,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,7.13,3.44,4,0,6.68,2.21,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,2.64,0,0,4.05,0,0,4.02,0,0,0,0,0,0,5.5,0,0,8.31,0,0,0,0,2.75,4.47,0,0
2017-05-01,0,0,2.31,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,7.13,3.44,4,0,6.68,2.21,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,2.64,0,0,4.05,0,0,4.02,0,0,0,0,0,0,5.5,0,0,8.31,0,0,0,0,2.75,4.47,0,0
2017-06-01,0,0,2.31,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,7.13,3.44,4,0,6.68,2.21,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,2.64,0,0,4.05,0,0,4.02,0,0,0,0,0,0,5.5,0,0,8.31,0,0,0,0,2.75,4.47,0,0
2017-07-01,0,0,2.78,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,4.36,0,7.13,0,0,0,0,0,5.33,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,3.32,0,0,2.93,0,0,3.08,0,0,3.83,0,0,0,0,3.74,0,2.34,0,0,8.25,0,0,0,4.46,0,4.7,0,0
2017-08-01,0,0,2.78,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,4.36,0,7.13,0,0,0,0,0,5.33,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,3.32,0,0,2.93,0,0,3.08,0,0,3.83,0,0,0,0,3.74,0,2.34,0,0,8.25,0,0,0,4.46,0,4.7,0,0
2017-09-01,0,0,2.78,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,4.36,0,7.13,0,0,0,0,0,5.33,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,3.32,0,0,2.93,0,0,3.08,0,0,3.83,0,0,0,0,3.74,0,2.34,0,0,8.25,0,0,0,4.46,0,4.7,0,0
2017-10-01,0,0,4.85,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,4.36,0,6.5,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,3.26,0,0,0,0,1.9,0,3.86,0,2.68,7.79,0,0,0,5.2,0,3.33,0,1.85
2017-11-01,0,0,4.85,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,4.36,0,6.5,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,3.26,0,0,0,0,1.9,0,3.86,0,2.68,7.79,0,0,0,5.2,0,3.33,0,1.85
2017-12-01,0,0,4.85,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,4.36,0,6.5,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,3.26,0,0,0,0,1.9,0,3.86,0,2.68,7.79,0,0,0,5.2,0,3.33,0,1.85
2018-01-01,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,4.67,0,6.34,0,0,0,0,0,6.11,0,0,0,0,4.01,0,0,0,0,0,2.35,0,0,0,0,3.17,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.3,1.04,0,0,0,0,0,1.05,0,2.83,5.88,0,0,0,4.15,0,3.53,0,0
