"Date","AA","ABH","ABT","AGX","ALR","ALTR","AZN","BB","BCE","BNS","BRK","BRO","C","CBI","CRESY","CSX","CTB","CTL","DELL","DRC","DSSI","DXM","EROS","FIT","FLR","FTR","GCI","GE","GM","GSK","HP","IBM","IBN","ICO","INTC","IPI","JEC","JEF","JNJ","KG","KLIC","KW","LRN","MCFT","MDLZ","MGA","MHK","MMI","MON","MU","MYRG","NEU","NTES","NWPX","NXY","NYCB","NYT","ORI","OSTK","PFE","PGH","PGR","PKX","RAIL","RE","RFP","RPXC","RYAAY","RYAM","SBNY","SD","SLCA","SPMD","STEI","TRQ","TSM","USB","VRUS","WFC","WMT"
2009-02-01,1.53,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,2.59,0,2.39,0,0,0,0,0,1.36,2.43,0,0,0,8.38,1.36,0,0,0,0,5.13,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0.72,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,6.6,0
2009-03-01,1.53,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,2.59,0,2.39,0,0,0,0,0,1.36,2.43,0,0,0,8.38,1.36,0,0,0,0,5.13,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0.72,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,6.6,0
2009-04-01,1.8,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,2.13,0,4.11,0,0,0,0,0,2,2.21,0,0,0.4,7.49,1.53,0,0,0,0,4.84,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,5.46,0,9.32,0
2009-05-01,1.8,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,2.13,0,4.11,0,0,0,0,0,2,2.21,0,0,0.4,7.49,1.53,0,0,0,0,4.84,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,5.46,0,9.32,0
2009-06-01,1.8,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,2.13,0,4.11,0,0,0,0,0,2,2.21,0,0,0.4,7.49,1.53,0,0,0,0,4.84,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,5.46,0,9.32,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,7.99,0,0,0,0,0,0,1.77,0.29,6.58,0,0,0,0,0,2.22,1.69,0,0,0,6.32,0,0,0,0,0,3.94,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,5.23,0,8.49,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,7.99,0,0,0,0,0,0,1.77,0.29,6.58,0,0,0,0,0,2.22,1.69,0,0,0,6.32,0,0,0,0,0,3.94,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,5.23,0,8.49,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,7.99,0,0,0,0,0,0,1.77,0.29,6.58,0,0,0,0,0,2.22,1.69,0,0,0,6.32,0,0,0,0,0,3.94,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,5.23,0,8.49,0
2009-10-01,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.81,0,0,0,13.56,0,0,0,0,0,0,3.95,0,10.95,0,0,0,0,0,4.73,0,0,0,0.26,12.05,0,0,0,0,0,7.36,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0.57,0,0,9.7,0,14.69,0.32
2009-11-01,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.81,0,0,0,13.56,0,0,0,0,0,0,3.95,0,10.95,0,0,0,0,0,4.73,0,0,0,0.26,12.05,0,0,0,0,0,7.36,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0.57,0,0,9.7,0,14.69,0.32
2009-12-01,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.81,0,0,0,13.56,0,0,0,0,0,0,3.95,0,10.95,0,0,0,0,0,4.73,0,0,0,0.26,12.05,0,0,0,0,0,7.36,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0.57,0,0,9.7,0,14.69,0.32
2010-01-01,0,0,0,0,0,0,0,0,0.24,0,0,0,1.5,0,0.89,0,0,0,10.7,0,0,0,0,0,0,4.27,0,9.75,0,0,0,0,0,6.36,0,0,0,0,13.84,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0.46,0.79,0,0,9.01,0,13.49,0.38
2010-02-01,0,0,0,0,0,0,0,0,0.24,0,0,0,1.5,0,0.89,0,0,0,10.7,0,0,0,0,0,0,4.27,0,9.75,0,0,0,0,0,6.36,0,0,0,0,13.84,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0.46,0.79,0,0,9.01,0,13.49,0.38
2010-03-01,0,0,0,0,0,0,0,0,0.24,0,0,0,1.5,0,0.89,0,0,0,10.7,0,0,0,0,0,0,4.27,0,9.75,0,0,0,0,0,6.36,0,0,0,0,13.84,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0.46,0.79,0,0,9.01,0,13.49,0.38
2010-04-01,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,1.08,0,0,0,11.72,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,7.39,0.47,0,0,0,17.33,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0.2,0,0,0.22,0,0,0.98,0,0.28,0.94,0,0,10.77,0,15.33,0.45
2010-05-01,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,1.08,0,0,0,11.72,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,7.39,0.47,0,0,0,17.33,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0.2,0,0,0.22,0,0,0.98,0,0.28,0.94,0,0,10.77,0,15.33,0.45
2010-06-01,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,1.08,0,0,0,11.72,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,7.39,0.47,0,0,0,17.33,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0.2,0,0,0.22,0,0,0.98,0,0.28,0.94,0,0,10.77,0,15.33,0.45
2010-07-01,0,0,0,0,0,0,0,5.08,0.45,0,0,0,0,0,1.66,0,0,0,14.72,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,11.94,0,0,0,0,21.23,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0.21,0,0,0,0,0,0,0,0.3,0,0,1.11,0,0.19,1.09,0,0,4.79,0,5.68,0.59
2010-08-01,0,0,0,0,0,0,0,5.08,0.45,0,0,0,0,0,1.66,0,0,0,14.72,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,11.94,0,0,0,0,21.23,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0.21,0,0,0,0,0,0,0,0.3,0,0,1.11,0,0.19,1.09,0,0,4.79,0,5.68,0.59
2010-09-01,0,0,0,0,0,0,0,5.08,0.45,0,0,0,0,0,1.66,0,0,0,14.72,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,11.94,0,0,0,0,21.23,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0.21,0,0,0,0,0,0,0,0.3,0,0,1.11,0,0.19,1.09,0,0,4.79,0,5.68,0.59
2010-10-01,0,12.35,0,0,0,0,0,4.74,0.38,0,0,0,0,0,0.79,0,0,0,12.11,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,6.89,0,0,0,0,16.78,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.24,0,0,6.13,0,0,1.08,0,0,4.73,0,5.51,0.47
2010-11-01,0,12.35,0,0,0,0,0,4.74,0.38,0,0,0,0,0,0.79,0,0,0,12.11,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,6.89,0,0,0,0,16.78,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.24,0,0,6.13,0,0,1.08,0,0,4.73,0,5.51,0.47
2010-12-01,0,12.35,0,0,0,0,0,4.74,0.38,0,0,0,0,0,0.79,0,0,0,12.11,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,6.89,0,0,0,0,16.78,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.24,0,0,6.13,0,0,1.08,0,0,4.73,0,5.51,0.47
2011-01-01,0,16.38,0,0,0,0,0,4.18,0.35,0,0,0,0,0,0.58,0,0,0,11.8,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,9.14,0,0,0,0,11.01,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.19,0,0,9.77,0,0,0.31,0,0,4.21,0,5.13,0.41
2011-02-01,0,16.38,0,0,0,0,0,4.18,0.35,0,0,0,0,0,0.58,0,0,0,11.8,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,9.14,0,0,0,0,11.01,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.19,0,0,9.77,0,0,0.31,0,0,4.21,0,5.13,0.41
2011-03-01,0,16.38,0,0,0,0,0,4.18,0.35,0,0,0,0,0,0.58,0,0,0,11.8,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,9.14,0,0,0,0,11.01,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.19,0,0,9.77,0,0,0.31,0,0,4.21,0,5.13,0.41
2011-04-01,0,13.06,0,0,0,0,0,8.88,0.39,0,0,0,0,0,0.53,0,0,0,13.93,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0.44,0,0,0,12.68,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.18,0,0,0,0,0,0,0,0.21,0,0,8.35,0,0,0,0,0,4.18,0,4.66,0.43
2011-05-01,0,13.06,0,0,0,0,0,8.88,0.39,0,0,0,0,0,0.53,0,0,0,13.93,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0.44,0,0,0,12.68,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.18,0,0,0,0,0,0,0,0.21,0,0,8.35,0,0,0,0,0,4.18,0,4.66,0.43
2011-06-01,0,13.06,0,0,0,0,0,8.88,0.39,0,0,0,0,0,0.53,0,0,0,13.93,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0.44,0,0,0,12.68,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.18,0,0,0,0,0,0,0,0.21,0,0,8.35,0,0,0,0,0,4.18,0,4.66,0.43
2011-07-01,0,13.45,0,0,0,0,0,12.29,0.52,0,0,0,0,0,0.49,0,0,0,16.45,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0.22,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,1.61,0.21,0,0,0,0,0,0,0,0.26,0,0,1.24,0,0,0,0,0,5.36,0,5.58,0.58
2011-08-01,0,13.45,0,0,0,0,0,12.29,0.52,0,0,0,0,0,0.49,0,0,0,16.45,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0.22,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,1.61,0.21,0,0,0,0,0,0,0,0.26,0,0,1.24,0,0,0,0,0,5.36,0,5.58,0.58
2011-09-01,0,13.45,0,0,0,0,0,12.29,0.52,0,0,0,0,0,0.49,0,0,0,16.45,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0.22,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,1.61,0.21,0,0,0,0,0,0,0,0.26,0,0,1.24,0,0,0,0,0,5.36,0,5.58,0.58
2011-10-01,0,14.61,0,0,0,0,0,10.64,0.64,0,0,0,0,0,0.58,0,0,0,7.68,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.29,0,0,0,0,0,0,0,0.31,0,0,2.03,0,0,0,0,0,6.91,0.11,7.14,0.75
2011-11-01,0,14.61,0,0,0,0,0,10.64,0.64,0,0,0,0,0,0.58,0,0,0,7.68,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.29,0,0,0,0,0,0,0,0.31,0,0,2.03,0,0,0,0,0,6.91,0.11,7.14,0.75
2011-12-01,0,14.61,0,0,0,0,0,10.64,0.64,0,0,0,0,0,0.58,0,0,0,7.68,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.29,0,0,0,0,0,0,0,0.31,0,0,2.03,0,0,0,0,0,6.91,0.11,7.14,0.75
2012-01-01,0,11.89,0,0,0,0,0,18.72,0.51,0,0,0,0,0,0.49,0,0,0,7.07,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,18.63,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.25,0,0,0,0,0,0,0,0.33,0,0,1.62,0,0,0,0,0,6.69,0,4.79,0.64
2012-02-01,0,11.89,0,0,0,0,0,18.72,0.51,0,0,0,0,0,0.49,0,0,0,7.07,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,18.63,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.25,0,0,0,0,0,0,0,0.33,0,0,1.62,0,0,0,0,0,6.69,0,4.79,0.64
2012-03-01,0,11.89,0,0,0,0,0,18.72,0.51,0,0,0,0,0,0.49,0,0,0,7.07,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,18.63,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.25,0,0,0,0,0,0,0,0.33,0,0,1.62,0,0,0,0,0,6.69,0,4.79,0.64
2012-04-01,0,0,0,0,0,0,0,10.97,0.61,0,0,0,0,0,0.29,0,0,0,6.23,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,22.26,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,0,0,0,0,11.84,0,0.32,0,0,1.61,0,0,0,0,0,7.92,0,5.48,0.85
2012-05-01,0,0,0,0,0,0,0,10.97,0.61,0,0,0,0,0,0.29,0,0,0,6.23,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,22.26,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,0,0,0,0,11.84,0,0.32,0,0,1.61,0,0,0,0,0,7.92,0,5.48,0.85
2012-06-01,0,0,0,0,0,0,0,10.97,0.61,0,0,0,0,0,0.29,0,0,0,6.23,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,22.26,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,0,0,0,0,11.84,0,0.32,0,0,1.61,0,0,0,0,0,7.92,0,5.48,0.85
2012-07-01,0,0,0,0,0,0,0,20.89,0.63,0,0,0,0,0,0.32,0,0,0,4.73,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1.87,0.31,0,0,0,0,0,13.18,0,0.33,0,0,1.62,0,0,0,0,0,5.71,0,3.25,0.87
2012-08-01,0,0,0,0,0,0,0,20.89,0.63,0,0,0,0,0,0.32,0,0,0,4.73,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1.87,0.31,0,0,0,0,0,13.18,0,0.33,0,0,1.62,0,0,0,0,0,5.71,0,3.25,0.87
2012-09-01,0,0,0,0,0,0,0,20.89,0.63,0,0,0,0,0,0.32,0,0,0,4.73,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1.87,0.31,0,0,0,0,0,13.18,0,0.33,0,0,1.62,0,0,0,0,0,5.71,0,3.25,0.87
2012-10-01,0,0,0,0,0,0,0,25.54,0.48,0,0,0,0,0,0.25,0,0,0,3.78,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,2.01,0.24,0,0,0,0,0,13.61,0,0.27,0,0,8.55,0,0,0,0,0,4.12,0,2.48,0.62
2012-11-01,0,0,0,0,0,0,0,25.54,0.48,0,0,0,0,0,0.25,0,0,0,3.78,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,2.01,0.24,0,0,0,0,0,13.61,0,0.27,0,0,8.55,0,0,0,0,0,4.12,0,2.48,0.62
2012-12-01,0,0,0,0,0,0,0,25.54,0.48,0,0,0,0,0,0.25,0,0,0,3.78,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,2.01,0.24,0,0,0,0,0,13.61,0,0.27,0,0,8.55,0,0,0,0,0,4.12,0,2.48,0.62
2013-01-01,0,0,0,0,0,0,0,29.04,0.49,0,0,0,0,0,0.26,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0.26,0,0,0,0,0,15.55,0,0.31,0,0,6.62,0,0.05,0,0,0,3.83,0,1.9,0.64
2013-02-01,0,0,0,0,0,0,0,29.04,0.49,0,0,0,0,0,0.26,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0.26,0,0,0,0,0,15.55,0,0.31,0,0,6.62,0,0.05,0,0,0,3.83,0,1.9,0.64
2013-03-01,0,0,0,0,0,0,0,29.04,0.49,0,0,0,0,0,0.26,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0.26,0,0,0,0,0,15.55,0,0.31,0,0,6.62,0,0.05,0,0,0,3.83,0,1.9,0.64
2013-04-01,0,0,0,0,0,0,0,22.71,0.46,0,0,0,0.04,0,0.23,0,0,0,5.01,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0.28,0,0,0,0,0,15.98,0,0.41,0,0,6.47,0,0,0,0,0,4.41,0,2.29,0.69
2013-05-01,0,0,0,0,0,0,0,22.71,0.46,0,0,0,0.04,0,0.23,0,0,0,5.01,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0.28,0,0,0,0,0,15.98,0,0.41,0,0,6.47,0,0,0,0,0,4.41,0,2.29,0.69
2013-06-01,0,0,0,0,0,0,0,22.71,0.46,0,0,0,0.04,0,0.23,0,0,0,5.01,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0.28,0,0,0,0,0,15.98,0,0.41,0,0,6.47,0,0,0,0,0,4.41,0,2.29,0.69
2013-07-01,0,0,0,0,0,0,0,27.54,0.77,0,0.23,0,0,0,0.42,0,0.14,0,0.48,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0.5,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0.45,0,0,0,0,0,25.73,0,0,0,0,12.75,0,0,0,0,0,0.07,0,0.19,0
2013-08-01,0,0,0,0,0,0,0,27.54,0.77,0,0.23,0,0,0,0.42,0,0.14,0,0.48,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0.5,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0.45,0,0,0,0,0,25.73,0,0,0,0,12.75,0,0,0,0,0,0.07,0,0.19,0
2013-09-01,0,0,0,0,0,0,0,27.54,0.77,0,0.23,0,0,0,0.42,0,0.14,0,0.48,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0.5,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0.45,0,0,0,0,0,25.73,0,0,0,0,12.75,0,0,0,0,0,0.07,0,0.19,0
2013-10-01,0,0,0,0,0,0,0,29.81,0.9,0,0.27,0,0.08,0,0.56,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.69,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,7.58,0.56,0,0,0,0,0,35.95,0,0,0,0,15.21,0,0,0,0,0,0.09,0,0.24,0
