"Date","ABR","ACT","ADBE","AER","AGN","AIG","AMCX","APL","ASH","ASPS","ATLS","BKNG","BLL","BSX","C","CCL","CI","CIM","COF","CVS","CZR","DD","DISH","DOW","DVMT","EBAY","EMN","ESRX","ET","ETE","ETFC","ETP","FANG","FB","FISV","FNF","FOXA","GCI","GLPI","GM","GOOGL","HAL","HCA","HES","HUM","KAR","KEA","KMI","LORL","LYB","MCK","MET","MGM","MMR","MPC","MSFT","MSI","MXL","NAVI","NBR","NLSN","NRG","NRZ","NYX","OCN","OMF","PE","PFE","PFSI","PVH","PYPL","QCOM","RIG","RLGY","S","SBGI","SD","SHPG","SIRI","SLM","SNR","SYF","TMO","TRGP","TRN","TRWH","UAL","UNH","VVV","WBA","WPX","XL"
2013-11-01,0,0,0,0,0,4.23,0,0,0,2.08,2.24,0,0,0,2.9,0,0,2.73,1.75,0,0,0,3.23,0,0,0,2.37,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,1.85,0,2.16,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,2.02,0,6.19,0,3.49,0,3.89,3.95,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,4.23,0,0,0,2.08,2.24,0,0,0,2.9,0,0,2.73,1.75,0,0,0,3.23,0,0,0,2.37,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,1.85,0,2.16,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,2.02,0,6.19,0,3.49,0,3.89,3.95,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,3.8,0,0,0,0,2.2,0,0,0,3.38,0,0,2.68,0,0,1.8,0,2.57,0,0,2.13,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.81,0,0,0,0,0,0,2,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,5.27,0,3.89,0,3.65,3.43,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,3.8,0,0,0,0,2.2,0,0,0,3.38,0,0,2.68,0,0,1.8,0,2.57,0,0,2.13,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.81,0,0,0,0,0,0,2,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,5.27,0,3.89,0,3.65,3.43,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,3.8,0,0,0,0,2.2,0,0,0,3.38,0,0,2.68,0,0,1.8,0,2.57,0,0,2.13,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.81,0,0,0,0,0,0,2,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,5.27,0,3.89,0,3.65,3.43,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,1.83,0,0,0,3.92,0,0,0,1.86,2.43,0,0,0,3.31,0,0,2.76,0,0,0,0,2.73,0,0,2.11,1.86,0,0,0,1.94,0,0,0,0,0,0,0,2.09,0,0,2.08,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,4.42,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,1.83,0,0,0,3.92,0,0,0,1.86,2.43,0,0,0,3.31,0,0,2.76,0,0,0,0,2.73,0,0,2.11,1.86,0,0,0,1.94,0,0,0,0,0,0,0,2.09,0,0,2.08,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,4.42,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,1.83,0,0,0,3.92,0,0,0,1.86,2.43,0,0,0,3.31,0,0,2.76,0,0,0,0,2.73,0,0,2.11,1.86,0,0,0,1.94,0,0,0,0,0,0,0,2.09,0,0,2.08,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,4.42,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,2.51,0,2.25,0,4.18,0,0,0,1.9,2.65,0,0,0,3.94,0,0,2.89,0,0,0,0,2.83,0,0,2.63,1.9,0,0,0,2.29,0,0,0,0,0,0,0,2.13,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,2.87,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,2.51,0,2.25,0,4.18,0,0,0,1.9,2.65,0,0,0,3.94,0,0,2.89,0,0,0,0,2.83,0,0,2.63,1.9,0,0,0,2.29,0,0,0,0,0,0,0,2.13,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,2.87,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,0,2.51,0,2.25,0,4.18,0,0,0,1.9,2.65,0,0,0,3.94,0,0,2.89,0,0,0,0,2.83,0,0,2.63,1.9,0,0,0,2.29,0,0,0,0,0,0,0,2.13,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,2.87,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,0,4.05,0,2.53,0,3.75,0,0,0,0,3.03,0,0,0,3.83,0,0,2.64,0,0,2.04,0,2.69,0,0,3.3,2.06,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,2.48,0,0,0,0,0,2.77,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,3.29,0,0,0,0,0
2014-11-01,0,4.05,0,2.53,0,3.75,0,0,0,0,3.03,0,0,0,3.83,0,0,2.64,0,0,2.04,0,2.69,0,0,3.3,2.06,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,2.48,0,0,0,0,0,2.77,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,3.29,0,0,0,0,0
2014-12-01,0,4.05,0,2.53,0,3.75,0,0,0,0,3.03,0,0,0,3.83,0,0,2.64,0,0,2.04,0,2.69,0,0,3.3,2.06,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,2.48,0,0,0,0,0,2.77,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,3.29,0,0,0,0,0
2015-01-01,0,4.53,0,2.87,0,3.46,0,0,0,0,0,0,0,0,3.61,0,0,3.08,0,0,0,0,2.47,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,2.08,0,0,2.58,0,0,0,0,0,2.94,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.48,0,0,0,0,3.06,0,0,3.11,0,0,0,0,0
2015-02-01,0,4.53,0,2.87,0,3.46,0,0,0,0,0,0,0,0,3.61,0,0,3.08,0,0,0,0,2.47,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,2.08,0,0,2.58,0,0,0,0,0,2.94,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.48,0,0,0,0,3.06,0,0,3.11,0,0,0,0,0
2015-03-01,0,4.53,0,2.87,0,3.46,0,0,0,0,0,0,0,0,3.61,0,0,3.08,0,0,0,0,2.47,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,2.08,0,0,2.58,0,0,0,0,0,2.94,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.48,0,0,0,0,3.06,0,0,3.11,0,0,0,0,0
2015-04-01,0,0,0,4.27,4.51,3.39,0,0,2.13,0,0,0,0,0,3.81,0,0,3.12,0,0,0,0,2.36,0,0,0,0,0,0,0,2,0,0,0,0,0,2.15,0,0,1.97,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,2.45,0,2.27,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,2.54,0,0,2.4,0,0,0,0,0
2015-05-01,0,0,0,4.27,4.51,3.39,0,0,2.13,0,0,0,0,0,3.81,0,0,3.12,0,0,0,0,2.36,0,0,0,0,0,0,0,2,0,0,0,0,0,2.15,0,0,1.97,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,2.45,0,2.27,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,2.54,0,0,2.4,0,0,0,0,0
2015-06-01,0,0,0,4.27,4.51,3.39,0,0,2.13,0,0,0,0,0,3.81,0,0,3.12,0,0,0,0,2.36,0,0,0,0,0,0,0,2,0,0,0,0,0,2.15,0,0,1.97,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,2.45,0,2.27,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,2.54,0,0,2.4,0,0,0,0,0
2015-07-01,0,0,0,4.34,4.46,3.86,0,0,3.28,0,0,2.87,0,0,3.04,0,0,3.8,0,0,0,0,2.31,2.34,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,2.42,0,0,0,0,0,0,2.3,0,3.06,0,0,0,0,0,2.06,0,0,0,0,3.17,0,0,0,0,0,0,0,2.98,0,0,0,0,0
2015-08-01,0,0,0,4.34,4.46,3.86,0,0,3.28,0,0,2.87,0,0,3.04,0,0,3.8,0,0,0,0,2.31,2.34,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,2.42,0,0,0,0,0,0,2.3,0,3.06,0,0,0,0,0,2.06,0,0,0,0,3.17,0,0,0,0,0,0,0,2.98,0,0,0,0,0
2015-09-01,0,0,0,4.34,4.46,3.86,0,0,3.28,0,0,2.87,0,0,3.04,0,0,3.8,0,0,0,0,2.31,2.34,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,2.42,0,0,0,0,0,0,2.3,0,3.06,0,0,0,0,0,2.06,0,0,0,0,3.17,0,0,0,0,0,0,0,2.98,0,0,0,0,0
2015-10-01,0,0,0,5.33,5.39,5.6,0,0,3.45,0,0,0,0,0,3.41,0,0,4.03,0,0,0,0,2.28,2.99,0,0,0,0,0,0,2.21,0,0,2.28,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,3.83,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,2.32,0,0,0,0,2.89,0,0,0,0,0,0,0,3.25,0,0,0,0,0
2015-11-01,0,0,0,5.33,5.39,5.6,0,0,3.45,0,0,0,0,0,3.41,0,0,4.03,0,0,0,0,2.28,2.99,0,0,0,0,0,0,2.21,0,0,2.28,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,3.83,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,2.32,0,0,0,0,2.89,0,0,0,0,0,0,0,3.25,0,0,0,0,0
2015-12-01,0,0,0,5.33,5.39,5.6,0,0,3.45,0,0,0,0,0,3.41,0,0,4.03,0,0,0,0,2.28,2.99,0,0,0,0,0,0,2.21,0,0,2.28,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,3.83,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,2.32,0,0,0,0,2.89,0,0,0,0,0,0,0,3.25,0,0,0,0,0
2016-01-01,0,0,0,5.1,4.04,5.1,0,0,3.54,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,2.8,0,4.53,0,0,0,2.05,0,0,2.33,0,0,0,0,0,0,0,2.17,0,0,0,0,2.24,0,0,0,0,2.18,0,0,3.18,0,0,2.57,0,0
2016-02-01,0,0,0,5.1,4.04,5.1,0,0,3.54,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,2.8,0,4.53,0,0,0,2.05,0,0,2.33,0,0,0,0,0,0,0,2.17,0,0,0,0,2.24,0,0,0,0,2.18,0,0,3.18,0,0,2.57,0,0
2016-03-01,0,0,0,5.1,4.04,5.1,0,0,3.54,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,2.8,0,4.53,0,0,0,2.05,0,0,2.33,0,0,0,0,0,0,0,2.17,0,0,0,0,2.24,0,0,0,0,2.18,0,0,3.18,0,0,2.57,0,0
2016-04-01,0,0,0,4.4,4.39,4.34,0,0,2.68,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,2.8,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,2.36,0,4.67,0,0,0,2.1,0,0,2.08,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1.98,0,2.88,0,0
2016-05-01,0,0,0,4.4,4.39,4.34,0,0,2.68,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,2.8,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,2.36,0,4.67,0,0,0,2.1,0,0,2.08,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1.98,0,2.88,0,0
2016-06-01,0,0,0,4.4,4.39,4.34,0,0,2.68,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,2.8,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,2.36,0,4.67,0,0,0,2.1,0,0,2.08,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1.98,0,2.88,0,0
2016-07-01,0,0,0,4.82,3.85,4.39,0,0,2.4,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.92,0,0,0,1.81,0,0,1.87,2.42,0,5.05,0,0,0,0,0,0,2.97,0,0,0,2.93,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,3.33,0,0,2.7,0,0
2016-08-01,0,0,0,4.82,3.85,4.39,0,0,2.4,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.92,0,0,0,1.81,0,0,1.87,2.42,0,5.05,0,0,0,0,0,0,2.97,0,0,0,2.93,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,3.33,0,0,2.7,0,0
2016-09-01,0,0,0,4.82,3.85,4.39,0,0,2.4,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.92,0,0,0,1.81,0,0,1.87,2.42,0,5.05,0,0,0,0,0,0,2.97,0,0,0,2.93,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,3.33,0,0,2.7,0,0
2016-10-01,0,0,0,4.16,3.37,4.06,0,0,2.61,2.12,0,0,2.18,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,2.57,0,0,0,0,2.19,0,0,0,0,0,0,2.2,0,0,2.72,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,5.65,0,0,3.41,0,0
2016-11-01,0,0,0,4.16,3.37,4.06,0,0,2.61,2.12,0,0,2.18,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,2.57,0,0,0,0,2.19,0,0,0,0,0,0,2.2,0,0,2.72,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,5.65,0,0,3.41,0,0
2016-12-01,0,0,0,4.16,3.37,4.06,0,0,2.61,2.12,0,0,2.18,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,2.57,0,0,0,0,2.19,0,0,0,0,0,0,2.2,0,0,2.72,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,5.65,0,0,3.41,0,0
2017-01-01,0,0,0,3.98,2.85,4.07,1.98,0,2.71,2.45,0,0,0,0,0,0,0,0,0,0,0,0,2.83,3.5,0,0,0,0,0,0,0,2.03,0,0,0,2.13,0,0,0,0,5.45,0,0,2.27,0,0,0,0,1.93,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,4.74,0,0,2.78,0,0
2017-02-01,0,0,0,3.98,2.85,4.07,1.98,0,2.71,2.45,0,0,0,0,0,0,0,0,0,0,0,0,2.83,3.5,0,0,0,0,0,0,0,2.03,0,0,0,2.13,0,0,0,0,5.45,0,0,2.27,0,0,0,0,1.93,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,4.74,0,0,2.78,0,0
2017-03-01,0,0,0,3.98,2.85,4.07,1.98,0,2.71,2.45,0,0,0,0,0,0,0,0,0,0,0,0,2.83,3.5,0,0,0,0,0,0,0,2.03,0,0,0,2.13,0,0,0,0,5.45,0,0,2.27,0,0,0,0,1.93,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,4.74,0,0,2.78,0,0
2017-04-01,0,0,0,4.17,2.99,3.93,1.97,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,2.89,3.6,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,6.16,0,0,0,0,0,0,0,2.1,0,0,0,2.32,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2,0,0,0,0,1.94,0,3.45,0,0,0,0,0,0,0,0,5.21,0,1.94,0,0,0
2017-05-01,0,0,0,4.17,2.99,3.93,1.97,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,2.89,3.6,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,6.16,0,0,0,0,0,0,0,2.1,0,0,0,2.32,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2,0,0,0,0,1.94,0,3.45,0,0,0,0,0,0,0,0,5.21,0,1.94,0,0,0
2017-06-01,0,0,0,4.17,2.99,3.93,1.97,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,2.89,3.6,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,6.16,0,0,0,0,0,0,0,2.1,0,0,0,2.32,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2,0,0,0,0,1.94,0,3.45,0,0,0,0,0,0,0,0,5.21,0,1.94,0,0,0
2017-07-01,0,0,0,4.29,0,2.43,3.09,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,3.7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,6.17,0,0,1.8,0,0,0,0,2.34,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,2.23,0,0,0,0,1.78,0,3.91,0,0,0,0,0,0,0,0,4.22,0,2.04,0,2.09,0
2017-08-01,0,0,0,4.29,0,2.43,3.09,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,3.7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,6.17,0,0,1.8,0,0,0,0,2.34,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,2.23,0,0,0,0,1.78,0,3.91,0,0,0,0,0,0,0,0,4.22,0,2.04,0,2.09,0
2017-09-01,0,0,0,4.29,0,2.43,3.09,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,3.7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,6.17,0,0,1.8,0,0,0,0,2.34,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,2.23,0,0,0,0,1.78,0,3.91,0,0,0,0,0,0,0,0,4.22,0,2.04,0,2.09,0
2017-10-01,0,0,0,3.08,0,0,5.92,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,3.47,2.01,0,1.96,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,6.49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.63,0,1.87,0,0,0,0,0,0,0,0,1.97,0,0,2.25,0,0,0,0,0,2.38,0,5.77,0,0,0,0,0,0,1.84,0,5.74,0,2.11,0,2.44,0
