"Date","AGO","ASTE","BB","BMY","BP","C","GNE","GSK","HOLX","IDT","IDWM","MBI","MRK","NAVI","NTP","NVS","NYCB","NYT","ORI","PFE","PTEN","RFL","SEB","SLM","STL","STRP","TPHS","VOXX"
2015-05-01,0,0,4.56,0,6.15,10.5,0.75,0,8.73,1.49,0,3.51,9.76,1.03,2.37,0,9.48,9.08,2.94,10.03,3.24,0,5.32,0,2.63,1.33,1.55,2.14
2015-06-01,0,0,4.56,0,6.15,10.5,0.75,0,8.73,1.49,0,3.51,9.76,1.03,2.37,0,9.48,9.08,2.94,10.03,3.24,0,5.32,0,2.63,1.33,1.55,2.14
2015-07-01,0,0,4.1,0,5.8,10.32,0.64,0,9.72,1.28,0.57,5.05,9.2,0,4.08,0,9.26,8.6,2.45,9.72,2.65,0,4.99,0,2.91,1.76,1.35,2.22
2015-08-01,0,0,4.1,0,5.8,10.32,0.64,0,9.72,1.28,0.57,5.05,9.2,0,4.08,0,9.26,8.6,2.45,9.72,2.65,0,4.99,0,2.91,1.76,1.35,2.22
2015-09-01,0,0,4.1,0,5.8,10.32,0.64,0,9.72,1.28,0.57,5.05,9.2,0,4.08,0,9.26,8.6,2.45,9.72,2.65,0,4.99,0,2.91,1.76,1.35,2.22
2015-10-01,0,0,6.3,0,6.09,10.39,0.87,0.61,9.33,1.05,0,5.11,9.54,0,3.77,0,8.03,9.42,2.69,9.05,2.88,0,4.92,0,2.97,0.75,1.17,1.72
2015-11-01,0,0,6.3,0,6.09,10.39,0.87,0.61,9.33,1.05,0,5.11,9.54,0,3.77,0,8.03,9.42,2.69,9.05,2.88,0,4.92,0,2.97,0.75,1.17,1.72
2015-12-01,0,0,6.3,0,6.09,10.39,0.87,0.61,9.33,1.05,0,5.11,9.54,0,3.77,0,8.03,9.42,2.69,9.05,2.88,0,4.92,0,2.97,0.75,1.17,1.72
2016-01-01,0,0,6.05,0,7.09,8.9,0.62,1,8.57,1.46,0,7.28,9.77,0,4.18,0,8.08,9.07,0.75,8.01,3.52,0,5.32,0,3.03,1.41,1.38,1.55
2016-02-01,0,0,6.05,0,7.09,8.9,0.62,1,8.57,1.46,0,7.28,9.77,0,4.18,0,8.08,9.07,0.75,8.01,3.52,0,5.32,0,3.03,1.41,1.38,1.55
2016-03-01,0,0,6.05,0,7.09,8.9,0.62,1,8.57,1.46,0,7.28,9.77,0,4.18,0,8.08,9.07,0.75,8.01,3.52,0,5.32,0,3.03,1.41,1.38,1.55
2016-04-01,0,0,5.22,0,8.62,8.98,0.54,3.19,8.55,1.3,0.54,5.76,10.76,0,3.42,0,7.41,8.81,0,7.89,4.34,0,4.84,0,3.09,1.22,1.58,0.94
2016-05-01,0,0,5.22,0,8.62,8.98,0.54,3.19,8.55,1.3,0.54,5.76,10.76,0,3.42,0,7.41,8.81,0,7.89,4.34,0,4.84,0,3.09,1.22,1.58,0.94
2016-06-01,0,0,5.22,0,8.62,8.98,0.54,3.19,8.55,1.3,0.54,5.76,10.76,0,3.42,0,7.41,8.81,0,7.89,4.34,0,4.84,0,3.09,1.22,1.58,0.94
2016-07-01,0,0,6.28,0,8.31,9.4,0,4.96,8.68,1.46,0.6,6.13,10.83,0.49,4.67,0,5.82,8.09,0,5.64,4.23,0,4.87,0,3.21,0.99,1.88,0.94
2016-08-01,0,0,6.28,0,8.31,9.4,0,4.96,8.68,1.46,0.6,6.13,10.83,0.49,4.67,0,5.82,8.09,0,5.64,4.23,0,4.87,0,3.21,0.99,1.88,0.94
2016-09-01,0,0,6.28,0,8.31,9.4,0,4.96,8.68,1.46,0.6,6.13,10.83,0.49,4.67,0,5.82,8.09,0,5.64,4.23,0,4.87,0,3.21,0.99,1.88,0.94
2016-10-01,0,0,5.07,0,8.27,10.93,0,5.42,8.11,1.45,0.66,7.89,9.47,0.51,2.4,0,6,8.38,0,4.72,4.46,0,5.59,0,4,1.22,1.66,1.39
2016-11-01,0,0,5.07,0,8.27,10.93,0,5.42,8.11,1.45,0.66,7.89,9.47,0.51,2.4,0,6,8.38,0,4.72,4.46,0,5.59,0,4,1.22,1.66,1.39
2016-12-01,0,0,5.07,0,8.27,10.93,0,5.42,8.11,1.45,0.66,7.89,9.47,0.51,2.4,0,6,8.38,0,4.72,4.46,0,5.59,0,4,1.22,1.66,1.39
2017-01-01,2.46,0,6.03,0,8.17,11.15,0.5,7.62,6.72,0.89,0.67,6.45,10.27,0,2.27,0,4.88,9.16,0,3.93,3.9,0,5.98,0,3.75,1.32,0,1.58
2017-02-01,2.46,0,6.03,0,8.17,11.15,0.5,7.62,6.72,0.89,0.67,6.45,10.27,0,2.27,0,4.88,9.16,0,3.93,3.9,0,5.98,0,3.75,1.32,0,1.58
2017-03-01,2.46,0,6.03,0,8.17,11.15,0.5,7.62,6.72,0.89,0.67,6.45,10.27,0,2.27,0,4.88,9.16,0,3.93,3.9,0,5.98,0,3.75,1.32,0,1.58
2017-04-01,4.94,0,6.89,0,7.39,10.47,0,6.94,5.53,1.17,0.58,6.45,9.12,0,2.41,0,3.93,9.28,0,2.96,2.84,0,5.04,0,3.26,4.74,1.14,2.89
2017-05-01,4.94,0,6.89,0,7.39,10.47,0,6.94,5.53,1.17,0.58,6.45,9.12,0,2.41,0,3.93,9.28,0,2.96,2.84,0,5.04,0,3.26,4.74,1.14,2.89
2017-06-01,4.94,0,6.89,0,7.39,10.47,0,6.94,5.53,1.17,0.58,6.45,9.12,0,2.41,0,3.93,9.28,0,2.96,2.84,0,5.04,0,3.26,4.74,1.14,2.89
2017-07-01,5.2,0,7.58,0,8.27,11.17,0,6.33,4.1,1.17,0.58,5.76,8.99,0,2.42,0,3.85,9.32,0,3.04,4.12,0,5.43,0,3.47,1.55,1.04,4.77
2017-08-01,5.2,0,7.58,0,8.27,11.17,0,6.33,4.1,1.17,0.58,5.76,8.99,0,2.42,0,3.85,9.32,0,3.04,4.12,0,5.43,0,3.47,1.55,1.04,4.77
2017-09-01,5.2,0,7.58,0,8.27,11.17,0,6.33,4.1,1.17,0.58,5.76,8.99,0,2.42,0,3.85,9.32,0,3.04,4.12,0,5.43,0,3.47,1.55,1.04,4.77
2017-10-01,5.65,0,7.98,0,9.29,11.48,0,6.35,4.64,1.07,0.57,5.28,8.13,0,3.66,0,3.89,8.45,0,3.16,5.03,0,5.43,0,3.45,0.51,1.06,3.24
2017-11-01,5.65,0,7.98,0,9.29,11.48,0,6.35,4.64,1.07,0.57,5.28,8.13,0,3.66,0,3.89,8.45,0,3.16,5.03,0,5.43,0,3.45,0.51,1.06,3.24
2017-12-01,5.65,0,7.98,0,9.29,11.48,0,6.35,4.64,1.07,0.57,5.28,8.13,0,3.66,0,3.89,8.45,0,3.16,5.03,0,5.43,0,3.45,0.51,1.06,3.24
2018-01-01,7.15,0,8.18,0,9.08,10.2,0.32,7.66,3.92,0.64,0.54,6.82,7.85,0,3.61,0,4.57,8.67,0,3.11,3.81,0,5.29,0,3.13,0,1,2.89
2018-02-01,7.15,0,8.18,0,9.08,10.2,0.32,7.66,3.92,0.64,0.54,6.82,7.85,0,3.61,0,4.57,8.67,0,3.11,3.81,0,5.29,0,3.13,0,1,2.89
2018-03-01,7.15,0,8.18,0,9.08,10.2,0.32,7.66,3.92,0.64,0.54,6.82,7.85,0,3.61,0,4.57,8.67,0,3.11,3.81,0,5.29,0,3.13,0,1,2.89
2018-04-01,7.15,0,7.08,0,10.1,10,0,7.93,3.86,0.57,0.51,6.64,8.66,0,3.16,0,5.47,7.41,0,3.16,3.97,0.47,4.9,0,3.18,0,1.01,3.12
2018-05-01,7.15,0,7.08,0,10.1,10,0,7.93,3.86,0.57,0.51,6.64,8.66,0,3.16,0,5.47,7.41,0,3.16,3.97,0.47,4.9,0,3.18,0,1.01,3.12
2018-06-01,7.15,0,7.08,0,10.1,10,0,7.93,3.86,0.57,0.51,6.64,8.66,0,3.16,0,5.47,7.41,0,3.16,3.97,0.47,4.9,0,3.18,0,1.01,3.12
2018-07-01,8.24,0,7.99,0,9.94,10.24,0,7.66,3.64,0.52,0.43,7.47,9.66,0,2.88,0,6.29,5.14,0,3.64,3.6,0.41,4.43,0,2.31,0,0.9,3.03
2018-08-01,8.24,0,7.99,0,9.94,10.24,0,7.66,3.64,0.52,0.43,7.47,9.66,0,2.88,0,6.29,5.14,0,3.64,3.6,0.41,4.43,0,2.31,0,0.9,3.03
2018-09-01,8.24,0,7.99,0,9.94,10.24,0,7.66,3.64,0.52,0.43,7.47,9.66,0,2.88,0,6.29,5.14,0,3.64,3.6,0.41,4.43,0,2.31,0,0.9,3.03
2018-10-01,8.71,0,5.88,0,9.57,8.89,0,8.69,4.08,0.71,0.47,7.29,11.02,0,2.97,0,7.34,4.94,0,4.21,3,0.45,4.9,0,1.78,0,0.74,2.58
2018-11-01,8.71,0,5.88,0,9.57,8.89,0,8.69,4.08,0.71,0.47,7.29,11.02,0,2.97,0,7.34,4.94,0,4.21,3,0.45,4.9,0,1.78,0,0.74,2.58
2018-12-01,8.71,0,5.88,0,9.57,8.89,0,8.69,4.08,0.71,0.47,7.29,11.02,0,2.97,0,7.34,4.94,0,4.21,3,0.45,4.9,0,1.78,0,0.74,2.58
2019-01-01,8.6,0,7.19,3.76,9.37,8.95,0,8.33,2.57,0.65,0,6.56,10.8,0,2.89,0,7.75,3.45,0,3.54,3.74,0.62,4.9,0,1.32,0,0.59,2.55
2019-02-01,8.6,0,7.19,3.76,9.37,8.95,0,8.33,2.57,0.65,0,6.56,10.8,0,2.89,0,7.75,3.45,0,3.54,3.74,0.62,4.9,0,1.32,0,0.59,2.55
2019-03-01,8.6,0,7.19,3.76,9.37,8.95,0,8.33,2.57,0.65,0,6.56,10.8,0,2.89,0,7.75,3.45,0,3.54,3.74,0.62,4.9,0,1.32,0,0.59,2.55
2019-04-01,8.24,0,5.19,5.77,8.73,9.66,0,8.03,2.04,0.83,0,6.54,11.19,0,2.72,0,6.82,1.93,0,4.37,2.83,1.55,6.85,0,1.39,0,0.8,2.06
2019-05-01,8.24,0,5.19,5.77,8.73,9.66,0,8.03,2.04,0.83,0,6.54,11.19,0,2.72,0,6.82,1.93,0,4.37,2.83,1.55,6.85,0,1.39,0,0.8,2.06
2019-06-01,8.24,0,5.19,5.77,8.73,9.66,0,8.03,2.04,0.83,0,6.54,11.19,0,2.72,0,6.82,1.93,0,4.37,2.83,1.55,6.85,0,1.39,0,0.8,2.06
2019-07-01,8.78,0,3.73,6.82,7.98,9.19,0,8.67,1.96,0.93,0,6.47,11.3,0,2.48,0,8.72,1.22,0,3.66,2.9,1.14,7.25,0,1.18,0,0.81,2.4
2019-08-01,8.78,0,3.73,6.82,7.98,9.19,0,8.67,1.96,0.93,0,6.47,11.3,0,2.48,0,8.72,1.22,0,3.66,2.9,1.14,7.25,0,1.18,0,0.81,2.4
2019-09-01,8.78,0,3.73,6.82,7.98,9.19,0,8.67,1.96,0.93,0,6.47,11.3,0,2.48,0,8.72,1.22,0,3.66,2.9,1.14,7.25,0,1.18,0,0.81,2.4
2019-10-01,9.07,0,4.53,8.2,7.43,9.76,0,9.05,1.86,0.61,0,6.09,11.45,0,2.2,0,7.83,1.21,0,3.85,3.3,0.93,6.61,0,0.97,0,0.58,2.04
2019-11-01,9.07,0,4.53,8.2,7.43,9.76,0,9.05,1.86,0.61,0,6.09,11.45,0,2.2,0,7.83,1.21,0,3.85,3.3,0.93,6.61,0,0.97,0,0.58,2.04
2019-12-01,9.07,0,4.53,8.2,7.43,9.76,0,9.05,1.86,0.61,0,6.09,11.45,0,2.2,0,7.83,1.21,0,3.85,3.3,0.93,6.61,0,0.97,0,0.58,2.04
2020-01-01,6.92,0,4.4,10.46,7.26,7.26,0,10.7,1.71,0.69,0,6.68,14.07,0,1.98,0.35,8.96,0,0,4.6,1.3,1.03,6.54,0,0.71,0,0.52,1.96
2020-02-01,6.92,0,4.4,10.46,7.26,7.26,0,10.7,1.71,0.69,0,6.68,14.07,0,1.98,0.35,8.96,0,0,4.6,1.3,1.03,6.54,0,0.71,0,0.52,1.96
2020-03-01,6.92,0,4.4,10.46,7.26,7.26,0,10.7,1.71,0.69,0,6.68,14.07,0,1.98,0.35,8.96,0,0,4.6,1.3,1.03,6.54,0,0.71,0,0.52,1.96
