"Date","AAIGF","ADNT","AET","AIG","AMP","AMZN","APA","AXP","BABA","BAM","BBBY","BK","BRK","CFG","CNQ","COF","COG","COP","COST","COV","CVS","DEO","DGX","EDU","ESRX","FB","GE","GOOG","GOOGL","HCMLF","HOG","HPQ","IBM","INTC","IRM","JCI","JNJ","JPM","KMX","KO","L","LBTYK","LH","LVS","MEL","MER","MKL","MO","MON","MRK","MSFT","NPSNY","NWSA","OVV","OXY","PG","RE","RHHVF","RHJIF","RTX","RWT","S","SAFRY","SCHW","SYY","TEL","TKOMY","TRH","TXN","UNH","USB","WB","WFC","WMT","WOSCF","Y"
2009-08-01,0,0,0,0,2.14,0,0,8.19,0,0,0,6.42,10.11,0,7.68,0,0,4.16,11.48,0,0,0,0,0,0,0,0,0,0,0,5.74,2.85,0,0,0,0,0,2.78,0,1.44,5.39,0,0,0,0,0,0,0,0,3.15,2.96,0,0,0,0,6.47,0,0,3.72,0,0,0,0,0,0,0,0,0,1.44,1.57,0,0,0,0,0,0
2009-09-01,0,0,0,0,2.14,0,0,8.19,0,0,0,6.42,10.11,0,7.68,0,0,4.16,11.48,0,0,0,0,0,0,0,0,0,0,0,5.74,2.85,0,0,0,0,0,2.78,0,1.44,5.39,0,0,0,0,0,0,0,0,3.15,2.96,0,0,0,0,6.47,0,0,3.72,0,0,0,0,0,0,0,0,0,1.44,1.57,0,0,0,0,0,0
2009-10-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-02-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-03-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-04-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-08-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-09-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-10-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
2011-02-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
2011-03-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
2011-04-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-05-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-06-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-07-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-08-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-09-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-10-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2011-11-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2011-12-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2012-01-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-02-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-03-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-04-01,0,0,0,0,1.62,0,0,13.12,0,0,1.62,5.67,8.85,0,6.49,0,0,0,9.23,0,8.01,0,0,0,0,0,0,0,3.48,0,3,1.83,0,0,3.31,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,1.17,0,1.86,0,0,0,0,0,0,0,0,0,1.39,0,0,0,2.71,0,0,5.37
2012-05-01,0,0,0,0,1.62,0,0,13.12,0,0,1.62,5.67,8.85,0,6.49,0,0,0,9.23,0,8.01,0,0,0,0,0,0,0,3.48,0,3,1.83,0,0,3.31,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,1.17,0,1.86,0,0,0,0,0,0,0,0,0,1.39,0,0,0,2.71,0,0,5.37
