,A,ACT,ADP,AGN,AIG,AIV,ALEX,ALX,APD,BEAM,BGP,BHC,BKS,BKW-OLD,BRK.B,C,CBY,CEN,CMG,CP,CSG,CXW,DPS,EMC,FBHS,FDO,FO,GGP,GLRE,GM,H,HHC,HLT,HME,JCP,LDG,LNY,LOW,MA,MATX,MCD,MDLZ,NKE,NOMD,PAH,PG,QSR,RTX,SBUX,SHLDQ,SKS,SPLS,TGT,V,WB-OLD,WEN,YUM,ZTS
2014 Q4,6.19,,,35.3,,,,,18.47,,,,,,,2.9,,,,16.74,,,,,,,,,,,2.9,2.9,,,,,,,,,,,,,6.19,,9.25,,,,,,,,,,,11.15
2014 Q3,6.21,,,38.33,,,,,19.93,,,,,8.48,,3.99,,,,21.54,,,,,,,,,,,3.99,3.99,,,,,,,,,,,,,6.21,,,,,,,,,,,,,1.52
2014 Q2,7.42,,,38.79,,,,,20.98,,,,,8.29,,4.47,,,,20.04,,,,,,,,,,,4.47,4.47,,,,,,,,,,,,,7.42,,,,,,,,,,,,,
2014 Q1,0.88,,,0.88,,1.35,,,29.19,11.6,,,,12.16,,1.35,,,,30.81,,,,,,,,,,,0.34,6.08,,0.34,,,,,,,,,,,7.58,,,,,,,,,1.35,,,,
2013 Q4,17.21,,,,,,,,27.91,17.21,,,,10.66,,5.21,,,,31.55,,,,,,,,6.74,,,5.21,5.21,,,,,,,,,,,,,,0.73,,,,,,,,,,,,
2013 Q3,16.05,,,,,,,,26.11,16.05,,,,8.93,,4.78,,,,34.0,,,,,,,,8.21,,,4.78,4.78,,,,,,,,,,,,,,1.91,,,,,,,,,,,,
2013 Q2,0.06,,,,,,,,10.24,14.55,,,,8.29,,4.43,,,,7.39,,,,,,,,14.92,,,4.43,4.43,,,7.39,,,,0.06,0.06,,,,,,7.62,,,,,,,,,,,,
2013 Q1,0.75,,,,,,,,,13.24,,,,7.33,,2.99,,,,5.91,,,,,,,,14.87,,,2.99,2.99,,,5.91,,,,0.75,0.75,,1.83,,,,21.55,,,,,,,,,,,,
2012 Q4,1.0,,,,,,,,,14.11,,,,7.0,,2.89,,,,8.55,,,,,,,,16.46,,,2.89,2.89,,,8.55,,,,1.0,1.0,,1.69,,,,21.05,,,,,,,,,,,,
2012 Q3,0.49,,,,,,0.49,,,14.18,,,,6.33,,3.0,,,,11.23,,,,,,,,17.23,,,3.0,3.0,,,11.23,,,,0.9,0.9,,,,,,22.94,,,,,,,,,,,,
2012 Q2,2.74,,,,,,2.74,,,18.39,,,,,,0.43,,,,12.87,,,,,,,,18.47,,,3.11,3.11,,,12.87,,,,,,,,,,,18.97,,,,,,,,,,,,
2012 Q1,2.19,,,,,,2.19,,,15.1,,,,,,2.82,,,,17.15,,,,,3.64,2.05,,15.2,,,2.82,2.82,,,17.15,,,,,,,7.3,,,,,,,,,,,,,,,,
2011 Q4,1.87,,,,,,1.87,,,13.73,,,,,,2.03,,,,17.52,,,,,4.57,6.23,,13.97,,,2.03,2.03,,,17.52,,,,,,,10.18,,,,,,,,,,,,,,,,
2011 Q3,2.16,,,,,,2.16,,,,,,,,,2.5,,,,3.23,,,,,,9.63,18.71,14.53,,,2.5,2.5,,,17.23,,,6.83,,,,14.06,,,,,,,,,,,,,,,,
2011 Q2,2.68,,,,,,2.68,,,,,,,,,0.1,,,,20.92,,,,,,9.12,17.13,18.86,0.1,,3.63,3.63,,,20.92,,,,,,,12.25,,,,,,,,,,,,,,,,
2011 Q1,2.92,,,,,,2.92,,,,,,,,,0.13,,,,22.52,,1.94,,,,5.31,18.53,19.96,0.13,,4.53,4.53,,,22.52,,,,,,,12.53,,,,,,,,,,,,,,,,
2010 Q4,0.12,,1.14,,,,0.12,,,,0.17,,,,,0.12,,,,19.76,,3.44,,,,,17.59,18.97,0.12,4.64,3.4,3.4,,,19.76,,,,,,,10.74,,,,,,,,,,,7.79,,,,,
2010 Q3,9.05,,9.05,,,,,,,,0.31,,,,,0.15,,,,10.57,,6.68,,,,,9.1,9.25,0.15,,,,,,10.57,,0.94,,,,,21.1,,,,,,,,,,,18.71,,,,,
2010 Q2,9.51,,9.51,,,,,,,,0.4,,,,,0.18,,,,,,5.96,,,,,,9.07,0.18,,,,,,,,1.09,,,,,26.91,,,,,,,,,,,29.04,,,,2.13,
2010 Q1,,,,,,,,,,,0.55,,,,,0.2,,,,,,6.55,,,,,,11.62,0.2,,,,,,,,0.84,,,,,29.89,,,,,,,,,,,32.79,,,,17.56,
2009 Q4,0.26,,0.26,,,,,,,,0.66,,,,,0.31,,,,,,14.16,,,,,,,0.31,,4.35,,,,,,1.75,,,,,,,,,,,,,,,,53.03,,,,25.48,
2009 Q3,7.68,,7.68,,,,,,,,1.05,,,,,0.15,,,,,,5.32,,31.95,,,,,0.15,,,,,,,,,,,,15.04,,,,,,,,,,,,38.8,,,,,
2009 Q2,11.75,,11.75,,,,,,,,1.78,,,,,0.2,,,,,,,,35.12,,,,,0.2,,,,,,,,,,,,6.3,,,,,,,,,,,,44.85,,,,,
2009 Q1,0.07,,,,,2.31,,0.07,,,0.35,,,,,0.21,,,,,,,,34.68,,,,0.86,0.21,,,,,,,,,,,,,,,,,,,,,,0.13,,44.39,2.31,,8.44,2.22,
2008 Q4,0.09,,,,,0.24,,0.09,,,0.18,,,,,0.14,,,,,,,7.39,25.8,,,,1.09,0.14,,0.49,,,,,,,,,,,,,,,,,,,0.49,0.25,,38.83,0.24,,9.77,,
2008 Q3,2.67,,,,2.91,,,,,,1.84,,4.5,,,0.15,,,,,,,15.47,18.51,,,,,0.15,,1.24,,,,,6.27,,,2.67,,,,,,,,,,,1.24,,,25.4,4.38,8.93,7.73,,
2008 Q2,,,,,,,,,,,2.09,,5.35,,,0.04,0.04,,,,,,14.77,19.31,,,,,0.19,,16.37,,,,,0.12,,,,,,,,,,,,,,16.37,,,30.02,,,11.73,,
2008 Q1,,,,,,,,,,,2.66,,8.57,,,0.07,,,,,0.07,,,,,,,,0.2,,29.45,,,,,,,,,,,,,,,,,,,29.45,,,52.0,,,7.05,,
2007 Q4,,,,,,,,,,,8.36,,16.68,,,0.13,,,,,0.13,,,,,,,,0.38,,46.46,,,,,,,,,,,,,,,,,,,46.46,,,27.99,,,,,
2007 Q3,,,,,,,,,,,3.09,,7.8,,,0.06,,25.18,,,0.06,,,,,,,,0.17,,21.51,,,,,,,,,,34.56,,,,,,,,,21.51,,,7.64,,,,,
2007 Q2,,,,,,,,,,,5.35,,10.29,,,0.08,,30.69,,,0.08,,,,,,,,0.23,,,,,,,,,,,,38.96,,,,,,,,,,,10.04,4.37,,,,,
