日期,成屋銷售
2004-07-01,692
2004-06-01,685
2004-05-01,673
2004-04-01,666
2004-03-01,641
2004-02-01,623
2004-01-01,649
2003-12-01,623
2003-11-01,639
2003-10-01,658
2003-09-01,652
2003-08-01,627
2003-07-01,594
2003-06-01,594
2003-05-01,584
2003-04-01,586
2003-03-01,602
2003-02-01,603
2003-01-01,597
2002-12-01,573
2002-11-01,568
2002-10-01,552
2002-09-01,536
2002-08-01,541
2002-07-01,551
2002-06-01,564
2002-05-01,567
2002-04-01,563
2002-03-01,590
2002-02-01,586
2002-01-01,549
2001-12-01,524
2001-11-01,525
2001-10-01,523
2001-09-01,548
2001-08-01,543
2001-07-01,543
2001-06-01,527
2001-05-01,532
2001-04-01,545
2001-03-01,523
2001-02-01,510
2001-01-01,510
2000-12-01,535
2000-11-01,525
2000-10-01,529
2000-09-01,517
2000-08-01,511
2000-07-01,513
2000-06-01,511
2000-05-01,520
2000-04-01,519
2000-03-01,512
2000-02-01,523
2000-01-01,508
1999-12-01,509
1999-11-01,511
1999-10-01,512
1999-09-01,523
1999-08-01,525
1999-07-01,543
1999-06-01,519
1999-05-01,508
1999-04-01,515
1999-03-01,510
1999-02-01,523
1999-01-01,528
1998-12-01,512
1998-11-01,505
1998-10-01,497
1998-09-01,497
1998-08-01,502
1998-07-01,490
1998-06-01,496
1998-05-01,491
1998-04-01,494
1998-03-01,483
1998-02-01,461
1998-01-01,467
1997-12-01,457
1997-11-01,465
1997-10-01,453
1997-09-01,447
1997-08-01,430
1997-07-01,425
1997-06-01,432
1997-05-01,419
1997-04-01,419
1997-03-01,428
1997-02-01,426
1997-01-01,417
1996-12-01,421
1996-11-01,413
1996-10-01,412
1996-09-01,419
1996-08-01,424
1996-07-01,417
1996-06-01,431
1996-05-01,434
1996-04-01,420
1996-03-01,401
1996-02-01,406
1996-01-01,410
1995-12-01,412
1995-11-01,413
1995-10-01,417
1995-09-01,411
1995-08-01,396
1995-07-01,384
1995-06-01,369
1995-05-01,346
1995-04-01,365
1995-03-01,367
1995-02-01,368
1995-01-01,381
1994-12-01,371
1994-11-01,378
1994-10-01,376
1994-09-01,385
1994-08-01,382
1994-07-01,397
1994-06-01,409
1994-05-01,414
1994-04-01,405
1994-03-01,396
1994-02-01,417
1994-01-01,428
1993-12-01,408
1993-11-01,393
1993-10-01,392
1993-09-01,385
1993-08-01,383
1993-07-01,372
1993-06-01,360
1993-05-01,344
1993-04-01,344
1993-03-01,354
1993-02-01,371
1993-01-01,383
1992-12-01,366
1992-11-01,359
1992-10-01,339
1992-09-01,332
1992-08-01,335
1992-07-01,334
1992-06-01,342
1992-05-01,350
1992-04-01,351
1992-03-01,350
1992-02-01,326
1992-01-01,314
1991-12-01,309
1991-11-01,307
1991-10-01,317
1991-09-01,313
1991-08-01,326
1991-07-01,340
1991-06-01,340
1991-05-01,323
1991-04-01,312
1991-03-01,309
1991-02-01,290
1991-01-01,290
1990-12-01,298
1990-11-01,312
1990-10-01,318
1990-09-01,334
1990-08-01,319
1990-07-01,321
1990-06-01,320
1990-05-01,322
1990-04-01,334
1990-03-01,340
1990-02-01,363
1990-01-01,337
1989-12-01,341
1989-11-01,349
1989-10-01,354
1989-09-01,332
1989-08-01,326
1989-07-01,312
1989-06-01,311
1989-05-01,317
1989-04-01,330
1989-03-01,350
1989-02-01,360
1989-01-01,373
1988-12-01,353
1988-11-01,358
1988-10-01,356
1988-09-01,355
1988-08-01,356
1988-07-01,367
1988-06-01,354
1988-05-01,343
1988-04-01,332
1988-03-01,323
1988-02-01,309
1988-01-01,317
1987-12-01,323
1987-11-01,334
1987-10-01,332
1987-09-01,329
1987-08-01,342
1987-07-01,345
1987-06-01,363
1987-05-01,350
1987-04-01,364
1987-03-01,365
1987-02-01,349
1987-01-01,390
1986-12-01,374
1986-11-01,357
1986-10-01,357
1986-09-01,351
1986-08-01,344
1986-07-01,336
1986-06-01,337
1986-05-01,349
1986-04-01,320
1986-03-01,327
1986-02-01,331
1986-01-01,329
1985-12-01,329
1985-11-01,333
1985-10-01,332
1985-09-01,336
1985-08-01,312
1985-07-01,304
1985-06-01,297
1985-05-01,296
1985-04-01,296
1985-03-01,288
1985-02-01,294
1985-01-01,277
1984-12-01,277
1984-11-01,265
1984-10-01,265
1984-09-01,269
1984-08-01,280
1984-07-01,290
1984-06-01,293
1984-05-01,298
1984-04-01,292
1984-03-01,289
1984-02-01,285
1984-01-01,280
1983-12-01,267
1983-11-01,271
1983-10-01,278
1983-09-01,277
1983-08-01,278
1983-07-01,277
1983-06-01,274
1983-05-01,260
1983-04-01,259
1983-03-01,243
1983-02-01,257
1983-01-01,229
1982-12-01,223
1982-11-01,209
1982-10-01,195
1982-09-01,190
1982-08-01,189
1982-07-01,189
1982-06-01,186
1982-05-01,189
1982-04-01,199
1982-03-01,199
1982-02-01,191
1982-01-01,202
1981-12-01,202
1981-11-01,208
1981-10-01,218
1981-09-01,234
1981-08-01,249
1981-07-01,259
1981-06-01,263
1981-05-01,267
1981-04-01,260
1981-03-01,269
1981-02-01,271
1981-01-01,291
1980-12-01,305
1980-11-01,321
1980-10-01,340
1980-09-01,305
1980-08-01,293
1980-07-01,260
1980-06-01,248
1980-05-01,254
1980-04-01,297
1980-03-01,319
1980-02-01,333
1980-01-01,339
1979-12-01,348
1979-11-01,377
1979-10-01,394
1979-09-01,384
1979-08-01,382
1979-07-01,380
1979-06-01,409
1979-05-01,399
1979-04-01,396
1979-03-01,399
1979-02-01,386
1979-01-01,398
1978-12-01,415
1978-11-01,400
1978-10-01,393
1978-09-01,396
1978-08-01,399
1978-07-01,404
1978-06-01,400
1978-05-01,409
1978-04-01,397
1978-03-01,383
1978-02-01,390
1978-01-01,389
1977-12-01,386
1977-11-01,371
1977-10-01,376
1977-09-01,371
1977-08-01,365
1977-07-01,363
1977-06-01,364
1977-05-01,353
1977-04-01,358
1977-03-01,336
1977-02-01,343
1977-01-01,334
1976-12-01,322
1976-11-01,316
1976-10-01,321
1976-09-01,311
1976-08-01,310
1976-07-01,311
1976-06-01,296
1976-05-01,294
1976-04-01,290
1976-03-01,293
1976-02-01,281
1976-01-01,278
1975-12-01,274
1975-11-01,268
1975-10-01,263
1975-09-01,253
1975-08-01,245
1975-07-01,251
1975-06-01,247
1975-05-01,239
1975-04-01,229
1975-03-01,223
1975-02-01,206
1975-01-01,211
1974-12-01,209
1974-11-01,210
1974-10-01,215
1974-09-01,225
1974-08-01,229
1974-07-01,227
1974-06-01,240
1974-05-01,239
1974-04-01,244
1974-03-01,238
1974-02-01,241
1974-01-01,223
1973-12-01,226
1973-11-01,227
1973-10-01,224
1973-09-01,228
1973-08-01,234
1973-07-01,236
1973-06-01,233
1973-05-01,235
1973-04-01,242
1973-03-01,250
1973-02-01,243
1973-01-01,249
1972-12-01,238
1972-11-01,238
1972-10-01,234
1972-09-01,230
1972-08-01,219
1972-07-01,217
1972-06-01,211
1972-05-01,216
1972-04-01,218
1972-03-01,215
1972-02-01,220
1972-01-01,218
1971-12-01,214
1971-11-01,205
1971-10-01,205
1971-09-01,200
1971-08-01,200
1971-07-01,199
1971-06-01,204
1971-05-01,201
1971-04-01,198
1971-03-01,190
1971-02-01,191
1971-01-01,185
1970-12-01,175
1970-11-01,170
1970-10-01,173
1970-09-01,172
1970-08-01,163
1970-07-01,158
1970-06-01,153
1970-05-01,151
1970-04-01,137
1970-03-01,146
1970-02-01,153
1970-01-01,160
