Date,TMO
1982-10-18,1.481481
1982-10-19,1.5034290000000001
1982-10-20,1.525377
1982-10-21,1.547325
1982-10-22,1.613169
1982-10-25,1.536351
1982-10-26,1.5144030000000002
1982-10-27,1.5582989999999999
1982-10-28,1.580247
1982-10-29,1.569273
1982-11-01,1.5582989999999999
1982-11-02,1.536351
1982-11-03,1.580247
1982-11-04,1.646091
1982-11-05,1.689986
1982-11-08,1.646091
1982-11-09,1.689986
1982-11-10,1.689986
1982-11-11,1.679012
1982-11-12,1.6680380000000001
1982-11-15,1.613169
1982-11-16,1.536351
1982-11-17,1.5582989999999999
1982-11-18,1.591221
1982-11-19,1.5582989999999999
1982-11-22,1.525377
1982-11-23,1.5144030000000002
1982-11-24,1.5034290000000001
1982-11-26,1.4924549999999999
1982-11-29,1.4924549999999999
1982-11-30,1.536351
1982-12-01,1.525377
1982-12-02,1.5144030000000002
1982-12-03,1.4924549999999999
1982-12-06,1.470508
1982-12-07,1.481481
1982-12-08,1.44856
1982-12-09,1.459534
1982-12-10,1.4924549999999999
1982-12-13,1.4924549999999999
1982-12-14,1.426612
1982-12-15,1.44856
1982-12-16,1.437586
1982-12-17,1.437586
1982-12-20,1.404664
1982-12-21,1.371742
1982-12-22,1.404664
1982-12-23,1.415638
1982-12-27,1.404664
1982-12-28,1.360768
1982-12-29,1.404664
1982-12-30,1.360768
1982-12-31,1.3497940000000002
1983-01-03,1.382716
1983-01-04,1.426612
1983-01-05,1.4924549999999999
1983-01-06,1.613169
1983-01-07,1.602195
1983-01-10,1.613169
1983-01-11,1.580247
1983-01-12,1.613169
1983-01-13,1.711934
1983-01-14,1.733882
1983-01-17,1.75583
1983-01-18,1.733882
1983-01-19,1.75583
1983-01-20,1.733882
1983-01-21,1.7448560000000002
1983-01-24,1.6680380000000001
1983-01-25,1.679012
1983-01-26,1.7448560000000002
1983-01-27,1.711934
1983-01-28,1.7777779999999999
1983-01-31,1.9533610000000001
1983-02-01,1.997257
1983-02-02,2.096022
1983-02-03,2.1289439999999997
1983-02-04,2.0082299999999997
1983-02-07,2.096022
