Date,FANG
2015-01-12,59.470001
2015-01-13,61.240002000000004
2015-01-14,65.300003
2015-01-15,63.450001
2015-01-16,65.629997
2015-01-20,62.810001
2015-01-21,68.540001
2015-01-22,67.980003
2015-01-23,67.0
2015-01-26,68.510002
2015-01-27,68.970001
2015-01-28,66.08000200000001
2015-01-29,68.639999
2015-01-30,68.989998
2015-02-02,69.739998
2015-02-03,69.68
2015-02-04,67.129997
2015-02-05,69.059998
2015-02-06,70.83000200000001
2015-02-09,70.129997
2015-02-10,69.400002
2015-02-11,68.779999
2015-02-12,72.970001
2015-02-13,73.459999
2015-02-17,73.57
2015-02-18,73.800003
2015-02-19,75.860001
2015-02-20,75.089996
2015-02-23,74.360001
2015-02-24,74.08000200000001
2015-02-25,74.959999
2015-02-26,73.16999799999999
2015-02-27,71.209999
2015-03-02,70.980003
2015-03-03,71.690002
2015-03-04,71.809998
2015-03-05,71.18
2015-03-06,69.860001
2015-03-09,69.610001
2015-03-10,68.089996
2015-03-11,70.050003
2015-03-12,69.940002
2015-03-13,69.68
2015-03-16,70.0
2015-03-17,70.470001
2015-03-18,72.650002
2015-03-19,71.489998
2015-03-20,72.339996
2015-03-23,71.58000200000001
2015-03-24,73.769997
2015-03-25,74.91999799999999
2015-03-26,76.849998
2015-03-27,75.16999799999999
2015-03-30,77.629997
2015-03-31,76.839996
2015-04-01,77.400002
2015-04-02,78.879997
2015-04-06,79.470001
2015-04-07,79.959999
2015-04-08,78.059998
2015-04-09,80.720001
2015-04-10,80.75
2015-04-13,79.860001
2015-04-14,80.389999
2015-04-15,82.410004
2015-04-16,83.32
2015-04-17,82.57
2015-04-20,84.07
2015-04-21,82.809998
2015-04-22,81.980003
2015-04-23,81.959999
2015-04-24,79.83000200000001
2015-04-27,79.730003
2015-04-28,80.230003
2015-04-29,82.959999
2015-04-30,82.57
2015-05-01,81.879997
2015-05-04,82.940002
2015-05-05,79.760002
2015-05-06,78.66999799999999
2015-05-07,75.339996
2015-05-08,77.010002
2015-05-11,78.33000200000001
2015-05-12,79.589996
2015-05-13,79.41999799999999
2015-05-14,77.199997
2015-05-15,78.93
2015-05-18,79.230003
2015-05-19,77.470001
2015-05-20,78.529999
2015-05-21,80.620003
2015-05-22,81.379997
2015-05-26,79.230003
2015-05-27,79.18
2015-05-28,77.529999
2015-05-29,77.809998
2015-06-01,78.959999
2015-06-02,79.029999
2015-06-03,77.660004
2015-06-04,76.459999
2015-06-05,78.260002
2015-06-08,78.83000200000001
2015-06-09,79.989998
2015-06-10,81.43
2015-06-11,81.040001
2015-06-12,80.650002
2015-06-15,79.889999
2015-06-16,80.75
2015-06-17,79.389999
2015-06-18,78.57
2015-06-19,76.620003
2015-06-22,78.809998
2015-06-23,79.889999
