Date,CPLG
2019-04-05,12.59
2019-04-08,12.5
2019-04-09,12.24
2019-04-10,12.6
2019-04-11,12.64
2019-04-12,12.61
2019-04-15,12.55
2019-04-16,12.5
2019-04-17,12.4
2019-04-18,12.33
2019-04-22,12.26
2019-04-23,12.23
2019-04-24,12.24
2019-04-25,12.25
2019-04-26,12.5
2019-04-29,12.7
2019-04-30,12.5
2019-05-01,12.58
2019-05-02,12.9
2019-05-03,13.38
2019-05-06,13.59
2019-05-07,13.43
2019-05-08,13.35
2019-05-09,13.17
2019-05-10,13.3
2019-05-13,13.3
2019-05-14,13.81
2019-05-15,12.9
2019-05-16,13.2
2019-05-17,12.85
2019-05-20,12.71
2019-05-21,12.86
2019-05-22,12.67
2019-05-23,12.51
2019-05-24,12.76
2019-05-28,12.55
2019-05-29,12.41
2019-05-30,12.34
2019-05-31,12.12
2019-06-03,12.09
2019-06-04,12.33
2019-06-05,12.3
2019-06-06,12.36
2019-06-07,12.83
2019-06-10,12.81
2019-06-11,12.85
2019-06-12,12.76
2019-06-13,12.98
2019-06-14,12.9
2019-06-17,12.9
2019-06-18,12.98
2019-06-19,13.05
2019-06-20,13.27
2019-06-21,12.9
2019-06-24,12.71
2019-06-25,12.61
2019-06-26,12.4
2019-06-27,12.2
2019-06-28,12.39
2019-07-01,12.56
2019-07-02,12.95
2019-07-03,13.0
2019-07-05,13.0
2019-07-08,12.9
2019-07-09,12.3
2019-07-10,12.32
2019-07-11,12.0
2019-07-12,12.02
2019-07-15,12.04
2019-07-16,12.35
2019-07-17,12.45
2019-07-18,12.27
2019-07-19,12.06
2019-07-22,11.97
2019-07-23,11.99
2019-07-24,12.05
2019-07-25,11.98
2019-07-26,12.02
2019-07-29,12.0
2019-07-30,11.94
2019-07-31,11.73
2019-08-01,11.46
2019-08-02,11.41
2019-08-05,11.03
2019-08-06,11.03
2019-08-07,10.91
2019-08-08,11.02
2019-08-09,10.94
2019-08-12,10.86
2019-08-13,10.9
2019-08-14,9.1
2019-08-15,8.92
2019-08-16,9.42
2019-08-19,9.24
2019-08-20,8.95
2019-08-21,8.96
2019-08-22,8.88
2019-08-23,8.83
2019-08-26,8.85
2019-08-27,8.73
2019-08-28,8.99
2019-08-29,9.07
2019-08-30,9.1
2019-09-03,9.19
2019-09-04,9.21
2019-09-05,9.56
2019-09-06,9.75
2019-09-09,10.25
2019-09-10,10.31
2019-09-11,10.65
2019-09-12,10.53
2019-09-13,10.73
2019-09-16,10.79
2019-09-17,10.66
2019-09-18,10.38
2019-09-19,10.34
2019-09-20,10.49
2019-09-23,10.56
2019-09-24,10.47
2019-09-25,10.36
2019-09-26,10.29
2019-09-27,10.13
2019-09-30,10.11
2019-10-01,10.11
2019-10-02,10.03
2019-10-03,9.94
2019-10-04,9.95
2019-10-07,9.92
2019-10-08,9.65
2019-10-09,9.74
2019-10-10,9.72
2019-10-11,9.79
2019-10-14,9.78
2019-10-15,9.78
2019-10-16,9.69
2019-10-17,9.72
2019-10-18,9.69
2019-10-21,9.82
2019-10-22,9.96
2019-10-23,10.0
2019-10-24,10.0
2019-10-25,9.89
2019-10-28,9.91
2019-10-29,9.81
2019-10-30,9.85
2019-10-31,9.85
2019-11-01,10.13
2019-11-04,10.27
2019-11-05,10.39
2019-11-06,10.23
2019-11-07,9.83
2019-11-08,9.8
2019-11-11,9.89
2019-11-12,9.8
2019-11-13,9.84
2019-11-14,10.39
2019-11-15,10.32
2019-11-18,10.04
2019-11-19,10.0
2019-11-20,9.87
2019-11-21,9.95
2019-11-22,10.01
2019-11-25,10.1
2019-11-26,10.03
2019-11-27,10.15
2019-11-29,10.11
2019-12-02,9.94
2019-12-03,9.93
2019-12-04,9.95
2019-12-05,10.02
2019-12-06,10.15
2019-12-09,10.2
2019-12-10,10.03
2019-12-11,9.98
2019-12-12,10.31
2019-12-13,10.31
2019-12-16,10.88
2019-12-17,10.86
2019-12-18,10.73
2019-12-19,10.5
2019-12-20,10.63
2019-12-23,10.6
2019-12-24,10.61
2019-12-26,10.71
2019-12-27,10.52
2019-12-30,10.56
2019-12-31,10.68
2020-01-02,10.64
2020-01-03,10.55
2020-01-06,10.39
2020-01-07,9.94
2020-01-08,10.04
2020-01-09,9.91
2020-01-10,9.87
2020-01-13,9.91
2020-01-14,9.95
2020-01-15,10.25
2020-01-16,10.27
2020-01-17,10.56
2020-01-21,10.33
2020-01-22,10.15
2020-01-23,9.95
2020-01-24,9.48
2020-01-27,9.11
2020-01-28,9.36
2020-01-29,9.29
2020-01-30,9.32
2020-01-31,9.15
2020-02-03,9.3
2020-02-04,9.55
2020-02-05,9.89
2020-02-06,9.84
2020-02-07,9.64
2020-02-10,9.71
2020-02-11,9.75
2020-02-12,9.93
2020-02-13,9.97
2020-02-14,9.73
2020-02-18,9.65
2020-02-19,9.33
2020-02-20,9.55
2020-02-21,9.39
2020-02-24,8.92
2020-02-25,8.58
2020-02-26,8.6
2020-02-27,8.4
2020-02-28,7.96
2020-03-02,7.79
2020-03-03,7.24
2020-03-04,7.29
2020-03-05,6.87
2020-03-06,6.7
2020-03-09,5.58
2020-03-10,5.76
2020-03-11,5.31
2020-03-12,3.4
2020-03-13,4.49
2020-03-16,3.96
2020-03-17,3.76
2020-03-18,2.39
2020-03-19,2.85
2020-03-20,3.56
2020-03-23,3.25
2020-03-24,3.52
2020-03-25,3.82
2020-03-26,4.47
2020-03-27,4.32
2020-03-30,3.7
2020-03-31,3.92
2020-04-01,3.51
2020-04-02,3.54
2020-04-03,3.23
2020-04-06,3.4
2020-04-07,3.14
2020-04-08,3.42
2020-04-09,3.82
2020-04-13,3.66
2020-04-14,3.77
2020-04-15,3.57
2020-04-16,3.47
2020-04-17,3.2
2020-04-20,3.18
2020-04-21,3.13
2020-04-22,3.15
2020-04-23,3.19
2020-04-24,3.34
2020-04-27,3.81
2020-04-28,4.3
2020-04-29,5.16
2020-04-30,4.35
2020-05-01,4.06
2020-05-04,3.88
2020-05-05,3.51
2020-05-06,3.37
2020-05-07,3.71
2020-05-08,4.4
