Date,PGH
2015-08-17,5.35
2015-08-18,5.35
2015-08-19,5.34
2015-08-20,5.25
2015-08-21,5.14
2015-08-24,5.1
2015-08-25,4.95
2015-08-26,5.09
2015-08-27,5.14
2015-08-28,5.25
2015-08-31,5.3
2015-09-01,5.3
2015-09-02,5.35
2015-09-03,5.35
2015-09-04,5.35
2015-09-08,5.36
2015-09-09,5.36
2015-09-10,5.32
2015-09-11,5.32
2015-09-14,5.3
2015-09-15,5.3
2015-09-16,5.3
2015-09-17,5.3
2015-09-18,5.2
2015-09-21,5.2
2015-09-22,5.2
2015-09-23,5.19
2015-09-24,5.2
2015-09-25,5.2
2015-09-28,5.2
2015-09-29,5.1
2015-09-30,5.15
2015-10-01,5.15
2015-10-02,5.15
2015-10-05,5.06
2015-10-06,5.15
2015-10-07,5.05
2015-10-08,5.14
2015-10-09,5.1
2015-10-12,5.1
2015-10-13,5.1
2015-10-14,5.1
2015-10-15,5.1
2015-10-16,5.1
2015-10-19,5.1
2015-10-20,5.05
2015-10-21,5.08
2015-10-22,5.08
2015-10-23,5.04
2015-10-26,5.04
2015-10-27,5.03
2015-10-28,5.03
2015-10-29,5.04
2015-10-30,5.04
2015-11-02,5.0
2015-11-03,5.03
2015-11-04,5.03
2015-11-05,5.01
2015-11-06,5.0
2015-11-09,5.0
2015-11-10,5.0
2015-11-11,4.95
2015-11-12,4.95
2015-11-13,4.92
2015-11-16,5.0
2015-11-17,5.0
2015-11-18,5.0
2015-11-19,4.99
2015-11-20,4.99
2015-11-23,4.95
2015-11-24,4.94
2015-11-25,4.94
2015-11-27,5.03
2015-11-30,4.94
2015-12-01,5.16
2015-12-02,5.16
2015-12-03,5.15
2015-12-04,5.13
2015-12-07,5.0
2015-12-08,5.12
2015-12-09,5.12
2015-12-10,5.11
2015-12-11,5.1
2015-12-14,5.0
2015-12-15,5.0
2015-12-16,4.99
2015-12-17,5.1
2015-12-18,5.08
2015-12-21,4.95
2015-12-22,5.05
2015-12-23,5.05
2015-12-24,5.05
2015-12-28,5.0
2015-12-29,4.99
2015-12-30,4.8
2015-12-31,4.94
2016-01-04,4.94
2016-01-05,5.08
2016-01-06,5.1
2016-01-07,5.08
2016-01-08,5.07
2016-01-11,5.07
2016-01-12,5.01
2016-01-13,5.03
2016-01-14,5.03
2016-01-15,5.0
2016-01-19,5.0
2016-01-20,4.99
2016-01-21,4.99
2016-01-22,4.99
2016-01-25,4.99
2016-01-26,5.08
2016-01-27,4.99
2016-01-28,5.05
2016-01-29,4.99
2016-02-01,5.0
2016-02-02,5.04
2016-02-03,4.99
2016-02-04,4.99
2016-02-05,4.99
2016-02-08,4.98
2016-02-09,4.98
2016-02-10,5.02
2016-02-11,5.0
2016-02-12,5.0
2016-02-16,5.0
2016-02-17,5.0
2016-02-18,5.01
2016-02-19,5.0
2016-02-22,4.99
2016-02-23,4.98
2016-02-24,4.97
2016-02-25,4.97
2016-02-26,5.0
2016-02-29,5.04
2016-03-01,5.06
2016-03-02,5.07
2016-03-03,5.0
2016-03-04,5.15
2016-03-07,5.0
2016-03-08,5.0
2016-03-09,5.0
2016-03-10,5.03
2016-03-11,5.05
2016-03-14,5.15
2016-03-15,5.0
2016-03-16,5.0
2016-03-17,5.15
2016-03-18,5.0
2016-03-21,5.0
2016-03-22,5.14
2016-03-23,5.0
2016-03-24,5.14
2016-03-28,5.01
2016-03-29,5.12
2016-03-30,5.0
2016-03-31,5.0
2016-04-01,5.14
2016-04-04,5.13
2016-04-05,5.13
2016-04-06,5.13
2016-04-07,5.1
2016-04-08,5.0
2016-04-11,5.13
2016-04-12,5.1
2016-04-13,5.0
2016-04-14,5.0
2016-04-15,5.0
2016-04-18,5.0
2016-04-19,5.0
2016-04-20,5.0
2016-04-21,5.0
2016-04-22,4.98
2016-04-25,4.85
2016-04-26,5.0
2016-04-27,4.99
2016-04-28,4.99
2016-04-29,4.98
2016-05-02,4.98
2016-05-03,4.94
2016-05-04,4.92
2016-05-05,4.9
2016-05-06,4.89
2016-05-09,4.89
2016-05-10,4.85
2016-05-11,4.95
2016-05-12,4.85
2016-05-13,4.83
2016-05-16,4.9
2016-05-17,4.95
2016-05-18,4.83
2016-05-19,4.7
2016-05-20,4.84
2016-05-23,4.84
2016-05-24,4.94
2016-05-25,4.93
2016-05-26,4.85
2016-05-27,4.93
2016-05-31,4.94
2016-06-01,4.94
2016-06-02,4.94
2016-06-03,4.9
2016-06-06,4.9
2016-06-07,4.9
2016-06-08,4.9
2016-06-09,4.78
2016-06-10,4.8
2016-06-13,4.9
2016-06-14,4.9
2016-06-15,4.89
2016-06-16,4.85
2016-06-17,4.79
2016-06-20,4.84
2016-06-21,4.8
2016-06-22,4.85
2016-06-23,4.85
2016-06-24,4.85
2016-06-27,4.9
2016-06-28,4.9
2016-06-29,4.94
2016-06-30,4.98
2016-07-01,4.88
2016-07-05,4.88
2016-07-06,4.88
2016-07-07,4.88
2016-07-08,4.95
2016-07-11,5.08
2016-07-12,5.0
2016-07-13,5.1
2016-07-14,5.14
2016-07-15,5.1
2016-07-18,5.19
2016-07-19,5.2
2016-07-20,5.21
2016-07-21,5.24
2016-07-22,5.2
