Date,TRMD
2018-09-24,5.939
2018-09-25,5.939
2018-09-26,6.471
2018-09-27,6.471
2018-09-28,6.6
2018-10-01,6.534
2018-10-02,6.6
2018-10-03,6.6
2018-10-04,6.52
2018-10-05,6.52
2018-10-08,6.6
2018-10-09,6.6
2018-10-10,6.52
2018-10-11,6.44
2018-10-12,6.37
2018-10-15,6.2
2018-10-16,5.84
2018-10-17,5.84
2018-10-18,5.84
2018-10-19,5.84
2018-10-22,6.12
2018-10-23,6.12
2018-10-24,6.12
2018-10-25,6.12
2018-10-26,6.0
2018-10-29,6.0
2018-10-30,6.05
2018-10-31,5.575
2018-11-01,5.575
2018-11-02,5.575
2018-11-05,5.575
2018-11-06,5.575
2018-11-07,6.55
2018-11-08,6.55
2018-11-09,6.65
2018-11-12,6.65
2018-11-13,6.65
2018-11-14,6.65
2018-11-15,6.65
2018-11-16,7.281
2018-11-19,7.0
2018-11-20,5.91
2018-11-21,6.205
2018-11-23,6.4
2018-11-26,6.48
2018-11-27,5.87
2018-11-28,5.87
2018-11-29,6.7
2018-11-30,6.8
2018-12-03,7.15
2018-12-04,7.305
2018-12-06,7.305
2018-12-07,7.305
2018-12-10,7.15
2018-12-11,6.79
2018-12-12,6.08
2018-12-13,6.32
2018-12-14,6.151
2018-12-17,6.151
2018-12-18,6.151
2018-12-19,6.151
2018-12-20,6.151
2018-12-21,5.645
2018-12-24,5.645
2018-12-26,5.645
2018-12-27,5.645
2018-12-28,5.95
2018-12-31,5.883
2019-01-02,5.95
2019-01-03,5.95
2019-01-04,5.95
2019-01-07,5.95
2019-01-08,5.95
2019-01-09,5.95
2019-01-10,5.95
2019-01-11,5.95
2019-01-14,5.95
2019-01-15,5.95
2019-01-16,5.95
2019-01-17,5.95
2019-01-18,5.78
2019-01-22,5.78
2019-01-23,5.78
2019-01-24,5.78
2019-01-25,5.78
2019-01-28,5.78
2019-01-29,5.78
2019-01-30,5.78
2019-01-31,6.21
2019-02-01,5.85
2019-02-04,5.99
2019-02-05,5.99
2019-02-06,5.99
2019-02-07,5.99
2019-02-08,5.99
2019-02-11,5.99
2019-02-12,5.99
2019-02-13,5.99
2019-02-14,5.99
2019-02-15,5.99
2019-02-19,5.99
2019-02-20,5.99
2019-02-21,5.99
2019-02-22,5.99
2019-02-25,5.99
2019-02-26,5.99
2019-02-27,5.99
2019-02-28,5.99
2019-03-01,5.99
2019-03-04,5.99
2019-03-05,5.99
2019-03-06,5.99
2019-03-07,5.99
2019-03-08,5.99
2019-03-11,5.99
2019-03-12,5.99
2019-03-13,5.99
2019-03-14,5.99
2019-03-15,5.99
2019-03-18,5.99
2019-03-19,7.7
2019-03-20,7.5
2019-03-21,7.437
2019-03-22,7.437
2019-03-25,7.5
2019-03-26,7.5
2019-03-27,7.5
2019-03-28,7.5
2019-03-29,7.5
2019-04-01,7.49
2019-04-02,7.72
2019-04-03,7.72
2019-04-04,7.72
2019-04-05,7.72
2019-04-08,7.52
2019-04-09,7.68
2019-04-10,7.87
2019-04-11,8.24
2019-04-12,8.5
2019-04-15,8.36
2019-04-16,7.64
2019-04-17,7.64
2019-04-18,7.64
2019-04-22,7.68
2019-04-23,7.68
2019-04-24,7.68
2019-04-25,7.68
2019-04-26,7.65
2019-04-29,7.65
2019-04-30,7.65
2019-05-01,7.74
2019-05-02,7.98
2019-05-03,8.34
2019-05-06,8.34
2019-05-07,8.34
2019-05-08,7.81
2019-05-09,7.81
2019-05-10,7.81
2019-05-13,7.81
2019-05-14,7.81
2019-05-15,8.6
2019-05-16,8.6
2019-05-17,8.6
2019-05-20,9.326
2019-05-21,10.0
2019-05-22,9.6
2019-05-23,9.0
2019-05-24,9.0
2019-05-28,8.988
2019-05-29,8.988
2019-05-30,8.988
2019-05-31,8.988
2019-06-03,8.99
2019-06-04,8.87
2019-06-05,9.42
2019-06-06,8.89
2019-06-07,11.52
2019-06-10,10.51
2019-06-11,12.5
2019-06-12,10.5
2019-06-13,10.0
2019-06-14,9.0
2019-06-17,9.0
2019-06-18,9.0
2019-06-19,9.0
2019-06-20,9.5
2019-06-21,9.0
2019-06-24,9.5
2019-06-25,8.77
2019-06-26,9.0
2019-06-27,9.0
2019-06-28,9.0
2019-07-01,9.0
2019-07-02,9.0
2019-07-03,9.0
2019-07-05,8.93
2019-07-08,8.93
2019-07-09,8.93
2019-07-10,8.57
2019-07-11,8.7
2019-07-12,8.7
2019-07-15,8.3
2019-07-16,8.3
2019-07-17,8.3
2019-07-18,8.3
2019-07-19,8.3
2019-07-22,8.3
2019-07-23,8.3
2019-07-24,8.5
2019-07-25,8.5
2019-07-26,8.5
2019-07-29,8.5
2019-07-30,8.5
2019-07-31,8.45
2019-08-01,8.45
2019-08-02,8.45
2019-08-05,7.8
2019-08-06,7.8
2019-08-07,7.8
2019-08-08,7.18
2019-08-09,7.7
2019-08-12,7.57
2019-08-13,7.27
2019-08-14,7.0
2019-08-15,7.1
2019-08-16,7.1
2019-08-19,7.1
2019-08-20,8.862
2019-08-21,8.862
2019-08-22,8.7
2019-08-23,8.62
2019-08-26,7.77
2019-08-27,8.5
2019-08-28,8.5
2019-08-29,8.5
2019-08-30,7.79
2019-09-03,7.77
2019-09-04,7.77
2019-09-05,7.7
2019-09-06,8.08
2019-09-09,8.08
2019-09-10,8.08
2019-09-11,8.08
2019-09-12,8.7
2019-09-13,8.7
2019-09-16,8.48
2019-09-17,8.48
2019-09-18,8.45
2019-09-19,8.45
2019-09-20,8.45
2019-09-23,8.5
2019-09-24,8.5
2019-09-25,8.5
2019-09-26,8.5
2019-09-27,8.5
2019-09-30,8.5
2019-10-01,8.5
2019-10-02,8.51
2019-10-03,9.0
2019-10-04,8.7
2019-10-07,8.86
2019-10-08,8.9
2019-10-09,10.026
2019-10-10,9.5
2019-10-11,9.914
2019-10-14,9.405
2019-10-15,9.585
2019-10-16,9.749
2019-10-17,9.749
2019-10-18,9.764
2019-10-21,9.615
2019-10-22,9.528
2019-10-23,9.854
2019-10-24,9.792
2019-10-25,9.569
2019-10-28,9.569
2019-10-29,9.569
2019-10-30,9.7
2019-10-31,9.55
2019-11-01,9.55
2019-11-04,9.55
2019-11-05,9.55
2019-11-06,9.55
2019-11-07,9.55
2019-11-08,9.55
2019-11-11,9.55
2019-11-12,9.55
2019-11-13,9.55
2019-11-14,9.55
2019-11-15,8.688
2019-11-18,8.8
2019-11-19,8.8
2019-11-20,8.8
2019-11-21,8.8
2019-11-22,8.8
2019-11-25,9.591
2019-11-26,9.591
2019-11-27,10.0
2019-11-29,9.9
2019-12-02,9.9
2019-12-03,9.75
2019-12-04,9.75
2019-12-05,9.75
2019-12-06,9.433
2019-12-09,9.5
2019-12-10,9.5
2019-12-11,9.11
2019-12-12,9.17
2019-12-13,9.17
2019-12-16,9.17
2019-12-17,9.17
2019-12-18,9.7
2019-12-19,9.7
2019-12-20,9.7
2019-12-23,9.7
2019-12-24,9.7
2019-12-26,9.7
2019-12-27,9.7
2019-12-30,10.29
2019-12-31,10.836
2020-01-02,10.5
2020-01-03,10.5
2020-01-06,10.0
2020-01-07,10.0
2020-01-08,10.68
2020-01-09,10.68
2020-01-10,10.35
2020-01-13,10.3
2020-01-14,9.75
2020-01-15,10.0
2020-01-16,10.0
2020-01-17,10.0
2020-01-21,10.0
2020-01-22,10.0
2020-01-23,9.51
2020-01-24,9.312
2020-01-27,8.084
2020-01-28,8.084
2020-01-29,8.084
2020-01-30,8.45
2020-01-31,8.45
2020-02-03,7.71
2020-02-04,7.71
2020-02-05,8.0
2020-02-06,8.0
2020-02-07,8.0
2020-02-10,7.2
2020-02-11,8.062
2020-02-12,8.062
2020-02-13,8.062
2020-02-14,8.062
2020-02-18,8.062
2020-02-19,8.06
2020-02-20,8.06
2020-02-21,8.06
2020-02-24,7.3
2020-02-25,7.3
2020-02-26,7.3
2020-02-27,7.3
2020-02-28,7.3
2020-03-02,7.3
2020-03-03,7.3
2020-03-04,7.3
2020-03-05,7.3
2020-03-06,7.3
2020-03-09,7.3
2020-03-10,7.1
2020-03-11,7.1
2020-03-12,7.1
2020-03-13,9.087
2020-03-16,7.57
2020-03-17,7.25
2020-03-18,8.82
2020-03-19,7.586
2020-03-20,8.166
2020-03-23,7.14
2020-03-24,7.117
2020-03-25,7.0
2020-03-26,7.5
2020-03-27,7.5
2020-03-30,7.325
2020-03-31,7.566
2020-04-01,7.566
2020-04-02,7.566
2020-04-03,7.566
2020-04-06,7.566
2020-04-07,7.566
2020-04-08,7.84
2020-04-09,7.61
2020-04-13,7.5
2020-04-14,7.5
2020-04-15,7.5
2020-04-16,7.5
2020-04-17,7.0
2020-04-20,7.6
2020-04-21,12.5
2020-04-22,8.67
2020-04-23,8.75
2020-04-24,9.63
2020-04-27,9.45
2020-04-28,9.08
2020-04-29,8.774
2020-04-30,8.5
2020-05-01,8.23
2020-05-04,8.39
2020-05-05,7.95
2020-05-06,7.64
2020-05-07,7.81
2020-05-08,7.96
