Date,REGI
2015-07-08,11.25
2015-07-09,11.23
2015-07-10,11.31
2015-07-13,11.53
2015-07-14,11.32
2015-07-15,11.01
2015-07-16,10.98
2015-07-17,11.01
2015-07-20,10.94
2015-07-21,10.65
2015-07-22,10.76
2015-07-23,10.63
2015-07-24,10.31
2015-07-27,10.28
2015-07-28,10.39
2015-07-29,10.42
2015-07-30,10.35
2015-07-31,10.2
2015-08-03,10.2
2015-08-04,10.14
2015-08-05,10.0
2015-08-06,9.97
2015-08-07,9.77
2015-08-10,10.03
2015-08-11,9.75
2015-08-12,9.9
2015-08-13,9.71
2015-08-14,9.7
2015-08-17,9.64
2015-08-18,9.32
2015-08-19,9.14
2015-08-20,9.05
2015-08-21,8.76
2015-08-24,8.12
2015-08-25,7.67
2015-08-26,7.3
2015-08-27,7.88
2015-08-28,8.45
2015-08-31,8.42
2015-09-01,8.32
2015-09-02,8.45
2015-09-03,8.51
2015-09-04,8.3
2015-09-08,8.5
2015-09-09,8.46
2015-09-10,8.45
2015-09-11,7.82
2015-09-14,7.65
2015-09-15,7.8
2015-09-16,8.05
2015-09-17,7.94
2015-09-18,8.01
2015-09-21,8.04
2015-09-22,7.79
2015-09-23,8.14
2015-09-24,8.55
2015-09-25,8.58
2015-09-28,8.31
2015-09-29,8.0
2015-09-30,8.28
2015-10-01,8.22
2015-10-02,8.69
2015-10-05,8.99
2015-10-06,9.42
2015-10-07,9.41
2015-10-08,9.46
2015-10-09,9.44
2015-10-12,9.22
2015-10-13,9.11
2015-10-14,8.47
2015-10-15,7.72
2015-10-16,7.71
2015-10-19,7.82
2015-10-20,8.06
2015-10-21,7.64
2015-10-22,7.67
2015-10-23,7.61
2015-10-26,7.47
2015-10-27,7.62
2015-10-28,7.97
2015-10-29,7.92
2015-10-30,7.89
2015-11-02,8.04
2015-11-03,8.1
2015-11-04,8.21
2015-11-05,8.18
2015-11-06,8.19
2015-11-09,7.87
2015-11-10,7.94
2015-11-11,7.85
2015-11-12,7.33
2015-11-13,7.66
2015-11-16,7.66
2015-11-17,7.45
2015-11-18,7.75
2015-11-19,7.73
2015-11-20,7.91
2015-11-23,7.89
2015-11-24,7.99
2015-11-25,8.42
2015-11-27,8.46
2015-11-30,9.01
2015-12-01,8.88
2015-12-02,8.73
2015-12-03,8.72
2015-12-04,8.89
2015-12-07,8.34
2015-12-08,8.31
2015-12-09,8.63
2015-12-10,8.69
2015-12-11,8.38
2015-12-14,8.27
2015-12-15,8.46
2015-12-16,8.88
2015-12-17,8.61
2015-12-18,8.64
2015-12-21,9.12
2015-12-22,9.26
2015-12-23,9.22
2015-12-24,9.41
2015-12-28,9.2
2015-12-29,9.43
2015-12-30,9.25
2015-12-31,9.29
2016-01-04,9.2
2016-01-05,9.08
2016-01-06,8.95
2016-01-07,8.63
2016-01-08,8.35
2016-01-11,8.24
2016-01-12,8.18
2016-01-13,8.1
2016-01-14,7.82
2016-01-15,7.35
2016-01-19,6.67
2016-01-20,6.47
2016-01-21,6.73
2016-01-22,6.61
2016-01-25,6.23
2016-01-26,6.17
2016-01-27,6.54
2016-01-28,6.85
2016-01-29,6.93
2016-02-01,7.0
2016-02-02,6.83
2016-02-03,7.3
2016-02-04,7.11
2016-02-05,6.93
2016-02-08,6.8
2016-02-09,6.67
2016-02-10,6.46
2016-02-11,6.43
2016-02-12,6.54
2016-02-16,6.68
2016-02-17,6.85
2016-02-18,6.72
2016-02-19,6.89
2016-02-22,6.91
2016-02-23,6.73
2016-02-24,6.87
2016-02-25,6.91
2016-02-26,7.07
2016-02-29,7.29
2016-03-01,7.27
2016-03-02,7.71
2016-03-03,7.8
2016-03-04,8.03
2016-03-07,8.38
2016-03-08,8.31
2016-03-09,8.34
2016-03-10,8.24
2016-03-11,8.52
2016-03-14,8.49
2016-03-15,8.1
2016-03-16,8.61
2016-03-17,8.83
2016-03-18,8.99
2016-03-21,8.93
2016-03-22,8.76
2016-03-23,8.83
2016-03-24,9.11
2016-03-28,9.06
2016-03-29,9.17
2016-03-30,9.33
2016-03-31,9.44
2016-04-01,9.48
2016-04-04,9.4
2016-04-05,9.15
2016-04-06,9.25
2016-04-07,8.88
2016-04-08,8.97
2016-04-11,9.05
2016-04-12,9.34
2016-04-13,9.35
2016-04-14,9.33
2016-04-15,9.28
2016-04-18,9.63
2016-04-19,9.8
2016-04-20,9.8
2016-04-21,9.89
2016-04-22,9.88
2016-04-25,9.85
2016-04-26,9.98
2016-04-27,9.89
2016-04-28,9.81
2016-04-29,9.72
2016-05-02,9.59
2016-05-03,9.26
2016-05-04,9.6
2016-05-05,9.27
2016-05-06,9.29
2016-05-09,9.09
2016-05-10,9.19
2016-05-11,9.51
2016-05-12,9.2
2016-05-13,9.32
2016-05-16,9.32
2016-05-17,9.23
2016-05-18,9.31
2016-05-19,9.34
2016-05-20,9.58
2016-05-23,9.66
2016-05-24,9.76
2016-05-25,9.87
2016-05-26,8.62
2016-05-27,8.96
2016-05-31,9.21
2016-06-01,9.41
2016-06-02,9.62
2016-06-03,9.47
2016-06-06,9.45
2016-06-07,9.64
2016-06-08,9.43
2016-06-09,9.31
2016-06-10,8.96
2016-06-13,8.88
2016-06-14,8.66
2016-06-15,8.6
2016-06-16,8.47
2016-06-17,8.37
2016-06-20,8.38
2016-06-21,8.41
2016-06-22,8.58
2016-06-23,8.89
2016-06-24,8.62
2016-06-27,7.95
2016-06-28,8.18
2016-06-29,8.19
2016-06-30,8.83
2016-07-01,8.86
2016-07-05,8.6
2016-07-06,8.83
2016-07-07,8.36
2016-07-08,8.51
2016-07-11,8.85
2016-07-12,8.87
2016-07-13,8.8
2016-07-14,8.91
2016-07-15,8.91
2016-07-18,8.92
2016-07-19,8.89
2016-07-20,8.87
2016-07-21,8.93
2016-07-22,8.9
2016-07-25,8.83
2016-07-26,8.86
2016-07-27,9.13
2016-07-28,9.38
2016-07-29,9.75
2016-08-01,9.45
2016-08-02,9.47
2016-08-03,9.74
2016-08-04,9.65
2016-08-05,9.64
2016-08-08,9.66
2016-08-09,9.61
2016-08-10,9.38
2016-08-11,9.41
2016-08-12,9.25
2016-08-15,9.22
2016-08-16,9.08
2016-08-17,9.13
2016-08-18,9.23
2016-08-19,9.29
2016-08-22,8.92
2016-08-23,8.85
2016-08-24,8.58
2016-08-25,8.72
2016-08-26,8.7
2016-08-29,8.69
2016-08-30,8.77
2016-08-31,8.97
2016-09-01,8.87
2016-09-02,8.88
2016-09-06,8.82
2016-09-07,8.83
2016-09-08,8.89
2016-09-09,8.46
2016-09-12,8.59
2016-09-13,8.24
2016-09-14,8.07
2016-09-15,8.16
2016-09-16,8.07
2016-09-19,8.25
2016-09-20,8.14
2016-09-21,8.3
2016-09-22,8.45
2016-09-23,8.27
2016-09-26,7.97
2016-09-27,8.06
2016-09-28,8.38
2016-09-29,8.26
2016-09-30,8.47
2016-10-03,8.45
2016-10-04,8.7
2016-10-05,8.81
2016-10-06,9.22
2016-10-07,9.07
2016-10-10,9.08
2016-10-11,9.02
2016-10-12,9.02
2016-10-13,8.85
2016-10-14,8.87
2016-10-17,8.87
2016-10-18,8.85
2016-10-19,9.13
2016-10-20,9.04
2016-10-21,9.09
2016-10-24,9.06
2016-10-25,8.8
2016-10-26,8.66
2016-10-27,8.5
2016-10-28,8.51
2016-10-31,8.75
2016-11-01,8.8
2016-11-02,9.05
2016-11-03,8.35
2016-11-04,8.4
2016-11-07,8.85
2016-11-08,9.25
2016-11-09,9.0
2016-11-10,9.35
2016-11-11,9.2
2016-11-14,9.3
2016-11-15,9.15
2016-11-16,9.3
2016-11-17,9.15
2016-11-18,9.5
2016-11-21,9.7
2016-11-22,9.6
2016-11-23,9.8
2016-11-25,9.75
2016-11-28,9.65
2016-11-29,9.6
2016-11-30,9.75
2016-12-01,9.9
2016-12-02,9.8
2016-12-05,9.9
2016-12-06,9.85
2016-12-07,10.25
2016-12-08,10.35
2016-12-09,10.25
2016-12-12,10.0
2016-12-13,10.05
2016-12-14,9.6
2016-12-15,9.55
2016-12-16,9.75
2016-12-19,9.8
2016-12-20,10.05
2016-12-21,10.05
2016-12-22,9.85
2016-12-23,9.9
2016-12-27,9.95
2016-12-28,10.0
2016-12-29,9.9
2016-12-30,9.7
2017-01-03,9.95
2017-01-04,9.9
2017-01-05,9.65
