Date,GBL
2000-09-08,15.549273000000001
2000-09-11,16.087776
2000-09-12,16.828218
2000-09-13,16.592623
2000-09-14,15.986807
2000-09-15,15.414647
2000-09-18,14.606893
2000-09-19,14.203014999999999
2000-09-20,14.943457999999998
2000-09-21,15.145396
2000-09-22,15.414647
2000-09-25,15.784868
2000-09-26,15.784868
2000-09-27,16.155088
2000-09-28,16.155088
2000-09-29,16.155088
2000-10-02,16.357027
2000-10-03,16.121433
2000-10-04,15.885838
2000-10-05,15.48196
2000-10-06,14.64055
2000-10-09,14.404954
2000-10-10,14.438610999999998
2000-10-11,14.135703
2000-10-12,13.900107
2000-10-13,14.102046
2000-10-16,14.203014999999999
2000-10-17,14.64055
2000-10-18,14.808831
2000-10-19,16.155088
2000-10-20,16.693592000000002
2000-10-23,17.568659
2000-10-24,17.164782000000002
2000-10-25,17.131126000000002
2000-10-26,16.895531
2000-10-27,17.265751
2000-10-30,18.477383
2000-10-31,19.386105999999998
2000-11-01,18.712978
2000-11-02,18.746634
2000-11-03,19.184168
2000-11-06,18.982229
2000-11-07,18.679320999999998
2000-11-08,18.443726
2000-11-09,18.275444
2000-11-10,17.669628
2000-11-13,16.895531
2000-11-14,17.097469
2000-11-15,17.097469
2000-11-16,16.054119
2000-11-17,16.222403
2000-11-20,15.179051999999999
2000-11-21,14.775175
2000-11-22,14.808831
2000-11-24,15.078083
2000-11-27,15.717554999999999
2000-11-28,15.48196
2000-11-29,14.741519
2000-11-30,14.64055
2000-12-01,14.876144
2000-12-04,14.674206
2000-12-05,14.842488000000001
2000-12-06,15.01077
2000-12-07,14.775175
2000-12-08,14.707861999999999
2000-12-11,15.01077
2000-12-12,15.347335000000001
2000-12-13,15.414647
2000-12-14,16.121433
2000-12-15,15.986807
2000-12-18,15.95315
2000-12-19,15.683898999999998
2000-12-20,15.650242
2000-12-21,15.784868
2000-12-22,15.95315
2000-12-26,16.289715
2000-12-27,16.861874
2000-12-28,17.131126000000002
2000-12-29,17.871567000000002
2001-01-02,16.424341000000002
2001-01-03,17.265751
2001-01-04,17.063812
2001-01-05,16.592623
2001-01-08,16.727249
2001-01-09,16.491653
2001-01-10,16.155088
2001-01-11,15.818523999999998
2001-01-12,15.717554999999999
2001-01-16,16.760904
2001-01-17,17.938879
2001-01-18,18.578352
2001-01-19,17.73694
2001-01-22,18.208132
2001-01-23,18.241787
2001-01-24,18.107162
2001-01-25,18.174475
2001-01-26,18.107162
2001-01-29,18.120625
2001-01-30,18.11524
2001-01-31,19.170706
2001-02-01,19.170706
2001-02-02,19.036079
2001-02-05,18.901453
2001-02-06,18.982229
2001-02-07,19.063005
2001-02-08,19.08993
2001-02-09,18.282175
2001-02-12,17.38826
2001-02-13,17.31287
2001-02-14,17.25902
2001-02-15,17.25902
2001-02-16,17.183629999999997
2001-02-20,17.027464000000002
2001-02-21,16.128164
2001-02-22,15.912763
2001-02-23,15.42811
2001-02-26,15.562736
2001-02-27,16.160475
2001-02-28,16.171244
2001-03-01,15.616585999999998
2001-03-02,15.48196
2001-03-05,15.562736
2001-03-06,15.611201000000001
2001-03-07,15.358104999999998
2001-03-08,15.729671
2001-03-09,15.751210999999998
2001-03-12,15.778137
2001-03-13,16.499731
2001-03-14,15.885838
2001-03-15,16.052773000000002
2001-03-16,16.112009
2001-03-19,16.343564999999998
2001-03-20,16.693592000000002
2001-03-21,16.521271
2001-03-22,16.27356
2001-03-23,16.472804999999997
2001-03-26,16.822832000000002
2001-03-27,17.189014
2001-03-28,17.447495999999997
2001-03-29,17.797523
2001-03-30,18.039848000000003
2001-04-02,17.770597
2001-04-03,17.016693
2001-04-04,16.720516
2001-04-05,16.908993
2001-04-06,17.205170000000003
2001-04-09,17.232096
2001-04-10,17.609047
2001-04-11,18.454496
2001-04-12,18.766829
2001-04-16,18.858373999999998
2001-04-17,18.928379
2001-04-18,20.301561
2001-04-19,20.03231
2001-04-20,20.005384
2001-04-23,19.929995
2001-04-24,20.1077
2001-04-25,20.813139000000003
2001-04-26,20.840065
2001-04-27,21.540119
2001-04-30,21.265482000000002
2001-05-01,20.861604999999997
2001-05-02,21.141626000000002
2001-05-03,20.947765
2001-05-04,20.705439000000002
2001-05-07,21.238556
2001-05-08,20.726978
2001-05-09,20.409262
2001-05-10,20.468498
2001-05-11,20.409262
2001-05-14,20.463112
2001-05-15,20.694670000000002
2001-05-16,20.759289000000003
2001-05-17,20.759289000000003
2001-05-18,20.786215
2001-05-21,20.786215
2001-05-22,20.980076
2001-05-23,21.001616000000002
2001-05-24,21.033926
2001-05-25,21.017771
2001-05-29,21.007
2001-05-30,21.012386
2001-05-31,21.373182
2001-06-01,21.190092
2001-06-04,21.211632
2001-06-05,21.211632
2001-06-06,21.179320999999998
2001-06-07,21.405493
2001-06-08,21.540119
2001-06-11,21.728594
2001-06-12,22.358643
2001-06-13,22.353258
2001-06-14,21.976305
2001-06-15,21.540119
2001-06-18,21.545504
2001-06-19,21.863220000000002
2001-06-20,22.051697
2001-06-21,22.358643
2001-06-22,21.863220000000002
2001-06-25,21.669359
2001-06-26,21.70167
2001-06-27,21.970921
2001-06-28,22.87022
2001-06-29,22.159397
2001-07-02,22.078621
2001-07-03,22.078621
2001-07-05,22.078621
2001-07-06,22.127087
2001-07-09,22.105547
2001-07-10,22.347873999999997
2001-07-11,21.270866
2001-07-12,21.550888
2001-07-13,21.270866
2001-07-16,20.8993
2001-07-17,20.732364999999998
2001-07-18,20.920839
2001-07-19,21.64782
2001-07-20,21.631664
2001-07-23,21.674744
2001-07-24,21.567042999999998
2001-07-25,21.567042999999998
2001-07-26,21.917070000000002
2001-07-27,22.229403
2001-07-30,22.428648000000003
2001-07-31,22.584814
2001-08-01,22.934841
2001-08-02,23.317179
2001-08-03,22.832525
2001-08-06,22.773291
2001-08-07,22.886375
2001-08-08,23.54335
2001-08-09,23.451802999999998
2001-08-10,23.575658999999998
2001-08-13,24.302639000000003
2001-08-14,25.255789
2001-08-15,25.901993
2001-08-16,24.717285
2001-08-17,24.47496
2001-08-20,25.740442
2001-08-21,25.767366
2001-08-22,25.875067
2001-08-23,25.137318
2001-08-24,25.175013
2001-08-27,25.158859
2001-08-28,24.178783
2001-08-29,23.850296
2001-08-30,22.967152
2001-08-31,22.832525
2001-09-04,22.63328
2001-09-05,23.613356
2001-09-06,23.209478
2001-09-07,22.014001999999998
2001-09-10,22.886375
2001-09-17,21.997847
2001-09-18,20.527732999999998
2001-09-19,19.520733
2001-09-20,18.524502
2001-09-21,16.817448000000002
2001-09-24,18.729134
2001-09-25,19.439957
2001-09-26,19.14378
2001-09-27,19.332256
2001-09-28,19.838449
2001-10-01,19.601507
2001-10-02,19.87076
2001-10-03,20.274637
2001-10-04,21.001616000000002
2001-10-05,21.362413
2001-10-08,21.217016
2001-10-09,20.840065
2001-10-10,21.270866
2001-10-11,21.346258
2001-10-12,21.728594
2001-10-15,21.717825
2001-10-16,21.997847
2001-10-17,21.351643
2001-10-18,20.786215
2001-10-19,20.387722
2001-10-22,20.403876999999998
2001-10-23,20.301561
2001-10-24,19.951534
2001-10-25,20.597738
2001-10-26,19.951534
2001-10-29,19.386105999999998
2001-10-30,19.19763
2001-10-31,20.03231
2001-11-01,20.274637
2001-11-02,20.516962
2001-11-05,21.378567
2001-11-06,21.513192999999998
2001-11-07,21.620893
2001-11-08,21.626279999999998
2001-11-09,21.163166
2001-11-12,21.03931
2001-11-13,22.078621
2001-11-14,22.401723999999998
2001-11-15,22.670975
2001-11-16,22.810986
2001-11-19,22.681746
2001-11-20,22.159397
2001-11-21,21.782444
2001-11-23,21.782444
2001-11-26,22.617125
2001-11-27,22.105547
2001-11-28,22.105547
2001-11-29,22.401723999999998
2001-11-30,22.617125
2001-12-03,22.665589999999998
2001-12-04,22.778675
2001-12-05,23.812601
2001-12-06,24.071082999999998
2001-12-07,23.4895
2001-12-10,23.209478
2001-12-11,23.155628
2001-12-12,23.155628
2001-12-13,23.317179
2001-12-14,23.290253
2001-12-17,23.101776
2001-12-18,23.091007
2001-12-19,23.128702
2001-12-20,23.047926
2001-12-21,23.047926
2001-12-24,23.128702
2001-12-26,23.505653
2001-12-27,23.80183
2001-12-28,23.559504999999998
2001-12-31,23.263329000000002
2002-01-02,23.015617000000002
2002-01-03,22.902531
2002-01-04,23.101776
2002-01-07,22.891762
2002-01-08,22.913301
2002-01-09,22.821756
2002-01-10,22.563274
2002-01-11,22.320948
2002-01-14,21.987076000000002
2002-01-15,22.805601
2002-01-16,22.74098
2002-01-17,23.274097
2002-01-18,23.236403
2002-01-22,23.155628
2002-01-23,23.236403
2002-01-24,23.80183
2002-01-25,23.882607
2002-01-28,23.209478
2002-01-29,22.509424
2002-01-30,21.001616000000002
2002-01-31,21.217016
2002-02-01,21.007
2002-02-04,20.926226
2002-02-05,20.850834
2002-02-06,20.920839
2002-02-07,20.813139000000003
2002-02-08,21.378567
2002-02-11,21.217016
2002-02-12,20.936995
2002-02-13,20.920839
2002-02-14,20.608508999999998
2002-02-15,20.516962
2002-02-19,19.445341
2002-02-20,19.687668
2002-02-21,20.113085
2002-02-22,20.247711
2002-02-25,20.231556
2002-02-26,20.500807000000002
2002-02-27,20.516962
2002-02-28,20.732364999999998
2002-03-01,21.017771
2002-03-04,21.190092
2002-03-05,21.432419
2002-03-06,21.637048999999998
2002-03-07,21.728594
2002-03-08,21.674744
2002-03-11,21.507808999999998
2002-03-12,21.297792
2002-03-13,20.678514
2002-03-14,20.840065
2002-03-15,20.840065
2002-03-18,21.270866
2002-03-19,21.281637
2002-03-20,21.136242000000003
2002-03-21,21.001616000000002
2002-03-22,21.028542
2002-03-25,20.678514
2002-03-26,20.673128
2002-03-27,21.109316
2002-03-28,21.378567
2002-04-01,21.459343
2002-04-02,21.64782
2002-04-03,21.486269
2002-04-04,21.604738
2002-04-05,21.383952999999998
2002-04-08,21.432419
2002-04-09,21.254711
2002-04-10,21.243942
2002-04-11,20.759289000000003
2002-04-12,20.947765
2002-04-15,20.732364999999998
2002-04-16,21.405493
2002-04-17,21.217016
2002-04-18,21.163166
2002-04-19,21.147011
2002-04-22,21.190092
2002-04-23,20.95315
2002-04-24,20.947765
2002-04-25,20.759289000000003
2002-04-26,20.516962
2002-04-29,20.651588
2002-04-30,21.001616000000002
2002-05-01,21.459343
2002-05-02,21.432419
2002-05-03,21.540119
2002-05-06,21.367798
2002-05-07,21.540119
2002-05-08,21.997847
2002-05-09,21.055466
2002-05-10,20.990845
2002-05-13,21.16855
2002-05-14,21.367798
2002-05-15,21.593969
2002-05-16,21.346258
2002-05-17,21.556274
2002-05-20,21.529348000000002
2002-05-21,21.513192999999998
2002-05-22,21.518578
2002-05-23,21.863220000000002
2002-05-24,21.760904
2002-05-28,21.529348000000002
2002-05-29,21.518578
2002-05-30,21.227787
2002-05-31,21.136242000000003
2002-06-03,21.572428
2002-06-04,21.470114000000002
2002-06-05,21.163166
2002-06-06,20.339256
2002-06-07,19.81691
2002-06-10,19.92461
2002-06-11,19.833064999999998
2002-06-12,19.87076
2002-06-13,19.569197
2002-06-14,19.332256
2002-06-17,19.493807
2002-06-18,19.655357000000002
2002-06-19,19.709208
2002-06-20,19.429188
2002-06-21,19.682282999999998
2002-06-24,20.247711
2002-06-25,19.833064999999998
2002-06-26,19.224556
2002-06-27,19.251479999999997
2002-06-28,19.655357000000002
2002-07-01,19.714594
2002-07-02,19.224556
2002-07-03,18.309101000000002
2002-07-05,18.529885999999998
2002-07-08,18.228325
2002-07-09,17.851374
2002-07-10,17.447495999999997
2002-07-11,17.205170000000003
2002-07-12,17.226709
2002-07-15,16.865913
2002-07-16,16.828218
2002-07-17,16.801292
2002-07-18,15.465805
2002-07-19,15.239633999999999
2002-07-22,14.970382999999998
2002-07-23,15.131932999999998
2002-07-24,16.505116
2002-07-25,16.424341000000002
2002-07-26,16.235865
2002-07-29,16.047388
2002-07-30,16.047388
2002-07-31,15.831987
2002-08-01,15.670435999999999
2002-08-02,14.701131
2002-08-05,14.098007
2002-08-06,13.952612
2002-08-07,13.947227
2002-08-08,13.667205
2002-08-09,13.984921
2002-08-12,15.858912
2002-08-13,15.320409
2002-08-14,17.102854
2002-08-15,17.25902
2002-08-16,17.016693
2002-08-19,17.016693
2002-08-20,17.070543
2002-08-21,17.178244
2002-08-22,17.474421
2002-08-23,17.614431
2002-08-26,17.447495999999997
2002-08-27,16.952074
2002-08-28,16.289715
2002-08-29,16.505116
2002-08-30,16.558966
2002-09-03,16.155088
2002-09-04,16.219708999999998
2002-09-05,16.020464
2002-09-06,16.176628
2002-09-09,16.047388
2002-09-10,16.235865
2002-09-11,16.036617
2002-09-12,16.262789
2002-09-13,16.311255
2002-09-16,16.548197000000002
2002-09-17,16.451265
2002-09-18,16.365105
2002-09-19,15.907376999999999
2002-09-20,15.724286
2002-09-23,14.754980999999999
2002-09-24,14.701131
2002-09-25,14.647281
2002-09-26,15.320409
2002-09-27,16.505116
2002-09-30,15.966613
2002-10-01,16.343564999999998
2002-10-02,16.025848
2002-10-03,15.901993
2002-10-04,16.047388
2002-10-07,15.616585999999998
2002-10-08,15.697360999999999
2002-10-09,15.239633999999999
2002-10-10,15.374260000000001
2002-10-11,15.831987
2002-10-14,15.751210999999998
2002-10-15,16.289715
2002-10-16,16.451265
2002-10-17,16.370489000000003
2002-10-18,16.515886
2002-10-21,16.478191
2002-10-22,16.316639000000002
2002-10-23,16.682821
2002-10-24,16.370489000000003
2002-10-25,16.682821
2002-10-28,16.521271
2002-10-29,16.068928
2002-10-30,15.955843
2002-10-31,16.052773000000002
2002-11-01,16.316639000000002
2002-11-04,16.618202
2002-11-05,15.724286
2002-11-06,16.14432
2002-11-07,15.411954999999999
2002-11-08,15.347335000000001
2002-11-11,14.921917
2002-11-12,14.970382999999998
2002-11-13,14.970382999999998
2002-11-14,15.131932999999998
2002-11-15,15.218094
2002-11-18,14.938072
2002-11-19,14.889606
2002-11-20,15.444265
2002-11-21,15.266558999999999
2002-11-22,15.939688
2002-11-25,16.54281
2002-11-26,17.070543
2002-11-27,17.964458
2002-11-29,17.770597
2002-12-02,17.770597
2002-12-03,17.679052
2002-12-04,17.630587
2002-12-05,17.285946
2002-12-06,17.31287
2002-12-09,17.151320000000002
2002-12-10,17.31287
2002-12-11,17.609047
2002-12-12,17.372104999999998
2002-12-13,17.205170000000003
2002-12-16,17.501347
2002-12-17,17.42057
2002-12-18,16.849757999999998
2002-12-19,16.790522
2002-12-20,16.801292
2002-12-23,16.795907999999997
2002-12-24,16.725903
2002-12-26,16.672051999999997
2002-12-27,16.418955
2002-12-30,16.149704
2002-12-31,16.176628
2003-01-02,16.828218
2003-01-03,16.882069
2003-01-06,17.512114999999998
2003-01-07,17.716747
2003-01-08,17.533657
2003-01-09,17.571351999999997
2003-01-10,17.609047
2003-01-13,17.932148
2003-01-14,17.689823
2003-01-15,17.452881
2003-01-16,17.770597
2003-01-17,17.474421
2003-01-21,16.935919000000002
2003-01-22,17.124392999999998
2003-01-23,16.768982
2003-01-24,16.257404
2003-01-27,16.19817
2003-01-28,16.785137
2003-01-29,16.634356
2003-01-30,16.203554
2003-01-31,16.596660999999997
2003-02-03,16.558966
2003-02-04,16.639742000000002
2003-02-05,16.602047
2003-02-06,16.235865
2003-02-07,15.735057000000001
2003-02-10,15.724286
2003-02-11,15.616585999999998
2003-02-12,15.632741000000001
2003-02-13,15.455035
2003-02-14,15.724286
2003-02-18,15.589660999999998
2003-02-19,15.519654999999998
2003-02-20,15.498116
2003-02-21,15.390414000000002
2003-02-24,15.341949
2003-02-25,15.465805
2003-02-26,15.401185
2003-02-27,15.336564000000001
2003-02-28,15.298869
2003-03-03,15.185782999999999
2003-03-04,15.185782999999999
2003-03-05,14.862681
2003-03-06,14.351104000000001
2003-03-07,14.491114999999999
2003-03-10,14.065698000000001
2003-03-11,13.952612
2003-03-12,13.785676
2003-03-13,14.178783
2003-03-14,14.297254
2003-03-17,14.674206
2003-03-18,15.341949
2003-03-19,14.749597
2003-03-20,15.196553
2003-03-21,15.643510999999998
2003-03-24,15.212708
2003-03-25,15.331179999999998
2003-03-26,15.196553
2003-03-27,15.55735
2003-03-28,16.047388
2003-03-31,14.835756
2003-04-01,15.029617000000002
2003-04-02,15.374260000000001
2003-04-03,15.358104999999998
2003-04-04,15.42811
2003-04-07,15.740441
2003-04-08,15.778137
2003-04-09,15.665051
2003-04-10,14.991922
2003-04-11,15.121163000000001
2003-04-14,15.298869
2003-04-15,15.298869
2003-04-16,15.55735
2003-04-17,15.815832
2003-04-21,15.805062
2003-04-22,15.939688
2003-04-23,16.047388
2003-04-24,15.896607000000001
2003-04-25,16.4028
2003-04-28,16.801292
2003-04-29,16.828218
2003-04-30,16.833603
2003-05-01,16.208939
2003-05-02,16.203554
2003-05-05,16.160475
2003-05-06,16.160475
2003-05-07,16.268175
2003-05-08,15.966613
2003-05-09,15.616585999999998
2003-05-12,15.616585999999998
2003-05-13,15.691977
2003-05-14,15.525041
2003-05-15,15.43888
2003-05-16,15.831987
2003-05-19,15.670435999999999
2003-05-20,15.756597
2003-05-21,15.858912
2003-05-22,16.047388
2003-05-23,15.982768
2003-05-27,16.025848
2003-05-28,16.19817
2003-05-29,16.219708999999998
2003-05-30,16.795907999999997
2003-06-02,16.968227
2003-06-03,17.097469
2003-06-04,17.662897
2003-06-05,18.201401
2003-06-06,18.454496
2003-06-09,18.508347
2003-06-10,18.589123
2003-06-11,17.910608
2003-06-12,18.228325
2003-06-13,17.835217999999998
2003-06-16,18.11524
2003-06-17,18.556812
2003-06-18,18.502962
2003-06-19,18.632202
