Date,TTD
2018-04-04,47.900002
2018-04-05,48.990002000000004
2018-04-06,47.68
2018-04-09,47.939999
2018-04-10,49.740002000000004
2018-04-11,50.860001000000004
2018-04-12,52.09
2018-04-13,52.290001000000004
2018-04-16,52.560001
2018-04-17,54.209998999999996
2018-04-18,54.049999
2018-04-19,53.98
2018-04-20,54.130001
2018-04-23,53.720001
2018-04-24,52.5
2018-04-25,51.009997999999996
2018-04-26,52.110001000000004
2018-04-27,51.740002000000004
2018-04-30,51.169998
2018-05-01,49.450001
2018-05-02,49.34
2018-05-03,49.439999
2018-05-04,49.43
2018-05-07,50.889998999999996
2018-05-08,50.939999
2018-05-09,51.52
2018-05-10,52.73
2018-05-11,75.610001
2018-05-14,74.91999799999999
2018-05-15,80.220001
2018-05-16,80.75
2018-05-17,80.440002
2018-05-18,85.629997
2018-05-21,82.959999
2018-05-22,82.230003
2018-05-23,82.959999
2018-05-24,82.989998
2018-05-25,82.559998
2018-05-29,82.730003
2018-05-30,84.540001
2018-05-31,85.529999
2018-06-01,86.639999
2018-06-04,83.199997
2018-06-05,87.93
2018-06-06,86.269997
2018-06-07,86.550003
2018-06-08,88.620003
2018-06-11,88.82
2018-06-12,90.769997
2018-06-13,90.059998
2018-06-14,90.529999
2018-06-15,90.120003
2018-06-18,92.91999799999999
2018-06-19,91.489998
2018-06-20,93.360001
2018-06-21,91.540001
2018-06-22,92.059998
2018-06-25,89.339996
2018-06-26,91.650002
2018-06-27,89.58000200000001
2018-06-28,92.209999
2018-06-29,93.800003
2018-07-02,94.199997
2018-07-03,91.0
2018-07-05,92.769997
2018-07-06,94.0
2018-07-09,94.550003
2018-07-10,92.690002
2018-07-11,91.639999
2018-07-12,94.83000200000001
2018-07-13,94.139999
2018-07-16,93.33000200000001
2018-07-17,94.900002
2018-07-18,95.18
2018-07-19,94.699997
2018-07-20,97.300003
2018-07-23,94.879997
2018-07-24,90.25
2018-07-25,93.139999
2018-07-26,92.790001
2018-07-27,89.5
2018-07-30,85.959999
2018-07-31,84.32
2018-08-01,86.839996
2018-08-02,88.489998
2018-08-03,86.870003
2018-08-06,89.139999
2018-08-07,90.129997
2018-08-08,91.370003
2018-08-09,93.290001
2018-08-10,127.93
2018-08-13,125.690002
2018-08-14,133.0
2018-08-15,126.690002
2018-08-16,127.239998
2018-08-17,125.610001
2018-08-20,125.360001
2018-08-21,129.029999
2018-08-22,129.679993
2018-08-23,136.699997
2018-08-24,138.350006
2018-08-27,139.720001
2018-08-28,140.08999599999999
2018-08-29,141.66000400000001
2018-08-30,140.779999
2018-08-31,141.880005
2018-09-04,146.690002
2018-09-05,141.889999
2018-09-06,139.25
2018-09-07,141.970001
2018-09-10,142.440002
2018-09-11,147.720001
2018-09-12,145.83999599999999
2018-09-13,145.619995
2018-09-14,146.08999599999999
2018-09-17,142.649994
2018-09-18,144.729996
2018-09-19,144.850006
2018-09-20,143.229996
2018-09-21,141.860001
2018-09-24,139.33999599999999
2018-09-25,154.679993
2018-09-26,155.75
2018-09-27,154.919998
