Date,OPB
2015-09-09,37.290001000000004
2015-09-10,38.650002
2015-09-11,38.459998999999996
2015-09-14,38.25
2015-09-15,38.5
2015-09-16,38.650002
2015-09-17,38.0
2015-09-18,37.049999
2015-09-21,37.349998
2015-09-22,36.740002000000004
2015-09-23,36.93
2015-09-24,37.169998
2015-09-25,37.77
2015-09-28,37.200001
2015-09-29,36.849998
2015-09-30,38.240002000000004
2015-10-01,37.439999
2015-10-02,37.84
2015-10-05,37.959998999999996
2015-10-06,37.380001
2015-10-07,37.830002
2015-10-08,37.98
2015-10-09,37.380001
2015-10-12,37.880001
2015-10-13,37.400002
2015-10-14,36.740002000000004
2015-10-15,36.75
2015-10-16,36.77
2015-10-19,37.560001
2015-10-20,37.57
2015-10-21,36.799999
2015-10-22,37.700001
2015-10-23,38.490002000000004
2015-10-26,36.599998
2015-10-27,36.189999
2015-10-28,37.150002
2015-10-29,37.93
2015-10-30,37.25
2015-11-02,38.200001
2015-11-03,37.189999
2015-11-04,36.540001000000004
2015-11-05,37.0
2015-11-06,37.965
2015-11-09,38.799999
2015-11-10,39.810001
2015-11-11,39.889998999999996
2015-11-12,39.66
2015-11-13,39.119999
2015-11-16,38.93
2015-11-17,36.889998999999996
2015-11-18,36.59
2015-11-19,36.68
2015-11-20,37.48
2015-11-23,38.459998999999996
2015-11-24,38.330002
2015-11-25,39.459998999999996
2015-11-27,39.139998999999996
2015-11-30,39.380001
2015-12-01,39.490002000000004
2015-12-02,38.240002000000004
2015-12-03,38.0
2015-12-04,37.849998
2015-12-07,37.689999
2015-12-08,36.939999
2015-12-09,36.77
2015-12-10,37.139998999999996
2015-12-11,36.810001
2015-12-14,36.27
2015-12-15,36.689999
2015-12-16,36.66
2015-12-17,37.27
2015-12-18,36.799999
2015-12-21,36.779999
2015-12-22,36.75
2015-12-23,36.970001
2015-12-24,36.939999
2015-12-28,37.369999
2015-12-29,37.75
2015-12-30,37.549999
2015-12-31,36.970001
2016-01-04,35.310001
2016-01-05,35.240002000000004
2016-01-06,35.060001
2016-01-07,35.330002
2016-01-08,35.310001
2016-01-11,34.27
2016-01-12,34.130001
2016-01-13,33.09
2016-01-14,33.299999
2016-01-15,32.040001000000004
2016-01-19,31.549999
2016-01-20,31.809998999999998
2016-01-21,32.220001
2016-01-22,33.259997999999996
2016-01-25,30.75
2016-01-26,32.040001000000004
2016-01-27,31.799999
2016-01-28,32.470001
2016-01-29,32.990002000000004
2016-02-01,32.310001
2016-02-02,32.049999
2016-02-03,31.530001000000002
2016-02-04,30.969998999999998
2016-02-05,30.43
2016-02-08,29.780001000000002
2016-02-09,30.549999
2016-02-10,30.51
2016-02-11,29.83
2016-02-12,30.33
2016-02-16,30.93
2016-02-17,31.18
2016-02-18,30.92
2016-02-19,31.209999
2016-02-22,31.98
2016-02-23,31.440001000000002
2016-02-24,31.459999
2016-02-25,32.029999
2016-02-26,32.119999
2016-02-29,32.259997999999996
2016-03-01,33.509997999999996
2016-03-02,33.91
2016-03-03,34.099998
2016-03-04,34.07
2016-03-07,34.52
2016-03-08,34.439999
2016-03-09,34.630001
2016-03-10,34.16
2016-03-11,35.009997999999996
2016-03-14,34.689999
2016-03-15,34.310001
2016-03-16,33.700001
2016-03-17,34.59
2016-03-18,35.040001000000004
2016-03-21,34.459998999999996
2016-03-22,34.439999
2016-03-23,34.07
2016-03-24,33.700001
2016-03-28,33.790001000000004
2016-03-29,34.009997999999996
2016-03-30,34.02
2016-03-31,34.0
2016-04-01,34.360001000000004
2016-04-04,33.849998
2016-04-05,32.950001
2016-04-06,32.32
2016-04-07,32.529999
2016-04-08,32.540001000000004
2016-04-11,32.860001000000004
2016-04-12,33.040001000000004
2016-04-13,34.009997999999996
2016-04-14,34.290001000000004
2016-04-15,33.779999
2016-04-18,33.830002
2016-04-19,34.23
2016-04-20,34.169998
2016-04-21,34.18
2016-04-22,34.709998999999996
2016-04-25,33.939999
2016-04-26,34.939999
2016-04-27,36.669998
2016-04-28,36.200001
2016-04-29,36.119999
2016-05-02,36.139998999999996
2016-05-03,35.18
2016-05-04,34.950001
2016-05-05,34.16
2016-05-06,34.490002000000004
2016-05-09,34.650002
2016-05-10,35.060001
2016-05-11,34.990002000000004
2016-05-12,35.32
2016-05-13,35.060001
2016-05-16,35.98
2016-05-17,35.810001
2016-05-18,37.18
2016-05-19,36.869999
2016-05-20,37.139998999999996
2016-05-23,37.09
2016-05-24,37.650002
2016-05-25,37.919998
2016-05-26,37.619999
2016-05-27,37.82
2016-05-31,37.66
2016-06-01,37.82
2016-06-02,37.689999
2016-06-03,37.389998999999996
2016-06-06,37.560001
2016-06-07,37.599998
2016-06-08,37.66
2016-06-09,37.360001000000004
2016-06-10,37.27
2016-06-13,36.82
2016-06-14,35.91
2016-06-15,35.759997999999996
2016-06-16,35.790001000000004
2016-06-17,35.860001000000004
2016-06-20,36.279999
2016-06-21,36.389998999999996
2016-06-22,36.07
2016-06-23,37.110001000000004
2016-06-24,33.709998999999996
2016-06-27,31.719998999999998
2016-06-28,32.32
2016-06-29,33.490002000000004
2016-06-30,33.799999
2016-07-01,33.240002000000004
2016-07-05,32.68
2016-07-06,32.5
2016-07-07,33.189999
2016-07-08,34.419998
2016-07-11,34.709998999999996
2016-07-12,35.5
2016-07-13,35.919998
2016-07-14,36.380001
2016-07-15,36.610001000000004
