Date,LM
1985-01-14,1.7
1985-01-15,1.74
1985-01-16,1.82
1985-01-17,1.8
1985-01-18,1.8
1985-01-21,1.86
1985-01-22,1.9
1985-01-23,2.0
1985-01-24,2.0
1985-01-25,2.08
1985-01-28,2.1
1985-01-29,2.16
1985-01-30,2.18
1985-01-31,2.2
1985-02-01,2.2
1985-02-04,2.18
1985-02-05,2.3
1985-02-06,2.24
1985-02-07,2.4
1985-02-08,2.4
1985-02-11,2.36
1985-02-12,2.32
1985-02-13,2.32
1985-02-14,2.32
1985-02-15,2.3
1985-02-19,2.22
1985-02-20,2.2
1985-02-21,2.14
1985-02-22,2.16
1985-02-25,2.14
1985-02-26,2.2
1985-02-27,2.22
1985-02-28,2.22
1985-03-01,2.26
1985-03-04,2.24
1985-03-05,2.26
1985-03-06,2.28
1985-03-07,2.26
1985-03-08,2.24
1985-03-11,2.26
1985-03-12,2.24
1985-03-13,2.26
1985-03-14,2.2
1985-03-15,2.2
1985-03-18,2.18
1985-03-19,2.2
1985-03-20,2.24
1985-03-21,2.24
1985-03-22,2.28
1985-03-25,2.36
1985-03-26,2.4
1985-03-27,2.4
1985-03-28,2.36
1985-03-29,2.36
1985-04-01,2.38
1985-04-02,2.36
1985-04-03,2.32
1985-04-04,2.34
1985-04-08,2.24
1985-04-09,2.24
1985-04-10,2.26
1985-04-11,2.3
1985-04-12,2.28
1985-04-15,2.28
1985-04-16,2.26
1985-04-17,2.32
1985-04-18,2.26
1985-04-19,2.26
1985-04-22,2.26
1985-04-23,2.26
1985-04-24,2.22
1985-04-25,2.26
1985-04-26,2.24
1985-04-29,2.18
1985-04-30,2.16
1985-05-01,2.16
1985-05-02,2.14
1985-05-03,2.24
1985-05-06,2.18
1985-05-07,2.18
1985-05-08,2.2
1985-05-09,2.18
1985-05-10,2.28
1985-05-13,2.24
1985-05-14,2.26
1985-05-15,2.26
1985-05-16,2.26
1985-05-17,2.3
1985-05-20,2.42
1985-05-21,2.4
1985-05-22,2.4
1985-05-23,2.4
1985-05-24,2.42
1985-05-28,2.4
1985-05-29,2.42
1985-05-30,2.4
1985-05-31,2.42
1985-06-03,2.56
1985-06-04,2.6
1985-06-05,2.54
1985-06-06,2.52
1985-06-07,2.52
1985-06-10,2.52
1985-06-11,2.54
1985-06-12,2.62
1985-06-13,2.58
1985-06-14,2.56
1985-06-17,2.56
1985-06-18,2.6
1985-06-19,2.56
1985-06-20,2.58
1985-06-21,2.6
1985-06-24,2.56
1985-06-25,2.52
1985-06-26,2.52
1985-06-27,2.62
1985-06-28,2.74
1985-07-01,2.74
1985-07-02,2.76
1985-07-03,2.7
1985-07-05,2.7
1985-07-08,2.68
1985-07-09,2.68
1985-07-10,2.68
1985-07-11,2.8
1985-07-12,2.84
1985-07-15,2.8
1985-07-16,2.8
1985-07-17,2.86
1985-07-18,2.9
1985-07-19,2.9
1985-07-22,2.84
1985-07-23,2.84
1985-07-24,2.76
1985-07-25,2.8
1985-07-26,2.76
1985-07-29,2.74
1985-07-30,2.8
1985-07-31,2.84
1985-08-01,2.88
1985-08-02,2.88
1985-08-05,2.84
1985-08-06,2.84
1985-08-07,2.8
1985-08-08,2.84
1985-08-09,2.84
1985-08-12,2.8
1985-08-13,2.86
1985-08-14,2.88
1985-08-15,2.86
1985-08-16,2.84
1985-08-19,2.84
1985-08-20,2.9
1985-08-21,2.96
1985-08-22,3.0
1985-08-23,3.02
1985-08-26,3.08
1985-08-27,3.04
1985-08-28,3.02
1985-08-29,3.0
1985-08-30,3.0
1985-09-03,3.0
1985-09-04,3.0
1985-09-05,2.98
1985-09-06,2.94
1985-09-09,3.04
1985-09-10,3.04
1985-09-11,2.98
1985-09-12,2.96
1985-09-13,2.9
1985-09-16,2.88
1985-09-17,2.74
1985-09-18,2.66
1985-09-19,2.74
1985-09-20,2.52
1985-09-23,2.58
1985-09-24,2.6
1985-09-25,2.56
1985-09-26,2.54
1985-09-30,2.54
1985-10-01,2.54
1985-10-02,2.54
1985-10-03,2.54
1985-10-04,2.54
1985-10-07,2.52
1985-10-08,2.54
1985-10-09,2.48
1985-10-10,2.46
1985-10-11,2.44
1985-10-14,2.52
1985-10-15,2.54
1985-10-16,2.5
1985-10-17,2.56
1985-10-18,2.6
1985-10-21,2.64
1985-10-22,2.62
1985-10-23,2.62
1985-10-24,2.6
1985-10-25,2.56
1985-10-28,2.52
1985-10-29,2.62
1985-10-30,2.62
1985-10-31,2.62
1985-11-01,2.68
1985-11-04,2.68
1985-11-05,2.72
1985-11-06,2.72
1985-11-07,2.72
1985-11-08,2.7
1985-11-11,2.84
1985-11-12,2.96
1985-11-13,2.86
1985-11-14,2.98
1985-11-15,2.96
1985-11-18,3.02
1985-11-19,3.0
1985-11-20,3.0
1985-11-21,3.1
1985-11-22,3.2
1985-11-25,3.14
1985-11-26,3.2
1985-11-27,3.2
1985-11-29,3.14
1985-12-02,3.18
1985-12-03,3.14
1985-12-04,3.18
1985-12-05,3.16
1985-12-06,3.02
1985-12-09,3.12
1985-12-10,3.36
1985-12-11,3.58
1985-12-12,3.54
1985-12-13,3.64
1985-12-16,3.58
1985-12-17,3.56
1985-12-18,3.46
1985-12-19,3.58
1985-12-20,3.52
1985-12-23,3.5
1985-12-24,3.38
1985-12-26,3.34
1985-12-27,3.34
1985-12-30,3.32
1985-12-31,3.3
1986-01-02,3.38
1986-01-03,3.44
1986-01-06,3.5
1986-01-07,3.56
1986-01-08,3.5
1986-01-09,3.34
1986-01-10,3.34
1986-01-13,3.38
1986-01-14,3.32
1986-01-15,3.36
1986-01-16,3.36
1986-01-17,3.36
1986-01-20,3.38
1986-01-21,3.38
1986-01-22,3.54
1986-01-23,3.62
1986-01-24,3.76
1986-01-27,3.78
1986-01-28,3.76
1986-01-29,3.9
1986-01-30,3.96
1986-01-31,4.14
1986-02-03,4.2
1986-02-04,4.12
1986-02-05,4.1
1986-02-06,4.18
1986-02-07,4.16
1986-02-10,4.16
1986-02-11,4.34
1986-02-12,4.36
1986-02-13,4.32
1986-02-14,4.38
1986-02-18,4.44
1986-02-19,4.52
1986-02-20,4.5
1986-02-21,4.68
1986-02-24,4.62
1986-02-25,4.5
1986-02-26,4.56
1986-02-27,4.72
1986-02-28,4.7
1986-03-03,4.8
1986-03-04,5.02
1986-03-05,4.96
1986-03-06,5.02
1986-03-07,5.0
1986-03-10,5.06
1986-03-11,5.06
1986-03-12,4.98
1986-03-13,4.8
1986-03-14,4.66
1986-03-17,4.68
1986-03-18,4.64
1986-03-19,4.48
1986-03-20,4.36
1986-03-21,4.62
1986-03-24,4.7
1986-03-25,4.68
1986-03-26,4.68
1986-03-27,4.74
1986-03-31,4.78
1986-04-01,4.74
1986-04-02,4.68
1986-04-03,4.62
1986-04-04,4.4
1986-04-07,4.2
1986-04-08,4.34
1986-04-09,4.32
1986-04-10,4.32
1986-04-11,4.32
1986-04-14,4.46
1986-04-15,4.48
1986-04-16,4.62
1986-04-17,4.64
1986-04-18,4.66
1986-04-21,4.68
1986-04-22,4.7
1986-04-23,4.68
1986-04-24,4.68
1986-04-25,4.72
1986-04-28,4.52
1986-04-29,4.4
1986-04-30,4.3
1986-05-01,4.28
1986-05-02,4.26
1986-05-05,4.32
1986-05-06,4.34
1986-05-07,4.32
1986-05-08,4.44
1986-05-09,4.44
1986-05-12,4.42
1986-05-13,4.4
1986-05-14,4.36
1986-05-15,4.36
1986-05-16,4.34
1986-05-19,4.32
1986-05-20,4.3
1986-05-21,4.3
1986-05-22,4.48
1986-05-23,4.56
1986-05-27,4.64
1986-05-28,4.68
1986-05-29,4.72
1986-05-30,4.7
1986-06-02,4.6
1986-06-03,4.54
1986-06-04,4.52
1986-06-05,4.44
1986-06-06,4.38
1986-06-09,4.16
1986-06-10,4.16
1986-06-11,4.32
1986-06-12,4.28
1986-06-13,4.38
1986-06-16,4.42
1986-06-17,4.44
1986-06-18,4.34
1986-06-19,4.48
1986-06-20,4.34
1986-06-23,4.34
1986-06-24,4.28
1986-06-25,4.32
1986-06-26,4.32
1986-06-27,4.32
1986-06-30,4.36
1986-07-01,4.38
1986-07-02,4.22
1986-07-03,4.2
1986-07-07,3.94
1986-07-08,3.84
1986-07-09,3.96
1986-07-10,3.94
1986-07-11,3.92
1986-07-14,3.84
1986-07-15,3.68
1986-07-16,3.68
1986-07-17,3.74
1986-07-18,3.74
1986-07-21,3.76
1986-07-22,3.8
1986-07-23,3.74
1986-07-24,3.6
1986-07-25,3.5
1986-07-28,3.52
1986-07-29,3.52
1986-07-30,3.56
1986-07-31,3.52
1986-08-01,3.48
1986-08-04,3.5
1986-08-05,3.44
1986-08-06,3.44
1986-08-07,3.48
1986-08-08,3.52
1986-08-11,3.52
1986-08-12,3.82
1986-08-13,3.94
1986-08-14,4.0
1986-08-15,3.98
1986-08-18,3.94
1986-08-19,4.0
1986-08-20,4.08
1986-08-21,4.08
1986-08-22,4.08
1986-08-25,4.02
1986-08-26,3.96
1986-08-27,4.0
1986-08-28,3.88
1986-08-29,3.88
1986-09-02,3.84
1986-09-03,3.84
1986-09-04,3.94
1986-09-05,3.88
1986-09-08,3.76
1986-09-09,3.66
1986-09-10,3.48
1986-09-11,3.28
1986-09-12,3.36
1986-09-15,3.52
1986-09-16,3.46
1986-09-17,3.38
1986-09-18,3.34
1986-09-19,3.28
1986-09-22,3.36
1986-09-23,3.44
1986-09-24,3.6
1986-09-25,3.7
1986-09-26,3.7
1986-09-29,3.575
1986-09-30,3.725
1986-10-01,3.75
1986-10-02,3.75
1986-10-03,3.725
1986-10-06,3.7
1986-10-07,3.7
1986-10-08,3.75
1986-10-09,3.8
1986-10-10,3.8
1986-10-13,3.75
1986-10-14,3.75
1986-10-15,3.675
1986-10-16,3.825
1986-10-17,3.85
1986-10-20,3.7
1986-10-21,3.775
1986-10-22,3.7
1986-10-23,3.725
1986-10-24,3.675
1986-10-27,3.65
1986-10-28,3.55
1986-10-29,3.75
1986-10-30,3.95
1986-10-31,3.95
1986-11-03,3.925
1986-11-04,4.0
1986-11-05,4.125
1986-11-06,4.0
1986-11-07,4.0
1986-11-10,3.9
1986-11-11,3.9
1986-11-12,3.95
1986-11-13,4.0
1986-11-14,4.0
1986-11-17,4.075
1986-11-18,3.95
1986-11-19,3.925
1986-11-20,3.875
1986-11-21,3.875
1986-11-24,3.65
1986-11-25,3.75
1986-11-26,3.85
1986-11-28,3.9
1986-12-01,4.0
1986-12-02,4.1
1986-12-03,4.2
1986-12-04,4.225
1986-12-05,4.25
1986-12-08,4.225
1986-12-09,4.2
1986-12-10,4.25
1986-12-11,4.2
1986-12-12,4.2
1986-12-15,4.2
1986-12-16,4.175
1986-12-17,4.125
1986-12-18,4.125
1986-12-19,4.325
1986-12-22,4.3
1986-12-23,4.075
1986-12-24,4.15
1986-12-26,4.15
1986-12-29,4.175
1986-12-30,4.15
1986-12-31,4.25
1987-01-02,4.25
1987-01-05,4.3
1987-01-06,4.25
1987-01-07,4.325
1987-01-08,4.4
1987-01-09,4.45
1987-01-12,4.575
1987-01-13,4.5
1987-01-14,4.5
1987-01-15,4.6
1987-01-16,4.45
1987-01-19,4.5
1987-01-20,4.55
1987-01-21,4.625
1987-01-22,4.575
1987-01-23,4.575
1987-01-26,4.55
1987-01-27,4.675
1987-01-28,4.75
1987-01-29,4.8
1987-01-30,4.8
1987-02-02,4.825
1987-02-03,4.825
1987-02-04,4.825
1987-02-05,4.9
1987-02-06,4.85
1987-02-09,4.8
1987-02-10,4.775
1987-02-11,4.8
1987-02-12,4.725
1987-02-13,4.75
1987-02-17,4.7
1987-02-18,4.6
1987-02-19,4.6
1987-02-20,4.625
1987-02-23,4.5
1987-02-24,4.55
1987-02-25,4.65
1987-02-26,4.6
1987-02-27,4.725
1987-03-02,4.65
1987-03-03,4.625
1987-03-04,4.525
1987-03-05,4.55
1987-03-06,4.75
1987-03-09,4.725
1987-03-10,4.65
1987-03-11,4.675
1987-03-12,4.7
1987-03-13,4.725
1987-03-16,4.575
1987-03-17,4.575
1987-03-18,4.7
1987-03-19,4.65
1987-03-20,4.65
1987-03-23,4.725
1987-03-24,4.65
1987-03-25,4.6
1987-03-26,4.6
1987-03-27,4.5
1987-03-30,4.25
1987-03-31,4.15
1987-04-01,4.15
1987-04-02,4.325
1987-04-03,4.4
1987-04-06,4.4
1987-04-07,4.275
1987-04-08,4.25
1987-04-09,4.1
1987-04-10,4.05
1987-04-13,3.85
1987-04-14,3.475
1987-04-15,3.7
1987-04-16,3.725
1987-04-20,3.775
1987-04-21,3.8
1987-04-22,3.7
1987-04-23,3.6
1987-04-24,3.525
1987-04-27,3.525
1987-04-28,3.55
1987-04-29,3.45
1987-04-30,3.575
1987-05-01,3.6
1987-05-04,3.5
1987-05-05,3.575
1987-05-06,3.5
1987-05-07,3.475
1987-05-08,3.45
1987-05-11,3.45
1987-05-12,3.35
1987-05-13,3.25
1987-05-14,3.3
1987-05-15,3.225
1987-05-18,3.425
1987-05-19,3.35
1987-05-20,3.375
1987-05-21,3.375
1987-05-22,3.375
1987-05-26,3.4
1987-05-27,3.7
1987-05-28,3.7
1987-05-29,3.65
1987-06-01,3.675
1987-06-02,3.775
1987-06-03,3.75
1987-06-04,3.775
1987-06-05,3.7
1987-06-08,3.675
1987-06-09,3.65
1987-06-10,3.6
1987-06-11,3.525
1987-06-12,3.475
1987-06-15,3.675
1987-06-16,3.65
1987-06-17,3.6
1987-06-18,3.625
1987-06-19,3.55
1987-06-22,3.55
1987-06-23,3.55
1987-06-24,3.55
1987-06-25,3.525
1987-06-26,3.575
1987-06-29,3.525
1987-06-30,3.5
1987-07-01,3.45
1987-07-02,3.375
1987-07-06,3.4
1987-07-07,3.5
1987-07-08,3.6
1987-07-09,3.55
1987-07-10,3.675
1987-07-13,3.675
1987-07-14,3.675
1987-07-15,3.675
1987-07-16,3.675
1987-07-17,3.55
1987-07-20,3.6
1987-07-21,3.5
1987-07-22,3.5
1987-07-23,3.5
1987-07-24,3.6
1987-07-27,3.5
1987-07-28,3.55
1987-07-29,3.675
1987-07-30,3.65
1987-07-31,3.65
1987-08-03,3.6
1987-08-04,3.625
1987-08-05,3.65
1987-08-06,3.675
1987-08-07,3.65
1987-08-10,3.65
1987-08-11,3.75
1987-08-12,3.775
1987-08-13,3.75
1987-08-14,3.875
1987-08-17,3.9
1987-08-18,3.775
1987-08-19,3.8
1987-08-20,3.8
1987-08-21,3.8
1987-08-24,3.775
1987-08-25,3.8
1987-08-26,3.65
1987-08-27,3.65
1987-08-28,3.525
1987-08-31,3.675
1987-09-01,3.7
1987-09-02,3.725
1987-09-03,3.625
1987-09-04,3.675
1987-09-08,3.575
1987-09-09,3.55
1987-09-10,3.575
1987-09-11,3.55
1987-09-14,3.55
1987-09-15,3.55
1987-09-16,3.5
1987-09-17,3.425
1987-09-18,3.325
1987-09-21,3.35
1987-09-22,3.275
1987-09-23,3.25
1987-09-24,3.3
1987-09-25,3.1
1987-09-28,3.25
1987-09-29,3.225
1987-09-30,3.3
1987-10-01,3.325
1987-10-02,3.375
1987-10-05,3.375
1987-10-06,3.25
1987-10-07,3.2
1987-10-08,3.2
1987-10-09,3.1
1987-10-12,3.15
1987-10-13,3.15
1987-10-14,3.0
1987-10-15,2.975
1987-10-16,2.75
1987-10-19,2.6
1987-10-20,2.5
1987-10-21,2.7
1987-10-22,2.5
1987-10-23,2.4
1987-10-26,2.15
1987-10-27,2.15
1987-10-28,2.225
1987-10-29,2.475
1987-10-30,2.5
1987-11-02,2.5
1987-11-03,2.55
1987-11-04,2.35
1987-11-05,2.4
1987-11-06,2.325
1987-11-09,2.225
1987-11-10,2.175
1987-11-11,2.25
1987-11-12,2.225
1987-11-13,2.175
1987-11-16,2.175
1987-11-17,2.175
1987-11-18,2.15
1987-11-19,2.15
1987-11-20,2.1
1987-11-23,2.125
1987-11-24,2.125
1987-11-25,2.15
1987-11-27,2.225
1987-11-30,2.1
1987-12-01,2.125
1987-12-02,2.0
1987-12-03,1.95
1987-12-04,1.925
1987-12-07,2.0
1987-12-08,2.0
1987-12-09,2.0
1987-12-10,1.975
1987-12-11,2.0
1987-12-14,2.025
1987-12-15,2.1
1987-12-16,2.0
1987-12-17,2.0
1987-12-18,2.25
1987-12-21,2.175
1987-12-22,2.2
1987-12-23,2.125
1987-12-24,2.25
1987-12-28,2.2
1987-12-29,2.2
1987-12-30,2.2
1987-12-31,2.175
1988-01-04,2.225
1988-01-05,2.25
1988-01-06,2.3
1988-01-07,2.575
1988-01-08,2.325
1988-01-11,2.25
1988-01-12,2.25
1988-01-13,2.375
1988-01-14,2.375
1988-01-15,2.35
1988-01-18,2.325
1988-01-19,2.4
1988-01-20,2.3
1988-01-21,2.25
1988-01-22,2.25
1988-01-25,2.25
1988-01-26,2.225
1988-01-27,2.225
1988-01-28,2.325
1988-01-29,2.325
1988-02-01,2.35
1988-02-02,2.35
1988-02-03,2.3
1988-02-04,2.3
1988-02-05,2.275
1988-02-08,2.25
1988-02-09,2.25
1988-02-10,2.25
1988-02-11,2.175
1988-02-12,2.125
1988-02-16,2.2
1988-02-17,2.25
1988-02-18,2.15
1988-02-19,2.175
1988-02-22,2.2
1988-02-23,2.15
1988-02-24,2.2
1988-02-25,2.175
1988-02-26,2.125
1988-02-29,2.1
1988-03-01,2.2
1988-03-02,2.3
1988-03-03,2.35
1988-03-04,2.375
1988-03-07,2.375
1988-03-08,2.4
1988-03-09,2.4
1988-03-10,2.4
1988-03-11,2.375
1988-03-14,2.375
1988-03-15,2.425
1988-03-16,2.4
1988-03-17,2.425
1988-03-18,2.425
1988-03-21,2.375
1988-03-22,2.325
1988-03-23,2.3
1988-03-24,2.2
1988-03-25,2.2
1988-03-28,2.15
1988-03-29,2.15
1988-03-30,2.15
1988-03-31,2.2
1988-04-04,2.175
1988-04-05,2.175
1988-04-06,2.225
1988-04-07,2.25
1988-04-08,2.3
1988-04-11,2.275
1988-04-12,2.25
1988-04-13,2.25
1988-04-14,2.125
1988-04-15,2.125
1988-04-18,2.125
1988-04-19,2.15
1988-04-20,2.125
1988-04-21,2.125
1988-04-22,2.15
1988-04-25,2.175
1988-04-26,2.175
1988-04-27,2.175
1988-04-28,2.15
1988-04-29,2.175
1988-05-02,2.175
1988-05-03,2.15
1988-05-04,2.15
1988-05-05,2.15
1988-05-06,2.125
1988-05-09,2.05
1988-05-10,2.075
1988-05-11,1.975
1988-05-12,2.0
1988-05-13,1.975
1988-05-16,1.975
1988-05-17,2.0
1988-05-18,1.95
1988-05-19,1.925
1988-05-20,1.9
1988-05-23,1.9
1988-05-24,1.9
1988-05-25,1.9
1988-05-26,1.95
1988-05-27,2.0
1988-05-31,2.05
1988-06-01,2.1
1988-06-02,2.05
1988-06-03,2.075
1988-06-06,2.05
1988-06-07,2.05
1988-06-08,2.125
1988-06-09,2.175
1988-06-10,2.175
1988-06-13,2.2
1988-06-14,2.2
1988-06-15,2.175
1988-06-16,2.25
1988-06-17,2.225
1988-06-20,2.175
1988-06-21,2.175
1988-06-22,2.225
1988-06-23,2.325
1988-06-24,2.35
1988-06-27,2.325
1988-06-28,2.325
1988-06-29,2.3
1988-06-30,2.4
1988-07-01,2.325
1988-07-05,2.3
1988-07-06,2.325
1988-07-07,2.25
1988-07-08,2.25
1988-07-11,2.325
1988-07-12,2.325
1988-07-13,2.275
1988-07-14,2.35
1988-07-15,2.325
1988-07-18,2.35
1988-07-19,2.3
1988-07-20,2.3
1988-07-21,2.275
1988-07-22,2.225
1988-07-25,2.225
1988-07-26,2.2
1988-07-27,2.2
1988-07-28,2.175
1988-07-29,2.25
1988-08-01,2.35
1988-08-02,2.35
1988-08-03,2.325
1988-08-04,2.325
1988-08-05,2.35
1988-08-08,2.35
1988-08-09,2.325
