Date,UNP
1981-04-14,5.599831
1981-04-15,5.599831
1981-04-16,5.673375
1981-04-20,5.46325
1981-04-21,5.263631
1981-04-22,5.2111
1981-04-23,5.032494
1981-04-24,4.9274309999999995
1981-04-27,4.937938
1981-04-28,4.8749
1981-04-29,4.8749
1981-04-30,5.064013
1981-05-01,5.043
1981-05-04,4.916925
1981-05-05,4.8749
1981-05-06,4.937938
1981-05-07,4.990469
1981-05-08,5.021987
1981-05-11,4.8749
1981-05-12,4.916925
1981-05-13,4.895913
1981-05-14,4.916925
1981-05-15,4.969456
1981-05-18,5.011481
1981-05-19,4.937938
1981-05-20,4.727812
1981-05-21,4.717306
1981-05-22,4.685788
1981-05-26,4.832875
1981-05-27,4.79085
1981-05-28,4.664775
1981-05-29,4.528194
1981-06-01,4.433637999999999
1981-06-02,4.2025
1981-06-03,4.307562
1981-06-04,4.412625
1981-06-05,4.507181
1981-06-08,4.675281
1981-06-09,4.696294
1981-06-10,4.738319000000001
1981-06-11,4.7068
1981-06-12,4.601737
1981-06-15,4.559712
1981-06-16,4.507181
1981-06-17,4.685788
1981-06-18,4.601737
1981-06-19,4.685788
1981-06-22,4.7068
1981-06-23,4.685788
1981-06-24,4.769837
1981-06-25,4.79085
1981-06-26,4.769837
1981-06-29,4.8538879999999995
1981-06-30,4.8538879999999995
1981-07-01,4.748825
1981-07-02,4.643763
1981-07-06,4.486169
1981-07-07,4.643763
1981-07-08,4.643763
1981-07-09,4.7068
1981-07-10,4.79085
1981-07-13,4.832875
1981-07-14,4.832875
1981-07-15,4.8749
1981-07-16,4.885406
1981-07-17,4.916925
1981-07-20,4.8749
1981-07-21,5.064013
1981-07-22,5.053506
1981-07-23,5.169075
1981-07-24,5.200594000000001
1981-07-27,5.2216059999999995
1981-07-28,5.242619
1981-07-29,5.29515
1981-07-30,5.263631
1981-07-31,5.232112
1981-08-03,5.137556
1981-08-04,5.148063
1981-08-05,5.169075
1981-08-06,5.106038
1981-08-07,5.032494
1981-08-10,5.12705
1981-08-11,5.2111
1981-08-12,5.179581
1981-08-13,5.2111
1981-08-14,5.253125
1981-08-17,5.200594000000001
1981-08-18,5.169075
1981-08-19,5.043
1981-08-20,5.032494
1981-08-21,4.990469
1981-08-24,4.769837
1981-08-25,4.6122440000000005
1981-08-26,4.591231
1981-08-27,4.45465
1981-08-28,4.4441440000000005
1981-08-31,4.3916129999999995
1981-09-01,4.3495870000000005
1981-09-02,4.3916129999999995
1981-09-03,4.276044000000001
1981-09-04,4.244525
1981-09-08,4.139462
1981-09-09,4.097437
1981-09-10,4.139462
1981-09-11,4.170980999999999
1981-09-14,4.1499690000000005
1981-09-15,4.191994
1981-09-16,4.160475
1981-09-17,4.170980999999999
1981-09-18,4.181488
1981-09-21,4.181488
1981-09-22,4.139462
1981-09-23,3.992375
1981-09-24,3.9293379999999996
1981-09-25,3.803262
1981-09-28,3.95035
1981-09-29,4.0344
1981-09-30,3.9713629999999998
1981-10-01,3.992375
1981-10-02,4.11845
1981-10-05,4.107944
1981-10-06,4.244525
1981-10-07,4.360094
1981-10-08,4.181488
1981-10-09,4.191994
1981-10-12,4.170980999999999
1981-10-13,4.11845
1981-10-14,4.013388
1981-10-15,4.107944
1981-10-16,4.11845
1981-10-19,4.065919
1981-10-20,4.191994
1981-10-21,4.11845
1981-10-22,4.086931
1981-10-23,4.076425
1981-10-26,4.0344
1981-10-27,4.0028809999999995
1981-10-28,4.0554120000000005
1981-10-29,4.076425
1981-10-30,4.244525
1981-11-02,4.45465
1981-11-03,4.559712
1981-11-04,4.801356
1981-11-05,4.675281
1981-11-06,4.643763
1981-11-09,4.601737
1981-11-10,4.570219
1981-11-11,4.643763
1981-11-12,4.580725
1981-11-13,4.433637999999999
1981-11-16,4.28655
1981-11-17,4.265537
1981-11-18,4.181488
1981-11-19,4.213006
1981-11-20,4.3495870000000005
1981-11-23,4.412625
1981-11-24,4.580725
1981-11-25,4.62275
1981-11-27,4.591231
1981-11-30,4.748825
1981-12-01,4.685788
1981-12-02,4.601737
1981-12-03,4.633255999999999
1981-12-04,4.685788
1981-12-07,4.685788
1981-12-08,4.769837
1981-12-09,4.780344
1981-12-10,4.79085
1981-12-11,4.769837
1981-12-14,4.62275
1981-12-15,4.528194
1981-12-16,4.507181
1981-12-17,4.591231
1981-12-18,4.601737
1981-12-21,4.528194
1981-12-22,4.423131
1981-12-23,4.412625
1981-12-24,4.433637999999999
1981-12-28,4.412625
1981-12-29,4.360094
1981-12-30,4.381106
1981-12-31,4.3706
1982-01-04,4.307562
1982-01-05,4.11845
1982-01-06,4.0344
1982-01-07,3.9713629999999998
1982-01-08,3.992375
1982-01-11,3.7297190000000002
1982-01-12,3.7612370000000004
1982-01-13,3.7612370000000004
1982-01-14,3.803262
1982-01-15,3.887312
1982-01-18,4.0344
1982-01-19,3.8557940000000004
1982-01-20,3.813769
1982-01-21,3.7717440000000004
1982-01-22,3.7612370000000004
1982-01-25,3.8347809999999996
1982-01-26,3.719213
1982-01-27,3.7297190000000002
1982-01-28,3.9293379999999996
1982-01-29,4.0028809999999995
1982-02-01,3.8768059999999998
1982-02-02,3.8557940000000004
1982-02-03,3.708706
1982-02-04,3.656175
1982-02-05,3.4670620000000003
1982-02-08,3.235925
1982-02-09,3.2989629999999996
1982-02-10,3.340987
1982-02-11,3.319975
1982-02-12,3.330481
1982-02-16,3.267444
1982-02-17,3.256938
1982-02-18,3.256938
1982-02-19,3.088837
1982-02-22,3.088837
1982-02-23,3.088837
1982-02-24,3.214912
1982-02-25,3.1623810000000003
1982-02-26,3.1623810000000003
1982-03-01,3.130862
1982-03-02,3.0573189999999997
1982-03-03,2.952256
