Date,RFL
2019-08-19,19.780001000000002
2019-08-20,20.23
2019-08-21,20.1
2019-08-22,19.809998999999998
2019-08-23,19.42
2019-08-26,19.83
2019-08-27,19.32
2019-08-28,19.440001000000002
2019-08-29,19.59
2019-08-30,20.200001
2019-09-03,20.799999
2019-09-04,20.639999
2019-09-05,20.190001000000002
2019-09-06,19.469998999999998
2019-09-09,19.85
2019-09-10,19.540001
2019-09-11,21.459999
2019-09-12,20.879998999999998
2019-09-13,20.83
2019-09-16,20.91
2019-09-17,19.51
2019-09-18,20.32
2019-09-19,20.67
2019-09-20,22.33
2019-09-23,21.26
2019-09-24,19.92
2019-09-25,20.719998999999998
2019-09-26,19.48
2019-09-27,19.530001000000002
2019-09-30,20.959999
2019-10-01,21.5
2019-10-02,20.49
2019-10-03,20.209999
2019-10-04,19.77
2019-10-07,19.5
2019-10-08,19.58
2019-10-09,19.610001
2019-10-10,19.51
2019-10-11,20.01
2019-10-14,20.299999
2019-10-15,21.16
2019-10-16,19.67
2019-10-17,19.969998999999998
2019-10-18,19.6
2019-10-21,19.790001
2019-10-22,19.32
2019-10-23,19.17
2019-10-24,19.530001000000002
2019-10-25,19.280001000000002
2019-10-28,19.049999
2019-10-29,18.139999
2019-10-30,18.32
2019-10-31,17.370001000000002
2019-11-01,17.57
2019-11-04,17.879998999999998
2019-11-05,17.58
2019-11-06,17.139999
2019-11-07,16.290001
2019-11-08,16.32
2019-11-11,16.17
2019-11-12,15.46
2019-11-13,15.74
2019-11-14,16.219998999999998
2019-11-15,16.33
2019-11-18,15.99
2019-11-19,17.860001
2019-11-20,18.1
2019-11-21,18.280001000000002
2019-11-22,19.469998999999998
2019-11-25,18.139999
2019-11-26,16.700001
2019-11-27,16.74
2019-11-29,16.92
2019-12-02,16.639999
2019-12-03,16.969998999999998
2019-12-04,18.129998999999998
2019-12-05,18.440001000000002
2019-12-06,20.15
2019-12-09,20.219998999999998
2019-12-10,19.379998999999998
2019-12-11,19.209999
2019-12-12,19.77
2019-12-13,20.73
2019-12-16,19.040001
2019-12-17,19.219998999999998
2019-12-18,18.639999
2019-12-19,17.629998999999998
2019-12-20,17.35
2019-12-23,18.530001000000002
2019-12-24,18.66
2019-12-26,18.209999
2019-12-27,18.16
2019-12-30,17.889999
2019-12-31,17.84
2020-01-02,16.84
2020-01-03,17.07
2020-01-06,17.469998999999998
2020-01-07,17.33
2020-01-08,17.93
2020-01-09,18.469998999999998
2020-01-10,18.219998999999998
2020-01-13,18.98
2020-01-14,18.530001000000002
2020-01-15,20.25
2020-01-16,20.280001000000002
2020-01-17,20.559998999999998
2020-01-21,20.59
2020-01-22,20.709999
2020-01-23,22.58
2020-01-24,21.870001000000002
2020-01-27,20.59
2020-01-28,20.280001000000002
2020-01-29,20.219998999999998
2020-01-30,20.629998999999998
2020-01-31,20.24
2020-02-03,20.16
2020-02-04,20.0
2020-02-05,20.18
2020-02-06,20.32
2020-02-07,20.030001000000002
2020-02-10,20.129998999999998
2020-02-11,20.17
2020-02-12,20.83
2020-02-13,21.76
2020-02-14,22.129998999999998
2020-02-18,20.790001
2020-02-19,20.52
2020-02-20,20.67
2020-02-21,21.08
2020-02-24,20.469998999999998
2020-02-25,19.6
2020-02-26,19.530001000000002
2020-02-27,19.719998999999998
2020-02-28,18.76
2020-03-02,19.18
2020-03-03,18.049999
2020-03-04,19.02
2020-03-05,17.530001000000002
2020-03-06,16.690001000000002
2020-03-09,15.78
2020-03-10,15.78
2020-03-11,14.29
2020-03-12,11.55
2020-03-13,14.02
2020-03-16,11.5
2020-03-17,12.5
2020-03-18,11.21
2020-03-19,11.86
2020-03-20,10.4
2020-03-23,10.86
2020-03-24,12.83
2020-03-25,11.43
2020-03-26,11.94
2020-03-27,11.59
2020-03-30,11.33
2020-03-31,12.81
2020-04-01,11.08
2020-04-02,11.96
2020-04-03,11.78
2020-04-06,13.11
2020-04-07,13.23
2020-04-08,14.07
2020-04-09,13.91
2020-04-13,13.25
2020-04-14,13.8
2020-04-15,13.08
2020-04-16,12.02
2020-04-17,13.41
2020-04-20,12.74
2020-04-21,12.05
2020-04-22,12.31
2020-04-23,11.84
2020-04-24,12.85
2020-04-27,12.78
2020-04-28,14.52
2020-04-29,15.41
2020-04-30,14.11
2020-05-01,13.2
2020-05-04,13.97
2020-05-05,13.33
2020-05-06,12.62
2020-05-07,13.34
2020-05-08,14.39
