Date,GGG
2002-02-26,5.84
2002-02-27,5.933333
2002-02-28,6.081481
2002-03-01,6.0
2002-03-04,6.148148
2002-03-05,6.115556
2002-03-06,6.133333
2002-03-07,6.148148
2002-03-08,6.155556
2002-03-11,6.222222
2002-03-12,6.241480999999999
2002-03-13,6.177778
2002-03-14,6.148148
2002-03-15,6.134815000000001
2002-03-18,6.0740739999999995
2002-03-19,6.155556
2002-03-20,6.066667
2002-03-21,6.072593
2002-03-22,6.007407
2002-03-25,5.952592
2002-03-26,6.068148000000001
2002-03-27,6.044445
2002-03-28,6.051851999999999
2002-04-01,6.065185
2002-04-02,6.0148150000000005
2002-04-03,6.048889
2002-04-04,6.118518
2002-04-05,6.391111
2002-04-08,6.488889
2002-04-09,6.604445
2002-04-10,6.604445
2002-04-11,6.477037
2002-04-12,6.651852000000001
2002-04-15,6.5688889999999995
2002-04-16,6.293334
2002-04-17,6.185185
2002-04-18,6.2
2002-04-19,6.293334
2002-04-22,6.259258999999999
2002-04-23,6.370369999999999
2002-04-24,6.4503699999999995
2002-04-25,6.505185
2002-04-26,6.474074
2002-04-29,6.475555
2002-04-30,6.631111
2002-05-01,6.659259
2002-05-02,6.6177779999999995
2002-05-03,6.466667
2002-05-06,6.377778
2002-05-07,6.466667
2002-05-08,6.555555
2002-05-09,6.488889
2002-05-10,6.437037
2002-05-13,6.562963000000001
2002-05-14,6.721481
2002-05-15,6.703703999999999
2002-05-16,6.608889
2002-05-17,6.774814999999999
2002-05-20,6.725925999999999
2002-05-21,6.561481
2002-05-22,6.505185
2002-05-23,6.7555559999999995
2002-05-24,6.567408
2002-05-28,6.545185
2002-05-29,6.397037
2002-05-30,6.266667
2002-05-31,6.362963
2002-06-03,6.142222
2002-06-04,6.177778
2002-06-05,6.155556
2002-06-06,6.051851999999999
2002-06-07,6.0
2002-06-10,5.935555
2002-06-11,5.9711110000000005
2002-06-12,6.0
2002-06-13,5.9244449999999995
2002-06-14,5.911111
2002-06-17,6.1
2002-06-18,6.195556
2002-06-19,6.111111
2002-06-20,6.211111
2002-06-21,6.111111
2002-06-24,5.988889
2002-06-25,5.815556
2002-06-26,5.766667
2002-06-27,5.735556
2002-06-28,5.586666999999999
2002-07-01,5.52
2002-07-02,5.477778
2002-07-03,5.3333330000000005
2002-07-05,5.488889
2002-07-08,5.531111
2002-07-09,5.693333
2002-07-10,5.702222
2002-07-11,5.511111
2002-07-12,5.488889
2002-07-15,5.444445
2002-07-16,5.2
2002-07-17,5.455555
2002-07-18,5.6
2002-07-19,5.511111
2002-07-22,5.311111
2002-07-23,5.088889
2002-07-24,5.26
2002-07-25,5.22
2002-07-26,5.3333330000000005
2002-07-29,5.691111
2002-07-30,5.633333
2002-07-31,5.555555
2002-08-01,5.626666999999999
2002-08-02,5.455555
2002-08-05,5.444445
2002-08-06,5.675555999999999
2002-08-07,5.733333
2002-08-08,5.997778
2002-08-09,5.902222
2002-08-12,5.888889
2002-08-13,5.751111
2002-08-14,5.771111
2002-08-15,5.822222
2002-08-16,5.873333000000001
2002-08-19,5.877778
2002-08-20,5.866667
2002-08-21,5.877778
2002-08-22,5.862222
2002-08-23,5.706666
2002-08-26,5.711111
2002-08-27,5.773333999999999
2002-08-28,5.675555999999999
2002-08-29,5.7044440000000005
2002-08-30,5.6644440000000005
2002-09-03,5.566667
2002-09-04,5.686666000000001
2002-09-05,5.626666999999999
2002-09-06,5.7044440000000005
2002-09-09,5.777778
2002-09-10,5.822222
2002-09-11,5.857778
2002-09-12,5.8
2002-09-13,5.8333330000000005
2002-09-16,5.864444000000001
2002-09-17,5.788889
2002-09-18,5.788889
2002-09-19,5.7555559999999995
2002-09-20,5.782222
2002-09-23,5.611111
2002-09-24,5.311111
2002-09-25,5.384444
2002-09-26,5.491111
2002-09-27,5.462222
2002-09-30,5.511111
2002-10-01,5.682222
2002-10-02,5.511111
2002-10-03,5.564445
2002-10-04,5.44
2002-10-07,5.322222
2002-10-08,5.415555
2002-10-09,5.188889
2002-10-10,5.3333330000000005
2002-10-11,5.477778
2002-10-14,5.613333
2002-10-15,5.644444
2002-10-16,5.411111
2002-10-17,5.76
2002-10-18,5.7444440000000005
2002-10-21,5.875556
2002-10-22,5.802222
2002-10-23,5.966667
2002-10-24,5.8822220000000005
2002-10-25,6.013333
2002-10-28,5.888889
2002-10-29,5.866667
2002-10-30,5.877778
2002-10-31,6.0777779999999995
2002-11-01,6.111111
2002-11-04,6.155556
2002-11-05,6.1577779999999995
2002-11-06,6.155556
2002-11-07,6.144444
2002-11-08,6.18
2002-11-11,6.044445
2002-11-12,6.088889
