Date,NFX
2015-08-28,31.6
2015-08-31,33.310001
2015-09-01,31.860001
2015-09-02,32.82
2015-09-03,33.139998999999996
2015-09-04,33.209998999999996
2015-09-08,34.139998999999996
2015-09-09,33.950001
2015-09-10,34.470001
2015-09-11,34.130001
2015-09-14,33.509997999999996
2015-09-15,34.009997999999996
2015-09-16,35.93
2015-09-17,35.380001
2015-09-18,33.68
2015-09-21,33.669998
2015-09-22,
2015-09-23,33.18
2015-09-24,33.349998
2015-09-25,33.299999
2015-09-28,31.4
2015-09-29,32.209998999999996
2015-09-30,32.900002
2015-10-01,33.810001
2015-10-02,35.52
2015-10-05,36.360001000000004
2015-10-06,36.889998999999996
2015-10-07,37.099998
2015-10-08,38.209998999999996
2015-10-09,38.82
2015-10-12,38.349998
2015-10-13,38.209998999999996
2015-10-14,38.509997999999996
2015-10-15,40.169998
2015-10-16,40.68
2015-10-19,39.560001
2015-10-20,39.98
2015-10-21,38.459998999999996
2015-10-22,39.16
2015-10-23,39.389998999999996
2015-10-26,39.139998999999996
2015-10-27,39.189999
2015-10-28,39.860001000000004
2015-10-29,40.200001
2015-10-30,40.189999
2015-11-02,40.32
2015-11-03,40.139998999999996
2015-11-04,38.299999
2015-11-05,38.950001
2015-11-06,39.369999
2015-11-09,39.450001
2015-11-10,39.669998
2015-11-11,39.689999
2015-11-12,38.189999
2015-11-13,38.369999
2015-11-16,40.150002
2015-11-17,40.380001
2015-11-18,41.049999
2015-11-19,39.16
2015-11-20,37.779999
2015-11-23,38.470001
2015-11-24,39.34
2015-11-25,38.66
2015-11-27,38.32
2015-11-30,38.259997999999996
2015-12-01,39.150002
2015-12-02,37.169998
2015-12-03,36.970001
2015-12-04,36.16
2015-12-07,35.41
2015-12-08,34.82
2015-12-09,35.299999
2015-12-10,36.52
2015-12-11,35.259997999999996
2015-12-14,34.790001000000004
2015-12-15,35.049999
2015-12-16,34.439999
2015-12-17,32.610001000000004
2015-12-18,31.6
2015-12-21,30.41
2015-12-22,30.629998999999998
2015-12-23,33.27
2015-12-24,33.09
2015-12-28,32.34
2015-12-29,32.689999
2015-12-30,31.85
2015-12-31,32.560001
2016-01-04,32.27
2016-01-05,32.490002000000004
2016-01-06,30.040001
2016-01-07,29.41
2016-01-08,29.26
2016-01-11,28.98
2016-01-12,29.309998999999998
2016-01-13,28.17
2016-01-14,27.870001000000002
2016-01-15,26.23
2016-01-19,24.370001000000002
2016-01-20,23.709999
2016-01-21,25.33
2016-01-22,26.0
2016-01-25,24.48
2016-01-26,25.93
2016-01-27,26.52
2016-01-28,27.58
2016-01-29,29.07
2016-02-01,28.17
2016-02-02,26.620001000000002
2016-02-03,28.290001
2016-02-04,27.25
2016-02-05,24.879998999999998
2016-02-08,25.469998999999998
2016-02-09,23.799999
2016-02-10,23.57
2016-02-11,23.66
2016-02-12,24.17
2016-02-16,24.18
2016-02-17,24.870001000000002
2016-02-18,22.6
2016-02-19,22.309998999999998
2016-02-22,24.51
2016-02-23,23.34
2016-02-24,23.42
2016-02-25,24.41
2016-02-26,26.030001000000002
2016-02-29,27.23
2016-03-01,28.6
2016-03-02,29.01
2016-03-03,29.16
2016-03-04,30.17
2016-03-07,29.92
2016-03-08,28.969998999999998
2016-03-09,30.639999
2016-03-10,30.48
2016-03-11,31.84
2016-03-14,32.150002
2016-03-15,31.84
2016-03-16,33.490002000000004
2016-03-17,33.720001
2016-03-18,33.82
2016-03-21,33.48
2016-03-22,33.029999
2016-03-23,32.119999
2016-03-24,32.380001
2016-03-28,31.860001
2016-03-29,32.119999
2016-03-30,32.66
2016-03-31,33.25
2016-04-01,32.630001
2016-04-04,31.73
2016-04-05,31.610001
2016-04-06,33.009997999999996
2016-04-07,32.849998
2016-04-08,34.049999
2016-04-11,34.450001
2016-04-12,35.669998
2016-04-13,35.080002
2016-04-14,35.52
2016-04-15,35.119999
2016-04-18,36.049999
2016-04-19,36.540001000000004
2016-04-20,36.889998999999996
2016-04-21,36.09
2016-04-22,36.860001000000004
2016-04-25,36.27
2016-04-26,37.419998
