Date,SPG
1996-10-08,24.595791000000002
1996-10-09,24.479773
1996-10-10,24.13172
1996-10-11,24.247738000000002
1996-10-14,24.13172
1996-10-15,24.13172
1996-10-16,24.13172
1996-10-17,24.247738000000002
1996-10-18,24.13172
1996-10-21,24.363756
1996-10-22,24.479773
1996-10-23,24.943844
1996-10-24,24.595791000000002
1996-10-25,24.827827
1996-10-28,24.827827
1996-10-29,24.711809
1996-10-30,24.479773
1996-10-31,24.479773
1996-11-01,24.595791000000002
1996-11-04,24.827827
1996-11-05,25.059862
1996-11-06,25.17588
1996-11-07,25.059862
1996-11-08,25.407917
1996-11-11,25.291899
1996-11-12,25.291899
1996-11-13,25.291899
1996-11-14,25.17588
1996-11-15,25.291899
1996-11-18,25.407917
1996-11-19,25.291899
1996-11-20,25.75597
1996-11-21,25.291899
1996-11-22,25.291899
1996-11-25,25.407917
1996-11-26,25.17588
1996-11-27,25.407917
1996-11-29,25.407917
1996-12-02,25.407917
1996-12-03,25.291899
1996-12-04,25.523933
1996-12-05,25.988007
1996-12-06,26.568094
1996-12-09,27.612257
1996-12-10,27.612257
1996-12-11,27.960309999999996
1996-12-12,28.424381
1996-12-13,28.192345
1996-12-16,27.612257
1996-12-17,27.496239000000003
1996-12-18,27.264202
1996-12-19,28.5404
1996-12-20,28.192345
1996-12-23,28.192345
1996-12-24,28.424381
1996-12-26,28.308363
1996-12-27,28.192345
1996-12-30,28.308363
1996-12-31,28.772434000000004
1997-01-02,28.192345
1997-01-03,27.612257
1997-01-06,28.192345
1997-01-07,28.5404
1997-01-08,28.308363
1997-01-09,28.424381
1997-01-10,27.844292
1997-01-13,27.844292
1997-01-14,27.728272999999998
1997-01-15,27.728272999999998
1997-01-16,27.728272999999998
1997-01-17,27.728272999999998
1997-01-20,27.612257
1997-01-21,27.844292
1997-01-22,27.728272999999998
1997-01-23,27.844292
1997-01-24,27.264202
1997-01-27,26.684113
1997-01-28,26.916149
1997-01-29,26.916149
1997-01-30,27.264202
1997-01-31,27.148184000000004
1997-02-03,27.612257
1997-02-04,27.612257
1997-02-05,27.612257
1997-02-06,27.612257
1997-02-07,28.308363
1997-02-10,27.960309999999996
1997-02-11,28.192345
1997-02-12,28.076328000000004
1997-02-13,27.844292
1997-02-14,27.844292
1997-02-18,28.076328000000004
1997-02-19,28.308363
1997-02-20,27.728272999999998
1997-02-21,27.264202
