Date,EIGI
2016-01-29,9.18
2016-02-01,9.55
2016-02-02,8.68
2016-02-03,8.55
2016-02-04,8.78
2016-02-05,8.45
2016-02-08,8.18
2016-02-09,7.69
2016-02-10,7.64
2016-02-11,7.96
2016-02-12,8.09
2016-02-16,8.4
2016-02-17,9.37
2016-02-18,10.28
2016-02-19,10.14
2016-02-22,10.68
2016-02-23,10.63
2016-02-24,10.73
2016-02-25,10.75
2016-02-26,11.23
2016-02-29,11.24
2016-03-01,11.18
2016-03-02,11.54
2016-03-03,11.49
2016-03-04,11.28
2016-03-07,11.35
2016-03-08,10.63
2016-03-09,10.41
2016-03-10,10.32
2016-03-11,10.58
2016-03-14,10.66
2016-03-15,9.88
2016-03-16,10.06
2016-03-17,10.43
2016-03-18,10.37
2016-03-21,10.31
2016-03-22,10.23
2016-03-23,10.01
2016-03-24,9.94
2016-03-28,9.55
2016-03-29,10.0
2016-03-30,10.29
2016-03-31,10.53
2016-04-01,10.53
2016-04-04,11.26
2016-04-05,10.52
2016-04-06,10.63
2016-04-07,10.45
2016-04-08,10.49
2016-04-11,10.27
2016-04-12,10.18
2016-04-13,10.76
2016-04-14,10.89
2016-04-15,10.68
2016-04-18,10.75
2016-04-19,10.59
2016-04-20,10.72
2016-04-21,10.69
2016-04-22,10.59
2016-04-25,10.5
2016-04-26,10.62
2016-04-27,10.84
2016-04-28,11.1
2016-04-29,10.71
2016-05-02,10.73
2016-05-03,10.72
2016-05-04,9.1
2016-05-05,9.67
2016-05-06,9.14
2016-05-09,9.0
2016-05-10,9.03
2016-05-11,8.83
2016-05-12,8.8
2016-05-13,8.7
2016-05-16,8.935
2016-05-17,8.76
2016-05-18,8.68
2016-05-19,8.86
2016-05-20,8.96
2016-05-23,9.01
2016-05-24,9.24
2016-05-25,9.3
2016-05-26,9.23
2016-05-27,9.37
2016-05-31,9.42
2016-06-01,9.48
2016-06-02,9.52
2016-06-03,9.3
2016-06-06,9.48
2016-06-07,9.32
2016-06-08,9.37
2016-06-09,9.21
2016-06-10,9.0
2016-06-13,8.85
2016-06-14,8.93
2016-06-15,8.91
2016-06-16,8.76
2016-06-17,8.71
2016-06-20,8.84
2016-06-21,8.88
2016-06-22,8.92
2016-06-23,9.23
2016-06-24,8.8
2016-06-27,8.56
2016-06-28,8.52
2016-06-29,8.83
2016-06-30,8.99
2016-07-01,8.99
2016-07-05,8.76
2016-07-06,8.72
2016-07-07,8.72
2016-07-08,8.98
2016-07-11,9.01
2016-07-12,9.03
2016-07-13,8.98
2016-07-14,8.74
2016-07-15,8.72
2016-07-18,8.74
2016-07-19,8.77
2016-07-20,8.86
2016-07-21,8.74
2016-07-22,8.81
2016-07-25,8.96
2016-07-26,9.24
2016-07-27,9.11
2016-07-28,9.03
2016-07-29,8.98
2016-08-01,9.0
2016-08-02,6.9
2016-08-03,6.715
2016-08-04,6.77
2016-08-05,6.85
2016-08-08,7.09
2016-08-09,7.71
2016-08-10,7.57
2016-08-11,7.72
2016-08-12,7.85
2016-08-15,7.81
2016-08-16,7.66
2016-08-17,7.72
2016-08-18,7.66
2016-08-19,7.78
2016-08-22,7.96
2016-08-23,8.07
2016-08-24,7.99
2016-08-25,7.94
2016-08-26,7.89
2016-08-29,7.77
2016-08-30,7.92
2016-08-31,7.95
2016-09-01,7.97
2016-09-02,8.11
2016-09-06,8.19
2016-09-07,8.35
2016-09-08,8.36
2016-09-09,8.12
2016-09-12,8.3
2016-09-13,8.25
2016-09-14,8.4
2016-09-15,8.65
2016-09-16,8.33
2016-09-19,8.72
2016-09-20,8.79
2016-09-21,8.54
2016-09-22,8.59
2016-09-23,8.51
2016-09-26,8.58
2016-09-27,9.0
2016-09-28,9.09
2016-09-29,8.79
2016-09-30,8.75
2016-10-03,8.74
2016-10-04,8.76
2016-10-05,9.02
2016-10-06,8.86
2016-10-07,8.68
2016-10-10,8.76
2016-10-11,8.33
2016-10-12,8.31
2016-10-13,8.22
2016-10-14,7.88
2016-10-17,7.85
2016-10-18,8.0
2016-10-19,8.0
2016-10-20,7.75
2016-10-21,7.75
2016-10-24,8.05
2016-10-25,8.0
2016-10-26,7.75
2016-10-27,7.6
2016-10-28,7.7
2016-10-31,7.35
2016-11-01,7.45
2016-11-02,7.2
2016-11-03,6.9
2016-11-04,6.9
2016-11-07,6.9
2016-11-08,6.85
2016-11-09,6.95
2016-11-10,6.75
2016-11-11,7.25
2016-11-14,7.0
2016-11-15,7.1
2016-11-16,7.25
2016-11-17,7.05
2016-11-18,7.5
2016-11-21,7.7
2016-11-22,8.0
2016-11-23,8.25
2016-11-25,8.25
2016-11-28,8.05
2016-11-29,7.85
2016-11-30,7.95
2016-12-01,7.65
2016-12-02,7.4
2016-12-05,7.75
2016-12-06,8.05
2016-12-07,8.15
2016-12-08,8.75
2016-12-09,8.75
2016-12-12,8.45
2016-12-13,8.7
2016-12-14,8.75
2016-12-15,8.9
2016-12-16,9.35
2016-12-19,9.4
2016-12-20,9.5
2016-12-21,9.6
2016-12-22,9.65
2016-12-23,9.65
2016-12-27,9.6
2016-12-28,9.55
2016-12-29,9.55
2016-12-30,9.3
2017-01-03,7.8
2017-01-04,7.95
2017-01-05,8.2
2017-01-06,8.2
2017-01-09,8.3
2017-01-10,8.35
2017-01-11,8.1
2017-01-12,8.0
2017-01-13,8.1
2017-01-17,7.65
2017-01-18,7.8
2017-01-19,7.85
2017-01-20,7.8
2017-01-23,8.05
2017-01-24,8.2
2017-01-25,8.35
2017-01-26,8.2
2017-01-27,8.1
2017-01-30,7.8
2017-01-31,7.7
2017-02-01,7.8
2017-02-02,7.8
2017-02-03,7.85
2017-02-06,7.85
2017-02-07,7.95
2017-02-08,8.0
2017-02-09,8.15
2017-02-10,8.25
2017-02-13,8.2
2017-02-14,8.15
2017-02-15,8.45
2017-02-16,9.15
2017-02-17,9.5
2017-02-21,9.3
2017-02-22,9.3
2017-02-23,9.0
2017-02-24,9.2
2017-02-27,8.85
2017-02-28,8.5
2017-03-01,8.55
2017-03-02,8.4
2017-03-03,8.0
2017-03-06,7.9
2017-03-07,7.75
2017-03-08,7.95
2017-03-09,7.95
2017-03-10,7.95
2017-03-13,8.05
2017-03-14,8.05
2017-03-15,8.2
2017-03-16,8.3
2017-03-17,8.3
2017-03-20,8.05
2017-03-21,7.95
2017-03-22,7.95
2017-03-23,7.9
2017-03-24,7.9
2017-03-27,7.9
2017-03-28,8.0
2017-03-29,8.0
2017-03-30,7.9
2017-03-31,7.85
2017-04-03,7.95
2017-04-04,7.65
2017-04-05,7.25
2017-04-06,7.3
2017-04-07,7.0
2017-04-10,7.0
2017-04-11,6.95
2017-04-12,6.85
2017-04-13,6.8
2017-04-17,6.85
2017-04-18,6.8
2017-04-19,7.05
2017-04-20,7.1
2017-04-21,7.2
2017-04-24,7.35
2017-04-25,7.55
2017-04-26,7.55
2017-04-27,7.6
2017-04-28,7.6
2017-05-01,7.6
2017-05-02,7.3
2017-05-03,7.5
2017-05-04,7.85
2017-05-05,8.05
2017-05-08,7.85
2017-05-09,7.9
2017-05-10,8.05
2017-05-11,7.95
2017-05-12,7.85
2017-05-15,7.95
2017-05-16,8.0
2017-05-17,7.4
2017-05-18,7.4
2017-05-19,7.5
2017-05-22,7.55
2017-05-23,7.55
2017-05-24,7.7
2017-05-25,7.65
2017-05-26,7.65
2017-05-30,7.55
2017-05-31,7.55
2017-06-01,7.95
2017-06-02,8.0
2017-06-05,8.05
2017-06-06,8.0
2017-06-07,7.8
2017-06-08,8.05
2017-06-09,7.95
2017-06-12,8.0
2017-06-13,8.25
2017-06-14,8.1
2017-06-15,8.35
2017-06-16,8.45
2017-06-19,8.8
2017-06-20,8.4
2017-06-21,8.45
2017-06-22,8.5
2017-06-23,8.65
2017-06-26,8.35
2017-06-27,8.2
2017-06-28,8.65
2017-06-29,8.55
2017-06-30,8.35
2017-07-03,8.35
2017-07-05,8.35
2017-07-06,8.1
2017-07-07,8.35
2017-07-10,8.5
2017-07-11,8.75
2017-07-12,9.05
2017-07-13,8.85
2017-07-14,9.0
2017-07-17,9.0
2017-07-18,9.0
2017-07-19,9.05
2017-07-20,8.75
2017-07-21,8.7
2017-07-24,9.05
2017-07-25,9.2
2017-07-26,9.25
2017-07-27,9.1
2017-07-28,9.0
2017-07-31,9.25
2017-08-01,8.2
2017-08-02,7.925
2017-08-03,7.65
2017-08-04,7.6
2017-08-07,7.8
2017-08-08,7.8
2017-08-09,7.7
2017-08-10,7.55
2017-08-11,7.75
2017-08-14,7.95
2017-08-15,7.75
2017-08-16,7.65
2017-08-17,7.5
2017-08-18,7.5
2017-08-21,7.7
2017-08-22,7.75
2017-08-23,7.7
2017-08-24,7.8
2017-08-25,7.3
2017-08-28,7.35
2017-08-29,7.4
2017-08-30,7.65
2017-08-31,7.7
2017-09-01,7.75
2017-09-05,7.6
2017-09-06,7.55
2017-09-07,7.7
2017-09-08,7.5
2017-09-11,7.6
2017-09-12,7.6
2017-09-13,7.6
2017-09-14,7.6
2017-09-15,7.55
2017-09-18,7.75
2017-09-19,7.8
2017-09-20,7.75
2017-09-21,7.8
2017-09-22,7.85
2017-09-25,7.9
2017-09-26,7.95
2017-09-27,7.9
2017-09-28,7.85
2017-09-29,8.2
2017-10-02,8.25
2017-10-03,8.15
2017-10-04,8.15
2017-10-05,8.15
2017-10-06,8.15
2017-10-09,8.05
2017-10-10,7.95
2017-10-11,7.95
2017-10-12,7.95
2017-10-13,7.8
2017-10-16,7.9
2017-10-17,7.95
2017-10-18,8.15
2017-10-19,8.2
2017-10-20,8.2
2017-10-23,8.2
2017-10-24,8.15
2017-10-25,8.2
2017-10-26,8.2
2017-10-27,8.25
2017-10-30,8.3
2017-10-31,8.2
2017-11-01,8.35
2017-11-02,8.3
2017-11-03,8.25
2017-11-06,8.2
2017-11-07,8.15
2017-11-08,8.05
2017-11-09,7.95
2017-11-10,7.9
2017-11-13,8.0
2017-11-14,8.1
2017-11-15,8.45
2017-11-16,8.85
2017-11-17,8.95
2017-11-20,9.3
2017-11-21,9.35
2017-11-22,9.35
2017-11-24,9.45
2017-11-27,9.4
2017-11-28,9.35
2017-11-29,9.2
2017-11-30,9.35
2017-12-01,9.25
2017-12-04,9.05
2017-12-05,8.85
2017-12-06,8.55
2017-12-07,8.7
2017-12-08,8.5
2017-12-11,8.55
2017-12-12,8.5
2017-12-13,8.5
2017-12-14,8.45
2017-12-15,8.5
2017-12-18,8.65
2017-12-19,8.6
2017-12-20,8.55
2017-12-21,8.65
2017-12-22,8.5
2017-12-26,8.5
2017-12-27,8.35
2017-12-28,8.45
2017-12-29,8.4
2018-01-02,8.4
2018-01-03,8.55
2018-01-04,8.6
2018-01-05,8.65
2018-01-08,8.8
2018-01-09,8.75
2018-01-10,8.55
2018-01-11,8.65
2018-01-12,8.8
2018-01-16,8.4
2018-01-17,8.25
2018-01-18,8.05
2018-01-19,8.0
2018-01-22,8.0
2018-01-23,8.1
2018-01-24,8.0
2018-01-25,8.2
2018-01-26,8.35
2018-01-29,8.3
2018-01-30,8.2
2018-01-31,8.3
2018-02-01,8.275
2018-02-02,7.9
2018-02-05,7.5
2018-02-06,7.75
2018-02-07,7.85
2018-02-08,7.35
2018-02-09,7.25
2018-02-12,7.5
2018-02-13,7.35
2018-02-14,7.7
2018-02-15,7.65
2018-02-16,7.75
2018-02-20,8.0
2018-02-21,8.15
2018-02-22,7.75
2018-02-23,7.95
2018-02-26,7.7
2018-02-27,7.4
2018-02-28,7.3
2018-03-01,7.3
2018-03-02,7.7
2018-03-05,7.8
2018-03-06,7.75
2018-03-07,7.8
2018-03-08,7.8
2018-03-09,8.05
2018-03-12,8.4
2018-03-13,8.25
2018-03-14,8.1
2018-03-15,8.15
2018-03-16,7.9
2018-03-19,7.85
2018-03-20,7.75
2018-03-21,7.9
2018-03-22,7.65
2018-03-23,7.4
2018-03-26,7.5
2018-03-27,7.3
2018-03-28,7.225
2018-03-29,7.4
2018-04-02,7.15
2018-04-03,7.2
2018-04-04,7.5
2018-04-05,7.3
2018-04-06,7.25
2018-04-09,7.35
2018-04-10,7.3
2018-04-11,7.35
2018-04-12,7.4
2018-04-13,7.35
2018-04-16,7.425
2018-04-17,7.55
2018-04-18,7.375
2018-04-19,7.4
2018-04-20,7.5
2018-04-23,7.45
2018-04-24,7.4
2018-04-25,7.4
2018-04-26,7.5
2018-04-27,7.4
2018-04-30,7.35
2018-05-01,7.55
2018-05-02,8.35
2018-05-03,8.75
2018-05-04,8.7
2018-05-07,8.9
2018-05-08,8.7
2018-05-09,8.85
2018-05-10,8.95
2018-05-11,9.1
2018-05-14,9.0
2018-05-15,8.85
2018-05-16,8.95
2018-05-17,9.1
2018-05-18,9.15
2018-05-21,9.05
2018-05-22,8.95
2018-05-23,8.9
2018-05-24,8.75
2018-05-25,8.85
2018-05-29,9.0
2018-05-30,9.0
2018-05-31,8.95
2018-06-01,9.0
2018-06-04,9.2
2018-06-05,9.2
2018-06-06,9.05
2018-06-07,9.0
2018-06-08,9.1
2018-06-11,9.05
2018-06-12,9.15
2018-06-13,9.3
2018-06-14,9.6
2018-06-15,9.8
2018-06-18,10.0
2018-06-19,9.85
2018-06-20,9.7
2018-06-21,9.6
2018-06-22,9.55
2018-06-25,9.45
2018-06-26,9.5
2018-06-27,9.6
2018-06-28,9.75
2018-06-29,9.95
2018-07-02,10.0
2018-07-03,10.2
2018-07-05,10.45
2018-07-06,10.8
2018-07-09,10.7
2018-07-10,10.45
2018-07-11,10.65
2018-07-12,10.85
2018-07-13,10.7
2018-07-16,10.75
2018-07-17,10.8
2018-07-18,10.6
2018-07-19,10.6
2018-07-20,10.3
2018-07-23,10.35
2018-07-24,10.1
2018-07-25,10.2
2018-07-26,8.75
2018-07-27,8.425
2018-07-30,8.05
2018-07-31,8.2
2018-08-01,8.35
2018-08-02,8.4
2018-08-03,8.5
2018-08-06,8.6
2018-08-07,8.55
2018-08-08,8.75
2018-08-09,9.05
2018-08-10,9.15
2018-08-13,9.05
2018-08-14,9.15
2018-08-15,9.2
2018-08-16,9.45
2018-08-17,9.4
2018-08-20,9.55
2018-08-21,9.6
2018-08-22,9.65
2018-08-23,9.65
2018-08-24,9.6
2018-08-27,9.75
2018-08-28,9.55
2018-08-29,9.7
2018-08-30,9.65
2018-08-31,9.65
2018-09-04,9.5
2018-09-05,9.4
2018-09-06,9.35
2018-09-07,9.4
2018-09-10,9.5
2018-09-11,9.45
2018-09-12,9.5
2018-09-13,9.3
2018-09-14,9.25
2018-09-17,9.3
2018-09-18,9.45
2018-09-19,9.1
2018-09-20,9.15
2018-09-21,8.95
2018-09-24,8.9
2018-09-25,9.15
2018-09-26,8.9
2018-09-27,8.9
2018-09-28,8.8
2018-10-01,8.61
2018-10-02,8.45
2018-10-03,8.6
2018-10-04,8.42
2018-10-05,8.48
2018-10-08,8.4
2018-10-09,8.6
2018-10-10,8.31
2018-10-11,8.47
