Date,MSG
2017-06-28,200.5
2017-06-29,197.830002
2017-06-30,196.899994
2017-07-03,196.71000700000002
2017-07-05,196.21000700000002
2017-07-06,192.830002
2017-07-07,194.779999
2017-07-10,193.100006
2017-07-11,191.199997
2017-07-12,194.149994
2017-07-13,194.96000700000002
2017-07-14,196.46000700000002
2017-07-17,198.25
2017-07-18,199.740005
2017-07-19,206.149994
2017-07-20,210.600006
2017-07-21,210.63999900000002
2017-07-24,214.149994
2017-07-25,215.289993
2017-07-26,217.27999900000003
2017-07-27,218.600006
2017-07-28,219.82000699999998
2017-07-31,219.72000099999997
2017-08-01,219.440002
2017-08-02,217.44999700000002
2017-08-03,216.86999500000002
2017-08-04,216.66000400000001
2017-08-07,216.940002
2017-08-08,215.27999900000003
2017-08-09,215.960007
2017-08-10,215.039993
2017-08-11,215.66000400000001
2017-08-14,216.440002
2017-08-15,216.08999599999999
2017-08-16,217.419998
2017-08-17,208.149994
2017-08-18,209.690002
2017-08-21,212.460007
2017-08-22,213.75999500000003
2017-08-23,211.55000299999998
2017-08-24,214.520004
2017-08-25,215.82000699999998
2017-08-28,213.16000400000001
2017-08-29,210.36000099999998
2017-08-30,211.080002
2017-08-31,212.50999500000003
2017-09-01,209.440002
2017-09-05,223.789993
2017-09-06,225.80000299999998
2017-09-07,220.49000499999997
2017-09-08,220.00999500000003
2017-09-11,224.169998
2017-09-12,224.539993
2017-09-13,222.08999599999999
2017-09-14,218.63000499999998
2017-09-15,219.58999599999999
2017-09-18,216.809998
2017-09-19,214.50999500000003
2017-09-20,214.63999900000002
2017-09-21,213.479996
2017-09-22,213.600006
2017-09-25,209.960007
2017-09-26,209.619995
2017-09-27,216.169998
2017-09-28,215.49000499999997
2017-09-29,214.100006
2017-10-02,214.57000699999998
2017-10-03,213.210007
2017-10-04,214.74000499999997
2017-10-05,214.25
2017-10-06,211.729996
2017-10-09,209.580002
2017-10-10,209.179993
2017-10-11,210.830002
2017-10-12,215.080002
2017-10-13,214.25
2017-10-16,217.75
2017-10-17,214.00999500000003
2017-10-18,209.979996
2017-10-19,214.919998
2017-10-20,219.38000499999998
2017-10-23,219.61000099999998
2017-10-24,217.17999300000002
2017-10-25,214.19999700000002
2017-10-26,216.24000499999997
2017-10-27,224.149994
2017-10-30,220.270004
2017-10-31,222.690002
2017-11-01,225.75
2017-11-02,221.0
2017-11-03,228.899994
2017-11-06,227.309998
2017-11-07,225.169998
2017-11-08,229.059998
2017-11-09,229.690002
2017-11-10,229.63000499999998
2017-11-13,225.0
2017-11-14,222.710007
2017-11-15,221.17999300000002
2017-11-16,219.07000699999998
2017-11-17,218.460007
2017-11-20,215.0
2017-11-21,214.899994
2017-11-22,214.149994
2017-11-24,214.979996
2017-11-27,214.309998
2017-11-28,213.92999300000002
2017-11-29,215.57000699999998
2017-11-30,216.649994
2017-12-01,217.07000699999998
2017-12-04,218.5
2017-12-05,212.25
2017-12-06,211.58999599999999
2017-12-07,213.24000499999997
2017-12-08,214.08999599999999
2017-12-11,213.19999700000002
2017-12-12,212.44999700000002
2017-12-13,210.830002
2017-12-14,209.86999500000002
2017-12-15,210.13000499999998
2017-12-18,213.38000499999998
2017-12-19,214.02999900000003
2017-12-20,212.229996
2017-12-21,213.97000099999997
2017-12-22,211.50999500000003
2017-12-26,211.809998
2017-12-27,212.72000099999997
2017-12-28,213.02999900000003
2017-12-29,210.850006
2018-01-02,209.429993
2018-01-03,211.30000299999998
2018-01-04,211.080002
2018-01-05,212.86999500000002
2018-01-08,210.330002
2018-01-09,210.41000400000001
2018-01-10,207.899994
2018-01-11,211.63999900000002
2018-01-12,212.99000499999997
2018-01-16,211.559998
2018-01-17,211.330002
2018-01-18,210.440002
2018-01-19,212.0
2018-01-22,211.30000299999998
2018-01-23,211.039993
2018-01-24,214.07000699999998
2018-01-25,212.080002
2018-01-26,214.0
2018-01-29,214.61000099999998
2018-01-30,214.229996
2018-01-31,215.83999599999999
2018-02-01,217.75
2018-02-02,220.690002
2018-02-05,220.940002
2018-02-06,218.49000499999997
2018-02-07,217.02999900000003
2018-02-08,210.770004
2018-02-09,209.240005
2018-02-12,208.740005
2018-02-13,210.02999900000003
2018-02-14,219.960007
2018-02-15,226.149994
2018-02-16,226.979996
2018-02-20,229.979996
2018-02-21,232.13999900000002
2018-02-22,229.559998
2018-02-23,231.97000099999997
2018-02-26,246.77999900000003
2018-02-27,242.75999500000003
2018-02-28,244.19999700000002
2018-03-01,240.0
2018-03-02,239.330002
2018-03-05,242.919998
2018-03-06,242.559998
2018-03-07,242.559998
2018-03-08,244.36000099999998
2018-03-09,244.61999500000002
2018-03-12,249.77999900000003
2018-03-13,246.850006
2018-03-14,247.809998
2018-03-15,247.350006
2018-03-16,243.86999500000002
2018-03-19,238.36000099999998
2018-03-20,241.940002
2018-03-21,244.059998
2018-03-22,244.399994
2018-03-23,241.66000400000001
2018-03-26,245.309998
2018-03-27,243.600006
2018-03-28,242.520004
2018-03-29,245.80000299999998
2018-04-02,242.82000699999998
2018-04-03,241.75999500000003
2018-04-04,242.330002
2018-04-05,244.77999900000003
2018-04-06,245.11999500000002
2018-04-09,245.72000099999997
2018-04-10,245.710007
2018-04-11,244.25
2018-04-12,240.669998
2018-04-13,241.479996
2018-04-16,242.72000099999997
2018-04-17,242.649994
2018-04-18,244.17999300000002
2018-04-19,243.57000699999998
2018-04-20,244.649994
2018-04-23,242.38999900000002
2018-04-24,241.520004
2018-04-25,240.99000499999997
2018-04-26,242.5
2018-04-27,245.13000499999998
2018-04-30,243.020004
2018-05-01,238.91000400000001
2018-05-02,237.960007
2018-05-03,246.789993
2018-05-04,251.059998
2018-05-07,250.57000699999998
2018-05-08,249.38000499999998
