Date,ET
2007-07-13,10.2775
2007-07-16,10.2575
2007-07-17,10.225
2007-07-18,10.21
2007-07-19,10.2175
2007-07-20,10.2325
2007-07-23,10.175
2007-07-24,10.1475
2007-07-25,10.1325
2007-07-26,9.9475
2007-07-27,9.8475
2007-07-30,9.6075
2007-07-31,9.6425
2007-08-01,9.6075
2007-08-02,9.1
2007-08-03,9.135
2007-08-06,9.0375
2007-08-07,9.08
2007-08-08,9.085
2007-08-09,8.8625
2007-08-10,8.7675
2007-08-13,8.85
2007-08-14,8.8875
2007-08-15,8.585
2007-08-16,8.9625
2007-08-17,8.9675
2007-08-20,8.99
2007-08-21,8.9875
2007-08-22,9.1125
2007-08-23,9.2425
2007-08-24,9.2475
2007-08-27,9.24
2007-08-28,9.225
2007-08-29,9.2125
2007-08-30,9.125
2007-08-31,9.1875
2007-09-04,9.25
2007-09-05,9.2075
2007-09-06,9.23
2007-09-07,9.2325
2007-09-10,9.21
2007-09-11,9.1925
2007-09-12,9.08
2007-09-13,9.0275
2007-09-14,9.0975
2007-09-17,9.0
2007-09-18,9.015
2007-09-19,9.0275
2007-09-20,9.0
2007-09-21,8.98
2007-09-24,8.9325
2007-09-25,8.745
2007-09-26,8.525
2007-09-27,8.505
2007-09-28,8.575
2007-10-01,8.475
2007-10-02,8.4725
2007-10-03,8.3125
2007-10-04,8.31
2007-10-05,8.5
2007-10-08,8.72
2007-10-09,8.94
2007-10-10,9.1
2007-10-11,8.97
2007-10-12,8.995
2007-10-15,8.9675
2007-10-16,8.985
2007-10-17,8.9475
2007-10-18,8.945
2007-10-19,8.9075
2007-10-22,8.9
2007-10-23,8.8125
2007-10-24,8.7475
2007-10-25,8.72
2007-10-26,8.75
2007-10-29,8.755
2007-10-30,8.9475
2007-10-31,8.8975
2007-11-01,8.6775
2007-11-02,8.49
2007-11-05,8.3125
2007-11-06,8.0
2007-11-07,7.925
2007-11-08,8.175
2007-11-09,8.19
2007-11-12,8.1875
2007-11-13,8.1275
2007-11-14,8.205
2007-11-15,8.16
2007-11-16,8.25
2007-11-19,8.1975
2007-11-20,8.25
2007-11-21,8.27
2007-11-23,8.36
2007-11-26,8.37
2007-11-27,8.28
2007-11-28,8.3375
2007-11-29,8.35
2007-11-30,8.6275
2007-12-03,8.5975
2007-12-04,8.59
2007-12-05,8.61
2007-12-06,8.4775
2007-12-07,8.48
2007-12-10,8.5275
2007-12-11,8.6325
2007-12-12,8.6325
2007-12-13,8.555
2007-12-14,8.4975
2007-12-17,8.43
2007-12-18,8.4275
2007-12-19,8.3875
2007-12-20,8.3725
2007-12-21,8.655
2007-12-24,8.8975
2007-12-26,8.9025
2007-12-27,8.855
2007-12-28,8.8325
2007-12-31,8.8075
2008-01-02,8.8125
2008-01-03,8.685
2008-01-04,8.5575
2008-01-07,8.545
2008-01-08,8.5425
2008-01-09,8.46
2008-01-10,8.3675
2008-01-11,8.3025
2008-01-14,8.2725
2008-01-15,8.29
2008-01-16,8.2375
2008-01-17,8.18
2008-01-18,8.125
2008-01-22,8.1
2008-01-23,7.9925
2008-01-24,8.2
2008-01-25,8.015
2008-01-28,8.0775
2008-01-29,8.1075
2008-01-30,8.15
2008-01-31,8.2575
2008-02-01,8.115
2008-02-04,8.25
2008-02-05,8.24
2008-02-06,8.1825
2008-02-07,8.2375
2008-02-08,8.1675
2008-02-11,7.995
2008-02-12,8.0175
2008-02-13,7.9975
2008-02-14,8.005
2008-02-15,8.0
2008-02-19,8.0325
2008-02-20,8.0625
2008-02-21,8.0175
2008-02-22,8.005
2008-02-25,8.0675
2008-02-26,8.0475
2008-02-27,8.06
2008-02-28,8.285
2008-02-29,8.315
2008-03-03,8.3125
2008-03-04,8.25
2008-03-05,8.2625
2008-03-06,8.2125
2008-03-07,7.98
2008-03-10,7.785
2008-03-11,7.845
2008-03-12,7.79
2008-03-13,7.6525
2008-03-14,7.4875
2008-03-17,7.2325
2008-03-18,7.475
2008-03-19,7.4325
2008-03-20,7.4375
2008-03-24,7.9475
2008-03-25,7.765
2008-03-26,8.1575
2008-03-27,8.0375
2008-03-28,7.8475
2008-03-31,7.81
2008-04-01,7.805
2008-04-02,7.9025
2008-04-03,8.0625
2008-04-04,8.1725
2008-04-07,8.2475
2008-04-08,8.25
2008-04-09,8.2025
2008-04-10,8.04
2008-04-11,7.9775
2008-04-14,7.8
2008-04-15,7.845
2008-04-16,7.93
2008-04-17,8.0025
2008-04-18,8.165
2008-04-21,8.1425
2008-04-22,8.1075
2008-04-23,8.13
2008-04-24,8.2075
2008-04-25,8.2975
2008-04-28,8.4625
2008-04-29,8.5725
2008-04-30,8.5825
2008-05-01,8.485
2008-05-02,8.445
2008-05-05,8.525
2008-05-06,8.5375
2008-05-07,8.4325
2008-05-08,8.435
2008-05-09,8.4125
2008-05-12,8.4575
2008-05-13,8.36
2008-05-14,8.4175
2008-05-15,8.4325
2008-05-16,8.4075
2008-05-19,8.4125
2008-05-20,8.35
2008-05-21,8.24
2008-05-22,8.255
2008-05-23,8.14
2008-05-27,8.125
2008-05-28,8.1025
2008-05-29,8.165
2008-05-30,8.1175
2008-06-02,8.0425
2008-06-03,7.985
2008-06-04,7.9275
2008-06-05,7.9325
2008-06-06,7.9175
2008-06-09,8.0
2008-06-10,7.955
2008-06-11,7.9875
2008-06-12,7.9825
2008-06-13,7.995
2008-06-16,7.9325
2008-06-17,7.94
2008-06-18,7.7075
2008-06-19,7.67
2008-06-20,7.5625
2008-06-23,7.605
2008-06-24,7.5475
2008-06-25,7.5125
2008-06-26,7.375
2008-06-27,7.27
2008-06-30,7.2475
2008-07-01,7.23
2008-07-02,7.115
2008-07-03,7.0
2008-07-07,6.93
2008-07-08,6.9975
2008-07-09,7.125
2008-07-10,7.1125
2008-07-11,7.0225
2008-07-14,6.9975
2008-07-15,6.9625
2008-07-16,7.12
2008-07-17,7.185
2008-07-18,7.06
2008-07-21,7.1775
2008-07-22,7.1975
2008-07-23,7.1825
2008-07-24,7.05
2008-07-25,6.99
2008-07-28,7.075
2008-07-29,7.1875
2008-07-30,7.5
2008-07-31,7.43
2008-08-01,7.36
2008-08-04,7.2625
2008-08-05,7.165
2008-08-06,7.185
2008-08-07,7.075
2008-08-08,7.1
2008-08-11,7.1275
2008-08-12,7.0725
2008-08-13,7.225
2008-08-14,7.2375
2008-08-15,7.2125
2008-08-18,7.1775
2008-08-19,7.1075
2008-08-20,7.1
2008-08-21,7.1575
2008-08-22,7.095
2008-08-25,6.91
2008-08-26,6.875
2008-08-27,7.26
2008-08-28,7.2225
2008-08-29,7.2125
2008-09-02,7.135
2008-09-03,7.05
2008-09-04,6.9925
2008-09-05,6.87
2008-09-08,6.86
2008-09-09,6.4325
2008-09-10,6.445
2008-09-11,6.345
2008-09-12,6.2975
2008-09-15,5.735
2008-09-16,5.5025
2008-09-17,5.25
2008-09-18,5.23
2008-09-19,5.7675
2008-09-22,5.8475
2008-09-23,5.6675
2008-09-24,5.695
2008-09-25,5.775
2008-09-26,5.675
2008-09-29,5.315
2008-09-30,5.4375
2008-10-01,5.53
2008-10-02,5.28
2008-10-03,5.1425
2008-10-06,4.785
2008-10-07,4.45
2008-10-08,4.08
2008-10-09,3.82
2008-10-10,3.42
2008-10-13,4.3775
2008-10-14,4.46
2008-10-15,4.22
2008-10-16,4.3775
2008-10-17,4.5775
2008-10-20,5.0075
2008-10-21,5.0075
2008-10-22,5.06
2008-10-23,5.18
2008-10-24,4.875
2008-10-27,4.71
2008-10-28,4.81
2008-10-29,4.91
2008-10-30,5.08
2008-10-31,5.125
2008-11-03,5.0575
2008-11-04,5.25
2008-11-05,5.095
2008-11-06,4.58
2008-11-07,4.7925
2008-11-10,4.79
2008-11-11,4.565
2008-11-12,4.3275
2008-11-13,4.3175
2008-11-14,4.41
2008-11-17,4.1975
2008-11-18,4.1275
2008-11-19,3.7475
2008-11-20,3.325
2008-11-21,3.3225
2008-11-24,3.77
2008-11-25,3.8025
2008-11-26,4.0475
2008-11-28,4.1225
2008-12-01,3.84
2008-12-02,3.9475
2008-12-03,3.98
2008-12-04,4.0625
2008-12-05,4.0225
2008-12-08,4.18
2008-12-09,4.05
2008-12-10,4.2825
2008-12-11,4.2275
2008-12-12,4.31
2008-12-15,4.3075
2008-12-16,4.43
2008-12-17,4.455
2008-12-18,4.4275
2008-12-19,4.16
2008-12-22,4.14
2008-12-23,4.1075
2008-12-24,4.0325
2008-12-26,4.225
2008-12-29,4.075
2008-12-30,4.075
2008-12-31,4.0525
2009-01-02,4.2075
2009-01-05,4.465
2009-01-06,4.555
2009-01-07,4.5275
2009-01-08,4.77
2009-01-09,4.5975
2009-01-12,4.3675
2009-01-13,4.49
2009-01-14,4.25
2009-01-15,4.2625
2009-01-16,4.265
2009-01-20,4.0475
2009-01-21,4.1275
2009-01-22,4.045
2009-01-23,4.205
2009-01-26,4.36
2009-01-27,4.55
2009-01-28,4.7
2009-01-29,4.6325
2009-01-30,4.62
2009-02-02,4.625
2009-02-03,4.67
2009-02-04,4.5
2009-02-05,4.6175
2009-02-06,4.65
2009-02-09,4.71
2009-02-10,4.605
2009-02-11,4.6825
2009-02-12,4.755
2009-02-13,4.8925
2009-02-17,4.6875
2009-02-18,4.61
2009-02-19,4.65
2009-02-20,4.635
2009-02-23,4.475
2009-02-24,4.74
2009-02-25,4.9
2009-02-26,4.8725
2009-02-27,4.9075
2009-03-02,4.5475
2009-03-03,4.4225
2009-03-04,4.825
2009-03-05,4.7325
2009-03-06,4.6
2009-03-09,4.525
2009-03-10,4.7325
2009-03-11,4.8175
2009-03-12,5.0525
2009-03-13,5.025
2009-03-16,5.1075
2009-03-17,5.23
2009-03-18,5.2
2009-03-19,5.23
2009-03-20,5.0375
2009-03-23,5.3
2009-03-24,5.2575
2009-03-25,5.425
2009-03-26,5.3725
2009-03-27,5.2825
2009-03-30,5.0975
2009-03-31,5.2825
2009-04-01,5.38
2009-04-02,5.4675
2009-04-03,5.525
2009-04-06,5.4625
2009-04-07,5.3825
2009-04-08,5.42
2009-04-09,5.5075
2009-04-13,5.7775
2009-04-14,5.85
2009-04-15,5.8525
2009-04-16,6.035
2009-04-17,6.045
2009-04-20,5.85
2009-04-21,5.92
2009-04-22,5.915
2009-04-23,6.0275
2009-04-24,6.1675
2009-04-27,6.2825
2009-04-28,6.3925
2009-04-29,6.51
2009-04-30,6.41
2009-05-01,6.635
2009-05-04,6.71
2009-05-05,6.615
2009-05-06,6.485
2009-05-07,6.3825
2009-05-08,6.515
2009-05-11,6.4275
2009-05-12,6.25
2009-05-13,6.2225
2009-05-14,6.2475
2009-05-15,6.2125
2009-05-18,6.4125
2009-05-19,6.535
2009-05-20,6.6125
2009-05-21,6.4775
2009-05-22,6.4525
2009-05-26,6.4475
2009-05-27,6.4175
2009-05-28,6.4625
2009-05-29,6.57
2009-06-01,6.5475
2009-06-02,6.54
2009-06-03,6.39
2009-06-04,6.48
2009-06-05,6.4975
2009-06-08,6.4875
2009-06-09,6.4575
2009-06-10,6.395
2009-06-11,6.4575
2009-06-12,6.4775
2009-06-15,6.2925
2009-06-16,6.0975
2009-06-17,5.9525
2009-06-18,6.105
2009-06-19,6.1325
2009-06-22,6.0
2009-06-23,5.835
2009-06-24,5.95
2009-06-25,6.1825
2009-06-26,6.3475
2009-06-29,6.345
2009-06-30,6.3425
2009-07-01,6.3825
2009-07-02,6.3225
2009-07-06,6.25
2009-07-07,6.1275
2009-07-08,6.1075
2009-07-09,6.3125
2009-07-10,6.355
2009-07-13,6.4625
2009-07-14,6.4125
2009-07-15,6.5525
2009-07-16,6.63
2009-07-17,6.695
2009-07-20,6.775
2009-07-21,6.75
2009-07-22,6.7475
2009-07-23,6.7625
2009-07-24,6.84
2009-07-27,7.1175
2009-07-28,7.2
2009-07-29,7.01
2009-07-30,7.1625
2009-07-31,7.305
2009-08-03,7.5175
2009-08-04,7.515
2009-08-05,7.3
2009-08-06,7.1625
2009-08-07,7.2275
2009-08-10,7.23
2009-08-11,6.8625
2009-08-12,7.075
2009-08-13,7.09
2009-08-14,7.05
2009-08-17,6.8925
2009-08-18,6.965
2009-08-19,7.0025
2009-08-20,7.0925
2009-08-21,7.1625
2009-08-24,7.16
2009-08-25,7.105
2009-08-26,6.97
2009-08-27,6.89
2009-08-28,6.8875
2009-08-31,6.7225
2009-09-01,6.675
2009-09-02,6.62
2009-09-03,6.69
2009-09-04,6.805
2009-09-08,6.945
2009-09-09,6.9225
2009-09-10,7.05
2009-09-11,7.1075
2009-09-14,7.155
2009-09-15,7.1225
2009-09-16,7.1175
2009-09-17,6.945
2009-09-18,6.915
2009-09-21,6.955
2009-09-22,6.93
2009-09-23,6.92
2009-09-24,6.875
2009-09-25,6.945
2009-09-28,6.935
2009-09-29,7.0175
2009-09-30,7.0
2009-10-01,6.8225
2009-10-02,6.8375
2009-10-05,6.9275
2009-10-06,7.1825
2009-10-07,7.1725
2009-10-08,7.3075
2009-10-09,7.3325
2009-10-12,7.4575
2009-10-13,7.505
2009-10-14,7.5575
2009-10-15,7.5125
2009-10-16,7.6475
2009-10-19,7.72
2009-10-20,7.6
2009-10-21,7.58
2009-10-22,7.6175
2009-10-23,7.56
2009-10-26,7.3975
2009-10-27,7.3625
2009-10-28,7.055
2009-10-29,7.1925
2009-10-30,7.1325
2009-11-02,7.0625
2009-11-03,7.095
2009-11-04,7.21
2009-11-05,7.2
2009-11-06,7.14
2009-11-09,7.3
2009-11-10,7.1225
2009-11-11,7.1875
2009-11-12,7.17
2009-11-13,7.3125
2009-11-16,7.355
2009-11-17,7.4
2009-11-18,7.435
2009-11-19,7.3725
2009-11-20,7.38
2009-11-23,7.45
2009-11-24,7.465
2009-11-25,7.5
2009-11-27,7.4
2009-11-30,7.375
2009-12-01,7.42
2009-12-02,7.41
2009-12-03,7.4175
2009-12-04,7.335
2009-12-07,7.3875
2009-12-08,7.4775
2009-12-09,7.4825
2009-12-10,7.5525
2009-12-11,7.545
2009-12-14,7.6325
2009-12-15,7.6225
2009-12-16,7.5725
2009-12-17,7.505
2009-12-18,7.3075
2009-12-21,7.5025
2009-12-22,7.5725
2009-12-23,7.655
2009-12-24,7.695
2009-12-28,7.7125
2009-12-29,7.69
2009-12-30,7.6575
2009-12-31,7.645
2010-01-04,7.795
2010-01-05,7.8425
2010-01-06,8.0575
2010-01-07,8.155
2010-01-08,8.2525
2010-01-11,8.27
2010-01-12,8.265
2010-01-13,8.335
2010-01-14,8.34
2010-01-15,8.36
2010-01-19,8.4475
2010-01-20,8.46
2010-01-21,8.55
2010-01-22,8.585
2010-01-25,8.4725
2010-01-26,8.255
2010-01-27,8.1
2010-01-28,8.16
2010-01-29,8.0075
2010-02-01,8.25
2010-02-02,8.2275
2010-02-03,8.2275
2010-02-04,7.8725
2010-02-05,7.79
2010-02-08,7.7025
2010-02-09,7.74
2010-02-10,7.6775
2010-02-11,7.73
2010-02-12,7.76
2010-02-16,7.9725
2010-02-17,8.105
2010-02-18,8.0775
2010-02-19,7.925
2010-02-22,7.9625
2010-02-23,7.94
2010-02-24,7.9825
2010-02-25,7.9975
2010-02-26,8.08
2010-03-01,8.1725
2010-03-02,8.075
2010-03-03,8.125
2010-03-04,8.035
2010-03-05,8.0925
2010-03-08,8.15
2010-03-09,8.1875
2010-03-10,8.275
2010-03-11,8.34
2010-03-12,8.415
2010-03-15,8.4425
2010-03-16,8.415
2010-03-17,8.3975
2010-03-18,8.345
2010-03-19,8.25
2010-03-22,8.25
2010-03-23,8.2525
2010-03-24,8.275
2010-03-25,8.25
2010-03-26,8.2725
2010-03-29,8.3525
2010-03-30,8.4525
2010-03-31,8.435
2010-04-01,8.445
2010-04-05,8.74
2010-04-06,8.6875
2010-04-07,8.675
2010-04-08,8.75
2010-04-09,8.7825
2010-04-12,8.8075
2010-04-13,8.84
2010-04-14,8.835
2010-04-15,8.85
2010-04-16,8.7525
2010-04-19,8.75
2010-04-20,8.7975
2010-04-21,8.795
2010-04-22,8.7525
2010-04-23,8.8
2010-04-26,8.8125
2010-04-27,8.555
2010-04-28,8.5675
2010-04-29,8.65
2010-04-30,8.555
2010-05-03,8.725
2010-05-04,8.5375
2010-05-05,8.2
2010-05-06,7.83
2010-05-07,7.8225
2010-05-10,8.0325
2010-05-11,8.1575
2010-05-12,8.075
2010-05-13,7.86
2010-05-14,7.8725
2010-05-17,7.615
2010-05-18,7.5825
2010-05-19,7.3825
2010-05-20,7.0375
2010-05-21,7.245
2010-05-24,7.29
2010-05-25,7.285
2010-05-26,7.455
2010-05-27,7.6775
2010-05-28,7.6875
2010-06-01,7.5225
2010-06-02,7.6675
2010-06-03,7.8475
2010-06-04,7.6275
2010-06-07,7.5075
2010-06-08,7.54
2010-06-09,7.615
2010-06-10,7.8025
2010-06-11,7.9025
2010-06-14,7.975
2010-06-15,8.055
2010-06-16,8.2
2010-06-17,8.165
2010-06-18,8.1425
2010-06-21,8.1275
2010-06-22,8.0475
2010-06-23,7.945
2010-06-24,7.895
2010-06-25,8.0775
2010-06-28,8.3975
2010-06-29,8.2225
2010-06-30,8.4375
2010-07-01,8.3825
2010-07-02,8.4425
2010-07-06,8.505
2010-07-07,8.5625
2010-07-08,8.5575
2010-07-09,8.565
2010-07-12,8.7475
2010-07-13,9.02
2010-07-14,8.975
2010-07-15,8.865
2010-07-16,8.81
2010-07-19,8.7775
2010-07-20,8.8675
2010-07-21,8.86
2010-07-22,8.84
2010-07-23,8.8775
2010-07-26,8.945
2010-07-27,8.7475
2010-07-28,8.74
2010-07-29,8.7175
2010-07-30,8.89
2010-08-02,9.05
2010-08-03,9.015
2010-08-04,9.025
2010-08-05,8.925
2010-08-06,8.96
2010-08-09,8.675
2010-08-10,8.5475
2010-08-11,8.455
2010-08-12,8.525
2010-08-13,8.6675
2010-08-16,8.7025
2010-08-17,8.6875
2010-08-18,8.7975
2010-08-19,8.7725
2010-08-20,8.7775
2010-08-23,8.775
2010-08-24,8.7575
2010-08-25,8.73
2010-08-26,8.7625
2010-08-27,8.81
2010-08-30,8.6875
2010-08-31,8.6875
2010-09-01,8.785
2010-09-02,8.8575
2010-09-03,8.8725
2010-09-07,9.075
2010-09-08,9.1525
2010-09-09,9.1575
2010-09-10,9.135
2010-09-13,9.15
2010-09-14,9.2125
2010-09-15,9.275
2010-09-16,9.2325
2010-09-17,9.1075
2010-09-20,9.27
2010-09-21,9.335
2010-09-22,9.21
2010-09-23,9.065
2010-09-24,9.1525
2010-09-27,9.2225
2010-09-28,9.315
2010-09-29,9.305
2010-09-30,9.28
2010-10-01,9.33
2010-10-04,9.3175
2010-10-05,9.44
2010-10-06,9.5325
2010-10-07,9.6225
2010-10-08,9.5975
2010-10-11,9.7175
2010-10-12,9.6875
2010-10-13,9.755
2010-10-14,9.7225
2010-10-15,9.7475
2010-10-18,9.8125
2010-10-19,9.6375
2010-10-20,9.705
2010-10-21,9.72
2010-10-22,9.68
2010-10-25,9.7225
2010-10-26,9.7625
2010-10-27,9.7375
2010-10-28,9.75
2010-10-29,9.7775
2010-11-01,9.845
2010-11-02,9.9875
2010-11-03,9.985
2010-11-04,9.925
2010-11-05,9.9625
2010-11-08,10.015
2010-11-09,10.115
2010-11-10,9.9975
2010-11-11,9.9575
2010-11-12,9.86
2010-11-15,9.94
2010-11-16,9.7075
2010-11-17,9.68
2010-11-18,9.71
2010-11-19,9.78
2010-11-22,9.91
2010-11-23,9.8975
2010-11-24,9.925
2010-11-26,9.9
2010-11-29,9.8875
2010-11-30,9.89
2010-12-01,9.98
2010-12-02,9.905
2010-12-03,9.84
