Date,ADT
2018-10-15,7.72
2018-10-16,8.01
2018-10-17,7.77
2018-10-18,7.75
2018-10-19,7.77
2018-10-22,7.38
2018-10-23,7.5
2018-10-24,7.37
2018-10-25,7.49
2018-10-26,7.42
2018-10-29,7.3
2018-10-30,7.3
2018-10-31,7.74
2018-11-01,7.72
2018-11-02,7.77
2018-11-05,7.7
2018-11-06,7.32
2018-11-07,7.42
2018-11-08,8.1
2018-11-09,7.85
2018-11-12,7.45
2018-11-13,7.85
2018-11-14,7.74
2018-11-15,7.91
2018-11-16,8.06
2018-11-19,7.68
2018-11-20,7.42
2018-11-21,7.61
2018-11-23,7.66
2018-11-26,7.6
2018-11-27,7.48
2018-11-28,7.86
2018-11-29,7.85
2018-11-30,7.81
2018-12-03,7.74
2018-12-04,7.42
2018-12-06,7.67
2018-12-07,7.45
2018-12-10,7.26
2018-12-11,7.26
2018-12-12,7.4
2018-12-13,7.19
2018-12-14,6.82
2018-12-17,6.71
2018-12-18,6.57
2018-12-19,6.52
2018-12-20,6.39
2018-12-21,6.21
2018-12-24,6.01
2018-12-26,6.29
2018-12-27,6.16
2018-12-28,6.11
2018-12-31,6.01
2019-01-02,6.41
2019-01-03,6.32
2019-01-04,6.67
2019-01-07,6.79
2019-01-08,6.95
2019-01-09,6.99
2019-01-10,6.92
2019-01-11,7.1
2019-01-14,6.97
2019-01-15,6.9
2019-01-16,7.14
2019-01-17,7.26
2019-01-18,7.33
2019-01-22,7.14
2019-01-23,7.0
2019-01-24,7.06
2019-01-25,7.19
2019-01-28,7.03
2019-01-29,7.12
2019-01-30,7.13
2019-01-31,7.22
2019-02-01,7.31
2019-02-04,7.58
2019-02-05,7.57
2019-02-06,7.64
2019-02-07,7.59
2019-02-08,7.65
2019-02-11,7.83
2019-02-12,8.01
2019-02-13,7.94
2019-02-14,7.95
2019-02-15,8.05
2019-02-19,8.04
2019-02-20,8.15
2019-02-21,8.05
2019-02-22,8.15
2019-02-25,8.19
2019-02-26,8.05
2019-02-27,8.1
2019-02-28,8.0
2019-03-01,7.96
2019-03-04,7.99
2019-03-05,7.98
2019-03-06,7.72
2019-03-07,7.58
2019-03-08,7.38
2019-03-11,7.59
2019-03-12,6.57
2019-03-13,6.38
2019-03-14,6.18
2019-03-15,6.47
2019-03-18,6.75
2019-03-19,6.72
2019-03-20,6.63
2019-03-21,6.57
2019-03-22,6.21
2019-03-25,6.16
2019-03-26,6.25
2019-03-27,6.24
2019-03-28,6.25
2019-03-29,6.39
2019-04-01,6.52
2019-04-02,6.6
2019-04-03,6.67
2019-04-04,6.73
2019-04-05,6.68
2019-04-08,6.61
2019-04-09,6.49
2019-04-10,6.67
2019-04-11,6.66
2019-04-12,6.62
2019-04-15,6.6
2019-04-16,6.7
2019-04-17,6.67
2019-04-18,6.65
2019-04-22,6.66
2019-04-23,6.66
2019-04-24,6.54
2019-04-25,6.29
2019-04-26,6.44
2019-04-29,6.68
2019-04-30,6.59
2019-05-01,6.63
2019-05-02,6.74
2019-05-03,6.87
2019-05-06,6.99
2019-05-07,6.95
2019-05-08,6.18
2019-05-09,6.35
2019-05-10,6.37
2019-05-13,5.98
2019-05-14,6.1
2019-05-15,6.13
2019-05-16,6.27
2019-05-17,6.07
2019-05-20,6.07
2019-05-21,6.33
2019-05-22,6.33
2019-05-23,6.22
2019-05-24,6.19
2019-05-28,6.2
2019-05-29,6.11
2019-05-30,6.12
2019-05-31,5.85
2019-06-03,6.07
2019-06-04,6.16
2019-06-05,6.11
2019-06-06,6.07
2019-06-07,6.17
2019-06-10,6.13
2019-06-11,6.14
2019-06-12,6.25
2019-06-13,6.48
2019-06-14,6.46
2019-06-17,6.35
2019-06-18,6.26
2019-06-19,6.2
2019-06-20,6.26
2019-06-21,6.2
2019-06-24,6.11
2019-06-25,5.87
2019-06-26,5.99
2019-06-27,6.0
2019-06-28,6.12
2019-07-01,6.18
2019-07-02,6.09
2019-07-03,6.26
2019-07-05,6.22
2019-07-08,6.3
2019-07-09,6.21
2019-07-10,6.21
2019-07-11,6.18
2019-07-12,6.36
2019-07-15,6.14
2019-07-16,6.45
2019-07-17,6.21
2019-07-18,6.14
2019-07-19,6.23
2019-07-22,6.03
2019-07-23,6.01
2019-07-24,6.15
2019-07-25,6.25
2019-07-26,6.3
2019-07-29,6.36
2019-07-30,6.41
2019-07-31,6.35
2019-08-01,6.08
2019-08-02,5.98
2019-08-05,5.61
2019-08-06,5.55
2019-08-07,5.21
2019-08-08,5.24
2019-08-09,4.94
2019-08-12,4.65
2019-08-13,4.53
2019-08-14,4.35
2019-08-15,4.38
2019-08-16,4.53
2019-08-19,4.79
2019-08-20,4.68
2019-08-21,4.68
2019-08-22,4.77
2019-08-23,4.6
2019-08-26,4.65
2019-08-27,4.57
2019-08-28,4.72
2019-08-29,4.7
2019-08-30,4.76
2019-09-03,4.77
2019-09-04,4.94
2019-09-05,5.31
2019-09-06,5.34
2019-09-09,5.69
2019-09-10,6.05
2019-09-11,5.96
2019-09-12,5.97
2019-09-13,5.94
2019-09-16,6.05
2019-09-17,6.02
2019-09-18,6.14
2019-09-19,6.14
2019-09-20,6.1
2019-09-23,6.23
2019-09-24,6.21
2019-09-25,6.56
2019-09-26,6.09
2019-09-27,6.16
2019-09-30,6.27
2019-10-01,6.41
2019-10-02,6.39
2019-10-03,6.23
2019-10-04,6.25
2019-10-07,6.33
2019-10-08,6.19
2019-10-09,6.26
2019-10-10,6.41
2019-10-11,6.58
2019-10-14,6.59
2019-10-15,6.74
2019-10-16,7.1
2019-10-17,7.01
2019-10-18,7.38
2019-10-21,7.22
2019-10-22,7.63
2019-10-23,7.65
2019-10-24,7.59
2019-10-25,7.7
2019-10-28,7.77
2019-10-29,7.93
2019-10-30,7.96
2019-10-31,7.74
2019-11-01,7.92
2019-11-04,8.0
2019-11-05,8.04
2019-11-06,7.87
2019-11-07,7.79
2019-11-08,7.95
2019-11-11,7.73
2019-11-12,7.72
2019-11-13,8.35
2019-11-14,8.28
2019-11-15,8.39
2019-11-18,8.29
2019-11-19,8.47
2019-11-20,8.45
2019-11-21,8.54
2019-11-22,8.69
2019-11-25,9.15
2019-11-26,9.57
2019-11-27,9.48
2019-11-29,9.24
2019-12-02,8.88
2019-12-03,8.73
2019-12-04,9.06
2019-12-05,9.23
2019-12-06,8.95
2019-12-09,9.12
2019-12-10,9.26
2019-12-11,9.18
2019-12-12,8.43
2019-12-13,8.48
2019-12-16,8.04
2019-12-17,8.28
2019-12-18,8.25
2019-12-19,8.05
2019-12-20,7.83
2019-12-23,7.76
2019-12-24,7.77
2019-12-26,7.78
2019-12-27,7.78
2019-12-30,7.77
2019-12-31,7.93
2020-01-02,7.57
2020-01-03,7.45
2020-01-06,7.56
2020-01-07,7.44
2020-01-08,6.81
2020-01-09,6.55
2020-01-10,6.3
2020-01-13,6.3
2020-01-14,6.4
2020-01-15,6.4
2020-01-16,6.49
2020-01-17,6.5
2020-01-21,6.43
2020-01-22,6.52
2020-01-23,6.6
2020-01-24,6.5
2020-01-27,6.45
2020-01-28,6.46
2020-01-29,6.51
2020-01-30,6.36
2020-01-31,6.2
2020-02-03,6.25
2020-02-04,6.37
2020-02-05,6.57
2020-02-06,6.55
2020-02-07,6.59
2020-02-10,6.61
2020-02-11,6.83
2020-02-12,7.01
2020-02-13,6.95
2020-02-14,7.04
2020-02-18,7.02
2020-02-19,7.22
2020-02-20,7.15
2020-02-21,6.98
2020-02-24,6.94
2020-02-25,6.9
2020-02-26,6.29
2020-02-27,6.44
2020-02-28,6.39
2020-03-02,6.6
2020-03-03,6.32
2020-03-04,6.77
2020-03-05,6.27
2020-03-06,5.92
2020-03-09,5.27
2020-03-10,5.24
2020-03-11,4.75
2020-03-12,4.83
2020-03-13,4.7
2020-03-16,4.03
2020-03-17,4.3
2020-03-18,3.84
2020-03-19,3.97
2020-03-20,3.87
2020-03-23,3.72
2020-03-24,4.32
2020-03-25,4.42
2020-03-26,4.66
2020-03-27,4.71
2020-03-30,4.34
2020-03-31,4.32
2020-04-01,4.09
2020-04-02,4.11
2020-04-03,4.17
2020-04-06,4.38
2020-04-07,4.2
2020-04-08,4.7
2020-04-09,5.35
2020-04-13,5.15
2020-04-14,5.71
2020-04-15,5.32
2020-04-16,5.28
2020-04-17,5.37
2020-04-20,5.25
2020-04-21,5.05
2020-04-22,5.1
2020-04-23,5.24
2020-04-24,5.29
2020-04-27,5.53
2020-04-28,5.66
2020-04-29,5.81
2020-04-30,5.73
2020-05-01,5.49
2020-05-04,5.5
2020-05-05,5.58
2020-05-06,5.53
2020-05-07,5.63
2020-05-08,5.65
