Date,LORL
2013-09-06,65.610001
2013-09-09,66.449997
2013-09-10,66.57
2013-09-11,66.550003
2013-09-12,66.519997
2013-09-13,66.68
2013-09-16,67.41999799999999
2013-09-17,68.260002
2013-09-18,69.480003
2013-09-19,70.33000200000001
2013-09-20,69.940002
2013-09-23,69.800003
2013-09-24,69.120003
2013-09-25,68.510002
2013-09-26,68.18
2013-09-27,67.879997
2013-09-30,67.730003
2013-10-01,67.900002
2013-10-02,67.879997
2013-10-03,67.300003
2013-10-04,67.790001
2013-10-07,67.160004
2013-10-08,65.190002
2013-10-09,65.199997
2013-10-10,66.449997
2013-10-11,66.989998
2013-10-14,67.050003
2013-10-15,66.480003
2013-10-16,66.760002
2013-10-17,66.959999
2013-10-18,67.940002
2013-10-21,68.139999
2013-10-22,68.379997
2013-10-23,69.0
2013-10-24,69.139999
2013-10-25,68.849998
2013-10-28,71.879997
2013-10-29,71.860001
2013-10-30,71.260002
2013-10-31,71.370003
2013-11-01,72.199997
2013-11-04,72.400002
2013-11-05,72.059998
2013-11-06,71.489998
2013-11-07,70.480003
2013-11-08,70.790001
2013-11-11,71.459999
2013-11-12,71.860001
2013-11-13,71.989998
2013-11-14,72.360001
2013-11-15,72.459999
2013-11-18,72.639999
2013-11-19,72.470001
2013-11-20,72.510002
2013-11-21,73.400002
2013-11-22,73.940002
2013-11-25,74.800003
2013-11-26,76.309998
2013-11-27,78.379997
2013-11-29,78.93
2013-12-02,78.07
2013-12-03,77.83000200000001
2013-12-04,76.940002
2013-12-05,76.43
2013-12-06,76.440002
2013-12-09,76.529999
2013-12-10,76.540001
2013-12-11,75.349998
2013-12-12,76.129997
2013-12-13,78.040001
2013-12-16,78.900002
2013-12-17,77.129997
2013-12-18,77.599998
2013-12-19,77.550003
2013-12-20,78.209999
2013-12-23,78.730003
2013-12-24,78.720001
2013-12-26,78.690002
2013-12-27,78.720001
2013-12-30,80.120003
2013-12-31,80.980003
2014-01-02,79.529999
2014-01-03,79.610001
2014-01-06,78.82
2014-01-07,78.66999799999999
2014-01-08,78.029999
2014-01-09,76.629997
2014-01-10,76.349998
2014-01-13,75.220001
2014-01-14,75.809998
2014-01-15,74.839996
2014-01-16,74.790001
2014-01-17,75.120003
2014-01-21,75.849998
2014-01-22,78.040001
2014-01-23,76.150002
2014-01-24,74.559998
2014-01-27,73.480003
2014-01-28,73.339996
2014-01-29,73.449997
2014-01-30,74.010002
2014-01-31,74.349998
2014-02-03,74.029999
2014-02-04,75.360001
2014-02-05,75.129997
2014-02-06,76.389999
2014-02-07,76.339996
2014-02-10,76.290001
2014-02-11,76.33000200000001
2014-02-12,78.769997
2014-02-13,76.550003
2014-02-14,77.040001
2014-02-18,78.190002
2014-02-19,76.849998
2014-02-20,77.91999799999999
2014-02-21,77.879997
2014-02-24,77.980003
2014-02-25,77.959999
2014-02-26,78.339996
2014-02-27,79.760002
2014-02-28,79.019997
2014-03-03,80.300003
2014-03-04,79.940002
2014-03-05,79.730003
2014-03-06,79.739998
2014-03-07,79.650002
2014-03-10,78.639999
2014-03-11,76.449997
2014-03-12,76.57
2014-03-13,75.099998
2014-03-14,75.629997
2014-03-17,75.089996
2014-03-18,74.519997
2014-03-19,74.110001
2014-03-20,73.879997
2014-03-21,74.25
2014-03-24,73.279999
2014-03-25,70.290001
2014-03-26,70.370003
2014-03-27,70.370003
2014-03-28,70.739998
2014-03-31,70.730003
2014-04-01,71.25
2014-04-02,71.879997
2014-04-03,70.32
2014-04-04,69.449997
2014-04-07,67.190002
2014-04-08,68.029999
2014-04-09,70.08000200000001
