Date,WK
2015-04-30,14.47
2015-05-01,14.36
2015-05-04,14.47
2015-05-05,14.34
2015-05-06,14.49
2015-05-07,14.28
2015-05-08,13.66
2015-05-11,13.69
2015-05-12,13.72
2015-05-13,13.61
2015-05-14,13.65
2015-05-15,13.6
2015-05-18,13.56
2015-05-19,13.43
2015-05-20,13.2
2015-05-21,13.15
2015-05-22,13.14
2015-05-26,13.14
2015-05-27,13.3
2015-05-28,13.17
2015-05-29,13.23
2015-06-01,13.21
2015-06-02,13.44
2015-06-03,14.02
2015-06-04,14.08
2015-06-05,13.98
2015-06-08,13.92
2015-06-09,13.58
2015-06-10,13.31
2015-06-11,13.38
2015-06-12,13.3
2015-06-15,13.22
2015-06-16,13.5
2015-06-17,13.63
2015-06-18,13.92
2015-06-19,13.7
2015-06-22,13.8
2015-06-23,13.96
2015-06-24,14.09
2015-06-25,14.35
2015-06-26,14.5
2015-06-29,14.04
2015-06-30,13.83
2015-07-01,13.51
2015-07-02,13.63
2015-07-06,13.68
2015-07-07,13.79
2015-07-08,13.57
2015-07-09,13.97
2015-07-10,14.4
2015-07-13,14.81
2015-07-14,14.82
2015-07-15,14.9
2015-07-16,14.99
2015-07-17,14.76
2015-07-20,14.71
2015-07-21,15.0
2015-07-22,15.02
2015-07-23,15.0
2015-07-24,14.71
2015-07-27,14.4
2015-07-28,14.42
2015-07-29,14.41
2015-07-30,14.22
2015-07-31,14.59
2015-08-03,14.6
2015-08-04,14.67
2015-08-05,14.78
2015-08-06,14.98
2015-08-07,14.6
2015-08-10,14.23
2015-08-11,14.06
2015-08-12,13.97
2015-08-13,13.96
2015-08-14,13.93
2015-08-17,14.03
2015-08-18,13.89
2015-08-19,13.77
2015-08-20,13.7
2015-08-21,13.46
2015-08-24,13.47
2015-08-25,12.98
2015-08-26,13.67
2015-08-27,13.81
2015-08-28,13.87
2015-08-31,14.33
2015-09-01,14.03
2015-09-02,13.98
2015-09-03,13.4
2015-09-04,13.42
2015-09-08,13.76
2015-09-09,14.26
2015-09-10,14.97
2015-09-11,15.08
2015-09-14,14.88
2015-09-15,15.22
2015-09-16,15.09
2015-09-17,15.34
2015-09-18,15.68
2015-09-21,15.87
2015-09-22,15.8
2015-09-23,15.9
2015-09-24,15.99
2015-09-25,15.35
2015-09-28,14.95
2015-09-29,14.79
2015-09-30,15.19
2015-10-01,15.34
2015-10-02,15.26
2015-10-05,15.91
2015-10-06,15.84
2015-10-07,16.629998999999998
2015-10-08,17.110001
2015-10-09,16.860001
2015-10-12,16.73
2015-10-13,16.450001
2015-10-14,16.389999
2015-10-15,16.57
2015-10-16,16.68
2015-10-19,16.860001
2015-10-20,16.9
2015-10-21,16.450001
2015-10-22,16.77
2015-10-23,16.139999
2015-10-26,15.55
2015-10-27,15.11
2015-10-28,16.540001
2015-10-29,16.35
2015-10-30,16.58
2015-11-02,16.98
2015-11-03,16.629998999999998
2015-11-04,16.75
2015-11-05,16.68
2015-11-06,18.0
2015-11-09,17.98
2015-11-10,17.719998999999998
2015-11-11,17.110001
2015-11-12,17.25
2015-11-13,16.690001000000002
2015-11-16,17.559998999999998
2015-11-17,17.42
2015-11-18,17.49
2015-11-19,17.610001
2015-11-20,17.48
2015-11-23,17.85
2015-11-24,17.719998999999998
2015-11-25,18.040001
2015-11-27,18.34
2015-11-30,18.75
2015-12-01,18.549999
2015-12-02,17.799999
2015-12-03,17.99
2015-12-04,18.049999
2015-12-07,17.93
2015-12-08,18.030001000000002
2015-12-09,18.059998999999998
2015-12-10,18.450001
2015-12-11,18.030001000000002
2015-12-14,17.5
2015-12-15,18.290001
2015-12-16,18.02
2015-12-17,17.49
2015-12-18,17.9
2015-12-21,17.879998999999998
2015-12-22,17.91
2015-12-23,18.32
2015-12-24,18.139999
2015-12-28,18.24
2015-12-29,18.18
2015-12-30,18.18
2015-12-31,17.57
2016-01-04,16.66
2016-01-05,16.690001000000002
2016-01-06,16.610001
2016-01-07,16.07
2016-01-08,15.92
2016-01-11,15.94
2016-01-12,16.120001000000002
2016-01-13,15.45
2016-01-14,15.85
2016-01-15,16.559998999999998
2016-01-19,15.55
2016-01-20,15.54
2016-01-21,15.27
2016-01-22,16.02
2016-01-25,15.38
2016-01-26,15.13
2016-01-27,14.64
2016-01-28,14.74
2016-01-29,14.93
2016-02-01,14.74
2016-02-02,14.28
2016-02-03,14.22
2016-02-04,14.49
2016-02-05,12.41
2016-02-08,12.07
2016-02-09,11.4
2016-02-10,11.52
2016-02-11,11.47
2016-02-12,10.99
2016-02-16,11.43
2016-02-17,11.65
2016-02-18,11.48
2016-02-19,12.08
2016-02-22,11.92
2016-02-23,11.87
2016-02-24,12.25
2016-02-25,12.32
2016-02-26,12.51
2016-02-29,12.48
2016-03-01,13.6
2016-03-02,12.22
2016-03-03,11.4
2016-03-04,11.18
2016-03-07,11.81
2016-03-08,11.68
2016-03-09,11.66
2016-03-10,11.44
2016-03-11,11.71
2016-03-14,11.97
2016-03-15,11.72
2016-03-16,11.73
2016-03-17,11.92
2016-03-18,12.03
2016-03-21,11.5
2016-03-22,11.3
2016-03-23,11.18
2016-03-24,11.28
2016-03-28,11.31
2016-03-29,11.53
2016-03-30,11.67
2016-03-31,11.65
2016-04-01,11.71
2016-04-04,12.0
2016-04-05,11.89
2016-04-06,11.94
2016-04-07,11.93
2016-04-08,11.9
2016-04-11,11.92
2016-04-12,12.0
2016-04-13,12.26
2016-04-14,12.56
2016-04-15,12.59
2016-04-18,12.71
2016-04-19,12.78
2016-04-20,12.69
2016-04-21,12.72
2016-04-22,12.75
2016-04-25,12.7
2016-04-26,12.6
2016-04-27,12.2
2016-04-28,11.98
2016-04-29,11.91
2016-05-02,12.09
2016-05-03,11.98
2016-05-04,11.88
2016-05-05,11.45
2016-05-06,11.48
2016-05-09,11.96
2016-05-10,12.06
2016-05-11,11.96
2016-05-12,11.91
2016-05-13,11.89
2016-05-16,12.0
2016-05-17,11.71
2016-05-18,11.85
2016-05-19,11.95
2016-05-20,12.21
2016-05-23,12.45
2016-05-24,12.72
2016-05-25,13.53
2016-05-26,13.31
2016-05-27,13.41
2016-05-31,13.8
2016-06-01,13.67
2016-06-02,13.77
2016-06-03,13.88
2016-06-06,13.95
2016-06-07,13.83
2016-06-08,13.94
2016-06-09,13.73
2016-06-10,13.55
2016-06-13,13.26
2016-06-14,13.15
2016-06-15,13.48
2016-06-16,13.7
2016-06-17,13.5
2016-06-20,13.72
2016-06-21,13.94
2016-06-22,13.68
2016-06-23,13.64
2016-06-24,12.57
2016-06-27,12.25
2016-06-28,12.4
2016-06-29,12.69
2016-06-30,13.66
2016-07-01,13.47
2016-07-05,13.45
2016-07-06,13.4
2016-07-07,13.56
2016-07-08,13.86
2016-07-11,13.95
2016-07-12,13.94
2016-07-13,13.82
2016-07-14,13.82
2016-07-15,13.9
2016-07-18,13.89
2016-07-19,13.72
2016-07-20,14.09
2016-07-21,13.78
2016-07-22,13.94
2016-07-25,13.85
2016-07-26,13.87
2016-07-27,13.9
2016-07-28,13.99
2016-07-29,13.94
2016-08-01,14.28
2016-08-02,13.91
2016-08-03,13.72
2016-08-04,14.93
2016-08-05,15.67
2016-08-08,15.96
2016-08-09,16.040001
2016-08-10,16.129998999999998
2016-08-11,16.299999
2016-08-12,16.32
2016-08-15,16.610001
2016-08-16,16.52
2016-08-17,16.780001000000002
2016-08-18,17.030001000000002
2016-08-19,17.370001000000002
2016-08-22,17.450001
2016-08-23,17.66
2016-08-24,17.66
2016-08-25,17.75
2016-08-26,17.780001000000002
2016-08-29,17.84
2016-08-30,17.870001000000002
2016-08-31,17.860001
2016-09-01,17.92
2016-09-02,18.1
2016-09-06,18.040001
2016-09-07,18.35
2016-09-08,18.559998999999998
2016-09-09,17.940001000000002
2016-09-12,18.51
2016-09-13,17.99
2016-09-14,18.02
2016-09-15,18.299999
2016-09-16,18.450001
2016-09-19,18.299999
2016-09-20,18.27
2016-09-21,18.459999
2016-09-22,18.27
2016-09-23,18.18
2016-09-26,17.860001
2016-09-27,18.059998999999998
2016-09-28,18.280001000000002
2016-09-29,18.129998999999998
2016-09-30,18.129998999999998
2016-10-03,18.01
2016-10-04,17.870001000000002
2016-10-05,17.620001000000002
2016-10-06,17.5
2016-10-07,17.379998999999998
2016-10-10,17.58
2016-10-11,17.360001
2016-10-12,17.139999
2016-10-13,16.700001
2016-10-14,16.799999
2016-10-17,16.700001
2016-10-18,16.799999
2016-10-19,16.950001
2016-10-20,16.75
2016-10-21,16.65
2016-10-24,16.9
2016-10-25,16.6
2016-10-26,16.4
2016-10-27,16.049999
2016-10-28,16.15
2016-10-31,16.549999
2016-11-01,16.0
2016-11-02,15.8
2016-11-03,15.35
2016-11-04,15.35
2016-11-07,16.1
2016-11-08,16.450001
2016-11-09,16.5
2016-11-10,14.75
2016-11-11,15.25
2016-11-14,14.5
2016-11-15,14.8
2016-11-16,15.0
2016-11-17,15.05
2016-11-18,15.3
2016-11-21,15.3
2016-11-22,15.6
2016-11-23,15.75
2016-11-25,16.0
2016-11-28,15.75
2016-11-29,15.3
2016-11-30,14.9
2016-12-01,14.3
2016-12-02,14.05
2016-12-05,14.05
2016-12-06,14.1
2016-12-07,13.85
2016-12-08,13.7
2016-12-09,13.65
2016-12-12,13.15
2016-12-13,12.95
2016-12-14,13.05
2016-12-15,12.9
2016-12-16,13.0
2016-12-19,13.3
2016-12-20,13.4
2016-12-21,13.35
2016-12-22,13.4
2016-12-23,13.7
2016-12-27,13.7
2016-12-28,13.75
2016-12-29,13.6
2016-12-30,13.65
2017-01-03,13.55
2017-01-04,13.75
2017-01-05,14.0
2017-01-06,13.65
2017-01-09,13.6
2017-01-10,13.65
2017-01-11,13.85
2017-01-12,13.5
2017-01-13,13.7
2017-01-17,13.25
2017-01-18,13.3
2017-01-19,13.15
2017-01-20,13.3
2017-01-23,12.65
2017-01-24,12.8
2017-01-25,12.75
2017-01-26,12.9
2017-01-27,13.0
2017-01-30,12.75
2017-01-31,12.6
2017-02-01,12.4
2017-02-02,12.8
2017-02-03,12.85
2017-02-06,12.7
2017-02-07,12.8
2017-02-08,12.9
2017-02-09,13.3
2017-02-10,13.65
2017-02-13,13.0
2017-02-14,13.13
2017-02-15,13.25
2017-02-16,13.05
2017-02-17,13.25
2017-02-21,13.3
2017-02-22,13.5
2017-02-23,13.5
2017-02-24,14.55
2017-02-27,14.9
2017-02-28,14.95
2017-03-01,14.9
2017-03-02,14.55
2017-03-03,14.7
2017-03-06,14.95
2017-03-07,15.25
2017-03-08,15.2
2017-03-09,15.0
2017-03-10,15.15
2017-03-13,15.05
2017-03-14,15.1
2017-03-15,15.45
2017-03-16,15.6
2017-03-17,16.0
2017-03-20,16.049999
2017-03-21,15.25
2017-03-22,15.1
2017-03-23,15.15
2017-03-24,15.1
2017-03-27,15.65
2017-03-28,15.55
2017-03-29,15.8
2017-03-30,15.55
2017-03-31,15.65
2017-04-03,15.7
2017-04-04,15.75
2017-04-05,15.65
2017-04-06,16.0
2017-04-07,16.0
2017-04-10,16.0
2017-04-11,16.15
2017-04-12,16.15
2017-04-13,16.049999
2017-04-17,16.15
2017-04-18,16.299999
2017-04-19,16.700001
2017-04-20,16.75
2017-04-21,16.5
2017-04-24,16.85
2017-04-25,16.799999
2017-04-26,16.9
2017-04-27,16.700001
2017-04-28,16.799999
2017-05-01,17.0
2017-05-02,16.9
2017-05-03,16.65
2017-05-04,17.049999
2017-05-05,17.950001
2017-05-08,18.049999
2017-05-09,17.75
2017-05-10,17.4
2017-05-11,17.299999
2017-05-12,17.700001
2017-05-15,18.1
2017-05-16,18.200001
2017-05-17,17.450001
2017-05-18,17.35
2017-05-19,17.299999
2017-05-22,17.950001
2017-05-23,18.200001
2017-05-24,18.0
2017-05-25,18.25
2017-05-26,18.299999
2017-05-30,18.15
2017-05-31,18.200001
2017-06-01,18.549999
2017-06-02,18.75
2017-06-05,18.9
2017-06-06,18.700001
2017-06-07,18.450001
2017-06-08,18.6
2017-06-09,17.950001
2017-06-12,18.15
2017-06-13,18.700001
2017-06-14,18.75
2017-06-15,18.950001
2017-06-16,19.049999
2017-06-19,19.0
2017-06-20,18.799999
2017-06-21,18.950001
2017-06-22,19.1
2017-06-23,19.450001
2017-06-26,19.450001
2017-06-27,19.35
2017-06-28,19.200001
2017-06-29,19.0
2017-06-30,19.049999
2017-07-03,18.6
2017-07-05,18.85
2017-07-06,18.9
2017-07-07,19.200001
2017-07-10,19.5
2017-07-11,19.65
2017-07-12,20.049999
2017-07-13,20.200001
2017-07-14,19.950001
2017-07-17,20.15
2017-07-18,20.299999
2017-07-19,20.799999
2017-07-20,20.299999
2017-07-21,20.049999
2017-07-24,20.15
2017-07-25,20.200001
2017-07-26,20.299999
2017-07-27,19.75
2017-07-28,19.799999
2017-07-31,19.6
2017-08-01,19.75
2017-08-02,19.15
2017-08-03,19.1
2017-08-04,20.0
2017-08-07,19.450001
2017-08-08,19.35
2017-08-09,19.1
2017-08-10,19.0
2017-08-11,19.25
2017-08-14,19.75
2017-08-15,19.5
2017-08-16,19.700001
2017-08-17,19.549999
2017-08-18,19.9
2017-08-21,19.6
2017-08-22,19.85
2017-08-23,19.65
2017-08-24,19.65
2017-08-25,19.75
2017-08-28,19.85
2017-08-29,19.9
2017-08-30,20.0
2017-08-31,20.200001
2017-09-01,19.799999
2017-09-05,19.9
2017-09-06,19.75
2017-09-07,19.85
2017-09-08,19.700001
2017-09-11,19.9
2017-09-12,19.799999
2017-09-13,19.700001
2017-09-14,19.75
2017-09-15,19.549999
2017-09-18,19.9
2017-09-19,19.85
2017-09-20,19.950001
2017-09-21,20.15
2017-09-22,20.200001
2017-09-25,20.0
2017-09-26,20.049999
2017-09-27,20.9
2017-09-28,20.9
2017-09-29,20.85
2017-10-02,21.25
2017-10-03,21.799999
2017-10-04,22.0
2017-10-05,21.950001
2017-10-06,22.1
2017-10-09,22.049999
2017-10-10,22.450001
2017-10-11,22.35
2017-10-12,22.4
2017-10-13,22.35
2017-10-16,22.299999
2017-10-17,22.200001
2017-10-18,22.4
2017-10-19,22.15
2017-10-20,22.25
2017-10-23,22.200001
2017-10-24,22.15
2017-10-25,22.200001
2017-10-26,22.15
2017-10-27,22.299999
2017-10-30,21.950001
2017-10-31,22.35
2017-11-01,22.549999
2017-11-02,22.549999
2017-11-03,22.9
2017-11-06,22.85
2017-11-07,22.6
2017-11-08,22.85
2017-11-09,22.450001
2017-11-10,22.35
2017-11-13,22.049999
2017-11-14,22.25
2017-11-15,21.9
2017-11-16,22.15
2017-11-17,22.1
2017-11-20,22.299999
2017-11-21,22.5
2017-11-22,22.5
2017-11-24,22.799999
2017-11-27,22.85
2017-11-28,22.9
2017-11-29,22.1
2017-11-30,21.75
2017-12-01,21.799999
2017-12-04,20.65
2017-12-05,20.799999
2017-12-06,20.85
2017-12-07,21.4
2017-12-08,21.25
2017-12-11,21.299999
2017-12-12,21.049999
2017-12-13,21.200001
2017-12-14,20.9
2017-12-15,21.6
2017-12-18,21.9
2017-12-19,21.700001
2017-12-20,21.450001
2017-12-21,21.799999
2017-12-22,21.549999
2017-12-26,21.65
2017-12-27,21.4
2017-12-28,21.299999
2017-12-29,21.4
2018-01-02,21.25
2018-01-03,21.200001
2018-01-04,21.450001
2018-01-05,21.35
2018-01-08,21.4
2018-01-09,21.4
2018-01-10,21.450001
2018-01-11,21.950001
2018-01-12,21.799999
2018-01-16,21.85
2018-01-17,21.75
2018-01-18,21.75
2018-01-19,22.1
2018-01-22,22.1
2018-01-23,21.950001
2018-01-24,21.950001
2018-01-25,21.9
2018-01-26,22.15
2018-01-29,22.200001
2018-01-30,22.049999
2018-01-31,22.299999
2018-02-01,22.25
2018-02-02,22.299999
2018-02-05,22.049999
2018-02-06,22.4
2018-02-07,23.049999
2018-02-08,22.9
2018-02-09,23.5
2018-02-12,24.5
2018-02-13,24.549999
2018-02-14,24.549999
2018-02-15,25.5
2018-02-16,25.799999
2018-02-20,26.200001
2018-02-21,26.200001
2018-02-22,26.049999
2018-02-23,22.200001
2018-02-26,21.65
2018-02-27,22.9
2018-02-28,22.75
2018-03-01,22.799999
2018-03-02,23.15
2018-03-05,23.1
2018-03-06,23.1
2018-03-07,23.75
2018-03-08,23.450001
2018-03-09,23.4
2018-03-12,23.5
2018-03-13,23.549999
2018-03-14,23.6
2018-03-15,23.75
2018-03-16,24.049999
2018-03-19,23.85
2018-03-20,23.950001
2018-03-21,24.200001
2018-03-22,23.85
2018-03-23,23.35
2018-03-26,23.450001
2018-03-27,23.450001
2018-03-28,23.1
2018-03-29,23.700001
2018-04-02,23.549999
2018-04-03,23.549999
2018-04-04,24.200001
2018-04-05,24.4
2018-04-06,24.200001
2018-04-09,24.1
2018-04-10,24.4
2018-04-11,24.4
2018-04-12,24.700001
2018-04-13,24.4
2018-04-16,24.450001
2018-04-17,24.65
2018-04-18,25.049999
2018-04-19,24.700001
2018-04-20,24.0
2018-04-23,23.65
2018-04-24,23.15
2018-04-25,22.75
2018-04-26,22.9
2018-04-27,22.4
2018-04-30,22.5
2018-05-01,22.35
2018-05-02,23.049999
2018-05-03,25.700001
2018-05-04,26.200001
2018-05-07,26.85
2018-05-08,26.950001
2018-05-09,27.35
2018-05-10,27.299999
2018-05-11,26.9
2018-05-14,26.4
2018-05-15,26.049999
2018-05-16,25.85
2018-05-17,25.65
2018-05-18,25.950001
2018-05-21,25.5
2018-05-22,25.200001
2018-05-23,25.25
2018-05-24,25.799999
2018-05-25,25.799999
2018-05-29,25.75
2018-05-30,26.0
2018-05-31,26.0
2018-06-01,26.200001
2018-06-04,26.5
2018-06-05,26.799999
2018-06-06,27.0
2018-06-07,26.5
2018-06-08,26.200001
2018-06-11,26.299999
2018-06-12,26.35
2018-06-13,26.0
2018-06-14,25.950001
2018-06-15,25.6
2018-06-18,26.049999
2018-06-19,25.85
2018-06-20,25.85
2018-06-21,25.35
2018-06-22,24.75
2018-06-25,24.450001
2018-06-26,25.049999
2018-06-27,24.299999
2018-06-28,24.799999
2018-06-29,24.4
2018-07-02,24.700001
2018-07-03,24.85
2018-07-05,25.15
2018-07-06,25.15
2018-07-09,24.799999
2018-07-10,24.4
2018-07-11,24.549999
2018-07-12,25.049999
2018-07-13,24.75
2018-07-16,25.049999
2018-07-17,25.5
2018-07-18,25.25
2018-07-19,25.65
2018-07-20,25.549999
2018-07-23,25.950001
2018-07-24,25.75
2018-07-25,26.35
2018-07-26,26.4
2018-07-27,26.15
2018-07-30,25.15
2018-07-31,25.25
2018-08-01,25.549999
2018-08-02,26.15
2018-08-03,25.299999
2018-08-06,25.4
2018-08-07,25.5
2018-08-08,29.75
2018-08-09,30.15
2018-08-10,30.15
2018-08-13,30.25
2018-08-14,31.1
2018-08-15,31.35
2018-08-16,31.1
2018-08-17,30.700001
2018-08-20,31.0
2018-08-21,31.049999
2018-08-22,30.9
2018-08-23,31.85
2018-08-24,33.299999
2018-08-27,33.25
2018-08-28,33.450001
2018-08-29,35.650002
2018-08-30,36.299999
2018-08-31,36.849998
2018-09-04,38.0
2018-09-05,37.75
2018-09-06,38.299999
2018-09-07,38.0
2018-09-10,38.0
2018-09-11,39.099998
2018-09-12,40.0
2018-09-13,38.599998
2018-09-14,38.450001
2018-09-17,37.849998
2018-09-18,35.900002
2018-09-19,35.0
2018-09-20,35.0
2018-09-21,36.599998
2018-09-24,37.25
2018-09-25,39.299999
2018-09-26,39.049999
2018-09-27,39.5
2018-09-28,39.5
2018-10-01,40.009997999999996
2018-10-02,37.91
2018-10-03,38.650002
2018-10-04,36.98
2018-10-05,36.82
2018-10-08,35.450001
2018-10-09,34.799999
2018-10-10,33.549999
2018-10-11,33.84
2018-10-12,34.43
2018-10-15,34.299999
2018-10-16,35.34
2018-10-17,34.32
2018-10-18,33.93
2018-10-19,33.84
2018-10-22,33.009997999999996
2018-10-23,33.029999
2018-10-24,32.52
2018-10-25,33.27
2018-10-26,33.02
2018-10-29,32.990002000000004
2018-10-30,33.75
2018-10-31,34.09
2018-11-01,34.189999
2018-11-02,34.09
2018-11-05,34.130001
2018-11-06,34.299999
2018-11-07,37.16
2018-11-08,39.939999
2018-11-09,38.57
2018-11-12,35.349998
2018-11-13,34.209998999999996
2018-11-14,35.700001
2018-11-15,36.93
2018-11-16,36.200001
2018-11-19,34.639998999999996
2018-11-20,34.200001
2018-11-21,35.57
2018-11-23,35.209998999999996
2018-11-26,36.369999
2018-11-27,35.330002
2018-11-28,36.279999
2018-11-29,36.389998999999996
2018-11-30,37.41
2018-12-03,36.580002
2018-12-04,35.009997999999996
2018-12-06,35.689999
2018-12-07,34.259997999999996
2018-12-10,34.68
2018-12-11,35.240002000000004
2018-12-12,36.860001000000004
2018-12-13,35.580002
2018-12-14,35.099998
2018-12-17,34.68
2018-12-18,35.279999
2018-12-19,35.860001000000004
2018-12-20,33.299999
2018-12-21,32.389998999999996
2018-12-24,32.48
2018-12-26,34.279999
2018-12-27,34.310001
2018-12-28,34.540001000000004
2018-12-31,35.889998999999996
2019-01-02,35.470001
2019-01-03,35.220001
2019-01-04,36.68
2019-01-07,37.52
2019-01-08,38.290001000000004
2019-01-09,38.549999
2019-01-10,38.540001000000004
2019-01-11,37.810001
2019-01-14,37.18
2019-01-15,37.299999
2019-01-16,37.259997999999996
2019-01-17,37.77
2019-01-18,38.220001
2019-01-22,38.09
2019-01-23,38.869999
2019-01-24,39.59
2019-01-25,39.169998
2019-01-28,38.580002
2019-01-29,38.580002
2019-01-30,39.490002000000004
2019-01-31,41.900002
2019-02-01,41.860001000000004
2019-02-04,42.18
2019-02-05,42.5
2019-02-06,42.330002
2019-02-07,42.57
2019-02-08,42.59
2019-02-11,43.099998
2019-02-12,44.169998
2019-02-13,43.549999
2019-02-14,43.73
2019-02-15,43.310001
2019-02-19,43.779999
2019-02-20,44.240002000000004
2019-02-21,47.830002
2019-02-22,49.419998
2019-02-25,48.450001
2019-02-26,48.82
2019-02-27,49.639998999999996
2019-02-28,49.450001
2019-03-01,49.34
2019-03-04,48.860001000000004
2019-03-05,48.240002000000004
2019-03-06,47.52
2019-03-07,47.900002
2019-03-08,48.200001
2019-03-11,50.080002
2019-03-12,50.380001
2019-03-13,50.310001
2019-03-14,49.529999
2019-03-15,48.57
2019-03-18,48.380001
2019-03-19,49.209998999999996
2019-03-20,48.959998999999996
2019-03-21,49.5
2019-03-22,47.130001
2019-03-25,47.950001
2019-03-26,49.91
2019-03-27,48.799999
2019-03-28,48.900002
2019-03-29,50.700001
2019-04-01,50.709998999999996
2019-04-02,51.43
2019-04-03,51.400002
2019-04-04,50.669998
2019-04-05,51.169998
2019-04-08,50.509997999999996
2019-04-09,51.400002
2019-04-10,51.790001000000004
2019-04-11,52.549999
2019-04-12,51.75
2019-04-15,52.0
2019-04-16,51.380001
2019-04-17,50.369999
2019-04-18,49.349998
2019-04-22,49.91
2019-04-23,51.279999
2019-04-24,51.09
2019-04-25,50.959998999999996
2019-04-26,52.310001
2019-04-29,52.259997999999996
2019-04-30,53.139998999999996
2019-05-01,52.450001
2019-05-02,52.810001
2019-05-03,54.880001
2019-05-06,53.080002
2019-05-07,52.41
2019-05-08,52.470001
2019-05-09,54.41
2019-05-10,55.560001
2019-05-13,51.970001
2019-05-14,53.880001
2019-05-15,54.049999
2019-05-16,54.709998999999996
2019-05-17,54.259997999999996
2019-05-20,53.0
2019-05-21,54.860001000000004
2019-05-22,55.259997999999996
2019-05-23,53.470001
2019-05-24,53.900002
2019-05-28,56.349998
2019-05-29,54.610001000000004
2019-05-30,56.349998
2019-05-31,55.639998999999996
2019-06-03,50.84
2019-06-04,52.560001
2019-06-05,53.189999
2019-06-06,53.830002
2019-06-07,54.27
2019-06-10,55.689999
2019-06-11,54.639998999999996
2019-06-12,55.779999
2019-06-13,55.02
2019-06-14,54.790001000000004
2019-06-17,56.990002000000004
2019-06-18,55.869999
2019-06-19,57.049999
2019-06-20,57.900002
2019-06-21,56.540001000000004
2019-06-24,56.119999
2019-06-25,55.689999
2019-06-26,55.5
2019-06-27,57.310001
2019-06-28,58.09
2019-07-01,58.799999
2019-07-02,58.669998
2019-07-03,59.220001
2019-07-05,59.450001
2019-07-08,59.75
2019-07-09,60.529999
2019-07-10,60.919998
2019-07-11,61.220001
2019-07-12,60.75
2019-07-15,60.040001000000004
2019-07-16,58.73
2019-07-17,58.610001000000004
2019-07-18,58.75
2019-07-19,57.509997999999996
2019-07-22,57.419998
2019-07-23,57.5
2019-07-24,59.209998999999996
2019-07-25,59.560001
2019-07-26,60.459998999999996
2019-07-29,58.259997999999996
2019-07-30,58.740002000000004
2019-07-31,57.490002000000004
2019-08-01,58.200001
2019-08-02,57.720001
2019-08-05,56.009997999999996
2019-08-06,55.209998999999996
2019-08-07,62.279999
2019-08-08,63.049999
2019-08-09,63.040001000000004
2019-08-12,61.900002
2019-08-13,57.040001000000004
2019-08-14,51.599998
2019-08-15,50.060001
2019-08-16,50.009997999999996
2019-08-19,49.580002
2019-08-20,49.169998
2019-08-21,49.75
2019-08-22,49.939999
2019-08-23,48.599998
2019-08-26,49.400002
2019-08-27,49.330002
2019-08-28,46.959998999999996
2019-08-29,47.439999
2019-08-30,48.110001000000004
2019-09-03,47.549999
2019-09-04,46.939999
2019-09-05,46.880001
2019-09-06,45.66
2019-09-09,44.18
2019-09-10,45.389998999999996
2019-09-11,43.25
2019-09-12,43.5
2019-09-13,43.419998
2019-09-16,44.060001
2019-09-17,45.189999
2019-09-18,45.040001000000004
2019-09-19,44.66
2019-09-20,44.98
2019-09-23,45.130001
2019-09-24,44.040001000000004
2019-09-25,44.689999
2019-09-26,44.459998999999996
2019-09-27,43.34
2019-09-30,43.830002
2019-10-01,43.360001000000004
2019-10-02,42.5
