Date,ACA
2020-04-07,37.810001
2020-04-08,39.75
2020-04-09,41.5
2020-04-13,40.529999
2020-04-14,41.0
2020-04-15,39.220001
2020-04-16,37.939999
2020-04-17,41.380001
2020-04-20,39.939999
2020-04-21,37.599998
2020-04-22,37.900002
2020-04-23,38.32
2020-04-24,38.290001000000004
2020-04-27,39.360001000000004
2020-04-28,39.720001
2020-04-29,38.07
2020-04-30,37.27
2020-05-01,35.23
2020-05-04,34.799999
2020-05-05,34.32
2020-05-06,32.84
2020-05-07,32.450001
2020-05-08,32.610001000000004
