Date,IPXL
2015-01-02,31.799999
2015-01-05,30.41
2015-01-06,30.200001
2015-01-07,30.99
2015-01-08,34.599998
2015-01-09,35.889998999999996
2015-01-12,36.0
2015-01-13,36.720001
2015-01-14,37.150002
2015-01-15,35.990002000000004
2015-01-16,36.790001000000004
2015-01-20,36.77
2015-01-21,36.59
2015-01-22,36.869999
2015-01-23,38.240002000000004
2015-01-26,38.830002
2015-01-27,38.900002
2015-01-28,38.130001
2015-01-29,37.689999
2015-01-30,36.669998
2015-02-02,37.450001
2015-02-03,38.029999
2015-02-04,37.349998
2015-02-05,39.060001
2015-02-06,39.150002
2015-02-09,39.240002000000004
2015-02-10,39.110001000000004
2015-02-11,38.200001
2015-02-12,38.82
2015-02-13,39.509997999999996
2015-02-17,40.34
2015-02-18,39.869999
2015-02-19,40.110001000000004
2015-02-20,40.349998
2015-02-23,40.990002000000004
2015-02-24,40.599998
2015-02-25,40.700001
2015-02-26,40.700001
2015-02-27,40.290001000000004
2015-03-02,40.450001
2015-03-03,39.93
2015-03-04,40.400002
2015-03-05,40.080002
2015-03-06,39.080002
2015-03-09,39.450001
2015-03-10,38.459998999999996
2015-03-11,42.23
2015-03-12,43.419998
2015-03-13,45.27
2015-03-16,45.610001000000004
2015-03-17,46.330002
2015-03-18,47.299999
2015-03-19,46.810001
2015-03-20,46.34
2015-03-23,45.98
2015-03-24,46.139998999999996
2015-03-25,44.450001
2015-03-26,44.869999
2015-03-27,45.740002000000004
2015-03-30,46.91
2015-03-31,46.869999
2015-04-01,46.639998999999996
2015-04-02,46.669998
2015-04-06,47.07
2015-04-07,49.189999
2015-04-08,51.18
2015-04-09,51.110001000000004
2015-04-10,50.68
2015-04-13,50.09
2015-04-14,50.990002000000004
2015-04-15,51.310001
2015-04-16,51.259997999999996
2015-04-17,49.98
2015-04-20,49.860001000000004
2015-04-21,49.98
2015-04-22,49.580002
2015-04-23,50.080002
2015-04-24,49.549999
2015-04-27,46.66
2015-04-28,46.990002000000004
2015-04-29,46.360001000000004
2015-04-30,45.259997999999996
2015-05-01,46.380001
2015-05-04,46.23
2015-05-05,45.529999
2015-05-06,45.009997999999996
2015-05-07,44.450001
2015-05-08,45.110001000000004
2015-05-11,46.099998
2015-05-12,44.849998
2015-05-13,45.099998
2015-05-14,44.82
2015-05-15,44.439999
2015-05-18,45.200001
2015-05-19,45.23
2015-05-20,45.110001000000004
2015-05-21,45.459998999999996
2015-05-22,46.209998999999996
2015-05-26,45.279999
2015-05-27,46.110001000000004
2015-05-28,46.669998
2015-05-29,47.009997999999996
2015-06-01,48.900002
2015-06-02,49.619999
2015-06-03,49.91
2015-06-04,48.919998
2015-06-05,48.59
2015-06-08,48.310001
2015-06-09,47.349998
2015-06-10,47.43
2015-06-11,47.07
2015-06-12,47.080002
2015-06-15,47.009997999999996
2015-06-16,47.599998
