Date,SNI
2013-12-09,74.739998
2013-12-10,75.25
2013-12-11,81.0
2013-12-12,80.33000200000001
2013-12-13,80.730003
2013-12-16,81.470001
2013-12-17,81.370003
2013-12-18,82.910004
2013-12-19,83.360001
2013-12-20,83.690002
2013-12-23,84.029999
2013-12-24,84.239998
2013-12-26,84.91999799999999
2013-12-27,84.660004
2013-12-30,86.190002
2013-12-31,86.410004
2014-01-02,85.480003
2014-01-03,84.980003
2014-01-06,84.529999
2014-01-07,84.559998
2014-01-08,82.43
2014-01-09,82.43
2014-01-10,82.010002
2014-01-13,76.309998
2014-01-14,76.190002
2014-01-15,76.07
2014-01-16,75.150002
2014-01-17,74.16999799999999
2014-01-21,75.279999
2014-01-22,75.68
2014-01-23,75.260002
2014-01-24,73.610001
2014-01-27,72.940002
2014-01-28,73.57
2014-01-29,72.370003
2014-01-30,73.459999
2014-01-31,72.519997
2014-02-03,71.889999
2014-02-04,72.470001
2014-02-05,72.989998
2014-02-06,74.440002
2014-02-07,76.300003
2014-02-10,75.800003
2014-02-11,76.779999
2014-02-12,77.83000200000001
2014-02-13,77.440002
2014-02-14,78.949997
2014-02-18,78.769997
2014-02-19,79.260002
2014-02-20,80.019997
2014-02-21,80.699997
2014-02-24,81.07
2014-02-25,80.900002
2014-02-26,80.790001
2014-02-27,80.959999
2014-02-28,81.239998
2014-03-03,80.900002
2014-03-04,81.309998
2014-03-05,81.58000200000001
2014-03-06,81.809998
2014-03-07,81.889999
2014-03-10,80.980003
2014-03-11,80.110001
2014-03-12,79.709999
2014-03-13,78.360001
2014-03-14,78.739998
2014-03-17,79.199997
2014-03-18,79.699997
2014-03-19,78.43
2014-03-20,77.220001
2014-03-21,74.5
2014-03-24,75.089996
2014-03-25,74.709999
2014-03-26,73.910004
2014-03-27,74.589996
2014-03-28,75.730003
2014-03-31,75.910004
2014-04-01,77.660004
2014-04-02,76.339996
2014-04-03,75.940002
2014-04-04,76.32
2014-04-07,74.730003
2014-04-08,75.279999
2014-04-09,75.800003
2014-04-10,74.139999
2014-04-11,73.459999
2014-04-14,73.889999
2014-04-15,73.099998
2014-04-16,74.589996
2014-04-17,74.389999
2014-04-21,74.75
2014-04-22,74.860001
2014-04-23,74.589996
2014-04-24,75.050003
2014-04-25,74.089996
2014-04-28,74.269997
2014-04-29,74.360001
2014-04-30,75.07
2014-05-01,75.18
2014-05-02,75.459999
2014-05-05,75.970001
2014-05-06,74.599998
2014-05-07,74.470001
2014-05-08,76.720001
2014-05-09,75.410004
2014-05-12,75.550003
2014-05-13,75.160004
2014-05-14,73.970001
2014-05-15,74.279999
2014-05-16,75.160004
2014-05-19,75.690002
2014-05-20,74.019997
2014-05-21,74.949997
2014-05-22,75.709999
2014-05-23,76.620003
2014-05-27,76.809998
2014-05-28,76.589996
2014-05-29,76.489998
2014-05-30,76.459999
2014-06-02,76.779999
2014-06-03,76.889999
2014-06-04,76.199997
2014-06-05,77.260002
2014-06-06,77.989998
2014-06-09,78.370003
2014-06-10,77.870003
2014-06-11,77.32
2014-06-12,77.059998
2014-06-13,77.389999
2014-06-16,78.199997
2014-06-17,79.720001
2014-06-18,80.699997
2014-06-19,82.059998
2014-06-20,82.040001
