Date,GHC
1974-09-06,2.530211
1974-09-09,2.530211
1974-09-10,2.511329
1974-09-11,2.4735650000000002
1974-09-12,2.4358009999999997
1974-09-13,2.4358009999999997
1974-09-16,2.454683
1974-09-17,2.454683
1974-09-18,2.4735650000000002
1974-09-19,2.4924470000000003
1974-09-20,2.567976
1974-09-23,2.624622
1974-09-24,2.662387
1974-09-25,2.6435049999999998
1974-09-26,2.700151
1974-09-27,2.700151
1974-09-30,2.700151
1974-10-01,2.700151
1974-10-02,2.700151
1974-10-03,2.700151
1974-10-04,2.681269
1974-10-07,2.681269
1974-10-08,2.756798
1974-10-09,2.794562
1974-10-10,2.794562
1974-10-11,2.870091
1974-10-14,2.870091
1974-10-15,2.964502
1974-10-16,2.964502
1974-10-17,2.9456189999999998
1974-10-18,2.9456189999999998
1974-10-21,2.9456189999999998
1974-10-22,2.9456189999999998
1974-10-23,3.058912
1974-10-24,3.021148
1974-10-25,3.058912
1974-10-28,3.058912
1974-10-29,3.077795
1974-10-30,3.096677
1974-10-31,3.077795
1974-11-01,3.096677
1974-11-04,3.096677
1974-11-05,3.096677
1974-11-06,3.058912
1974-11-07,3.04003
1974-11-08,3.002266
1974-11-11,2.983384
1974-11-12,2.9456189999999998
1974-11-13,2.907855
1974-11-14,2.870091
1974-11-15,2.794562
1974-11-18,2.719033
1974-11-19,2.719033
1974-11-20,2.756798
1974-11-21,2.719033
1974-11-22,2.719033
1974-11-25,2.719033
1974-11-26,2.719033
1974-11-27,2.719033
1974-11-29,2.719033
1974-12-02,2.719033
1974-12-03,2.5868580000000003
1974-12-04,2.4358009999999997
1974-12-05,2.416919
1974-12-06,2.265861
1974-12-09,2.284743
1974-12-10,2.379154
1974-12-11,2.379154
1974-12-12,2.416919
1974-12-13,2.379154
1974-12-16,2.34139
1974-12-17,2.322508
1974-12-18,2.322508
1974-12-19,2.303625
1974-12-20,2.34139
1974-12-23,2.322508
1974-12-24,2.379154
1974-12-26,2.3980360000000003
1974-12-27,2.4924470000000003
1974-12-30,2.5868580000000003
1974-12-31,2.5868580000000003
1975-01-02,2.662387
1975-01-03,2.719033
1975-01-06,2.737916
1975-01-07,2.794562
1975-01-08,2.77568
1975-01-09,2.813444
