Date,GRUB
2015-12-15,24.0
2015-12-16,23.6
2015-12-17,23.07
2015-12-18,23.43
2015-12-21,23.9
2015-12-22,24.809998999999998
2015-12-23,25.860001
2015-12-24,25.379998999999998
2015-12-28,24.99
2015-12-29,24.66
2015-12-30,24.43
2015-12-31,24.200001
2016-01-04,23.620001000000002
2016-01-05,23.059998999999998
2016-01-06,22.32
2016-01-07,22.85
2016-01-08,21.99
2016-01-11,21.719998999999998
2016-01-12,21.700001
2016-01-13,21.120001000000002
2016-01-14,21.950001
2016-01-15,21.0
2016-01-19,20.190001000000002
2016-01-20,20.41
2016-01-21,19.42
2016-01-22,19.17
2016-01-25,18.709999
2016-01-26,19.200001
2016-01-27,18.9
2016-01-28,18.34
2016-01-29,18.85
2016-02-01,19.15
2016-02-02,18.950001
2016-02-03,19.08
2016-02-04,21.530001000000002
2016-02-05,21.129998999999998
2016-02-08,20.01
2016-02-09,19.24
2016-02-10,19.34
2016-02-11,20.09
2016-02-12,20.93
2016-02-16,22.41
2016-02-17,22.52
2016-02-18,22.24
2016-02-19,22.610001
2016-02-22,22.040001
2016-02-23,22.01
2016-02-24,22.790001
2016-02-25,22.58
2016-02-26,23.83
2016-02-29,23.540001
2016-03-01,23.639999
2016-03-02,24.08
2016-03-03,23.709999
2016-03-04,24.49
2016-03-07,25.280001000000002
2016-03-08,24.469998999999998
2016-03-09,25.120001000000002
2016-03-10,24.0
2016-03-11,24.879998999999998
2016-03-14,24.66
2016-03-15,23.559998999999998
2016-03-16,23.27
2016-03-17,23.83
2016-03-18,23.41
2016-03-21,23.73
2016-03-22,23.48
2016-03-23,22.73
2016-03-24,22.610001
2016-03-28,22.98
2016-03-29,23.719998999999998
2016-03-30,24.290001
2016-03-31,25.129998999999998
2016-04-01,24.700001
2016-04-04,23.99
2016-04-05,23.76
2016-04-06,23.9
2016-04-07,24.01
2016-04-08,24.16
2016-04-11,23.290001
2016-04-12,23.620001000000002
2016-04-13,24.940001000000002
2016-04-14,25.59
2016-04-15,25.51
2016-04-18,25.49
2016-04-19,25.99
2016-04-20,26.360001
2016-04-21,26.59
2016-04-22,26.99
2016-04-25,26.799999
2016-04-26,26.969998999999998
2016-04-27,26.709999
2016-04-28,26.26
2016-04-29,26.219998999999998
2016-05-02,26.540001
2016-05-03,24.65
2016-05-04,24.02
2016-05-05,24.549999
2016-05-06,24.58
2016-05-09,24.360001
2016-05-10,24.76
2016-05-11,24.85
2016-05-12,24.799999
2016-05-13,25.379998999999998
2016-05-16,25.280001000000002
2016-05-17,23.299999
2016-05-18,22.35
2016-05-19,22.33
2016-05-20,22.799999
2016-05-23,23.49
2016-05-24,23.93
2016-05-25,24.24
2016-05-26,24.549999
2016-05-27,24.969998999999998
2016-05-31,25.59
2016-06-01,26.219998999999998
2016-06-02,27.73
2016-06-03,28.540001
2016-06-06,28.67
2016-06-07,28.98
2016-06-08,28.85
2016-06-09,28.83
2016-06-10,27.99
2016-06-13,28.25
2016-06-14,27.67
2016-06-15,28.389999
2016-06-16,28.889999
2016-06-17,30.07
2016-06-20,30.59
2016-06-21,29.780001000000002
2016-06-22,29.84
2016-06-23,30.67
2016-06-24,30.1
2016-06-27,28.620001000000002
2016-06-28,28.73
2016-06-29,30.530001000000002
2016-06-30,31.07
2016-07-01,30.77
2016-07-05,30.110001
2016-07-06,30.84
2016-07-07,31.08
2016-07-08,32.060001
2016-07-11,30.74
2016-07-12,31.66
2016-07-13,30.66
2016-07-14,29.940001000000002
2016-07-15,29.799999
2016-07-18,30.67
2016-07-19,30.559998999999998
2016-07-20,30.549999
2016-07-21,30.940001000000002
2016-07-22,31.74
2016-07-25,31.6
2016-07-26,31.75
2016-07-27,30.74
2016-07-28,38.150002
2016-07-29,37.919998
2016-08-01,38.52
2016-08-02,39.0
2016-08-03,38.52
2016-08-04,38.650002
2016-08-05,38.759997999999996
2016-08-08,39.02
2016-08-09,38.700001
2016-08-10,38.810001
2016-08-11,38.599998
2016-08-12,38.529999
2016-08-15,38.099998
2016-08-16,37.130001
2016-08-17,36.419998
2016-08-18,36.700001
2016-08-19,38.029999
2016-08-22,37.700001
2016-08-23,38.27
2016-08-24,38.360001000000004
2016-08-25,38.799999
2016-08-26,39.02
2016-08-29,39.939999
2016-08-30,39.84
2016-08-31,40.57
2016-09-01,41.060001
2016-09-02,41.470001
2016-09-06,42.830002
2016-09-07,42.459998999999996
2016-09-08,42.150002
2016-09-09,40.860001000000004
2016-09-12,41.389998999999996
2016-09-13,41.48
2016-09-14,41.599998
2016-09-15,41.169998
2016-09-16,41.48
2016-09-19,40.849998
2016-09-20,41.450001
2016-09-21,41.720001
2016-09-22,42.939999
2016-09-23,42.0
2016-09-26,42.189999
2016-09-27,43.77
2016-09-28,43.889998999999996
2016-09-29,42.310001
2016-09-30,42.990002000000004
2016-10-03,42.68
2016-10-04,41.529999
2016-10-05,40.84
2016-10-06,40.310001
2016-10-07,40.560001
2016-10-10,40.84
2016-10-11,39.66
2016-10-12,40.349998
2016-10-13,41.18
2016-10-14,41.560001
2016-10-17,42.009997999999996
2016-10-18,42.080002
2016-10-19,42.09
2016-10-20,42.639998999999996
2016-10-21,43.200001
2016-10-24,43.790001000000004
2016-10-25,43.389998999999996
2016-10-26,37.880001
2016-10-27,38.360001000000004
2016-10-28,38.43
2016-10-31,38.110001000000004
2016-11-01,37.360001000000004
2016-11-02,37.02
2016-11-03,36.490002000000004
2016-11-04,36.810001
2016-11-07,37.950001
2016-11-08,38.23
2016-11-09,38.68
2016-11-10,37.099998
2016-11-11,35.310001
2016-11-14,36.34
2016-11-15,36.009997999999996
2016-11-16,35.990002000000004
2016-11-17,36.290001000000004
2016-11-18,36.650002
2016-11-21,37.990002000000004
2016-11-22,37.139998999999996
2016-11-23,37.93
2016-11-25,37.580002
2016-11-28,38.150002
2016-11-29,38.220001
2016-11-30,37.029999
2016-12-01,35.560001
2016-12-02,35.779999
2016-12-05,36.34
2016-12-06,36.57
2016-12-07,37.349998
2016-12-08,38.080002
2016-12-09,37.889998999999996
2016-12-12,37.240002000000004
2016-12-13,38.040001000000004
2016-12-14,37.459998999999996
2016-12-15,37.84
2016-12-16,37.25
2016-12-19,37.360001000000004
2016-12-20,39.150002
2016-12-21,38.599998
2016-12-22,37.419998
2016-12-23,37.610001000000004
2016-12-27,38.18
2016-12-28,37.509997999999996
2016-12-29,37.599998
2016-12-30,37.619999
2017-01-03,37.060001
2017-01-04,37.259997999999996
2017-01-05,36.75
2017-01-06,36.34
2017-01-09,36.32
2017-01-10,36.830002
2017-01-11,37.169998
2017-01-12,37.369999
2017-01-13,39.040001000000004
2017-01-17,39.130001
2017-01-18,39.439999
2017-01-19,39.349998
2017-01-20,39.400002
2017-01-23,39.689999
2017-01-24,40.470001
2017-01-25,41.970001
2017-01-26,41.830002
2017-01-27,41.869999
2017-01-30,41.59
2017-01-31,41.549999
2017-02-01,41.48
2017-02-02,41.380001
2017-02-03,40.900002
2017-02-06,40.549999
2017-02-07,41.310001
2017-02-08,39.860001000000004
2017-02-09,38.200001
2017-02-10,37.669998
2017-02-13,36.700001
2017-02-14,36.919998
2017-02-15,37.099998
2017-02-16,37.060001
2017-02-17,37.599998
2017-02-21,37.970001
2017-02-22,37.330002
2017-02-23,36.279999
2017-02-24,36.330002
2017-02-27,36.23
2017-02-28,35.060001
2017-03-01,36.209998999999996
2017-03-02,34.869999
2017-03-03,34.27
2017-03-06,33.869999
2017-03-07,33.880001
2017-03-08,33.360001000000004
2017-03-09,33.560001
2017-03-10,33.77
2017-03-13,34.419998
2017-03-14,33.900002
2017-03-15,34.619999
2017-03-16,34.509997999999996
2017-03-17,34.330002
2017-03-20,34.919998
2017-03-21,34.119999
2017-03-22,34.029999
2017-03-23,33.509997999999996
2017-03-24,33.669998
2017-03-27,33.669998
2017-03-28,33.310001
2017-03-29,33.59
2017-03-30,33.130001
2017-03-31,32.889998999999996
2017-04-03,33.16
2017-04-04,33.040001000000004
2017-04-05,33.27
2017-04-06,33.459998999999996
2017-04-07,33.860001000000004
2017-04-10,34.16
2017-04-11,34.549999
2017-04-12,35.049999
2017-04-13,34.93
2017-04-17,34.220001
2017-04-18,34.07
2017-04-19,34.669998
2017-04-20,34.720001
2017-04-21,34.610001000000004
2017-04-24,34.700001
2017-04-25,34.779999
2017-04-26,35.02
2017-04-27,42.919998
2017-04-28,42.98
2017-05-01,42.889998999999996
2017-05-02,44.09
2017-05-03,44.889998999999996
2017-05-04,44.889998999999996
2017-05-05,45.720001
2017-05-08,45.299999
2017-05-09,45.349998
