Date,COLD
2019-05-09,30.74
2019-05-10,30.870001000000002
2019-05-13,30.440001000000002
2019-05-14,30.950001
2019-05-15,31.030001000000002
2019-05-16,31.17
2019-05-17,31.129998999999998
2019-05-20,30.77
2019-05-21,31.35
2019-05-22,31.549999
2019-05-23,31.5
2019-05-24,31.84
2019-05-28,32.009997999999996
2019-05-29,31.32
2019-05-30,31.389999
2019-05-31,31.299999
2019-06-03,31.25
2019-06-04,30.790001
2019-06-05,31.5
2019-06-06,31.67
2019-06-07,31.719998999999998
2019-06-10,31.93
2019-06-11,32.23
2019-06-12,32.66
2019-06-13,33.169998
2019-06-14,33.049999
2019-06-17,33.5
2019-06-18,33.41
2019-06-19,33.470001
2019-06-20,34.130001
2019-06-21,33.98
2019-06-24,33.790001000000004
2019-06-25,33.299999
2019-06-26,32.419998
2019-06-27,32.419998
2019-06-28,32.419998
2019-07-01,33.360001000000004
2019-07-02,34.139998999999996
2019-07-03,34.400002
2019-07-05,34.48
2019-07-08,34.299999
2019-07-09,34.509997999999996
2019-07-10,34.849998
2019-07-11,34.41
2019-07-12,34.27
2019-07-15,34.09
2019-07-16,33.93
2019-07-17,33.68
2019-07-18,33.619999
2019-07-19,33.18
2019-07-22,33.0
2019-07-23,33.5
2019-07-24,33.099998
2019-07-25,33.080002
2019-07-26,33.599998
2019-07-29,33.73
2019-07-30,33.610001000000004
2019-07-31,33.529999
2019-08-01,33.43
2019-08-02,33.700001
2019-08-05,33.169998
2019-08-06,33.439999
2019-08-07,33.880001
2019-08-08,34.5
2019-08-09,35.369999
2019-08-12,35.450001
2019-08-13,35.43
2019-08-14,34.990002000000004
2019-08-15,35.400002
2019-08-16,35.93
2019-08-19,36.299999
2019-08-20,36.040001000000004
2019-08-21,36.27
2019-08-22,36.669998
2019-08-23,36.400002
2019-08-26,36.470001
2019-08-27,36.139998999999996
2019-08-28,36.16
2019-08-29,36.169998
2019-08-30,36.419998
2019-09-03,36.98
2019-09-04,37.330002
2019-09-05,37.150002
2019-09-06,36.84
2019-09-09,36.52
2019-09-10,35.529999
2019-09-11,35.200001
2019-09-12,35.650002
2019-09-13,35.259997999999996
2019-09-16,36.150002
2019-09-17,36.459998999999996
2019-09-18,35.830002
2019-09-19,36.650002
2019-09-20,36.860001000000004
2019-09-23,36.580002
2019-09-24,36.299999
2019-09-25,36.91
2019-09-26,37.0
2019-09-27,36.799999
2019-09-30,37.07
2019-10-01,37.0
2019-10-02,36.740002000000004
2019-10-03,37.560001
2019-10-04,37.639998999999996
2019-10-07,37.759997999999996
2019-10-08,37.48
2019-10-09,37.470001
2019-10-10,37.389998999999996
2019-10-11,37.299999
2019-10-14,37.380001
2019-10-15,37.5
2019-10-16,37.700001
2019-10-17,37.900002
2019-10-18,38.119999
2019-10-21,38.310001
2019-10-22,38.27
2019-10-23,38.669998
2019-10-24,38.990002000000004
2019-10-25,39.049999
2019-10-28,39.200001
2019-10-29,39.689999
2019-10-30,40.119999
2019-10-31,40.09
2019-11-01,39.490002000000004
2019-11-04,38.580002
2019-11-05,37.669998
2019-11-06,38.060001
2019-11-07,37.439999
2019-11-08,35.349998
2019-11-11,35.150002
2019-11-12,35.220001
2019-11-13,35.209998999999996
2019-11-14,36.099998
2019-11-15,36.450001
2019-11-18,37.759997999999996
2019-11-19,37.759997999999996
2019-11-20,37.73
2019-11-21,36.970001
2019-11-22,36.459998999999996
2019-11-25,37.09
2019-11-26,37.68
2019-11-27,37.860001000000004
2019-11-29,37.619999
2019-12-02,37.290001000000004
2019-12-03,37.310001
2019-12-04,37.5
2019-12-05,37.43
2019-12-06,37.09
2019-12-09,36.169998
2019-12-10,35.669998
2019-12-11,35.029999
2019-12-12,33.84
2019-12-13,33.060001
2019-12-16,32.950001
2019-12-17,33.150002
2019-12-18,33.619999
2019-12-19,34.07
2019-12-20,34.310001
2019-12-23,34.279999
2019-12-24,34.25
2019-12-26,34.52
2019-12-27,34.720001
2019-12-30,34.580002
2019-12-31,35.060001
2020-01-02,34.34
2020-01-03,34.75
2020-01-06,34.889998999999996
2020-01-07,34.16
2020-01-08,34.259997999999996
2020-01-09,33.880001
2020-01-10,34.580002
2020-01-13,34.990002000000004
2020-01-14,35.029999
2020-01-15,35.369999
2020-01-16,35.490002000000004
2020-01-17,35.419998
2020-01-21,35.950001
2020-01-22,35.200001
2020-01-23,35.73
2020-01-24,35.25
2020-01-27,35.040001000000004
2020-01-28,35.09
2020-01-29,35.049999
2020-01-30,35.139998999999996
2020-01-31,34.470001
2020-02-03,34.349998
2020-02-04,34.509997999999996
2020-02-05,34.549999
2020-02-06,34.900002
2020-02-07,35.099998
2020-02-10,35.330002
2020-02-11,35.66
2020-02-12,36.560001
2020-02-13,37.299999
2020-02-14,38.060001
2020-02-18,38.290001000000004
2020-02-19,36.720001
2020-02-20,37.349998
2020-02-21,34.810001
2020-02-24,33.830002
2020-02-25,33.23
2020-02-26,32.34
2020-02-27,31.1
2020-02-28,30.67
2020-03-02,32.5
2020-03-03,32.389998999999996
2020-03-04,33.360001000000004
2020-03-05,31.73
2020-03-06,31.48
2020-03-09,29.700001
2020-03-10,31.200001
2020-03-11,29.940001000000002
2020-03-12,27.43
2020-03-13,29.719998999999998
2020-03-16,24.030001000000002
2020-03-17,28.4
2020-03-18,28.639999
2020-03-19,30.15
2020-03-20,30.07
2020-03-23,28.32
2020-03-24,30.860001
2020-03-25,31.809998999999998
2020-03-26,32.959998999999996
2020-03-27,33.889998999999996
2020-03-30,34.959998999999996
2020-03-31,34.040001000000004
2020-04-01,33.029999
2020-04-02,33.419998
2020-04-03,33.470001
2020-04-06,34.209998999999996
2020-04-07,34.16
2020-04-08,34.48
2020-04-09,35.950001
2020-04-13,34.119999
2020-04-14,34.77
2020-04-15,33.080002
2020-04-16,33.139998999999996
2020-04-17,34.27
2020-04-20,33.990002000000004
2020-04-21,32.84
2020-04-22,33.380001
2020-04-23,31.809998999999998
2020-04-24,31.34
2020-04-27,32.029999
2020-04-28,32.290001000000004
2020-04-29,31.17
2020-04-30,30.59
2020-05-01,29.290001
2020-05-04,29.01
2020-05-05,29.4
2020-05-06,30.129998999999998
2020-05-07,31.17
2020-05-08,35.209998999999996
