Date,ALLE
2016-03-31,63.709998999999996
2016-04-01,65.379997
2016-04-04,64.860001
2016-04-05,64.699997
2016-04-06,66.209999
2016-04-07,63.970001
2016-04-08,64.059998
2016-04-11,63.41
2016-04-12,63.41
2016-04-13,64.279999
2016-04-14,63.700001
2016-04-15,63.77
2016-04-18,64.25
2016-04-19,63.880001
2016-04-20,63.91
2016-04-21,63.240002000000004
2016-04-22,64.239998
2016-04-25,64.699997
2016-04-26,65.66999799999999
2016-04-27,66.83000200000001
2016-04-28,65.239998
2016-04-29,65.449997
2016-05-02,66.5
2016-05-03,65.690002
2016-05-04,65.459999
2016-05-05,65.370003
2016-05-06,66.010002
2016-05-09,66.16999799999999
2016-05-10,66.940002
2016-05-11,65.940002
2016-05-12,66.129997
2016-05-13,66.010002
2016-05-16,66.339996
2016-05-17,66.83000200000001
2016-05-18,67.18
2016-05-19,67.209999
2016-05-20,67.360001
2016-05-23,67.220001
2016-05-24,68.120003
2016-05-25,67.949997
2016-05-26,67.730003
2016-05-27,67.989998
2016-05-31,67.639999
2016-06-01,68.190002
2016-06-02,68.129997
2016-06-03,67.889999
2016-06-06,67.900002
2016-06-07,67.75
2016-06-08,69.010002
2016-06-09,68.980003
2016-06-10,67.910004
2016-06-13,67.489998
2016-06-14,67.629997
2016-06-15,68.160004
2016-06-16,68.199997
2016-06-17,67.690002
2016-06-20,68.949997
2016-06-21,69.019997
2016-06-22,68.839996
2016-06-23,69.25
2016-06-24,65.720001
2016-06-27,64.019997
2016-06-28,66.410004
2016-06-29,68.010002
2016-06-30,69.43
2016-07-01,68.800003
2016-07-05,68.010002
2016-07-06,68.260002
2016-07-07,68.639999
2016-07-08,69.739998
2016-07-11,69.93
2016-07-12,70.529999
2016-07-13,70.440002
2016-07-14,71.010002
2016-07-15,71.349998
2016-07-18,70.940002
2016-07-19,71.839996
2016-07-20,71.93
2016-07-21,71.559998
2016-07-22,72.339996
2016-07-25,71.870003
2016-07-26,72.459999
2016-07-27,71.879997
2016-07-28,72.779999
2016-07-29,72.389999
2016-08-01,72.400002
2016-08-02,71.690002
2016-08-03,71.050003
2016-08-04,71.0
2016-08-05,71.410004
2016-08-08,70.980003
2016-08-09,71.309998
2016-08-10,71.349998
2016-08-11,71.809998
2016-08-12,72.349998
2016-08-15,72.82
2016-08-16,72.230003
2016-08-17,71.660004
2016-08-18,71.889999
2016-08-19,71.279999
2016-08-22,71.910004
2016-08-23,72.18
2016-08-24,71.800003
2016-08-25,72.089996
2016-08-26,71.58000200000001
2016-08-29,72.099998
2016-08-30,71.260002
2016-08-31,71.220001
2016-09-01,71.839996
2016-09-02,72.389999
2016-09-06,72.07
2016-09-07,70.889999
2016-09-08,69.879997
2016-09-09,66.83000200000001
2016-09-12,67.379997
2016-09-13,66.58000200000001
2016-09-14,66.089996
2016-09-15,66.849998
2016-09-16,66.25
2016-09-19,67.370003
2016-09-20,67.360001
2016-09-21,67.879997
2016-09-22,69.050003
2016-09-23,68.66999799999999
2016-09-26,68.25
2016-09-27,68.940002
2016-09-28,69.410004
2016-09-29,68.260002
2016-09-30,68.910004
2016-10-03,68.16999799999999
2016-10-04,67.379997
2016-10-05,67.550003
2016-10-06,67.949997
2016-10-07,66.879997
2016-10-10,67.279999
2016-10-11,66.230003
2016-10-12,67.029999
2016-10-13,66.540001
2016-10-14,67.690002
2016-10-17,68.339996
2016-10-18,67.900002
2016-10-19,67.199997
2016-10-20,67.279999
2016-10-21,67.18
2016-10-24,67.760002
2016-10-25,65.519997
2016-10-26,65.589996
2016-10-27,62.84
2016-10-28,63.59
2016-10-31,63.84
2016-11-01,63.459998999999996
2016-11-02,63.349998
