Date,D
1981-07-23,3.75
1981-07-24,3.833333
1981-07-27,3.833333
1981-07-28,3.916667
1981-07-29,3.916667
1981-07-30,3.875
1981-07-31,3.875
1981-08-03,3.916667
1981-08-04,4.0
1981-08-05,4.0
1981-08-06,3.958333
1981-08-07,3.958333
1981-08-10,4.0
1981-08-11,4.0416669999999995
1981-08-12,4.0833330000000005
1981-08-13,4.0833330000000005
1981-08-14,3.958333
1981-08-17,4.0
1981-08-18,3.958333
1981-08-19,3.958333
1981-08-20,4.0
1981-08-21,3.958333
1981-08-24,3.875
1981-08-25,3.958333
1981-08-26,3.958333
1981-08-27,3.958333
1981-08-28,4.0833330000000005
1981-08-31,4.0416669999999995
1981-09-01,3.833333
1981-09-02,3.916667
1981-09-03,3.875
1981-09-04,3.791667
1981-09-08,3.791667
1981-09-09,3.833333
1981-09-10,3.875
1981-09-11,3.916667
1981-09-14,3.833333
1981-09-15,3.791667
1981-09-16,3.791667
1981-09-17,3.75
1981-09-18,3.666667
1981-09-21,3.75
1981-09-22,3.791667
1981-09-23,3.75
1981-09-24,3.708333
1981-09-25,3.75
1981-09-28,3.583333
1981-09-29,3.666667
1981-09-30,3.625
1981-10-01,3.625
1981-10-02,3.625
1981-10-05,3.666667
1981-10-06,3.666667
1981-10-07,3.666667
1981-10-08,3.708333
1981-10-09,3.625
1981-10-12,3.666667
1981-10-13,3.75
1981-10-14,3.708333
1981-10-15,3.708333
1981-10-16,3.75
1981-10-19,3.75
1981-10-20,3.916667
1981-10-21,3.875
1981-10-22,3.916667
1981-10-23,3.875
1981-10-26,3.875
1981-10-27,3.916667
1981-10-28,3.958333
1981-10-29,3.958333
1981-10-30,3.958333
1981-11-02,4.0416669999999995
1981-11-03,4.0416669999999995
1981-11-04,4.0
1981-11-05,4.0833330000000005
1981-11-06,4.0833330000000005
1981-11-09,4.1666669999999995
1981-11-10,4.1666669999999995
1981-11-11,4.1666669999999995
1981-11-12,4.2083330000000005
1981-11-13,4.25
1981-11-16,4.25
1981-11-17,4.3333330000000005
1981-11-18,4.2916669999999995
1981-11-19,4.3333330000000005
1981-11-20,4.375
1981-11-23,4.1666669999999995
1981-11-24,4.2083330000000005
1981-11-25,4.25
1981-11-27,4.25
1981-11-30,4.25
1981-12-01,4.125
1981-12-02,4.0833330000000005
1981-12-03,4.0833330000000005
1981-12-04,4.1666669999999995
1981-12-07,4.0416669999999995
1981-12-08,4.0
1981-12-09,4.0
1981-12-10,4.0
1981-12-11,4.0416669999999995
1981-12-14,3.875
1981-12-15,3.958333
1981-12-16,3.958333
1981-12-17,3.916667
1981-12-18,3.958333
1981-12-21,3.916667
1981-12-22,3.916667
1981-12-23,3.958333
1981-12-24,3.916667
1981-12-28,3.875
1981-12-29,3.875
1981-12-30,3.916667
1981-12-31,3.916667
1982-01-04,3.958333
1982-01-05,3.958333
1982-01-06,3.958333
1982-01-07,3.958333
1982-01-08,3.875
1982-01-11,3.708333
1982-01-12,3.708333
1982-01-13,3.708333
1982-01-14,3.791667
1982-01-15,3.75
1982-01-18,3.833333
1982-01-19,3.875
1982-01-20,3.916667
1982-01-21,3.875
1982-01-22,3.875
1982-01-25,3.916667
1982-01-26,3.875
1982-01-27,3.916667
1982-01-28,3.916667
1982-01-29,3.958333
1982-02-01,4.0
1982-02-02,3.958333
1982-02-03,4.0
1982-02-04,4.0
1982-02-05,4.0
1982-02-08,3.958333
1982-02-09,3.958333
1982-02-10,3.958333
1982-02-11,3.958333
1982-02-12,3.958333
1982-02-16,3.958333
1982-02-17,3.916667
1982-02-18,3.958333
1982-02-19,4.0
1982-02-22,4.0416669999999995
1982-02-23,4.0833330000000005
1982-02-24,4.125
1982-02-25,3.958333
1982-02-26,4.0
1982-03-01,3.958333
1982-03-02,4.0833330000000005
1982-03-03,4.0416669999999995
1982-03-04,4.0833330000000005
1982-03-05,4.1666669999999995
1982-03-08,4.1666669999999995
1982-03-09,4.1666669999999995
1982-03-10,4.1666669999999995
1982-03-11,4.1666669999999995
1982-03-12,4.125
1982-03-15,4.0833330000000005
1982-03-16,4.0833330000000005
1982-03-17,4.0833330000000005
1982-03-18,4.125
1982-03-19,4.1666669999999995
1982-03-22,4.1666669999999995
1982-03-23,4.2083330000000005
1982-03-24,4.25
1982-03-25,4.25
1982-03-26,4.2083330000000005
1982-03-29,4.25
1982-03-30,4.25
1982-03-31,4.25
1982-04-01,4.25
1982-04-02,4.25
1982-04-05,4.25
1982-04-06,4.2916669999999995
1982-04-07,4.2916669999999995
1982-04-08,4.3333330000000005
1982-04-12,4.2916669999999995
1982-04-13,4.3333330000000005
1982-04-14,4.3333330000000005
1982-04-15,4.375
1982-04-16,4.375
1982-04-19,4.375
1982-04-20,4.2916669999999995
1982-04-21,4.4166669999999995
1982-04-22,4.4166669999999995
1982-04-23,4.4166669999999995
1982-04-26,4.4583330000000005
1982-04-27,4.4166669999999995
1982-04-28,4.375
1982-04-29,4.375
1982-04-30,4.4166669999999995
1982-05-03,4.4166669999999995
1982-05-04,4.5
1982-05-05,4.5416669999999995
1982-05-06,4.5
1982-05-07,4.5416669999999995
1982-05-10,4.5416669999999995
1982-05-11,4.4583330000000005
1982-05-12,4.5416669999999995
1982-05-13,4.4583330000000005
1982-05-14,4.4583330000000005
1982-05-17,4.4583330000000005
1982-05-18,4.4166669999999995
1982-05-19,4.3333330000000005
1982-05-20,4.25
1982-05-21,4.375
1982-05-24,4.375
1982-05-25,4.375
1982-05-26,4.2083330000000005
1982-05-27,4.1666669999999995
1982-05-28,4.2083330000000005
1982-06-01,4.2083330000000005
1982-06-02,4.2916669999999995
1982-06-03,4.2916669999999995
1982-06-04,4.2916669999999995
1982-06-07,4.2916669999999995
1982-06-08,4.25
1982-06-09,4.25
1982-06-10,4.2916669999999995
1982-06-11,4.25
1982-06-14,4.1666669999999995
1982-06-15,4.2083330000000005
1982-06-16,4.2083330000000005
1982-06-17,4.125
1982-06-18,4.1666669999999995
1982-06-21,4.125
1982-06-22,4.0833330000000005
1982-06-23,4.0416669999999995
1982-06-24,4.0416669999999995
1982-06-25,4.0
1982-06-28,4.125
1982-06-29,4.1666669999999995
1982-06-30,4.2083330000000005
1982-07-01,4.25
1982-07-02,4.25
