Date,IMIAF
2014-04-03,23.65
2014-04-04,23.65
2014-04-07,23.65
2014-04-08,23.65
2014-04-09,23.65
2014-04-10,26.01
2014-04-11,26.01
2014-04-14,24.92
2014-04-15,24.92
2014-04-16,24.92
2014-04-17,25.0
2014-04-21,25.0
2014-04-22,25.0
2014-04-23,25.0
2014-04-24,25.0
2014-04-25,25.0
2014-04-28,25.0
2014-04-29,25.0
2014-04-30,24.9
2014-05-01,24.9
2014-05-02,24.9
2014-05-05,25.450001
2014-05-06,25.450001
2014-05-07,25.450001
2014-05-08,25.450001
2014-05-09,25.450001
2014-05-12,25.450001
2014-05-13,25.450001
2014-05-14,25.450001
2014-05-15,25.450001
2014-05-16,25.790001
2014-05-19,25.790001
2014-05-20,25.790001
2014-05-21,25.790001
2014-05-22,25.790001
2014-05-23,25.790001
2014-05-27,25.790001
2014-05-28,25.790001
2014-05-29,25.790001
2014-05-30,26.5
2014-06-02,26.299999
2014-06-03,26.299999
2014-06-04,26.299999
2014-06-05,26.299999
2014-06-06,26.299999
2014-06-09,26.84
2014-06-10,26.84
2014-06-11,26.84
2014-06-12,26.84
2014-06-13,26.84
2014-06-16,26.84
2014-06-17,26.84
2014-06-18,26.84
2014-06-19,26.84
2014-06-20,26.84
2014-06-23,26.84
2014-06-24,26.84
2014-06-25,26.84
2014-06-26,25.209999
2014-06-27,25.209999
2014-06-30,25.209999
2014-07-01,25.209999
2014-07-02,25.209999
2014-07-03,26.0
2014-07-07,26.0
2014-07-08,26.0
2014-07-09,26.0
2014-07-10,26.0
2014-07-11,26.0
2014-07-14,26.0
2014-07-15,26.0
2014-07-16,26.0
2014-07-17,26.0
2014-07-18,26.0
2014-07-21,26.0
2014-07-22,26.0
2014-07-23,26.0
2014-07-24,26.0
2014-07-25,26.0
2014-07-28,26.0
2014-07-29,26.0
2014-07-30,26.0
2014-07-31,23.67
2014-08-01,23.67
2014-08-04,23.67
2014-08-05,23.67
2014-08-06,23.67
2014-08-07,23.67
2014-08-08,22.469998999999998
2014-08-11,22.469998999999998
2014-08-12,22.469998999999998
2014-08-13,22.469998999999998
2014-08-14,22.469998999999998
2014-08-15,22.469998999999998
2014-08-18,22.469998999999998
2014-08-19,22.469998999999998
2014-08-20,22.469998999999998
2014-08-21,22.469998999999998
2014-08-22,22.469998999999998
2014-08-25,22.469998999999998
2014-08-26,22.469998999999998
2014-08-27,22.469998999999998
2014-08-28,22.469998999999998
2014-08-29,22.469998999999998
2014-09-02,22.25
2014-09-03,22.25
2014-09-04,21.610001
2014-09-05,21.610001
2014-09-08,21.16
2014-09-09,21.16
2014-09-10,21.16
2014-09-11,21.16
2014-09-12,21.16
2014-09-15,21.16
2014-09-16,20.85
2014-09-17,20.85
2014-09-18,20.85
2014-09-19,20.85
2014-09-22,21.9
2014-09-23,21.120001000000002
2014-09-24,21.120001000000002
2014-09-25,21.120001000000002
2014-09-26,20.07
2014-09-29,20.25
2014-09-30,20.25
2014-10-01,20.25
2014-10-02,19.42
2014-10-03,18.9
2014-10-06,18.9
2014-10-07,18.9
2014-10-08,18.9
2014-10-09,19.209999
2014-10-10,18.610001
2014-10-13,18.610001
2014-10-14,18.610001
2014-10-15,18.15
2014-10-16,18.43
2014-10-17,18.43
2014-10-20,19.0
2014-10-21,19.799999
2014-10-22,19.799999
2014-10-23,19.129998999999998
2014-10-24,19.129998999999998
2014-10-27,19.129998999999998
2014-10-28,19.129998999999998
2014-10-29,19.52
2014-10-30,19.52
2014-10-31,19.690001000000002
2014-11-03,19.690001000000002
2014-11-04,19.690001000000002
2014-11-05,19.690001000000002
2014-11-06,18.75
2014-11-07,18.75
2014-11-10,18.75
2014-11-11,18.75
2014-11-12,19.25
2014-11-13,19.25
2014-11-14,19.25
2014-11-17,19.25
2014-11-18,18.9
2014-11-19,18.9
2014-11-20,18.85
2014-11-21,18.85
2014-11-24,19.059998999999998
2014-11-25,19.059998999999998
2014-11-26,19.059998999999998
2014-11-28,18.59
2014-12-01,18.59
2014-12-02,18.59
2014-12-03,18.59
2014-12-04,18.59
2014-12-05,18.75
2014-12-08,18.75
2014-12-09,19.35
2014-12-10,19.4
2014-12-11,19.4
2014-12-12,18.66
2014-12-15,18.049999
2014-12-16,18.26
2014-12-17,18.26
2014-12-18,18.26
2014-12-19,18.26
2014-12-22,18.26
2014-12-23,19.75
2014-12-24,19.75
2014-12-26,19.75
2014-12-29,19.75
2014-12-30,19.75
2014-12-31,19.75
2015-01-02,19.200001
2015-01-05,18.67
2015-01-06,18.67
2015-01-07,18.23
2015-01-08,18.379998999999998
2015-01-09,18.290001
2015-01-12,18.290001
2015-01-13,18.290001
2015-01-14,18.290001
2015-01-15,18.049999
2015-01-16,18.049999
2015-01-20,18.049999
2015-01-21,18.049999
2015-01-22,18.049999
2015-01-23,18.049999
2015-01-26,19.370001000000002
2015-01-27,19.370001000000002
2015-01-28,19.370001000000002
2015-01-29,19.07
2015-01-30,19.07
2015-02-02,19.280001000000002
2015-02-03,20.6
2015-02-04,20.6
2015-02-05,21.15
2015-02-06,21.15
2015-02-09,20.91
2015-02-10,21.059998999999998
2015-02-11,21.059998999999998
2015-02-12,21.059998999999998
2015-02-13,21.709999
2015-02-17,21.709999
2015-02-18,22.309998999999998
2015-02-19,22.309998999999998
2015-02-20,22.02
2015-02-23,22.02
2015-02-24,22.02
2015-02-25,22.02
2015-02-26,22.02
2015-02-27,22.02
2015-03-02,22.02
2015-03-03,22.02
2015-03-04,22.02
2015-03-05,20.23
2015-03-06,20.23
2015-03-09,20.23
2015-03-10,19.870001000000002
2015-03-11,19.870001000000002
2015-03-12,19.870001000000002
2015-03-13,19.870001000000002
2015-03-16,19.870001000000002
2015-03-17,19.73
2015-03-18,19.9
2015-03-19,19.9
2015-03-20,19.75
2015-03-23,19.870001000000002
2015-03-24,20.0
2015-03-25,19.940001000000002
2015-03-26,19.299999
2015-03-27,19.48
2015-03-30,19.48
2015-03-31,19.48
2015-04-01,18.66
2015-04-02,18.700001
2015-04-06,18.700001
2015-04-07,18.700001
2015-04-08,18.75
2015-04-09,18.75
2015-04-10,19.18
2015-04-13,19.18
2015-04-14,19.18
2015-04-15,18.76
2015-04-16,18.76
2015-04-17,18.76
2015-04-20,18.76
2015-04-21,18.76
