Date,XOM
1963-07-16,2.15625
1963-07-17,2.160156
1963-07-18,2.148438
1963-07-19,2.140625
1963-07-22,2.128906
1963-07-23,2.136719
1963-07-24,2.152344
1963-07-25,2.160156
1963-07-26,2.183594
1963-07-29,2.175781
1963-07-30,2.199219
1963-07-31,2.191406
1963-08-01,2.1875
1963-08-02,2.195313
1963-08-05,2.214844
1963-08-06,2.238281
1963-08-07,2.21875
1963-08-08,2.21875
1963-08-09,2.207031
1963-08-12,2.195313
1963-08-13,2.199219
1963-08-14,2.203125
1963-08-15,2.210938
1963-08-16,2.203125
1963-08-19,2.191406
1963-08-20,2.195313
1963-08-21,2.1875
1963-08-22,2.199219
1963-08-23,2.203125
1963-08-26,2.207031
1963-08-27,2.203125
1963-08-28,2.214844
1963-08-29,2.230469
1963-08-30,2.234375
1963-09-03,2.242188
1963-09-04,2.226563
1963-09-05,2.230469
1963-09-06,2.21875
1963-09-09,2.207031
1963-09-10,2.191406
1963-09-11,2.199219
1963-09-12,2.214844
1963-09-13,2.222656
1963-09-16,2.230469
1963-09-17,2.25
1963-09-18,2.246094
1963-09-19,2.265625
1963-09-20,2.277344
1963-09-23,2.261719
1963-09-24,2.265625
1963-09-25,2.265625
1963-09-26,2.257813
1963-09-27,2.21875
1963-09-30,2.140625
1963-10-01,2.191406
1963-10-02,2.191406
1963-10-03,2.195313
1963-10-04,2.210938
1963-10-07,2.21875
1963-10-08,2.214844
1963-10-09,2.195313
1963-10-10,2.183594
1963-10-11,2.179688
1963-10-14,2.171875
1963-10-15,2.175781
1963-10-16,2.207031
1963-10-17,2.183594
1963-10-18,2.195313
1963-10-21,2.195313
1963-10-22,2.195313
1963-10-23,2.183594
1963-10-24,2.195313
1963-10-25,2.238281
1963-10-28,2.277344
1963-10-29,2.25
1963-10-30,2.207031
1963-10-31,2.21875
1963-11-01,2.222656
1963-11-04,2.25
1963-11-06,2.207031
1963-11-07,2.21875
1963-11-08,2.222656
1963-11-11,2.214844
1963-11-12,2.199219
1963-11-13,2.171875
1963-11-14,2.144531
1963-11-15,2.097656
1963-11-18,2.0625
1963-11-19,2.09375
1963-11-20,2.15625
1963-11-21,2.152344
1963-11-22,2.105469
1963-11-26,2.167969
1963-11-27,2.167969
1963-11-29,2.21875
1963-12-02,2.25
1963-12-03,2.246094
1963-12-04,2.238281
1963-12-05,2.277344
1963-12-06,2.273438
1963-12-09,2.265625
1963-12-10,2.269531
1963-12-11,2.277344
1963-12-12,2.277344
1963-12-13,2.285156
1963-12-16,2.339844
1963-12-17,2.34375
1963-12-18,2.355469
1963-12-19,2.359375
1963-12-20,2.390625
1963-12-23,2.371094
1963-12-24,2.328125
1963-12-26,2.339844
1963-12-27,2.339844
1963-12-30,2.339844
1963-12-31,2.375
1964-01-02,2.371094
1964-01-03,2.394531
1964-01-06,2.398438
1964-01-07,2.421875
1964-01-08,2.414063
1964-01-09,2.414063
1964-01-10,2.417969
1964-01-13,2.402344
1964-01-14,2.398438
1964-01-15,2.398438
1964-01-16,2.382813
1964-01-17,2.359375
1964-01-20,2.375
1964-01-21,2.40625
1964-01-22,2.425781
1964-01-23,2.445313
1964-01-24,2.453125
1964-01-27,2.488281
1964-01-28,2.558594
1964-01-29,2.546875
1964-01-30,2.527344
1964-01-31,2.570313
1964-02-03,2.578125
1964-02-04,2.578125
1964-02-05,2.542969
1964-02-06,2.53125
1964-02-07,2.546875
1964-02-10,2.539063
1964-02-11,2.539063
1964-02-12,2.523438
1964-02-13,2.523438
1964-02-14,2.496094
1964-02-17,2.511719
1964-02-18,2.527344
1964-02-19,2.542969
1964-02-20,2.53125
1964-02-24,2.550781
1964-02-25,2.5625
1964-02-26,2.558594
1964-02-27,2.554688
