Date,ZTO
2017-11-30,16.059998999999998
2017-12-01,16.0
2017-12-04,15.83
2017-12-05,15.61
2017-12-06,15.77
2017-12-07,16.02
2017-12-08,15.28
2017-12-11,15.52
2017-12-12,14.91
2017-12-13,14.98
2017-12-14,15.1
2017-12-15,14.95
2017-12-18,14.7
2017-12-19,14.99
2017-12-20,15.65
2017-12-21,15.88
2017-12-22,15.92
2017-12-26,15.93
2017-12-27,15.92
2017-12-28,15.91
2017-12-29,15.85
2018-01-02,16.42
2018-01-03,16.309998999999998
2018-01-04,16.120001000000002
2018-01-05,16.049999
2018-01-08,15.7
2018-01-09,15.74
2018-01-10,15.36
2018-01-11,15.88
2018-01-12,15.76
2018-01-16,15.94
2018-01-17,16.68
2018-01-18,16.5
2018-01-19,16.49
2018-01-22,16.209999
2018-01-23,16.49
2018-01-24,16.74
2018-01-25,16.1
2018-01-26,15.84
2018-01-29,15.92
2018-01-30,15.83
2018-01-31,15.81
2018-02-01,16.040001
2018-02-02,15.56
2018-02-05,15.06
2018-02-06,15.24
2018-02-07,15.16
2018-02-08,14.86
2018-02-09,14.94
2018-02-12,14.98
2018-02-13,15.35
2018-02-14,15.57
2018-02-15,15.53
2018-02-16,15.5
2018-02-20,15.37
2018-02-21,15.24
2018-02-22,15.41
2018-02-23,15.56
2018-02-26,15.65
2018-02-27,15.36
2018-02-28,15.87
2018-03-01,16.309998999999998
2018-03-02,15.93
2018-03-05,15.96
2018-03-06,16.92
2018-03-07,16.99
2018-03-08,17.389999
2018-03-09,15.72
2018-03-12,15.2
2018-03-13,15.28
2018-03-14,15.23
2018-03-15,15.33
2018-03-16,15.44
2018-03-19,15.5
2018-03-20,15.42
2018-03-21,15.22
2018-03-22,14.98
2018-03-23,14.76
2018-03-26,15.03
2018-03-27,14.71
2018-03-28,14.64
2018-03-29,14.99
2018-04-02,14.71
2018-04-03,14.88
2018-04-04,14.78
2018-04-05,15.15
2018-04-06,14.9
2018-04-09,14.96
2018-04-10,15.08
2018-04-11,15.52
2018-04-12,15.65
2018-04-13,15.92
2018-04-16,15.81
2018-04-17,16.08
2018-04-18,16.26
2018-04-19,16.26
2018-04-20,16.48
2018-04-23,16.68
2018-04-24,16.379998999999998
2018-04-25,16.01
2018-04-26,16.16
2018-04-27,16.34
2018-04-30,16.5
2018-05-01,16.610001
2018-05-02,16.459999
2018-05-03,16.68
2018-05-04,16.700001
2018-05-07,16.719998999999998
2018-05-08,17.059998999999998
2018-05-09,16.799999
2018-05-10,16.9
2018-05-11,16.950001
2018-05-14,17.190001000000002
2018-05-15,17.32
2018-05-16,17.4
2018-05-17,17.459999
2018-05-18,17.6
2018-05-21,17.790001
2018-05-22,17.889999
2018-05-23,17.9
2018-05-24,18.42
2018-05-25,19.299999
2018-05-29,20.82
2018-05-30,20.530001000000002
2018-05-31,20.59
2018-06-01,20.709999
2018-06-04,20.620001000000002
2018-06-05,20.48
2018-06-06,21.33
2018-06-07,20.709999
2018-06-08,21.040001
2018-06-11,21.389999
2018-06-12,21.49
2018-06-13,21.49
2018-06-14,21.4
2018-06-15,21.15
2018-06-18,21.299999
2018-06-19,20.299999
2018-06-20,20.35
2018-06-21,19.620001000000002
2018-06-22,19.360001
2018-06-25,19.24
2018-06-26,19.99
2018-06-27,19.799999
2018-06-28,19.870001000000002
2018-06-29,20.0
2018-07-02,20.42
2018-07-03,20.219998999999998
2018-07-05,19.450001
2018-07-06,19.66
2018-07-09,20.110001
2018-07-10,20.459999
2018-07-11,20.059998999999998
2018-07-12,21.07
2018-07-13,20.610001
2018-07-16,22.43
2018-07-17,22.01
2018-07-18,21.969998999999998
2018-07-19,21.0
2018-07-20,21.27
2018-07-23,21.129998999999998
2018-07-24,20.940001000000002
2018-07-25,21.030001000000002
2018-07-26,20.67
2018-07-27,20.09
2018-07-30,19.16
2018-07-31,19.83
2018-08-01,19.82
2018-08-02,19.639999
2018-08-03,19.389999
2018-08-06,18.959999
2018-08-07,19.459999
2018-08-08,19.65
2018-08-09,20.92
2018-08-10,21.129998999999998
2018-08-13,21.07
2018-08-14,19.35
2018-08-15,18.540001
2018-08-16,19.209999
2018-08-17,19.33
2018-08-20,19.91
2018-08-21,19.98
2018-08-22,19.15
2018-08-23,19.25
2018-08-24,19.52
2018-08-27,19.9
2018-08-28,19.51
2018-08-29,18.959999
2018-08-30,18.1
2018-08-31,18.459999
2018-09-04,17.73
2018-09-05,17.200001
2018-09-06,17.459999
2018-09-07,17.690001000000002
2018-09-10,17.5
2018-09-11,17.41
2018-09-12,17.32
2018-09-13,17.91
2018-09-14,17.76
2018-09-17,17.139999
2018-09-18,17.18
2018-09-19,17.99
2018-09-20,17.969998999999998
2018-09-21,17.969998999999998
2018-09-24,16.969998999999998
2018-09-25,16.959999
2018-09-26,17.200001
2018-09-27,16.75
2018-09-28,16.57
2018-10-01,16.5
2018-10-02,16.209999
2018-10-03,16.16
2018-10-04,15.91
2018-10-05,15.61
2018-10-08,15.35
2018-10-09,15.24
2018-10-10,14.95
2018-10-11,15.64
2018-10-12,16.24
2018-10-15,16.25
2018-10-16,16.65
2018-10-17,15.95
2018-10-18,15.38
2018-10-19,15.48
2018-10-22,15.85
2018-10-23,15.33
2018-10-24,15.15
2018-10-25,15.56
2018-10-26,15.48
2018-10-29,15.27
2018-10-30,15.42
2018-10-31,16.219998999999998
2018-11-01,16.799999
2018-11-02,16.67
2018-11-05,16.25
2018-11-06,16.49
2018-11-07,16.68
2018-11-08,16.83
2018-11-09,15.97
2018-11-12,15.67
2018-11-13,15.82
2018-11-14,16.08
2018-11-15,16.879998999999998
2018-11-16,16.969998999999998
2018-11-19,16.129998999999998
2018-11-20,16.09
2018-11-21,16.290001
2018-11-23,16.48
2018-11-26,16.6
2018-11-27,16.6
2018-11-28,17.1
2018-11-29,16.93
2018-11-30,17.16
2018-12-03,17.290001
2018-12-04,16.75
2018-12-06,16.059998999999998
2018-12-07,15.83
2018-12-10,15.73
2018-12-11,15.95
2018-12-12,16.450001
2018-12-13,16.48
2018-12-14,16.440001000000002
2018-12-17,16.139999
2018-12-18,16.030001000000002
2018-12-19,15.5
2018-12-20,15.47
2018-12-21,15.93
2018-12-24,15.99
2018-12-26,16.43
2018-12-27,16.0
2018-12-28,16.0
2018-12-31,15.83
2019-01-02,16.07
2019-01-03,15.33
2019-01-04,16.16
2019-01-07,16.629998999999998
2019-01-08,16.540001
2019-01-09,17.110001
2019-01-10,17.280001000000002
2019-01-11,17.360001
2019-01-14,17.290001
2019-01-15,17.6
2019-01-16,17.690001000000002
2019-01-17,17.91
2019-01-18,17.99
2019-01-22,17.139999
2019-01-23,17.049999
2019-01-24,17.290001
2019-01-25,17.43
2019-01-28,17.25
2019-01-29,17.190001000000002
2019-01-30,17.27
2019-01-31,17.120001000000002
2019-02-01,17.370001000000002
2019-02-04,17.450001
2019-02-05,17.610001
2019-02-06,17.84
2019-02-07,17.790001
2019-02-08,17.91
2019-02-11,18.15
2019-02-12,18.799999
2019-02-13,19.25
2019-02-14,19.18
2019-02-15,18.809998999999998
2019-02-19,19.25
2019-02-20,19.23
2019-02-21,19.450001
2019-02-22,19.610001
2019-02-25,19.700001
2019-02-26,19.49
2019-02-27,19.540001
2019-02-28,19.879998999999998
2019-03-01,19.59
2019-03-04,21.15
2019-03-05,20.940001000000002
2019-03-06,20.860001
2019-03-07,20.459999
2019-03-08,20.17
2019-03-11,20.129998999999998
2019-03-12,20.01
2019-03-13,19.290001
2019-03-14,19.120001000000002
2019-03-15,19.059998999999998
2019-03-18,18.879998999999998
2019-03-19,18.639999
2019-03-20,18.33
2019-03-21,18.26
2019-03-22,17.690001000000002
2019-03-25,17.84
2019-03-26,17.9
2019-03-27,17.83
2019-03-28,17.98
2019-03-29,18.280001000000002
2019-04-01,18.450001
2019-04-02,18.25
2019-04-03,18.370001000000002
2019-04-04,18.469998999999998
2019-04-05,18.9
2019-04-08,18.940001000000002
2019-04-09,18.969998999999998
2019-04-10,19.110001
2019-04-11,19.219998999999998
2019-04-12,19.52
2019-04-15,19.309998999999998
2019-04-16,19.32
2019-04-17,19.52
2019-04-18,19.6
2019-04-22,19.309998999999998
2019-04-23,19.799999
2019-04-24,20.0
2019-04-25,19.67
2019-04-26,19.969998999999998
2019-04-29,19.92
2019-04-30,19.93
2019-05-01,19.790001
2019-05-02,19.98
2019-05-03,19.98
2019-05-06,19.200001
2019-05-07,18.799999
2019-05-08,19.08
2019-05-09,18.98
2019-05-10,19.01
2019-05-13,18.26
2019-05-14,18.49
2019-05-15,18.82
2019-05-16,19.540001
2019-05-17,17.93
2019-05-20,18.02
2019-05-21,18.309998999999998
2019-05-22,18.02
2019-05-23,18.049999
2019-05-24,17.950001
2019-05-28,18.35
2019-05-29,18.040001
2019-05-30,18.049999
2019-05-31,18.040001
2019-06-03,18.040001
2019-06-04,17.950001
2019-06-05,17.4
2019-06-06,17.27
2019-06-07,17.559998999999998
2019-06-10,17.940001000000002
2019-06-11,18.25
2019-06-12,18.309998999999998
2019-06-13,18.530001000000002
2019-06-14,18.610001
2019-06-17,18.610001
2019-06-18,18.83
2019-06-19,18.969998999999998
2019-06-20,19.17
2019-06-21,19.030001000000002
2019-06-24,19.040001
2019-06-25,18.950001
2019-06-26,18.950001
2019-06-27,19.200001
2019-06-28,19.120001000000002
2019-07-01,19.700001
2019-07-02,19.57
2019-07-03,19.68
2019-07-05,19.870001000000002
2019-07-08,19.940001000000002
2019-07-09,19.76
2019-07-10,19.719998999999998
2019-07-11,19.799999
2019-07-12,19.82
2019-07-15,19.860001
2019-07-16,19.790001
2019-07-17,19.559998999999998
2019-07-18,19.51
2019-07-19,19.66
2019-07-22,19.700001
2019-07-23,19.639999
2019-07-24,19.84
2019-07-25,19.709999
2019-07-26,19.700001
2019-07-29,19.940001000000002
2019-07-30,19.98
2019-07-31,19.65
2019-08-01,19.309998999999998
2019-08-02,19.1
2019-08-05,18.24
2019-08-06,18.540001
2019-08-07,18.719998999999998
2019-08-08,19.02
2019-08-09,19.059998999999998
2019-08-12,18.940001000000002
2019-08-13,19.030001000000002
2019-08-14,19.02
2019-08-15,19.1
2019-08-16,19.379998999999998
2019-08-19,20.190001000000002
2019-08-20,19.780001000000002
2019-08-21,20.1
2019-08-22,19.98
2019-08-23,19.540001
2019-08-26,20.34
2019-08-27,20.379998999999998
2019-08-28,20.41
2019-08-29,20.440001000000002
2019-08-30,20.51
2019-09-03,20.68
2019-09-04,20.889999
2019-09-05,21.02
2019-09-06,21.16
2019-09-09,20.83
2019-09-10,20.98
2019-09-11,21.1
2019-09-12,21.68
2019-09-13,21.25
2019-09-16,20.92
2019-09-17,20.91
2019-09-18,22.08
2019-09-19,22.17
2019-09-20,21.76
2019-09-23,21.030001000000002
2019-09-24,21.049999
2019-09-25,20.9
2019-09-26,20.860001
2019-09-27,20.58
2019-09-30,21.33
2019-10-01,21.030001000000002
2019-10-02,21.0
2019-10-03,20.950001
2019-10-04,20.719998999999998
2019-10-07,20.549999
2019-10-08,20.01
2019-10-09,19.99
2019-10-10,20.209999
2019-10-11,20.68
2019-10-14,20.48
2019-10-15,20.700001
2019-10-16,20.82
2019-10-17,20.83
2019-10-18,20.84
2019-10-21,21.41
2019-10-22,21.450001
2019-10-23,21.610001
2019-10-24,21.959999
2019-10-25,22.129998999999998
2019-10-28,22.23
2019-10-29,21.84
2019-10-30,21.99
2019-10-31,22.0
2019-11-01,21.74
2019-11-04,22.459999
2019-11-05,22.200001
2019-11-06,22.17
2019-11-07,22.51
2019-11-08,22.450001
2019-11-11,22.41
2019-11-12,22.5
2019-11-13,22.209999
2019-11-14,22.15
2019-11-15,22.370001000000002
2019-11-18,22.43
2019-11-19,21.030001000000002
2019-11-20,20.57
2019-11-21,20.9
2019-11-22,20.74
2019-11-25,20.98
2019-11-26,21.25
2019-11-27,21.52
2019-11-29,21.280001000000002
2019-12-02,20.91
2019-12-03,20.75
2019-12-04,20.700001
2019-12-05,20.809998999999998
2019-12-06,20.92
2019-12-09,20.84
2019-12-10,20.889999
2019-12-11,21.1
2019-12-12,21.0
2019-12-13,21.57
2019-12-16,22.120001000000002
2019-12-17,22.469998999999998
2019-12-18,22.68
2019-12-19,22.73
2019-12-20,22.91
2019-12-23,23.08
2019-12-24,22.99
2019-12-26,23.200001
2019-12-27,23.52
2019-12-30,23.309998999999998
2019-12-31,23.35
2020-01-02,23.719998999999998
2020-01-03,23.299999
2020-01-06,23.360001
2020-01-07,23.0
2020-01-08,23.299999
2020-01-09,23.209999
2020-01-10,23.0
2020-01-13,23.6
2020-01-14,23.700001
2020-01-15,23.58
2020-01-16,23.65
2020-01-17,24.18
2020-01-21,23.91
2020-01-22,23.6
2020-01-23,23.110001
2020-01-24,22.610001
2020-01-27,22.209999
2020-01-28,22.27
2020-01-29,22.42
2020-01-30,22.0
2020-01-31,21.719998999999998
2020-02-03,22.18
2020-02-04,23.23
2020-02-05,22.799999
2020-02-06,23.639999
2020-02-07,23.76
2020-02-10,23.5
2020-02-11,23.93
2020-02-12,24.65
2020-02-13,24.360001
2020-02-14,24.02
2020-02-18,24.4
2020-02-19,24.799999
2020-02-20,25.17
2020-02-21,24.719998999999998
2020-02-24,24.1
2020-02-25,23.790001
2020-02-26,23.76
2020-02-27,23.33
2020-02-28,23.459999
2020-03-02,24.709999
2020-03-03,24.51
2020-03-04,25.98
2020-03-05,26.389999
2020-03-06,26.6
2020-03-09,27.049999
2020-03-10,27.700001
2020-03-11,27.5
2020-03-12,25.889999
2020-03-13,25.6
2020-03-16,25.120001000000002
2020-03-17,26.0
2020-03-18,25.200001
2020-03-19,24.469998999999998
2020-03-20,24.690001000000002
2020-03-23,23.620001000000002
2020-03-24,24.52
2020-03-25,24.629998999999998
2020-03-26,25.82
2020-03-27,25.51
2020-03-30,25.780001000000002
2020-03-31,26.48
2020-04-01,26.32
2020-04-02,27.35
2020-04-03,26.92
2020-04-06,27.76
2020-04-07,27.469998999999998
2020-04-08,27.540001
2020-04-09,27.129998999999998
2020-04-13,27.200001
2020-04-14,27.09
2020-04-15,26.559998999999998
2020-04-16,29.02
2020-04-17,28.790001
2020-04-20,28.549999
2020-04-21,27.9
2020-04-22,28.969998999999998
2020-04-23,28.790001
2020-04-24,28.889999
2020-04-27,29.23
2020-04-28,29.17
2020-04-29,29.559998999999998
2020-04-30,29.76
2020-05-01,28.41
2020-05-04,27.58
2020-05-05,28.57
2020-05-06,28.92
2020-05-07,29.889999
2020-05-08,31.15
