Date,DYN
2014-11-19,33.580002
2014-11-20,33.990002000000004
2014-11-21,34.23
2014-11-24,33.450001
2014-11-25,32.93
2014-11-26,33.09
2014-11-28,33.150002
2014-12-01,32.830002
2014-12-02,32.580002
2014-12-03,31.58
2014-12-04,30.870001000000002
2014-12-05,30.43
2014-12-08,29.75
2014-12-09,30.1
2014-12-10,29.15
2014-12-11,29.15
2014-12-12,28.58
2014-12-15,27.74
2014-12-16,28.32
2014-12-17,30.58
2014-12-18,30.959999
2014-12-19,30.75
2014-12-22,29.030001000000002
2014-12-23,29.299999
2014-12-24,29.42
2014-12-26,29.59
2014-12-29,31.08
2014-12-30,30.799999
2014-12-31,30.35
2015-01-02,30.719998999999998
2015-01-05,29.540001
2015-01-06,29.799999
2015-01-07,29.379998999999998
2015-01-08,29.209999
2015-01-09,29.58
2015-01-12,29.459999
2015-01-13,30.719998999999998
2015-01-14,31.35
2015-01-15,31.030001000000002
2015-01-16,31.389999
2015-01-20,28.74
2015-01-21,29.51
2015-01-22,28.91
2015-01-23,28.85
2015-01-26,29.219998999999998
2015-01-27,29.120001000000002
2015-01-28,28.360001
2015-01-29,27.93
2015-01-30,27.32
2015-02-02,27.450001
2015-02-03,28.24
2015-02-04,28.290001
2015-02-05,28.450001
2015-02-06,27.379998999999998
2015-02-09,28.5
2015-02-10,28.67
2015-02-11,28.49
2015-02-12,28.379998999999998
2015-02-13,28.389999
2015-02-17,27.76
2015-02-18,28.59
2015-02-19,28.309998999999998
2015-02-20,29.309998999999998
2015-02-23,30.07
2015-02-24,30.389999
2015-02-25,29.549999
2015-02-26,28.299999
2015-02-27,27.870001000000002
2015-03-02,27.209999
2015-03-03,27.24
2015-03-04,27.09
2015-03-05,27.290001
2015-03-06,27.07
2015-03-09,26.5
2015-03-10,26.129998999999998
2015-03-11,26.059998999999998
2015-03-12,26.200001
2015-03-13,26.809998999999998
2015-03-16,27.17
2015-03-17,27.98
2015-03-18,28.84
2015-03-19,27.9
2015-03-20,28.08
2015-03-23,28.299999
2015-03-24,27.98
2015-03-25,27.799999
2015-03-26,28.049999
2015-03-27,28.290001
2015-03-30,30.879998999999998
2015-03-31,31.43
2015-04-01,30.299999
2015-04-02,31.290001
2015-04-06,31.67
2015-04-07,31.700001
2015-04-08,31.01
2015-04-09,30.85
2015-04-10,31.309998999999998
2015-04-13,30.889999
2015-04-14,30.530001000000002
2015-04-15,32.369999
2015-04-16,32.689999
2015-04-17,32.32
2015-04-20,32.939999
2015-04-21,33.040001000000004
2015-04-22,33.279999
2015-04-23,32.669998
2015-04-24,33.529999
2015-04-27,33.080002
2015-04-28,33.200001
2015-04-29,33.599998
2015-04-30,33.27
2015-05-01,33.990002000000004
2015-05-04,34.16
2015-05-05,33.400002
2015-05-06,32.73
2015-05-07,32.48
2015-05-08,33.07
2015-05-11,32.560001
2015-05-12,32.869999
2015-05-13,32.380001
2015-05-14,32.400002
2015-05-15,33.849998
2015-05-18,33.599998
2015-05-19,33.07
2015-05-20,32.59
2015-05-21,32.98
2015-05-22,32.689999
2015-05-26,32.360001000000004
2015-05-27,32.509997999999996
2015-05-28,32.720001
2015-05-29,32.34
2015-06-01,32.16
2015-06-02,32.290001000000004
2015-06-03,32.419998
2015-06-04,32.18
2015-06-05,31.959999
2015-06-08,31.530001000000002
2015-06-09,31.940001000000002
2015-06-10,33.650002
2015-06-11,33.759997999999996
2015-06-12,33.16
2015-06-15,33.869999
2015-06-16,34.0
2015-06-17,33.369999
2015-06-18,33.540001000000004
2015-06-19,33.310001
2015-06-22,33.439999
2015-06-23,32.900002
2015-06-24,32.709998999999996
2015-06-25,32.060001
2015-06-26,30.58
2015-06-29,29.51
2015-06-30,29.25
2015-07-01,29.4
2015-07-02,30.07
2015-07-06,29.889999
2015-07-07,29.559998999999998
2015-07-08,28.610001
2015-07-09,28.43
2015-07-10,28.700001
2015-07-13,29.5
2015-07-14,29.49
2015-07-15,29.469998999999998
2015-07-16,29.42
2015-07-17,29.370001000000002
2015-07-20,28.280001000000002
2015-07-21,27.1
2015-07-22,27.58
2015-07-23,26.219998999999998
2015-07-24,24.940001000000002
2015-07-27,24.200001
2015-07-28,24.950001
2015-07-29,25.35
2015-07-30,25.879998999999998
2015-07-31,26.049999
2015-08-03,25.16
2015-08-04,24.450001
2015-08-05,24.23
2015-08-06,23.389999
2015-08-07,22.719998999999998
2015-08-10,23.66
2015-08-11,23.139999
2015-08-12,24.49
2015-08-13,24.84
2015-08-14,25.52
2015-08-17,26.08
2015-08-18,26.26
2015-08-19,26.48
2015-08-20,25.549999
2015-08-21,25.32
2015-08-24,24.709999
2015-08-25,23.93
2015-08-26,24.219998999999998
2015-08-27,25.41
2015-08-28,25.809998999999998
2015-08-31,25.75
2015-09-01,25.25
2015-09-02,24.67
2015-09-03,25.15
2015-09-04,24.190001000000002
2015-09-08,24.780001000000002
2015-09-09,24.860001
2015-09-10,24.85
2015-09-11,24.6
2015-09-14,24.709999
2015-09-15,25.120001000000002
2015-09-16,25.49
2015-09-17,25.809998999999998
2015-09-18,24.719998999999998
2015-09-21,22.85
2015-09-22,21.57
2015-09-23,20.52
2015-09-24,19.68
2015-09-25,20.67
2015-09-28,20.0
2015-09-29,19.93
2015-09-30,20.67
2015-10-01,21.469998999999998
2015-10-02,21.65
2015-10-05,23.030001000000002
2015-10-06,23.01
2015-10-07,23.290001
2015-10-08,23.700001
2015-10-09,23.139999
2015-10-12,23.35
2015-10-13,23.25
2015-10-14,23.219998999999998
2015-10-15,23.620001000000002
2015-10-16,23.219998999999998
2015-10-19,23.120001000000002
2015-10-20,23.07
2015-10-21,21.879998999999998
2015-10-22,21.75
2015-10-23,20.49
2015-10-26,19.17
2015-10-27,18.379998999999998
2015-10-28,19.110001
2015-10-29,19.459999
2015-10-30,19.43
2015-11-02,19.700001
2015-11-03,20.01
2015-11-04,20.52
2015-11-05,18.98
2015-11-06,18.1
2015-11-09,17.52
2015-11-10,17.74
2015-11-11,16.870001000000002
2015-11-12,16.709999
2015-11-13,16.879998999999998
2015-11-16,17.219998999999998
2015-11-17,16.469998999999998
2015-11-18,16.99
2015-11-19,16.75
2015-11-20,16.389999
2015-11-23,16.309998999999998
2015-11-24,16.65
2015-11-25,16.709999
2015-11-27,15.97
2015-11-30,16.120001000000002
2015-12-01,16.280001000000002
2015-12-02,14.46
2015-12-03,13.93
2015-12-04,11.44
2015-12-07,11.53
2015-12-08,11.58
2015-12-09,11.5
2015-12-10,11.65
2015-12-11,11.03
2015-12-14,10.02
2015-12-15,10.37
2015-12-16,10.29
2015-12-17,10.25
2015-12-18,11.21
2015-12-21,12.02
2015-12-22,12.2
2015-12-23,13.03
2015-12-24,13.03
2015-12-28,12.9
2015-12-29,13.21
2015-12-30,12.79
2015-12-31,13.4
2016-01-04,12.87
2016-01-05,13.02
2016-01-06,12.53
2016-01-07,12.53
2016-01-08,13.09
2016-01-11,12.46
2016-01-12,12.24
2016-01-13,11.76
2016-01-14,12.61
2016-01-15,11.32
2016-01-19,10.96
2016-01-20,10.55
2016-01-21,10.58
2016-01-22,11.17
2016-01-25,9.88
2016-01-26,10.79
2016-01-27,11.07
2016-01-28,11.37
2016-01-29,11.84
2016-02-01,11.93
2016-02-02,11.05
2016-02-03,12.0
2016-02-04,12.17
2016-02-05,12.11
2016-02-08,10.9
2016-02-09,10.96
2016-02-10,10.31
2016-02-11,8.86
2016-02-12,8.45
2016-02-16,8.05
2016-02-17,8.46
2016-02-18,8.08
2016-02-19,7.81
2016-02-22,7.43
2016-02-23,7.82
2016-02-24,8.32
2016-02-25,9.49
2016-02-26,9.78
2016-02-29,10.08
2016-03-01,10.37
2016-03-02,11.83
2016-03-03,11.6
2016-03-04,11.13
2016-03-07,11.65
2016-03-08,11.05
2016-03-09,11.69
2016-03-10,12.2
2016-03-11,12.28
2016-03-14,12.64
2016-03-15,12.5
2016-03-16,12.95
2016-03-17,13.56
2016-03-18,13.41
2016-03-21,13.35
2016-03-22,13.63
2016-03-23,13.28
2016-03-24,13.71
2016-03-28,13.18
2016-03-29,13.86
2016-03-30,13.78
2016-03-31,14.37
2016-04-01,14.92
2016-04-04,14.26
2016-04-05,14.16
2016-04-06,14.34
2016-04-07,14.42
2016-04-08,15.09
2016-04-11,15.18
2016-04-12,15.26
2016-04-13,14.97
2016-04-14,14.84
2016-04-15,15.58
2016-04-18,16.02
2016-04-19,17.049999
2016-04-20,16.959999
2016-04-21,16.780001000000002
2016-04-22,17.139999
2016-04-25,16.360001
2016-04-26,16.870001000000002
2016-04-27,17.33
2016-04-28,17.299999
2016-04-29,17.629998999999998
2016-05-02,17.110001
2016-05-03,16.6
2016-05-04,17.9
2016-05-05,18.48
2016-05-06,19.02
2016-05-09,19.17
2016-05-10,19.67
2016-05-11,19.43
2016-05-12,18.67
2016-05-13,18.25
2016-05-16,18.309998999999998
2016-05-17,18.870001000000002
2016-05-18,18.290001
2016-05-19,18.18
2016-05-20,18.74
2016-05-23,18.83
2016-05-24,18.59
2016-05-25,17.690001000000002
2016-05-26,17.42
2016-05-27,18.07
2016-05-31,18.84
2016-06-01,19.74
2016-06-02,20.16
2016-06-03,20.67
2016-06-06,21.09
2016-06-07,21.51
2016-06-08,21.25
2016-06-09,20.74
2016-06-10,18.27
2016-06-13,18.139999
2016-06-14,16.85
2016-06-15,16.129998999999998
