Date,COOP
2014-05-09,32.759997999999996
2014-05-12,32.16
2014-05-13,32.16
2014-05-14,32.16
2014-05-15,32.040001000000004
2014-05-16,31.200001
2014-05-19,30.719998999999998
2014-05-20,30.959999
2014-05-21,32.16
2014-05-22,34.200001
2014-05-23,34.919998
2014-05-27,34.919998
2014-05-28,34.799999
2014-05-29,35.279999
2014-05-30,35.279999
2014-06-02,34.799999
2014-06-03,34.68
2014-06-04,33.48
2014-06-05,33.119999
2014-06-06,33.84
2014-06-09,33.599998
2014-06-10,33.0
2014-06-11,34.080002
2014-06-12,36.720001
2014-06-13,35.880001
2014-06-16,35.759997999999996
2014-06-17,34.68
2014-06-18,34.799999
2014-06-19,33.959998999999996
2014-06-20,33.599998
2014-06-23,33.240002000000004
2014-06-24,33.599998
2014-06-25,33.599998
2014-06-26,33.0
2014-06-27,33.84
2014-06-30,33.959998999999996
2014-07-01,34.560001
2014-07-02,34.919998
2014-07-03,35.040001000000004
2014-07-07,33.720001
2014-07-08,33.48
2014-07-09,33.360001000000004
2014-07-10,33.240002000000004
2014-07-11,33.599998
2014-07-14,33.599998
2014-07-15,33.84
2014-07-16,34.799999
2014-07-17,33.84
2014-07-18,33.599998
2014-07-21,33.240002000000004
2014-07-22,33.360001000000004
2014-07-23,33.119999
2014-07-24,33.240002000000004
2014-07-25,33.0
2014-07-28,33.0
2014-07-29,33.0
2014-07-30,33.0
2014-07-31,32.639998999999996
2014-08-01,32.400002
2014-08-04,32.400002
2014-08-05,32.279999
2014-08-06,32.279999
2014-08-07,32.279999
2014-08-08,32.52
2014-08-11,32.639998999999996
2014-08-12,32.639998999999996
2014-08-13,32.52
2014-08-14,32.639998999999996
2014-08-15,32.52
2014-08-18,32.759997999999996
2014-08-19,32.52
2014-08-20,33.240002000000004
2014-08-21,33.240002000000004
2014-08-22,34.080002
2014-08-25,33.720001
2014-08-26,32.400002
2014-08-27,33.0
2014-08-28,32.639998999999996
2014-08-29,33.0
2014-09-02,33.0
2014-09-03,32.880001
2014-09-04,32.880001
2014-09-05,32.400002
2014-09-08,32.639998999999996
2014-09-09,32.52
2014-09-10,32.279999
2014-09-11,31.799999
2014-09-12,32.16
2014-09-15,32.16
2014-09-16,31.799999
2014-09-17,31.68
2014-09-18,31.440001000000002
2014-09-19,30.84
2014-09-22,30.48
2014-09-23,29.16
2014-09-24,27.84
2014-09-25,28.200001
2014-09-26,32.279999
2014-09-29,32.279999
2014-09-30,32.040001000000004
2014-10-01,29.4
2014-10-02,29.52
2014-10-03,30.0
2014-10-06,29.040001
2014-10-07,28.440001000000002
2014-10-08,28.200001
2014-10-09,27.6
2014-10-10,26.040001
2014-10-13,24.6
2014-10-14,25.08
2014-10-15,24.959999
2014-10-16,24.959999
2014-10-17,28.68
2014-10-20,26.52
2014-10-21,26.4
2014-10-22,25.92
2014-10-23,26.76
2014-10-24,27.0
2014-10-27,27.0
2014-10-28,26.52
2014-10-29,26.4
2014-10-30,25.440001000000002
2014-10-31,25.799999
2014-11-03,24.360001
2014-11-04,24.0
2014-11-05,25.440001000000002
2014-11-06,24.959999
2014-11-07,24.48
2014-11-10,24.0
2014-11-11,24.0
2014-11-12,23.76
2014-11-13,22.799999
2014-11-14,21.959999
2014-11-17,21.0
2014-11-18,21.0
2014-11-19,21.360001
2014-11-20,21.0
2014-11-21,20.879998999999998
2014-11-24,21.84
2014-11-25,22.200001
2014-11-26,24.0
2014-11-28,24.0
2014-12-01,26.4
2014-12-02,24.0
2014-12-03,24.959999
2014-12-04,24.48
2014-12-05,24.360001
2014-12-08,24.6
2014-12-09,24.120001000000002
2014-12-10,24.0
2014-12-11,24.120001000000002
2014-12-12,24.24
2014-12-15,23.4
2014-12-16,22.799999
2014-12-17,21.959999
2014-12-18,21.84
2014-12-19,22.559998999999998
2014-12-22,28.08
2014-12-23,25.68
2014-12-24,25.68
2014-12-26,25.200001
2014-12-29,25.200001
2014-12-30,25.32
2014-12-31,24.6
2015-01-02,26.4
2015-01-05,26.4
2015-01-06,26.16
2015-01-07,26.280001000000002
2015-01-08,26.16
2015-01-09,26.280001000000002
2015-01-12,26.280001000000002
2015-01-13,26.16
2015-01-14,26.4
2015-01-15,26.16
2015-01-16,26.16
2015-01-20,26.280001000000002
2015-01-21,26.16
2015-01-22,26.16
2015-01-23,26.4
2015-01-26,25.799999
2015-01-27,25.92
2015-01-28,26.16
2015-01-29,25.799999
2015-01-30,25.799999
2015-02-02,25.799999
2015-02-03,25.799999
2015-02-04,25.92
2015-02-05,25.799999
2015-02-06,26.280001000000002
2015-02-09,26.4
2015-02-10,26.639999
2015-02-11,26.4
2015-02-12,26.4
2015-02-13,26.4
2015-02-17,26.040001
2015-02-18,26.4
2015-02-19,26.16
2015-02-20,26.4
2015-02-23,26.4
2015-02-24,26.4
2015-02-25,27.84
2015-02-26,30.6
2015-02-27,30.6
2015-03-02,30.6
2015-03-03,30.6
2015-03-04,30.24
2015-03-05,29.76
2015-03-06,29.280001000000002
2015-03-09,29.040001
2015-03-10,29.040001
2015-03-11,28.68
2015-03-12,28.559998999999998
2015-03-13,27.84
2015-03-16,28.200001
2015-03-17,28.200001
2015-03-18,28.08
2015-03-19,27.959999
2015-03-20,27.959999
2015-03-23,28.440001000000002
2015-03-24,27.84
2015-03-25,27.48
2015-03-26,27.360001
2015-03-27,27.120001000000002
2015-03-30,27.0
2015-03-31,26.4
2015-04-01,26.4
2015-04-02,27.24
2015-04-06,28.200001
2015-04-07,28.799999
2015-04-08,29.879998999999998
2015-04-09,29.76
2015-04-10,30.0
2015-04-13,29.879998999999998
2015-04-14,29.639999
2015-04-15,29.4
2015-04-16,29.76
2015-04-17,29.76
2015-04-20,30.0
2015-04-21,30.84
2015-04-22,30.6
2015-04-23,31.08
2015-04-24,31.32
2015-04-27,31.799999
2015-04-28,31.200001
2015-04-29,30.959999
2015-04-30,30.959999
2015-05-01,31.799999
2015-05-04,32.52
2015-05-05,32.759997999999996
2015-05-06,32.639998999999996
2015-05-07,33.119999
2015-05-08,32.880001
2015-05-11,32.639998999999996
2015-05-12,32.400002
2015-05-13,32.400002
2015-05-14,32.759997999999996
2015-05-15,33.119999
2015-05-18,36.119999
2015-05-19,36.0
2015-05-20,35.880001
2015-05-21,35.279999
2015-05-22,35.16
2015-05-26,34.080002
2015-05-27,33.360001000000004
2015-05-28,33.119999
2015-05-29,34.200001
2015-06-01,33.599998
2015-06-02,33.959998999999996
2015-06-03,34.560001
2015-06-04,33.720001
2015-06-05,33.84
2015-06-08,33.599998
2015-06-09,33.0
2015-06-10,33.0
2015-06-11,33.599998
2015-06-12,33.360001000000004
2015-06-15,33.48
2015-06-16,33.240002000000004
2015-06-17,33.0
2015-06-18,33.240002000000004
2015-06-19,33.119999
2015-06-22,33.0
2015-06-23,33.240002000000004
2015-06-24,32.759997999999996
2015-06-25,31.559998999999998
2015-06-26,31.68
2015-06-29,31.08
2015-06-30,31.32
2015-07-01,31.440001000000002
2015-07-02,31.08
2015-07-06,30.959999
2015-07-07,30.360001
2015-07-08,30.48
2015-07-09,30.360001
2015-07-10,30.6
2015-07-13,30.719998999999998
2015-07-14,30.719998999999998
2015-07-15,30.959999
2015-07-16,33.0
2015-07-17,34.080002
2015-07-20,34.439999
2015-07-21,33.0
2015-07-22,31.799999
2015-07-23,31.200001
2015-07-24,30.719998999999998
2015-07-27,30.6
2015-07-28,29.879998999999998
2015-07-29,29.879998999999998
2015-07-30,30.24
2015-07-31,30.360001
2015-08-03,29.639999
2015-08-04,29.639999
2015-08-05,29.879998999999998
2015-08-06,29.4
2015-08-07,28.92
2015-08-10,28.68
2015-08-11,28.200001
2015-08-12,28.200001
2015-08-13,29.280001000000002
2015-08-14,28.440001000000002
2015-08-17,28.08
2015-08-18,27.84
2015-08-19,27.84
2015-08-20,27.959999
2015-08-21,27.360001
2015-08-24,27.24
2015-08-25,27.719998999999998
2015-08-26,28.200001
2015-08-27,27.959999
2015-08-28,27.719998999999998
2015-08-31,27.6
2015-09-01,27.6
2015-09-02,27.24
2015-09-03,27.24
2015-09-04,27.120001000000002
2015-09-08,27.84
2015-09-09,30.120001000000002
2015-09-10,29.879998999999998
2015-09-11,30.24
2015-09-14,30.24
2015-09-15,29.76
2015-09-16,30.120001000000002
2015-09-17,30.120001000000002
2015-09-18,31.200001
2015-09-21,30.24
2015-09-22,29.76
2015-09-23,29.040001
2015-09-24,29.16
2015-09-25,32.279999
2015-09-28,32.279999
2015-09-29,31.799999
2015-09-30,31.200001
2015-10-01,30.84
2015-10-02,30.959999
2015-10-05,30.84
2015-10-06,31.08
2015-10-07,31.08
2015-10-08,31.08
