Date,MURGF
2011-04-04,162.550003
2011-04-05,160.25
2011-04-06,166.449997
2011-04-07,162.380005
2011-04-08,168.100006
2011-04-11,167.600006
2011-04-12,168.0
2011-04-13,166.899994
2011-04-14,167.899994
2011-04-15,167.949997
2011-04-18,161.800003
2011-04-19,163.649994
2011-04-20,165.880005
2011-04-21,160.0
2011-04-25,160.199997
2011-04-26,160.199997
2011-04-27,160.070007
2011-04-28,165.550003
2011-04-29,165.0
2011-05-02,165.0
2011-05-03,164.399994
2011-05-04,163.800003
2011-05-05,162.050003
2011-05-06,159.690002
2011-05-09,158.429993
2011-05-10,163.050003
2011-05-11,158.850006
2011-05-12,161.75
2011-05-13,158.350006
2011-05-16,154.300003
2011-05-17,156.399994
2011-05-18,155.949997
2011-05-19,158.649994
2011-05-20,154.070007
2011-05-23,150.5
2011-05-24,149.949997
2011-05-25,147.449997
2011-05-26,148.649994
2011-05-27,152.149994
2011-05-31,152.149994
2011-06-01,151.809998
2011-06-02,151.199997
2011-06-03,150.25
2011-06-06,151.25
2011-06-07,153.649994
2011-06-08,153.649994
2011-06-09,149.699997
2011-06-10,145.75
2011-06-13,148.100006
2011-06-14,149.600006
2011-06-15,145.490005
2011-06-16,144.300003
2011-06-17,146.600006
2011-06-20,146.610001
2011-06-21,149.300003
2011-06-22,149.649994
2011-06-23,149.649994
2011-06-24,149.649994
2011-06-27,149.649994
2011-06-28,149.649994
2011-06-29,149.75
2011-06-30,154.380005
2011-07-01,154.380005
2011-07-05,154.449997
2011-07-06,150.550003
2011-07-07,152.78999299999998
2011-07-08,151.350006
2011-07-11,143.169998
2011-07-12,140.860001
2011-07-13,144.179993
2011-07-14,142.399994
2011-07-15,143.350006
2011-07-18,138.850006
2011-07-19,144.850006
2011-07-20,144.850006
2011-07-21,153.610001
2011-07-22,153.800003
2011-07-25,153.350006
2011-07-26,155.0
2011-07-27,151.16000400000001
2011-07-28,149.649994
2011-07-29,148.199997
2011-08-01,143.75
2011-08-02,140.5
2011-08-03,140.149994
2011-08-04,135.25
2011-08-05,134.649994
2011-08-08,128.0
2011-08-09,133.100006
2011-08-10,122.849998
2011-08-11,129.850006
2011-08-12,131.199997
2011-08-15,135.75
2011-08-16,133.5
2011-08-17,133.100006
2011-08-18,125.699997
2011-08-19,125.099998
2011-08-22,126.650002
2011-08-23,129.399994
2011-08-24,129.399994
2011-08-25,125.769997
2011-08-26,124.800003
2011-08-29,130.75
2011-08-30,128.399994
2011-08-31,130.100006
2011-09-01,130.100006
2011-09-02,123.199997
2011-09-06,116.300003
2011-09-07,120.300003
2011-09-08,120.300003
2011-09-09,113.849998
2011-09-12,109.449997
2011-09-13,109.449997
2011-09-14,114.400002
2011-09-15,120.529999
2011-09-16,119.050003
2011-09-19,115.550003
2011-09-20,116.0
2011-09-21,113.0
2011-09-22,107.599998
2011-09-23,108.099998
2011-09-26,116.349998
2011-09-27,122.599998
2011-09-28,122.599998
2011-09-29,124.970001
2011-09-30,125.949997
2011-10-03,120.099998
2011-10-04,115.82
2011-10-05,124.900002
2011-10-06,130.5
2011-10-07,127.199997
2011-10-10,134.699997
2011-10-11,132.0
2011-10-12,136.449997
2011-10-13,135.419998
2011-10-14,136.0
2011-10-17,131.550003
2011-10-18,129.949997
2011-10-19,132.800003
2011-10-20,132.800003
2011-10-21,135.619995
2011-10-24,137.899994
2011-10-25,137.25
2011-10-26,134.149994
2011-10-27,144.449997
2011-10-28,140.300003
2011-10-31,136.899994
2011-11-01,127.199997
2011-11-02,128.46000700000002
2011-11-03,132.75
2011-11-04,128.649994
2011-11-07,129.399994
2011-11-08,130.809998
2011-11-09,119.300003
2011-11-10,120.75
2011-11-11,126.599998
2011-11-14,122.550003
2011-11-15,122.550003
2011-11-16,122.599998
2011-11-17,119.099998
2011-11-18,118.769997
2011-11-21,117.199997
2011-11-22,117.199997
2011-11-23,113.0
2011-11-25,110.93
2011-11-28,115.83000200000001
2011-11-29,118.199997
2011-11-30,126.099998
2011-12-01,125.349998
2011-12-02,127.339996
2011-12-05,128.0
2011-12-06,127.650002
2011-12-07,126.800003
2011-12-08,124.550003
2011-12-09,127.260002
2011-12-12,127.260002
2011-12-13,116.120003
2011-12-14,117.400002
2011-12-15,118.5
2011-12-16,117.150002
2011-12-19,116.5
2011-12-20,122.239998
2011-12-21,121.470001
2011-12-22,122.160004
2011-12-23,122.41999799999999
2011-12-27,123.57
2011-12-28,119.43
2011-12-29,115.620003
2011-12-30,123.550003
2012-01-03,123.550003
2012-01-04,124.300003
2012-01-05,124.300003
2012-01-06,118.849998
2012-01-09,117.209999
2012-01-10,121.849998
2012-01-11,122.360001
2012-01-12,124.910004
2012-01-13,121.349998
2012-01-17,120.220001
2012-01-18,122.550003
2012-01-19,125.959999
2012-01-20,128.149994
2012-01-23,128.149994
2012-01-24,128.149994
2012-01-25,131.25
2012-01-26,131.25
2012-01-27,133.169998
2012-01-30,130.610001
2012-01-31,131.300003
2012-02-01,134.449997
2012-02-02,136.509995
2012-02-03,140.53999299999998
2012-02-06,138.899994
2012-02-07,141.850006
2012-02-08,143.699997
2012-02-09,143.699997
2012-02-10,139.649994
2012-02-13,141.990005
