Date,NOC
1983-10-26,13.006636
1983-10-27,12.931344000000001
1983-10-28,12.799583
1983-10-31,12.874875
1983-11-01,12.724292
1983-11-02,12.667823
1983-11-03,12.536062
1983-11-04,12.536062
1983-11-07,12.536062
1983-11-08,12.498417
1983-11-09,12.686646000000001
1983-11-10,12.667823
1983-11-11,12.761937
1983-11-14,12.950167
1983-11-15,12.968989
1983-11-16,12.950167
1983-11-17,12.931344000000001
1983-11-18,13.006636
1983-11-21,12.968989
1983-11-22,13.063105
1983-11-23,13.025458
1983-11-25,12.950167
1983-11-28,12.912519999999999
1983-11-29,13.063105
1983-11-30,12.931344000000001
1983-12-01,12.931344000000001
1983-12-02,12.856052
1983-12-05,12.799583
1983-12-06,12.761937
1983-12-07,12.724292
1983-12-08,12.460771000000001
1983-12-09,12.385479
1983-12-12,12.385479
1983-12-13,12.423125
1983-12-14,12.310186999999999
1983-12-15,12.253718
1983-12-16,12.234896
1983-12-19,12.366655999999999
1983-12-20,12.366655999999999
1983-12-21,12.649
1983-12-22,12.950167
1983-12-23,12.837228999999999
1983-12-27,12.799583
1983-12-28,12.761937
1983-12-29,12.856052
1983-12-30,12.987812
1984-01-03,12.856052
1984-01-04,12.950167
1984-01-05,13.326625
1984-01-06,13.646614999999999
1984-01-09,13.665438
1984-01-10,13.703083
1984-01-11,13.928957999999998
1984-01-12,14.13601
1984-01-13,13.891313
1984-01-16,13.910135
1984-01-17,13.816021
1984-01-18,13.891313
1984-01-19,13.778375
1984-01-20,13.759552
1984-01-23,13.646614999999999
1984-01-24,13.477208
1984-01-25,13.590145999999999
1984-01-26,13.590145999999999
1984-01-27,13.590145999999999
1984-01-30,13.194864
1984-01-31,13.194864
1984-02-01,12.724292
1984-02-02,12.950167
1984-02-03,12.649
1984-02-06,12.498417
1984-02-07,12.385479
1984-02-08,12.272542
1984-02-09,12.159604
1984-02-10,12.310186999999999
1984-02-13,12.19725
1984-02-14,12.536062
1984-02-15,12.611353999999999
1984-02-16,12.536062
1984-02-17,12.573709
1984-02-21,12.536062
1984-02-22,12.347833999999999
1984-02-23,12.216073
1984-02-24,12.423125
1984-02-27,12.573709
1984-02-28,12.686646000000001
1984-02-29,12.630177
1984-03-01,12.705469
1984-03-02,12.705469
1984-03-05,12.460771000000001
1984-03-06,12.103135
1984-03-07,11.971375
1984-03-08,11.933729
1984-03-09,11.7455
1984-03-12,11.61374
1984-03-13,11.444333
1984-03-14,11.256103999999999
1984-03-15,11.124344
1984-03-16,11.369041000000001
1984-03-19,11.218458
1984-03-20,11.067875
1984-03-21,11.143167
1984-03-22,11.180813
1984-03-23,11.143167
1984-03-26,11.067875
1984-03-27,10.766708
1984-03-28,11.105521000000001
1984-03-29,11.180813
1984-03-30,11.161989
1984-04-02,11.218458
1984-04-03,10.954938
1984-04-04,11.143167
1984-04-05,10.917292
1984-04-06,10.954938
1984-04-09,10.917292
1984-04-10,11.105521000000001
1984-04-11,10.992583
1984-04-12,11.29375
1984-04-13,11.237281
1984-04-16,11.29375
1984-04-17,11.519625
1984-04-18,11.670208
1984-04-19,11.801969
1984-04-23,12.046667
1984-04-24,12.498417
1984-04-25,12.366655999999999
1984-04-26,12.310186999999999
1984-04-27,12.234896
1984-04-30,12.347833999999999
1984-05-01,12.385479
1984-05-02,12.460771000000001
1984-05-03,12.51724
1984-05-04,12.272542
1984-05-07,12.253718
1984-05-08,12.573709
1984-05-09,12.705469
1984-05-10,12.724292
1984-05-11,12.686646000000001
1984-05-14,12.686646000000001
1984-05-15,12.686646000000001
1984-05-16,12.724292
1984-05-17,12.536062
1984-05-18,12.498417
1984-05-21,12.554886
1984-05-22,12.385479
1984-05-23,12.460771000000001
1984-05-24,12.498417
1984-05-25,12.536062
1984-05-29,12.536062
1984-05-30,12.536062
1984-05-31,12.573709
1984-06-01,12.592531
1984-06-04,12.968989
1984-06-05,12.799583
1984-06-06,12.799583
1984-06-07,12.856052
1984-06-08,12.987812
1984-06-11,13.063105
1984-06-12,13.364270999999999
1984-06-13,13.703083
1984-06-14,13.5525
1984-06-15,13.477208
1984-06-18,13.816021
1984-06-19,14.117188
1984-06-20,14.211301999999998
1984-06-21,13.590145999999999
1984-06-22,13.928957999999998
1984-06-25,13.665438
1984-06-26,13.439563
1984-06-27,13.608969
1984-06-28,13.985427
1984-06-29,14.00425
1984-07-02,13.985427
1984-07-03,14.00425
1984-07-05,14.00425
1984-07-06,13.853666
1984-07-09,13.816021
1984-07-10,13.759552
1984-07-11,13.703083
1984-07-12,13.627791
1984-07-13,13.458385
1984-07-16,13.514854000000001
1984-07-17,13.703083
1984-07-18,13.740729
1984-07-19,13.947782
1984-07-20,13.778375
1984-07-23,13.721907
1984-07-24,13.721907
1984-07-25,13.703083
1984-07-26,13.778375
1984-07-27,14.079541
1984-07-30,14.230125
1984-07-31,14.173656
1984-08-01,14.456
1984-08-02,14.813635999999999
1984-08-03,15.284208
1984-08-06,15.453614000000002
1984-08-07,15.547729
1984-08-08,15.397146
1984-08-09,15.660666
1984-08-10,15.924188000000001
1984-08-13,15.848896
1984-08-14,15.961832999999999
1984-08-15,15.961832999999999
1984-08-16,16.263
1984-08-17,16.338291
1984-08-20,16.338291
1984-08-21,16.263
1984-08-22,16.39476
1984-08-23,16.375938
1984-08-24,16.375938
1984-08-27,16.150063
1984-08-28,16.131239
1984-08-29,16.037125
1984-08-30,16.037125
1984-08-31,15.980657
1984-09-04,15.754782
1984-09-05,15.717135
1984-09-06,15.961832999999999
1984-09-07,15.999479000000001
1984-09-10,15.848896
1984-09-11,15.924188000000001
1984-09-12,15.81125
1984-09-13,15.924188000000001
1984-09-14,16.263
1984-09-17,16.601812
1984-09-18,17.335907000000002
1984-09-19,16.884157000000002
1984-09-20,16.940624
1984-09-21,15.585375
1984-09-24,15.641844
1984-09-25,15.641844
1984-09-26,15.303030999999999
1984-09-27,15.472438
1984-09-28,15.133625
1984-10-01,14.399531
1984-10-02,14.456
1984-10-03,14.568937
1984-10-04,14.851281
1984-10-05,15.190094
1984-10-08,14.851281
1984-10-09,14.343062
1984-10-10,14.117188
1984-10-11,14.851281
1984-10-12,15.246563
1984-10-15,15.3595
