Date,EVHC
2015-10-06,105.988022
2015-10-07,107.45509299999999
2015-10-08,106.76646399999998
2015-10-09,107.425148
2015-10-12,107.874252
2015-10-13,105.95808400000001
2015-10-14,104.64071700000001
2015-10-15,105.568863
2015-10-16,106.916168
2015-10-19,107.78443100000001
2015-10-20,111.197601
2015-10-21,109.25149499999999
2015-10-22,76.047905
2015-10-23,82.544907
2015-10-26,80.80838
2015-10-27,80.868263
2015-10-28,82.574852
2015-10-29,84.161674
2015-10-30,84.43113699999999
2015-11-02,84.101799
2015-11-03,83.233536
2015-11-04,84.820358
2015-11-05,87.245506
2015-11-06,90.538925
2015-11-09,90.179642
2015-11-10,89.281441
2015-11-11,83.41317
2015-11-12,82.60479000000001
2015-11-13,82.994011
2015-11-16,82.634727
2015-11-17,81.407188
2015-11-18,82.335327
2015-11-19,76.856285
2015-11-20,78.772453
2015-11-23,81.766464
2015-11-24,83.652695
2015-11-25,84.19162
2015-11-27,84.61077900000001
2015-11-30,82.335327
2015-12-01,83.53293599999999
2015-12-02,81.317368
2015-12-03,79.071854
2015-12-04,79.37125400000001
2015-12-07,77.84431500000001
2015-12-08,77.874252
2015-12-09,77.425148
2015-12-10,77.60479000000001
2015-12-11,75.688622
2015-12-14,72.005989
2015-12-15,72.035927
2015-12-16,71.916168
2015-12-17,71.28742199999999
2015-12-18,70.179642
2015-12-21,70.35928299999999
2015-12-22,73.862274
2015-12-23,75.38922099999999
2015-12-24,75.688622
2015-12-28,75.598801
2015-12-29,76.61676800000001
2015-12-30,77.78443100000001
2015-12-31,77.754494
2016-01-04,77.305389
2016-01-05,80.718559
2016-01-06,81.856285
2016-01-07,79.071854
2016-01-08,79.011978
2016-01-11,74.670662
2016-01-12,71.976051
2016-01-13,64.970062
2016-01-14,66.407188
2016-01-15,68.772453
2016-01-19,66.46706400000001
2016-01-20,67.39520999999999
2016-01-21,68.682632
2016-01-22,70.179642
2016-01-25,69.311378
2016-01-26,70.598801
2016-01-27,69.970062
2016-01-28,64.131737
2016-01-29,66.167664
2016-02-01,66.107788
2016-02-02,65.538925
2016-02-03,63.203593999999995
2016-02-04,63.473053
2016-02-05,60.419163
2016-02-08,56.826347
2016-02-09,56.856289000000004
2016-02-10,58.862274
2016-02-11,56.796406000000005
2016-02-12,57.365269
2016-02-16,59.52095799999999
2016-02-17,63.143710999999996
2016-02-18,62.724552
2016-02-19,62.964073
2016-02-22,65.598801
2016-02-23,67.245506
2016-02-24,65.838326
2016-02-25,65.958084
2016-02-26,67.574852
2016-02-29,65.838326
2016-03-01,67.335327
2016-03-02,68.71257800000001
2016-03-03,70.50898000000001
2016-03-04,69.61077900000001
2016-03-07,70.838326
2016-03-08,65.838326
2016-03-09,64.730537
2016-03-10,61.826347
