Date,SNA
1975-10-02,4.5833330000000005
1975-10-03,4.75
1975-10-06,4.75
1975-10-07,4.75
1975-10-08,4.75
1975-10-09,4.625
1975-10-10,4.5833330000000005
1975-10-13,4.5833330000000005
1975-10-14,4.5833330000000005
1975-10-15,4.6666669999999995
1975-10-16,4.6666669999999995
1975-10-17,4.625
1975-10-20,4.625
1975-10-21,4.75
1975-10-22,4.9583330000000005
1975-10-23,5.0
1975-10-24,4.875
1975-10-27,4.75
1975-10-28,4.625
1975-10-29,4.7083330000000005
1975-10-30,4.7083330000000005
1975-10-31,4.7083330000000005
1975-11-03,4.7083330000000005
1975-11-04,4.75
1975-11-05,4.75
1975-11-06,4.8333330000000005
1975-11-07,4.9166669999999995
1975-11-10,5.0
1975-11-11,5.0416669999999995
1975-11-12,5.0833330000000005
1975-11-13,5.0833330000000005
1975-11-14,5.0833330000000005
1975-11-17,5.2083330000000005
1975-11-18,5.125
1975-11-19,5.125
1975-11-20,5.125
1975-11-21,5.0833330000000005
1975-11-24,5.0833330000000005
1975-11-25,5.0833330000000005
1975-11-26,5.1666669999999995
1975-11-28,5.3333330000000005
1975-12-01,5.4583330000000005
1975-12-02,5.4166669999999995
1975-12-03,5.375
1975-12-04,5.3333330000000005
1975-12-05,5.3333330000000005
1975-12-08,5.5
1975-12-09,5.4166669999999995
1975-12-10,5.5416669999999995
1975-12-11,5.5416669999999995
1975-12-12,5.5
1975-12-15,5.4166669999999995
1975-12-16,5.4583330000000005
1975-12-17,5.4166669999999995
1975-12-18,5.4166669999999995
1975-12-19,5.3333330000000005
1975-12-22,5.3333330000000005
1975-12-23,5.3333330000000005
1975-12-24,5.3333330000000005
1975-12-26,5.375
1975-12-29,5.375
1975-12-30,5.3333330000000005
1975-12-31,5.3333330000000005
1976-01-02,5.3333330000000005
1976-01-05,5.2916669999999995
1976-01-06,5.3333330000000005
1976-01-07,5.4166669999999995
1976-01-08,5.5
1976-01-09,5.4583330000000005
1976-01-12,5.4583330000000005
1976-01-13,5.5
1976-01-14,5.8333330000000005
1976-01-15,5.7916669999999995
1976-01-16,5.7916669999999995
1976-01-19,5.7083330000000005
1976-01-20,5.625
1976-01-21,5.6666669999999995
1976-01-22,5.625
1976-01-23,5.625
1976-01-26,5.6666669999999995
1976-01-27,5.6666669999999995
1976-01-28,5.625
1976-01-29,5.5416669999999995
1976-01-30,5.5833330000000005
1976-02-02,5.5833330000000005
1976-02-03,5.5833330000000005
1976-02-04,5.5
1976-02-05,5.4166669999999995
1976-02-06,5.125
1976-02-09,5.2083330000000005
1976-02-10,5.2083330000000005
1976-02-11,5.2083330000000005
1976-02-12,5.0833330000000005
1976-02-13,5.125
1976-02-17,5.125
1976-02-18,5.125
1976-02-19,5.1666669999999995
1976-02-20,5.1666669999999995
1976-02-23,5.2083330000000005
1976-02-24,5.1666669999999995
1976-02-25,5.0833330000000005
1976-02-26,4.7916669999999995
1976-02-27,4.9166669999999995
1976-03-01,4.9166669999999995
1976-03-02,5.125
1976-03-03,5.2083330000000005
1976-03-04,5.2083330000000005
1976-03-05,5.3333330000000005
