Date,JD
2017-12-29,41.419998
2018-01-02,43.279999
2018-01-03,43.509997999999996
2018-01-04,43.669998
2018-01-05,45.639998999999996
2018-01-08,46.099998
2018-01-09,46.130001
2018-01-10,46.450001
2018-01-11,46.610001000000004
2018-01-12,46.400002
2018-01-16,46.459998999999996
2018-01-17,46.610001000000004
2018-01-18,45.900002
2018-01-19,46.02
2018-01-22,45.259997999999996
2018-01-23,45.18
2018-01-24,46.740002000000004
2018-01-25,47.380001
2018-01-26,50.5
2018-01-29,49.939999
2018-01-30,49.259997999999996
2018-01-31,49.23
2018-02-01,47.549999
2018-02-02,46.029999
2018-02-05,44.599998
2018-02-06,45.049999
2018-02-07,44.389998999999996
2018-02-08,42.25
2018-02-09,42.93
2018-02-12,43.720001
2018-02-13,44.549999
2018-02-14,46.860001000000004
2018-02-15,47.110001000000004
2018-02-16,46.419998
2018-02-20,46.93
2018-02-21,47.16
2018-02-22,47.810001
2018-02-23,48.349998
2018-02-26,48.799999
2018-02-27,47.040001000000004
2018-02-28,47.150002
2018-03-01,46.209998999999996
2018-03-02,43.799999
2018-03-05,42.990002000000004
2018-03-06,43.139998999999996
2018-03-07,44.41
2018-03-08,45.389998999999996
2018-03-09,45.709998999999996
2018-03-12,46.009997999999996
2018-03-13,44.32
2018-03-14,44.09
2018-03-15,44.939999
2018-03-16,44.970001
2018-03-19,44.150002
2018-03-20,44.0
2018-03-21,43.509997999999996
2018-03-22,42.509997999999996
2018-03-23,40.869999
2018-03-26,41.849998
2018-03-27,40.709998999999996
2018-03-28,40.009997999999996
2018-03-29,40.490002000000004
2018-04-02,39.080002
2018-04-03,38.98
2018-04-04,39.439999
2018-04-05,40.189999
2018-04-06,39.23
2018-04-09,40.07
2018-04-10,40.700001
2018-04-11,40.459998999999996
2018-04-12,40.599998
2018-04-13,39.799999
2018-04-16,39.93
2018-04-17,40.27
2018-04-18,40.18
2018-04-19,38.900002
2018-04-20,37.439999
2018-04-23,37.0
2018-04-24,35.869999
2018-04-25,35.880001
2018-04-26,36.5
2018-04-27,36.759997999999996
2018-04-30,36.509997999999996
2018-05-01,37.470001
2018-05-02,37.080002
2018-05-03,37.200001
2018-05-04,37.669998
2018-05-07,38.720001
2018-05-08,36.939999
2018-05-09,37.139998999999996
2018-05-10,36.849998
2018-05-11,36.950001
2018-05-14,37.169998
2018-05-15,36.119999
2018-05-16,36.43
2018-05-17,35.959998999999996
2018-05-18,35.709998999999996
2018-05-21,36.279999
2018-05-22,36.360001000000004
2018-05-23,36.720001
2018-05-24,36.700001
2018-05-25,36.869999
2018-05-29,36.529999
2018-05-30,35.799999
2018-05-31,35.18
2018-06-01,36.09
2018-06-04,38.16
2018-06-05,38.869999
2018-06-06,40.400002
2018-06-07,39.5
2018-06-08,39.919998
2018-06-11,39.639998999999996
2018-06-12,41.470001
2018-06-13,41.25
2018-06-14,43.75
2018-06-15,43.59
2018-06-18,43.759997999999996
2018-06-19,41.889998999999996
2018-06-20,41.68
2018-06-21,40.82
2018-06-22,40.82
2018-06-25,39.18
2018-06-26,39.470001
2018-06-27,38.389998999999996
2018-06-28,38.93
2018-06-29,38.950001
2018-07-02,38.790001000000004
2018-07-03,38.380001
2018-07-05,38.540001000000004
2018-07-06,39.459998999999996
2018-07-09,39.400002
2018-07-10,38.59
2018-07-11,37.950001
2018-07-12,38.52
2018-07-13,38.27
2018-07-16,38.040001000000004
2018-07-17,37.990002000000004
2018-07-18,37.529999
2018-07-19,36.880001
2018-07-20,35.509997999999996
2018-07-23,35.66
2018-07-24,35.310001
2018-07-25,36.919998
2018-07-26,36.639998999999996
2018-07-27,36.209998999999996
2018-07-30,35.16
2018-07-31,35.860001000000004
2018-08-01,36.279999
2018-08-02,36.290001000000004
2018-08-03,36.169998
2018-08-06,35.900002
2018-08-07,36.5
2018-08-08,36.0
2018-08-09,36.02
2018-08-10,35.790001000000004
2018-08-13,35.07
2018-08-14,33.869999
2018-08-15,32.360001000000004
2018-08-16,31.969998999999998
2018-08-17,32.220001
2018-08-20,33.040001000000004
2018-08-21,32.799999
2018-08-22,32.34
2018-08-23,31.389999
2018-08-24,31.4
2018-08-27,32.669998
2018-08-28,32.16
2018-08-29,31.950001
2018-08-30,31.0
2018-08-31,31.299999
2018-09-04,29.43
2018-09-05,26.299999
2018-09-06,27.25
2018-09-07,26.950001
2018-09-10,26.530001000000002
2018-09-11,27.09
2018-09-12,27.629998999999998
2018-09-13,27.76
2018-09-14,27.110001
2018-09-17,25.73
2018-09-18,25.75
2018-09-19,26.92
2018-09-20,26.93
2018-09-21,26.49
2018-09-24,24.51
2018-09-25,24.540001
2018-09-26,25.200001
2018-09-27,25.43
2018-09-28,26.09
2018-10-01,25.49
2018-10-02,24.9
2018-10-03,25.139999
2018-10-04,24.32
2018-10-05,23.620001000000002
2018-10-08,23.889999
2018-10-09,23.780001000000002
2018-10-10,22.709999
2018-10-11,23.48
2018-10-12,24.450001
2018-10-15,24.139999
2018-10-16,24.629998999999998
2018-10-17,23.68
2018-10-18,23.33
2018-10-19,23.01
2018-10-22,23.540001
2018-10-23,23.23
2018-10-24,21.76
2018-10-25,22.559998999999998
2018-10-26,22.58
2018-10-29,21.98
2018-10-30,22.379998999999998
2018-10-31,23.52
2018-11-01,25.450001
2018-11-02,24.049999
2018-11-05,24.15
2018-11-06,23.6
2018-11-07,24.07
2018-11-08,22.4
2018-11-09,21.700001
2018-11-12,22.01
2018-11-13,22.389999
2018-11-14,22.76
2018-11-15,24.200001
2018-11-16,23.049999
2018-11-19,21.110001
2018-11-20,19.49
2018-11-21,20.34
2018-11-23,19.27
2018-11-26,20.459999
2018-11-27,20.84
2018-11-28,21.379998999999998
2018-11-29,20.969998999999998
