Date,DLR
2010-11-15,53.860001000000004
2010-11-16,52.939999
2010-11-17,52.540001000000004
2010-11-18,51.0
2010-11-19,51.09
2010-11-22,51.040001000000004
2010-11-23,51.080002
2010-11-24,52.279999
2010-11-26,51.84
2010-11-29,52.919998
2010-11-30,52.52
2010-12-01,53.23
2010-12-02,53.790001000000004
2010-12-03,54.360001000000004
2010-12-06,53.889998999999996
2010-12-07,54.709998999999996
2010-12-08,53.919998
2010-12-09,52.880001
2010-12-10,53.700001
2010-12-13,52.950001
2010-12-14,51.450001
2010-12-15,51.470001
2010-12-16,51.740002000000004
2010-12-17,48.32
2010-12-20,48.52
2010-12-21,48.939999
2010-12-22,49.540001000000004
2010-12-23,49.77
2010-12-27,49.889998999999996
2010-12-28,50.459998999999996
2010-12-29,50.759997999999996
2010-12-30,51.470001
2010-12-31,51.540001000000004
2011-01-03,52.110001000000004
2011-01-04,50.98
2011-01-05,51.220001
2011-01-06,51.919998
2011-01-07,52.009997999999996
2011-01-10,52.439999
2011-01-11,52.32
2011-01-12,52.900002
2011-01-13,53.700001
2011-01-14,53.790001000000004
2011-01-18,53.880001
2011-01-19,52.799999
2011-01-20,51.610001000000004
2011-01-21,51.759997999999996
2011-01-24,52.369999
2011-01-25,54.060001
2011-01-26,53.209998999999996
2011-01-27,53.799999
2011-01-28,53.759997999999996
2011-01-31,54.400002
2011-02-01,54.41
2011-02-02,54.93
2011-02-03,55.049999
2011-02-04,54.43
2011-02-07,54.959998999999996
2011-02-08,54.490002000000004
2011-02-09,54.860001000000004
2011-02-10,55.32
2011-02-11,57.150002
2011-02-14,56.950001
2011-02-15,55.779999
2011-02-16,55.799999
2011-02-17,56.02
2011-02-18,57.52
2011-02-22,56.889998999999996
2011-02-23,56.09
2011-02-24,56.23
2011-02-25,57.98
2011-02-28,58.82
2011-03-01,58.380001
2011-03-02,57.32
2011-03-03,58.080002
2011-03-04,57.029999
2011-03-07,57.09
2011-03-08,57.209998999999996
2011-03-09,56.849998
2011-03-10,56.32
2011-03-11,56.060001
2011-03-14,55.610001000000004
2011-03-15,55.810001
2011-03-16,56.259997999999996
2011-03-17,55.490002000000004
2011-03-18,55.450001
2011-03-21,55.860001000000004
2011-03-22,55.549999
2011-03-23,54.919998
2011-03-24,55.439999
2011-03-25,56.029999
2011-03-28,56.07
2011-03-29,56.330002
2011-03-30,57.540001000000004
2011-03-31,58.139998999999996
2011-04-01,58.150002
2011-04-04,58.580002
2011-04-05,58.91
2011-04-06,58.119999
2011-04-07,57.720001
2011-04-08,56.66
2011-04-11,56.740002000000004
2011-04-12,57.009997999999996
2011-04-13,56.779999
2011-04-14,58.0
2011-04-15,58.16
2011-04-18,57.790001000000004
2011-04-19,58.540001000000004
2011-04-20,58.779999
2011-04-21,58.700001
2011-04-25,58.630001
2011-04-26,59.139998999999996
2011-04-27,58.529999
2011-04-28,60.360001000000004
2011-04-29,60.34
2011-05-02,60.849998
2011-05-03,60.349998
2011-05-04,60.299999
2011-05-05,60.509997999999996
2011-05-06,59.970001
2011-05-09,60.549999
2011-05-10,61.299999
2011-05-11,60.23
2011-05-12,60.540001000000004
2011-05-13,59.860001000000004
2011-05-16,60.299999
2011-05-17,60.700001
2011-05-18,61.580002
2011-05-19,61.860001000000004
2011-05-20,61.0
2011-05-23,60.610001000000004
2011-05-24,61.34
2011-05-25,61.310001
2011-05-26,61.41
2011-05-27,61.860001000000004
2011-05-31,62.369999
2011-06-01,61.279999
2011-06-02,61.5
2011-06-03,61.790001000000004
2011-06-06,61.970001
2011-06-07,63.240002000000004
2011-06-08,63.529999
2011-06-09,63.970001
2011-06-10,62.57
2011-06-13,61.779999
2011-06-14,62.099998
2011-06-15,60.52
2011-06-16,60.439999
2011-06-17,60.490002000000004
2011-06-20,61.830002
2011-06-21,62.560001
2011-06-22,62.73
2011-06-23,60.889998999999996
2011-06-24,60.639998999999996
2011-06-27,60.799999
2011-06-28,61.299999
2011-06-29,62.02
2011-06-30,61.779999
2011-07-01,62.310001
2011-07-05,62.790001000000004
2011-07-06,63.689999
2011-07-07,63.599998
2011-07-08,63.0
2011-07-11,62.59
2011-07-12,62.669998
2011-07-13,61.369999
2011-07-14,61.630001
2011-07-15,61.889998999999996
2011-07-18,62.34
2011-07-19,63.220001
2011-07-20,63.110001000000004
2011-07-21,62.77
2011-07-22,63.490002000000004
2011-07-25,62.889998999999996
2011-07-26,63.169998
2011-07-27,61.299999
2011-07-28,61.200001
2011-07-29,61.209998999999996
2011-08-01,60.580002
2011-08-02,59.220001
2011-08-03,58.310001
2011-08-04,56.41
2011-08-05,54.419998
2011-08-08,50.630001
2011-08-09,55.52
2011-08-10,54.189999
2011-08-11,56.779999
2011-08-12,56.34
2011-08-15,58.799999
2011-08-16,58.16
2011-08-17,57.59
2011-08-18,55.41
2011-08-19,54.18
2011-08-22,54.48
2011-08-23,56.950001
2011-08-24,57.560001
2011-08-25,56.610001000000004
2011-08-26,57.400002
2011-08-29,59.009997999999996
2011-08-30,59.91
2011-08-31,59.75
2011-09-01,59.220001
2011-09-02,57.849998
2011-09-06,57.32
2011-09-07,59.68
2011-09-08,59.419998
2011-09-09,57.200001
2011-09-12,56.959998999999996
2011-09-13,56.709998999999996
2011-09-14,56.709998999999996
2011-09-15,56.849998
2011-09-16,57.200001
2011-09-19,55.849998
2011-09-20,55.630001
2011-09-21,53.580002
2011-09-22,52.700001
2011-09-23,53.48
2011-09-26,55.209998999999996
2011-09-27,55.5
2011-09-28,54.110001000000004
2011-09-29,55.200001
2011-09-30,55.16
2011-10-03,53.57
2011-10-04,55.639998999999996
2011-10-05,55.139998999999996
2011-10-06,56.720001
2011-10-07,55.02
2011-10-10,58.32
2011-10-11,55.529999
2011-10-12,56.68
2011-10-13,56.09
2011-10-14,57.139998999999996
2011-10-17,56.439999
2011-10-18,58.919998
2011-10-19,58.810001
2011-10-20,59.419998
2011-10-21,60.779999
2011-10-24,63.439999
2011-10-25,61.799999
2011-10-26,60.799999
2011-10-27,63.029999
2011-10-28,62.470001
2011-10-31,62.330002
2011-11-01,61.52
2011-11-02,62.459998999999996
2011-11-03,62.650002
2011-11-04,63.610001000000004
2011-11-07,63.849998
2011-11-08,64.550003
2011-11-09,62.330002
2011-11-10,62.790001000000004
2011-11-11,64.209999
2011-11-14,62.779999
2011-11-15,64.0
2011-11-16,64.18
2011-11-17,64.25
2011-11-18,64.849998
2011-11-21,63.029999
2011-11-22,63.07
2011-11-23,61.439999
2011-11-25,62.220001
2011-11-28,63.34
2011-11-29,63.139998999999996
2011-11-30,63.5
2011-12-01,62.799999
2011-12-02,63.240002000000004
2011-12-05,64.730003
2011-12-06,64.91999799999999
2011-12-07,65.480003
2011-12-08,64.349998
2011-12-09,64.870003
2011-12-12,64.370003
2011-12-13,63.57
2011-12-14,63.619999
2011-12-15,64.220001
2011-12-16,65.57
2011-12-19,65.459999
2011-12-20,67.110001
2011-12-21,65.959999
2011-12-22,66.129997
2011-12-23,66.389999
2011-12-27,67.120003
2011-12-28,67.0
2011-12-29,67.139999
2011-12-30,66.66999799999999
2012-01-03,66.349998
2012-01-04,65.529999
2012-01-05,66.089996
2012-01-06,66.720001
2012-01-09,66.660004
2012-01-10,66.900002
2012-01-11,67.160004
2012-01-12,66.809998
2012-01-13,66.529999
2012-01-17,67.0
2012-01-18,67.32
2012-01-19,67.540001
2012-01-20,68.08000200000001
2012-01-23,68.400002
2012-01-24,67.650002
2012-01-25,68.839996
2012-01-26,69.589996
2012-01-27,70.019997
2012-01-30,69.599998
2012-01-31,70.860001
2012-02-01,71.959999
2012-02-02,71.370003
2012-02-03,71.5
2012-02-06,71.230003
2012-02-07,70.790001
2012-02-08,70.199997
2012-02-09,69.120003
2012-02-10,68.760002
2012-02-13,69.550003
2012-02-14,69.629997
2012-02-15,69.190002
2012-02-16,69.699997
2012-02-17,69.93
2012-02-21,69.58000200000001
2012-02-22,68.879997
2012-02-23,70.900002
2012-02-24,70.790001
2012-02-27,70.860001
2012-02-28,70.91999799999999
2012-02-29,72.5
2012-03-01,73.269997
2012-03-02,72.470001
2012-03-05,72.91999799999999
2012-03-06,72.040001
2012-03-07,72.279999
2012-03-08,71.949997
2012-03-09,71.389999
2012-03-12,71.91999799999999
2012-03-13,72.349998
2012-03-14,72.33000200000001
2012-03-15,71.480003
2012-03-16,71.800003
2012-03-19,72.660004
2012-03-20,72.690002
