Date,FUL
1977-04-15,0.697917
1977-04-18,0.708333
1977-04-19,0.708333
1977-04-20,0.708333
1977-04-21,0.697917
1977-04-22,0.71875
1977-04-25,0.729167
1977-04-26,0.729167
1977-04-27,0.729167
1977-04-28,0.729167
1977-04-29,0.729167
1977-05-02,0.75
1977-05-03,0.75
1977-05-04,0.791667
1977-05-05,0.770833
1977-05-06,0.770833
1977-05-09,0.75
1977-05-10,0.75
1977-05-11,0.75
1977-05-12,0.75
1977-05-13,0.75
1977-05-16,0.75
1977-05-17,0.729167
1977-05-18,0.729167
1977-05-19,0.708333
1977-05-20,0.75
1977-05-23,0.75
1977-05-24,0.729167
1977-05-25,0.729167
1977-05-26,0.729167
1977-05-27,0.729167
1977-05-31,0.729167
1977-06-01,0.75
1977-06-02,0.75
1977-06-03,0.75
1977-06-06,0.729167
1977-06-07,0.708333
1977-06-08,0.729167
1977-06-09,0.75
1977-06-10,0.75
1977-06-13,0.75
1977-06-14,0.75
1977-06-15,0.770833
1977-06-16,0.791667
1977-06-17,0.8125
1977-06-20,0.8125
1977-06-21,0.8125
1977-06-22,0.822917
1977-06-23,0.822917
1977-06-24,0.8125
1977-06-27,0.822917
1977-06-28,0.833333
1977-06-29,0.833333
1977-06-30,0.84375
1977-07-01,0.885417
1977-07-05,0.875
1977-07-06,0.875
1977-07-07,0.885417
1977-07-08,0.885417
1977-07-11,0.885417
1977-07-12,0.885417
1977-07-13,0.854167
1977-07-15,0.854167
1977-07-18,0.854167
1977-07-19,0.854167
1977-07-20,0.854167
1977-07-21,0.864583
1977-07-22,0.864583
1977-07-25,0.84375
1977-07-26,0.8125
1977-07-27,0.8125
1977-07-28,0.8125
1977-07-29,0.802083
1977-08-01,0.791667
1977-08-02,0.791667
1977-08-03,0.791667
1977-08-04,0.791667
1977-08-05,0.791667
1977-08-08,0.791667
1977-08-09,0.791667
1977-08-10,0.78125
1977-08-11,0.791667
1977-08-12,0.791667
1977-08-15,0.822917
1977-08-16,0.833333
1977-08-17,0.833333
1977-08-18,0.822917
1977-08-19,0.8125
1977-08-22,0.8125
1977-08-23,0.802083
1977-08-24,0.791667
1977-08-25,0.78125
1977-08-26,0.78125
1977-08-29,0.78125
1977-08-30,0.78125
1977-08-31,0.78125
1977-09-01,0.78125
1977-09-02,0.78125
1977-09-06,0.78125
1977-09-07,0.802083
1977-09-08,0.802083
1977-09-09,0.791667
1977-09-12,0.78125
1977-09-13,0.78125
1977-09-14,0.78125
1977-09-15,0.78125
1977-09-16,0.78125
1977-09-19,0.78125
1977-09-20,0.78125
1977-09-21,0.770833
1977-09-22,0.770833
1977-09-23,0.760417
1977-09-26,0.760417
1977-09-27,0.729167
1977-09-28,0.708333
1977-09-29,0.708333
1977-09-30,0.71875
1977-10-03,0.71875
1977-10-04,0.729167
1977-10-05,0.729167
1977-10-06,0.75
